,time,price,volume
0,Jan 05 2017 01: +0,1.281,54
1,Jan 06 2017 01: +0,1.267,65
2,Jan 07 2017 01: +0,1.474,44
3,Jan 08 2017 01: +0,1.482,45
4,Jan 09 2017 01: +0,1.482,39
5,Jan 10 2017 01: +0,1.537,40
6,Jan 11 2017 01: +0,1.461,28
7,Jan 12 2017 01: +0,1.485,50
8,Jan 13 2017 01: +0,1.757,49
9,Jan 14 2017 01: +0,2.016,42
10,Jan 15 2017 01: +0,1.757,37
11,Jan 16 2017 01: +0,1.909,34
12,Jan 17 2017 01: +0,1.715,30
13,Jan 18 2017 01: +0,1.843,40
14,Jan 19 2017 01: +0,1.895,48
15,Jan 20 2017 01: +0,1.897,28
16,Jan 21 2017 01: +0,1.894,35
17,Jan 22 2017 01: +0,1.894,24
18,Jan 23 2017 01: +0,1.678,24
19,Jan 24 2017 01: +0,1.742,14
20,Jan 25 2017 01: +0,1.505,21
21,Jan 26 2017 01: +0,1.76,25
22,Jan 27 2017 01: +0,1.76,31
23,Jan 28 2017 01: +0,2.15,44
24,Jan 29 2017 01: +0,2.582,32
25,Jan 30 2017 01: +0,2.44,34
26,Jan 31 2017 01: +0,2.404,30
27,Feb 01 2017 01: +0,2.113,22
28,Feb 02 2017 01: +0,2.009,30
29,Feb 03 2017 01: +0,2.177,38
30,Feb 04 2017 01: +0,3.035,32
31,Feb 05 2017 01: +0,3.179,31
32,Feb 06 2017 01: +0,2.899,33
33,Feb 07 2017 01: +0,2.841,23
34,Feb 08 2017 01: +0,2.634,28
35,Feb 09 2017 01: +0,2.783,32
36,Feb 10 2017 01: +0,2.178,26
37,Feb 11 2017 01: +0,2.327,31
38,Feb 12 2017 01: +0,2.461,29
39,Feb 13 2017 01: +0,2.468,32
40,Feb 14 2017 01: +0,2.739,20
41,Feb 15 2017 01: +0,2.599,19
42,Feb 16 2017 01: +0,2.902,18
43,Feb 17 2017 01: +0,2.783,21
44,Feb 18 2017 01: +0,2.877,25
45,Feb 19 2017 01: +0,2.666,27
46,Feb 20 2017 01: +0,2.879,28
47,Feb 21 2017 01: +0,2.964,22
48,Feb 22 2017 01: +0,2.591,18
49,Feb 23 2017 01: +0,2.558,27
50,Feb 24 2017 01: +0,2.924,29
51,Feb 25 2017 01: +0,2.705,28
52,Feb 26 2017 01: +0,2.434,27
53,Feb 27 2017 01: +0,2.254,21
54,Feb 28 2017 01: +0,2.613,18
55,Mar 01 2017 01: +0,2.65,21
56,Mar 02 2017 01: +0,2.563,25
57,Mar 03 2017 01: +0,2.721,18
58,Mar 04 2017 01: +0,3.067,31
59,Mar 05 2017 01: +0,2.806,26
60,Mar 06 2017 01: +0,2.995,17
61,Mar 07 2017 01: +0,2.894,19
62,Mar 08 2017 01: +0,2.878,21
63,Mar 09 2017 01: +0,3.077,18
64,Mar 10 2017 01: +0,3.055,20
65,Mar 11 2017 01: +0,2.83,15
66,Mar 12 2017 01: +0,2.925,22
67,Mar 13 2017 01: +0,2.872,23
68,Mar 14 2017 01: +0,2.829,16
69,Mar 15 2017 01: +0,2.878,11
70,Mar 16 2017 01: +0,2.712,23
71,Mar 17 2017 01: +0,2.819,30
72,Mar 18 2017 01: +0,2.668,19
73,Mar 19 2017 01: +0,2.887,23
74,Mar 20 2017 01: +0,2.784,16
75,Mar 21 2017 01: +0,3.144,25
76,Mar 22 2017 01: +0,3.289,9
77,Mar 23 2017 01: +0,2.793,18
78,Mar 24 2017 01: +0,2.401,25
79,Mar 25 2017 01: +0,2.748,23
80,Mar 26 2017 01: +0,2.251,27
81,Mar 27 2017 01: +0,2.455,22
82,Mar 28 2017 01: +0,2.613,15
83,Mar 29 2017 01: +0,2.402,13
84,Mar 30 2017 01: +0,2.52,30
85,Mar 31 2017 01: +0,2.917,23
86,Apr 01 2017 01: +0,2.751,24
87,Apr 02 2017 01: +0,3.169,25
88,Apr 03 2017 01: +0,2.924,13
89,Apr 04 2017 01: +0,2.796,13
90,Apr 05 2017 01: +0,2.617,11
91,Apr 06 2017 01: +0,2.892,21
92,Apr 07 2017 01: +0,2.838,15
93,Apr 08 2017 01: +0,2.482,24
94,Apr 09 2017 01: +0,2.663,19
95,Apr 10 2017 01: +0,2.931,18
96,Apr 11 2017 01: +0,2.899,19
97,Apr 12 2017 01: +0,3.135,17
98,Apr 13 2017 01: +0,3.001,27
99,Apr 14 2017 01: +0,2.458,23
100,Apr 15 2017 01: +0,2.479,21
101,Apr 16 2017 01: +0,2.755,31
102,Apr 17 2017 01: +0,2.701,21
103,Apr 18 2017 01: +0,2.685,19
104,Apr 19 2017 01: +0,2.659,20
105,Apr 20 2017 01: +0,2.625,11
106,Apr 21 2017 01: +0,2.532,19
107,Apr 22 2017 01: +0,2.525,27
108,Apr 23 2017 01: +0,2.532,17
109,Apr 24 2017 01: +0,2.826,14
110,Apr 25 2017 01: +0,2.809,16
111,Apr 26 2017 01: +0,2.484,13
112,Apr 27 2017 01: +0,2.403,19
113,Apr 28 2017 01: +0,2.564,14
114,Apr 29 2017 01: +0,2.516,20
115,Apr 30 2017 01: +0,2.29,19
116,May 01 2017 01: +0,2.201,16
117,May 02 2017 01: +0,2.736,19
118,May 03 2017 01: +0,2.565,12
119,May 04 2017 01: +0,2.578,15
120,May 05 2017 01: +0,2.062,9
121,May 06 2017 01: +0,1.889,15
122,May 07 2017 01: +0,1.994,11
123,May 08 2017 01: +0,1.966,11
124,May 09 2017 01: +0,2.092,11
125,May 10 2017 01: +0,2.158,14
126,May 11 2017 01: +0,2.06,9
127,May 12 2017 01: +0,2.028,10
128,May 13 2017 01: +0,2.079,10
129,May 14 2017 01: +0,1.933,18
130,May 15 2017 01: +0,1.795,7
131,May 16 2017 01: +0,1.867,16
132,May 17 2017 01: +0,1.997,17
133,May 18 2017 01: +0,1.802,17
134,May 19 2017 01: +0,1.936,20
135,May 20 2017 01: +0,2.064,8
136,May 21 2017 01: +0,2.045,15
137,May 22 2017 01: +0,2.097,15
138,May 23 2017 01: +0,2.044,15
139,May 24 2017 01: +0,2.053,12
140,May 25 2017 01: +0,1.695,16
141,May 26 2017 01: +0,1.642,15
142,May 27 2017 01: +0,1.874,13
143,May 28 2017 01: +0,1.716,14
144,May 29 2017 01: +0,1.887,16
145,May 30 2017 01: +0,1.762,21
146,May 31 2017 01: +0,1.98,13
147,Jun 01 2017 01: +0,1.86,12
148,Jun 02 2017 01: +0,2.18,20
149,Jun 03 2017 01: +0,2.177,15
150,Jun 04 2017 01: +0,2.625,18
151,Jun 05 2017 01: +0,2.284,18
152,Jun 06 2017 01: +0,2.461,11
153,Jun 07 2017 01: +0,2.419,12
154,Jun 08 2017 01: +0,2.339,13
155,Jun 09 2017 01: +0,2.59,23
156,Jun 10 2017 01: +0,2.718,29
157,Jun 11 2017 01: +0,3.03,26
158,Jun 12 2017 01: +0,3.011,15
159,Jun 13 2017 01: +0,2.568,11
160,Jun 14 2017 01: +0,2.872,10
161,Jun 15 2017 01: +0,2.95,21
162,Jun 16 2017 01: +0,2.46,22
163,Jun 17 2017 01: +0,3.174,15
164,Jun 18 2017 01: +0,3.466,16
165,Jun 19 2017 01: +0,2.915,16
166,Jun 20 2017 01: +0,2.881,13
167,Jun 21 2017 01: +0,2.551,14
168,Jun 22 2017 01: +0,2.288,13
169,Jun 23 2017 01: +0,2.198,22
170,Jun 24 2017 01: +0,1.944,20
171,Jun 25 2017 01: +0,2.014,17
172,Jun 26 2017 01: +0,2.092,25
173,Jun 27 2017 01: +0,2.094,8
174,Jun 28 2017 01: +0,2.332,15
175,Jun 29 2017 01: +0,2.289,14
176,Jun 30 2017 01: +0,2.403,18
177,Jul 01 2017 01: +0,2.478,13
178,Jul 02 2017 01: +0,2.374,12
179,Jul 03 2017 01: +0,2.229,21
180,Jul 04 2017 01: +0,2.315,20
181,Jul 05 2017 01: +0,2.462,17
182,Jul 06 2017 01: +0,2.348,15
183,Jul 07 2017 01: +0,2.15,12
184,Jul 08 2017 01: +0,2.383,17
185,Jul 09 2017 01: +0,2.412,17
186,Jul 10 2017 01: +0,2.634,15
187,Jul 11 2017 01: +0,2.608,16
188,Jul 12 2017 01: +0,2.917,10
189,Jul 13 2017 01: +0,2.683,19
