,time,price,volume
0,Sep 05 2019 01: +0,3.634,35
1,Sep 06 2019 01: +0,3.756,79
2,Sep 07 2019 01: +0,3.516,54
3,Sep 08 2019 01: +0,3.06,50
4,Sep 09 2019 01: +0,3.077,46
5,Sep 10 2019 01: +0,2.955,53
6,Sep 11 2019 01: +0,3.299,31
7,Sep 12 2019 01: +0,2.756,45
8,Sep 13 2019 01: +0,3.234,50
9,Sep 14 2019 01: +0,2.935,35
10,Sep 15 2019 01: +0,2.888,43
11,Sep 16 2019 01: +0,2.82,35
12,Sep 17 2019 01: +0,2.838,32
13,Sep 18 2019 01: +0,2.796,26
14,Sep 19 2019 01: +0,2.919,39
15,Sep 20 2019 01: +0,2.841,48
16,Sep 21 2019 01: +0,2.833,38
17,Sep 22 2019 01: +0,2.812,38
18,Sep 23 2019 01: +0,2.611,34
19,Sep 24 2019 01: +0,2.602,35
20,Sep 25 2019 01: +0,2.623,30
21,Sep 26 2019 01: +0,2.604,41
22,Sep 27 2019 01: +0,2.338,35
23,Sep 28 2019 01: +0,2.389,35
24,Sep 29 2019 01: +0,2.438,49
25,Sep 30 2019 01: +0,2.388,31
26,Oct 01 2019 01: +0,2.194,24
27,Oct 02 2019 01: +0,2.228,24
28,Oct 03 2019 01: +0,2.395,55
29,Oct 04 2019 01: +0,2.481,39
30,Oct 05 2019 01: +0,2.478,77
31,Oct 06 2019 01: +0,2.434,36
32,Oct 07 2019 01: +0,2.313,30
33,Oct 08 2019 01: +0,2.325,46
34,Oct 09 2019 01: +0,2.401,57
35,Oct 10 2019 01: +0,2.412,35
36,Oct 11 2019 01: +0,2.606,149
37,Oct 12 2019 01: +0,4.488,180
38,Oct 13 2019 01: +0,4.81,106
39,Oct 14 2019 01: +0,5.206,78
40,Oct 15 2019 01: +0,5.236,84
41,Oct 16 2019 01: +0,5.477,48
42,Oct 17 2019 01: +0,4.797,42
43,Oct 18 2019 01: +0,4.314,73
44,Oct 19 2019 01: +0,3.12,69
45,Oct 20 2019 01: +0,3.483,46
46,Oct 21 2019 01: +0,3.943,46
47,Oct 22 2019 01: +0,3.551,37
