,time,price,volume
0,Nov 28 2016 01: +0,26.606,1
1,Nov 29 2016 01: +0,34.008,1
2,Dec 01 2016 01: +0,17.338,8
3,Dec 02 2016 01: +0,15.27,9
4,Dec 03 2016 01: +0,16.787,7
5,Dec 04 2016 01: +0,15.109,7
6,Dec 05 2016 01: +0,14.963,7
7,Dec 06 2016 01: +0,15.72,4
8,Dec 07 2016 01: +0,16.461,9
9,Dec 08 2016 01: +0,13.218,7
10,Dec 09 2016 01: +0,14.297,9
11,Dec 10 2016 01: +0,14.505,4
12,Dec 11 2016 01: +0,13.439,11
13,Dec 12 2016 01: +0,13.539,13
14,Dec 13 2016 01: +0,12.834,8
15,Dec 14 2016 01: +0,13.232,5
16,Dec 15 2016 01: +0,13.371,4
17,Dec 16 2016 01: +0,14.317,8
18,Dec 17 2016 01: +0,14.962,11
19,Dec 18 2016 01: +0,13.412,7
20,Dec 19 2016 01: +0,15.977,5
21,Dec 20 2016 01: +0,14.284,7
22,Dec 21 2016 01: +0,14.2,3
23,Dec 22 2016 01: +0,13.799,9
24,Dec 23 2016 01: +0,13.886,9
25,Dec 24 2016 01: +0,14.597,10
26,Dec 25 2016 01: +0,15.649,7
27,Dec 26 2016 01: +0,13.403,12
28,Dec 27 2016 01: +0,13.891,8
29,Dec 28 2016 01: +0,16.76,3
30,Dec 29 2016 01: +0,16.84,5
31,Dec 30 2016 01: +0,12.966,9
32,Dec 31 2016 01: +0,13.417,5
33,Jan 01 2017 01: +0,13.517,12
34,Jan 02 2017 01: +0,13.4,8
35,Jan 03 2017 01: +0,13.927,8
36,Jan 04 2017 01: +0,14.627,7
37,Jan 05 2017 01: +0,13.699,12
38,Jan 06 2017 01: +0,13.951,8
39,Jan 07 2017 01: +0,15.79,5
40,Jan 08 2017 01: +0,14.017,8
41,Jan 09 2017 01: +0,14.586,10
42,Jan 10 2017 01: +0,15.725,5
43,Jan 11 2017 01: +0,12.715,7
44,Jan 12 2017 01: +0,14.614,17
45,Jan 13 2017 01: +0,12.991,5
46,Jan 14 2017 01: +0,13.748,8
47,Jan 15 2017 01: +0,13.65,12
48,Jan 16 2017 01: +0,14.978,8
49,Jan 17 2017 01: +0,14.895,6
50,Jan 18 2017 01: +0,15.549,4
51,Jan 19 2017 01: +0,14.028,9
52,Jan 20 2017 01: +0,13.749,5
53,Jan 21 2017 01: +0,13.27,9
54,Jan 22 2017 01: +0,14.209,5
55,Jan 23 2017 01: +0,13.197,6
56,Jan 24 2017 01: +0,13.969,9
57,Jan 25 2017 01: +0,12.298,9
58,Jan 26 2017 01: +0,11.943,6
59,Jan 27 2017 01: +0,13.552,10
60,Jan 28 2017 01: +0,13.753,15
61,Jan 29 2017 01: +0,15.143,12
62,Jan 30 2017 01: +0,12.804,3
63,Jan 31 2017 01: +0,13.103,7
64,Feb 01 2017 01: +0,13.788,9
65,Feb 02 2017 01: +0,14.06,12
66,Feb 03 2017 01: +0,14.461,14
67,Feb 04 2017 01: +0,15.631,12
68,Feb 05 2017 01: +0,15.506,11
69,Feb 06 2017 01: +0,17.098,11
70,Feb 07 2017 01: +0,15.714,6
71,Feb 08 2017 01: +0,16.294,6
72,Feb 09 2017 01: +0,17.626,8
73,Feb 10 2017 01: +0,16.463,7
74,Feb 11 2017 01: +0,14.236,15
75,Feb 12 2017 01: +0,15.473,13
76,Feb 13 2017 01: +0,15.364,7
77,Feb 14 2017 01: +0,14.612,12
78,Feb 15 2017 01: +0,14.966,10
79,Feb 16 2017 01: +0,14.322,7
80,Feb 17 2017 01: +0,15.163,14
81,Feb 18 2017 01: +0,14.022,9
82,Feb 19 2017 01: +0,14.858,14
83,Feb 20 2017 01: +0,13.753,9
84,Feb 21 2017 01: +0,13.165,11
85,Feb 22 2017 01: +0,14.677,10
86,Feb 23 2017 01: +0,13.147,12
87,Feb 24 2017 01: +0,15.74,10
88,Feb 25 2017 01: +0,15.754,10
89,Feb 26 2017 01: +0,15.677,12
90,Feb 27 2017 01: +0,14.561,4
91,Feb 28 2017 01: +0,13.464,12
92,Mar 01 2017 01: +0,14.608,12
93,Mar 02 2017 01: +0,15.399,16
94,Mar 03 2017 01: +0,15.309,6
95,Mar 04 2017 01: +0,16.046,3
96,Mar 05 2017 01: +0,16.159,8
97,Mar 06 2017 01: +0,16.031,5
98,Mar 07 2017 01: +0,15.678,8
99,Mar 08 2017 01: +0,16.264,8
100,Mar 09 2017 01: +0,16.177,12
101,Mar 10 2017 01: +0,16.737,5
102,Mar 11 2017 01: +0,16.951,9
103,Mar 12 2017 01: +0,16.075,14
104,Mar 13 2017 01: +0,17.419,12
105,Mar 14 2017 01: +0,18.834,8
106,Mar 15 2017 01: +0,24.033,5
107,Mar 16 2017 01: +0,19.009,6
108,Mar 17 2017 01: +0,20.837,8
109,Mar 18 2017 01: +0,22.356,4
110,Mar 19 2017 01: +0,21.139,7
111,Mar 20 2017 01: +0,20.592,9
112,Mar 21 2017 01: +0,20.273,9
113,Mar 22 2017 01: +0,18.49,4
114,Mar 23 2017 01: +0,17.644,8
115,Mar 24 2017 01: +0,18.367,9
116,Mar 25 2017 01: +0,17.704,6
117,Mar 26 2017 01: +0,19.305,14
118,Mar 27 2017 01: +0,21.49,2
119,Mar 28 2017 01: +0,17.2,12
120,Mar 29 2017 01: +0,15.805,10
121,Mar 30 2017 01: +0,14.329,6
122,Mar 31 2017 01: +0,14.679,8
123,Apr 01 2017 01: +0,16.704,7
124,Apr 02 2017 01: +0,18.611,7
125,Apr 03 2017 01: +0,17.487,5
126,Apr 04 2017 01: +0,17.127,8
127,Apr 05 2017 01: +0,17.007,3
128,Apr 06 2017 01: +0,17.266,3
129,Apr 07 2017 01: +0,18.05,11
130,Apr 08 2017 01: +0,16.93,13
131,Apr 09 2017 01: +0,17.883,10
132,Apr 10 2017 01: +0,17.769,8
133,Apr 11 2017 01: +0,17.884,6
134,Apr 12 2017 01: +0,17.453,4
135,Apr 13 2017 01: +0,18.592,8
136,Apr 14 2017 01: +0,19.116,3
137,Apr 15 2017 01: +0,19.889,5
138,Apr 16 2017 01: +0,20.021,4
139,Apr 17 2017 01: +0,20.007,12
140,Apr 18 2017 01: +0,19.405,6
141,Apr 19 2017 01: +0,19.787,6
142,Apr 20 2017 01: +0,19.508,11
143,Apr 21 2017 01: +0,22.643,10
144,Apr 22 2017 01: +0,23.066,7
145,Apr 23 2017 01: +0,21.326,7
146,Apr 24 2017 01: +0,21.329,8
147,Apr 25 2017 01: +0,22.469,7
148,Apr 26 2017 01: +0,19.674,5
149,Apr 27 2017 01: +0,20.983,12
150,Apr 28 2017 01: +0,24.504,6
151,Apr 29 2017 01: +0,23.338,4
152,Apr 30 2017 01: +0,19.276,6
153,May 01 2017 01: +0,19.987,10
154,May 02 2017 01: +0,20.199,9
155,May 03 2017 01: +0,24.127,3
156,May 04 2017 01: +0,22.801,4
157,May 05 2017 01: +0,21.088,4
158,May 06 2017 01: +0,20.312,5
159,May 07 2017 01: +0,19.568,7
160,May 08 2017 01: +0,22.652,6
161,May 09 2017 01: +0,21.474,6
162,May 10 2017 01: +0,19.686,5
163,May 11 2017 01: +0,21.779,8
164,May 12 2017 01: +0,22.492,6
165,May 13 2017 01: +0,19.994,10
166,May 14 2017 01: +0,19.614,3
167,May 15 2017 01: +0,21.426,11
168,May 16 2017 01: +0,20.724,7
169,May 17 2017 01: +0,19.407,11
170,May 18 2017 01: +0,22.591,5
171,May 19 2017 01: +0,19.743,3
172,May 20 2017 01: +0,22.433,6
173,May 21 2017 01: +0,19.544,7
174,May 22 2017 01: +0,21.902,4
175,May 23 2017 01: +0,22.218,5
176,May 24 2017 01: +0,20.55,3
177,May 25 2017 01: +0,19.696,8
178,May 26 2017 01: +0,20.243,5
179,May 27 2017 01: +0,20.296,9
180,May 28 2017 01: +0,20.74,9
181,May 29 2017 01: +0,20.181,7
182,May 30 2017 01: +0,20.43,10
183,May 31 2017 01: +0,19.586,8
184,Jun 01 2017 01: +0,18.415,10
185,Jun 02 2017 01: +0,20.164,8
186,Jun 03 2017 01: +0,21.963,11
187,Jun 04 2017 01: +0,22.838,8
188,Jun 05 2017 01: +0,22.524,7
189,Jun 06 2017 01: +0,23.164,5
190,Jun 07 2017 01: +0,23.49,6
191,Jun 08 2017 01: +0,24.55,7
192,Jun 09 2017 01: +0,25.412,6
193,Jun 10 2017 01: +0,26.857,6
194,Jun 11 2017 01: +0,22.124,6
195,Jun 12 2017 01: +0,23.9,3
196,Jun 13 2017 01: +0,22.849,7
197,Jun 14 2017 01: +0,25.318,3
198,Jun 15 2017 01: +0,24.196,6
199,Jun 16 2017 01: +0,23.164,3
200,Jun 17 2017 01: +0,24.05,7
201,Jun 18 2017 01: +0,25.805,4
202,Jun 19 2017 01: +0,26.375,6
203,Jun 20 2017 01: +0,27.424,11
204,Jun 21 2017 01: +0,28.061,4
205,Jun 22 2017 01: +0,23.791,10
206,Jun 23 2017 01: +0,23.943,13
207,Jun 24 2017 01: +0,23.768,7
208,Jun 25 2017 01: +0,26.41,9
209,Jun 26 2017 01: +0,24.259,4
210,Jun 27 2017 01: +0,23.946,4
211,Jun 28 2017 01: +0,22.932,6
212,Jun 29 2017 01: +0,23.119,8
213,Jun 30 2017 01: +0,23.372,7
214,Jul 01 2017 01: +0,23.471,10
215,Jul 02 2017 01: +0,22.361,7
216,Jul 03 2017 01: +0,23.694,3
217,Jul 04 2017 01: +0,22.31,10
218,Jul 05 2017 01: +0,23.275,6
219,Jul 06 2017 01: +0,25.066,8
220,Jul 07 2017 01: +0,26.153,5
221,Jul 08 2017 01: +0,24.479,5
