,time,price,volume
0,Mar 08 2019 01: +0,1.363,9
1,Mar 09 2019 01: +0,1.138,89
2,Mar 10 2019 01: +0,1.224,53
3,Mar 11 2019 01: +0,1.238,42
4,Mar 12 2019 01: +0,1.26,39
5,Mar 13 2019 01: +0,1.196,53
6,Mar 14 2019 01: +0,1.169,56
7,Mar 15 2019 01: +0,1.157,83
8,Mar 16 2019 01: +0,1.159,88
9,Mar 17 2019 01: +0,1.154,90
10,Mar 18 2019 01: +0,1.125,48
11,Mar 19 2019 01: +0,1.104,36
12,Mar 20 2019 01: +0,1.101,60
13,Mar 21 2019 01: +0,1.107,39
14,Mar 22 2019 01: +0,1.053,57
15,Mar 23 2019 01: +0,1.084,66
16,Mar 24 2019 01: +0,1.131,59
17,Mar 25 2019 01: +0,1.125,43
18,Mar 26 2019 01: +0,1.112,37
19,Mar 27 2019 01: +0,1.168,63
20,Mar 28 2019 01: +0,1.236,46
21,Mar 29 2019 01: +0,1.134,46
22,Mar 30 2019 01: +0,1.088,52
23,Mar 31 2019 01: +0,1.083,39
24,Apr 01 2019 01: +0,1.095,41
25,Apr 02 2019 01: +0,1.203,40
26,Apr 03 2019 01: +0,1.237,37
27,Apr 04 2019 01: +0,1.26,39
28,Apr 05 2019 01: +0,1.32,36
29,Apr 06 2019 01: +0,1.162,54
30,Apr 07 2019 01: +0,1.257,51
31,Apr 08 2019 01: +0,1.288,34
32,Apr 09 2019 01: +0,1.341,43
33,Apr 10 2019 01: +0,1.415,31
34,Apr 11 2019 01: +0,1.431,36
35,Apr 12 2019 01: +0,1.449,34
36,Apr 13 2019 01: +0,1.448,36
37,Apr 14 2019 01: +0,1.4,38
38,Apr 15 2019 01: +0,1.442,26
39,Apr 16 2019 01: +0,1.343,26
40,Apr 17 2019 01: +0,1.46,44
41,Apr 18 2019 01: +0,1.522,26
42,Apr 19 2019 01: +0,1.501,27
43,Apr 20 2019 01: +0,1.529,41
44,Apr 21 2019 01: +0,1.576,24
45,Apr 22 2019 01: +0,1.525,30
46,Apr 23 2019 01: +0,1.496,23
47,Apr 24 2019 01: +0,1.463,31
48,Apr 25 2019 01: +0,1.469,41
49,Apr 26 2019 01: +0,1.516,37
50,Apr 27 2019 01: +0,1.594,31
51,Apr 28 2019 01: +0,1.464,29
52,Apr 29 2019 01: +0,1.427,25
53,Apr 30 2019 01: +0,1.32,22
54,May 01 2019 01: +0,1.334,22
55,May 02 2019 01: +0,1.385,24
56,May 03 2019 01: +0,1.389,33
57,May 04 2019 01: +0,1.34,24
58,May 05 2019 01: +0,1.378,19
59,May 06 2019 01: +0,1.348,19
60,May 07 2019 01: +0,1.232,23
61,May 08 2019 01: +0,1.163,18
62,May 09 2019 01: +0,1.234,33
63,May 10 2019 01: +0,1.195,29
64,May 11 2019 01: +0,1.187,28
65,May 12 2019 01: +0,1.189,21
66,May 13 2019 01: +0,1.203,22
67,May 14 2019 01: +0,1.34,25
68,May 15 2019 01: +0,1.272,27
69,May 16 2019 01: +0,1.234,29
70,May 17 2019 01: +0,1.124,31
71,May 18 2019 01: +0,1.163,22
72,May 19 2019 01: +0,1.144,20
73,May 20 2019 01: +0,1.181,29
74,May 21 2019 01: +0,1.151,19
75,May 22 2019 01: +0,1.13,19
76,May 23 2019 01: +0,1.094,26
77,May 24 2019 01: +0,0.926,31
78,May 25 2019 01: +0,1.066,23
79,May 26 2019 01: +0,1.051,22
80,May 27 2019 01: +0,1.006,18
81,May 28 2019 01: +0,1.026,20
82,May 29 2019 01: +0,1.083,19
83,May 30 2019 01: +0,1.027,17
84,May 31 2019 01: +0,1.012,29
85,Jun 01 2019 01: +0,0.978,16
86,Jun 02 2019 01: +0,1.043,19
87,Jun 03 2019 01: +0,0.936,29
88,Jun 04 2019 01: +0,1.081,14
89,Jun 05 2019 01: +0,1.147,15
90,Jun 06 2019 01: +0,1.179,30
91,Jun 07 2019 01: +0,1.21,28
92,Jun 08 2019 01: +0,1.076,24
93,Jun 09 2019 01: +0,1.028,13
94,Jun 10 2019 01: +0,1.04,23
95,Jun 11 2019 01: +0,1.078,21
96,Jun 12 2019 01: +0,1.228,24
97,Jun 13 2019 01: +0,1.235,16
98,Jun 14 2019 01: +0,1.282,25
99,Jun 15 2019 01: +0,1.176,52
100,Jun 16 2019 01: +0,1.069,29
101,Jun 17 2019 01: +0,1.19,21
102,Jun 18 2019 01: +0,1.135,17
103,Jun 19 2019 01: +0,1.252,22
104,Jun 20 2019 01: +0,1.233,21
105,Jun 21 2019 01: +0,1.179,21
106,Jun 22 2019 01: +0,1.107,25
107,Jun 23 2019 01: +0,1.139,21
108,Jun 24 2019 01: +0,1.123,23
109,Jun 25 2019 01: +0,1.157,27
110,Jun 26 2019 01: +0,1.169,20
111,Jun 27 2019 01: +0,1.183,21
112,Jun 28 2019 01: +0,1.163,22
113,Jun 29 2019 01: +0,1.079,26
114,Jun 30 2019 01: +0,1.095,33
115,Jul 01 2019 01: +0,1.202,25
116,Jul 02 2019 01: +0,1.16,23
117,Jul 03 2019 01: +0,1.141,28
118,Jul 04 2019 01: +0,1.209,30
119,Jul 05 2019 01: +0,1.169,26
120,Jul 06 2019 01: +0,1.145,24
121,Jul 07 2019 01: +0,1.148,25
122,Jul 08 2019 01: +0,1.202,22
123,Jul 09 2019 01: +0,1.22,18
124,Jul 10 2019 01: +0,1.234,31
125,Jul 11 2019 01: +0,1.25,20
126,Jul 12 2019 01: +0,1.259,32
127,Jul 13 2019 01: +0,1.368,35
128,Jul 14 2019 01: +0,1.276,23
129,Jul 15 2019 01: +0,1.444,22
130,Jul 16 2019 01: +0,1.455,20
131,Jul 17 2019 01: +0,1.482,27
132,Jul 18 2019 01: +0,1.444,26
133,Jul 19 2019 01: +0,1.432,17
134,Jul 20 2019 01: +0,1.409,26
135,Jul 21 2019 01: +0,1.407,22
136,Jul 22 2019 01: +0,1.428,41
137,Jul 23 2019 01: +0,1.442,28
138,Jul 24 2019 01: +0,1.537,25
139,Jul 25 2019 01: +0,1.567,26
140,Jul 26 2019 01: +0,1.528,16
141,Jul 27 2019 01: +0,1.571,17
142,Jul 28 2019 01: +0,1.523,14
143,Jul 29 2019 01: +0,1.459,21
144,Jul 30 2019 01: +0,1.542,16
145,Jul 31 2019 01: +0,1.552,22
146,Aug 01 2019 01: +0,1.598,34
147,Aug 02 2019 01: +0,1.546,25
148,Aug 03 2019 01: +0,1.551,20
149,Aug 04 2019 01: +0,1.461,18
150,Aug 05 2019 01: +0,1.595,19
151,Aug 06 2019 01: +0,1.599,17
152,Aug 07 2019 01: +0,1.624,18
153,Aug 08 2019 01: +0,1.547,30
154,Aug 09 2019 01: +0,1.792,32
155,Aug 10 2019 01: +0,2.035,12
156,Aug 11 2019 01: +0,1.813,22
157,Aug 12 2019 01: +0,1.877,19
158,Aug 13 2019 01: +0,1.722,18
159,Aug 14 2019 01: +0,1.601,18
160,Aug 15 2019 01: +0,1.453,12
161,Aug 16 2019 01: +0,1.428,22
162,Aug 17 2019 01: +0,1.416,28
163,Aug 18 2019 01: +0,1.432,19
164,Aug 19 2019 01: +0,1.532,22
165,Aug 20 2019 01: +0,1.612,17
166,Aug 21 2019 01: +0,1.602,17
167,Aug 22 2019 01: +0,1.634,21
168,Aug 23 2019 01: +0,1.649,17
169,Aug 24 2019 01: +0,1.509,22
170,Aug 25 2019 01: +0,1.698,19
171,Aug 26 2019 01: +0,1.612,15
172,Aug 27 2019 01: +0,1.626,14
173,Aug 28 2019 01: +0,1.565,10
174,Aug 29 2019 01: +0,1.447,11
175,Aug 30 2019 01: +0,1.66,11
176,Aug 31 2019 01: +0,1.614,10
177,Sep 01 2019 01: +0,1.499,16
178,Sep 02 2019 01: +0,1.543,16
179,Sep 03 2019 01: +0,1.579,13
180,Sep 04 2019 01: +0,1.533,15
181,Sep 05 2019 01: +0,1.477,19
182,Sep 06 2019 01: +0,1.42,11
183,Sep 07 2019 01: +0,1.483,12
184,Sep 08 2019 01: +0,1.506,13
185,Sep 09 2019 01: +0,1.516,12
186,Sep 10 2019 01: +0,1.375,7
187,Sep 11 2019 01: +0,1.438,18
188,Sep 12 2019 01: +0,1.411,15
189,Sep 13 2019 01: +0,1.378,15
190,Sep 14 2019 01: +0,1.371,13
191,Sep 15 2019 01: +0,1.408,20
192,Sep 16 2019 01: +0,1.5,11
193,Sep 17 2019 01: +0,1.504,13
194,Sep 18 2019 01: +0,1.425,12
195,Sep 19 2019 01: +0,1.412,19
196,Sep 20 2019 01: +0,1.343,18
197,Sep 21 2019 01: +0,1.46,10
198,Sep 22 2019 01: +0,1.451,11
199,Sep 23 2019 01: +0,1.464,13
200,Sep 24 2019 01: +0,1.498,16
201,Sep 25 2019 01: +0,1.366,6
202,Sep 26 2019 01: +0,1.386,16
203,Sep 27 2019 01: +0,1.344,7
204,Sep 28 2019 01: +0,1.313,19
205,Sep 29 2019 01: +0,1.364,11
206,Sep 30 2019 01: +0,1.198,9
207,Oct 01 2019 01: +0,1.196,9
208,Oct 02 2019 01: +0,1.447,17
209,Oct 03 2019 01: +0,1.307,11
210,Oct 04 2019 01: +0,1.482,13
211,Oct 05 2019 01: +0,1.441,14
212,Oct 06 2019 01: +0,1.432,10
213,Oct 07 2019 01: +0,1.336,10
214,Oct 08 2019 01: +0,1.431,11
215,Oct 09 2019 01: +0,1.224,12
216,Oct 10 2019 01: +0,1.278,15
217,Oct 11 2019 01: +0,1.309,20
218,Oct 12 2019 01: +0,1.282,15
219,Oct 13 2019 01: +0,1.255,9
220,Oct 14 2019 01: +0,1.302,4
221,Oct 15 2019 01: +0,1.29,6
222,Oct 16 2019 01: +0,1.103,14
223,Oct 17 2019 01: +0,1.231,17
224,Oct 18 2019 01: +0,1.302,19
225,Oct 19 2019 01: +0,1.2,23
226,Oct 20 2019 01: +0,1.249,12
227,Oct 21 2019 01: +0,1.189,11
228,Oct 22 2019 01: +0,1.226,16
229,Oct 23 2019 01: +0,1.143,16
230,Oct 24 2019 01: +0,1.236,12
231,Oct 25 2019 01: +0,1.166,13
232,Oct 26 2019 01: +0,1.164,13
233,Oct 27 2019 01: +0,1.172,11
234,Oct 28 2019 01: +0,1.119,7
235,Oct 29 2019 01: +0,1.039,8
236,Oct 30 2019 01: +0,1.017,8
237,Oct 31 2019 01: +0,0.97,6
238,Nov 01 2019 01: +0,1.016,11
239,Nov 02 2019 01: +0,1.064,15
240,Nov 03 2019 01: +0,1.033,11
241,Nov 04 2019 01: +0,1.069,9
242,Nov 05 2019 01: +0,1.056,11
243,Nov 06 2019 01: +0,0.971,13
244,Nov 07 2019 01: +0,1.03,8
245,Nov 08 2019 01: +0,0.939,8
246,Nov 09 2019 01: +0,1.002,8
247,Nov 10 2019 01: +0,0.968,6
248,Nov 11 2019 01: +0,1.04,4
249,Nov 12 2019 01: +0,1.016,13
250,Nov 13 2019 01: +0,1.048,11
251,Nov 14 2019 01: +0,1.029,8
252,Nov 15 2019 01: +0,1.013,15
253,Nov 16 2019 01: +0,1.102,16
254,Nov 17 2019 01: +0,1.227,10
255,Nov 18 2019 01: +0,1.088,9
256,Nov 19 2019 01: +0,1.085,4
257,Nov 20 2019 01: +0,0.993,7
258,Nov 21 2019 01: +0,1.017,10
259,Nov 22 2019 01: +0,0.951,9
260,Nov 23 2019 01: +0,1.086,8
261,Nov 24 2019 01: +0,1.031,10
262,Nov 25 2019 01: +0,0.862,10
263,Nov 26 2019 01: +0,0.849,12
264,Nov 27 2019 01: +0,0.931,17
265,Nov 28 2019 01: +0,1.052,15
266,Nov 29 2019 01: +0,0.98,14
267,Nov 30 2019 01: +0,0.962,12
268,Dec 01 2019 01: +0,0.921,10
269,Dec 02 2019 01: +0,1.024,9
270,Dec 03 2019 01: +0,1.056,7
271,Dec 04 2019 01: +0,1.129,6
272,Dec 05 2019 01: +0,1.073,17
273,Dec 06 2019 01: +0,1.013,14
274,Dec 07 2019 01: +0,1.033,10
275,Dec 08 2019 01: +0,1.035,12
276,Dec 09 2019 01: +0,1.057,15
277,Dec 10 2019 01: +0,1.218,17
278,Dec 11 2019 01: +0,1.226,10
279,Dec 12 2019 01: +0,1.257,5
280,Dec 13 2019 01: +0,1.293,12
281,Dec 14 2019 01: +0,1.211,15
282,Dec 15 2019 01: +0,1.225,10
283,Dec 16 2019 01: +0,1.269,15
284,Dec 17 2019 01: +0,1.248,14
285,Dec 18 2019 01: +0,1.172,18
286,Dec 19 2019 01: +0,1.21,11
287,Dec 20 2019 01: +0,0.99,18
288,Dec 21 2019 01: +0,1.0,22
289,Dec 22 2019 01: +0,1.157,10
290,Dec 23 2019 01: +0,1.148,12
291,Dec 24 2019 01: +0,1.185,12
292,Dec 25 2019 01: +0,1.214,33
293,Dec 26 2019 01: +0,1.177,16
294,Dec 27 2019 01: +0,1.164,25
295,Dec 28 2019 01: +0,1.27,17
296,Dec 29 2019 01: +0,1.305,15
297,Dec 30 2019 01: +0,1.337,12
298,Dec 31 2019 01: +0,1.3,11
299,Jan 01 2020 01: +0,1.442,19
300,Jan 02 2020 01: +0,1.375,14
301,Jan 03 2020 01: +0,1.511,11
302,Jan 04 2020 01: +0,1.277,9
303,Jan 05 2020 01: +0,1.338,16
304,Jan 06 2020 01: +0,1.301,9
305,Jan 07 2020 01: +0,1.43,11
306,Jan 08 2020 01: +0,1.381,12
307,Jan 09 2020 01: +0,1.601,9
308,Jan 10 2020 01: +0,1.661,13
309,Jan 11 2020 01: +0,1.859,14
310,Jan 12 2020 01: +0,1.742,13
311,Jan 13 2020 01: +0,1.689,8
312,Jan 14 2020 01: +0,1.634,17
313,Jan 15 2020 01: +0,1.776,20
314,Jan 16 2020 01: +0,1.813,8
315,Jan 17 2020 01: +0,1.649,15
316,Jan 18 2020 01: +0,1.644,24
317,Jan 19 2020 01: +0,1.63,18
318,Jan 20 2020 01: +0,1.634,10
319,Jan 21 2020 01: +0,1.616,8
320,Jan 22 2020 01: +0,1.683,13
321,Jan 23 2020 01: +0,1.685,17
322,Jan 24 2020 01: +0,1.479,21
323,Jan 25 2020 01: +0,1.628,10
324,Jan 26 2020 01: +0,1.621,10
325,Jan 27 2020 01: +0,1.503,9
326,Jan 28 2020 01: +0,1.633,9
327,Jan 29 2020 01: +0,1.498,14
328,Jan 30 2020 01: +0,1.714,6
329,Jan 31 2020 01: +0,1.447,13
330,Feb 01 2020 01: +0,1.572,9
331,Feb 02 2020 01: +0,1.507,19
332,Feb 03 2020 01: +0,1.589,16
333,Feb 04 2020 01: +0,1.44,10
334,Feb 05 2020 01: +0,1.497,15
335,Feb 06 2020 01: +0,1.599,17
336,Feb 07 2020 01: +0,1.52,6
337,Feb 08 2020 01: +0,1.525,11
338,Feb 09 2020 01: +0,1.486,15
339,Feb 10 2020 01: +0,1.54,11
340,Feb 11 2020 01: +0,1.576,12
341,Feb 12 2020 01: +0,1.537,15
342,Feb 13 2020 01: +0,1.625,12
343,Feb 14 2020 01: +0,1.619,11
344,Feb 15 2020 01: +0,1.605,14
345,Feb 16 2020 01: +0,1.6,18
346,Feb 17 2020 01: +0,1.513,15
347,Feb 18 2020 01: +0,1.518,8
348,Feb 19 2020 01: +0,1.432,11
349,Feb 20 2020 01: +0,1.545,14
350,Feb 21 2020 01: +0,1.492,15
351,Feb 22 2020 01: +0,1.385,8
352,Feb 23 2020 01: +0,1.423,11
353,Feb 24 2020 01: +0,1.482,7
354,Feb 25 2020 01: +0,1.442,9
355,Feb 26 2020 01: +0,1.466,11
356,Feb 27 2020 01: +0,1.424,12
357,Feb 28 2020 01: +0,1.306,14
358,Feb 29 2020 01: +0,1.318,12
359,Mar 01 2020 01: +0,1.311,14
360,Mar 02 2020 01: +0,1.375,13
361,Mar 03 2020 01: +0,1.326,6
362,Mar 04 2020 01: +0,1.315,8
363,Mar 05 2020 01: +0,1.171,7
364,Mar 06 2020 01: +0,1.257,8
365,Mar 07 2020 01: +0,1.32,24
366,Mar 08 2020 01: +0,1.381,11
367,Mar 09 2020 01: +0,1.273,11
368,Mar 10 2020 01: +0,1.207,14
369,Mar 11 2020 01: +0,1.351,8
370,Mar 12 2020 01: +0,1.316,12
371,Mar 13 2020 01: +0,1.252,11
372,Mar 14 2020 01: +0,1.414,15
373,Mar 15 2020 01: +0,1.447,20
374,Mar 16 2020 01: +0,1.497,15
375,Mar 17 2020 01: +0,1.398,19
376,Mar 18 2020 01: +0,1.493,21
377,Mar 19 2020 01: +0,1.392,11
378,Mar 20 2020 01: +0,1.456,15
379,Mar 21 2020 01: +0,1.458,11
380,Mar 22 2020 01: +0,1.566,19
381,Mar 23 2020 01: +0,1.914,19
