,time,price,volume
0,Apr 27 2017 01: +0,1.595,103
1,Apr 28 2017 01: +0,1.545,158
2,Apr 29 2017 01: +0,1.684,169
3,Apr 30 2017 01: +0,1.846,102
4,May 01 2017 01: +0,1.743,97
5,May 02 2017 01: +0,1.571,74
6,May 03 2017 01: +0,1.53,99
7,May 04 2017 01: +0,1.445,109
8,May 05 2017 01: +0,1.472,115
9,May 06 2017 01: +0,1.684,138
10,May 07 2017 01: +0,1.949,123
11,May 08 2017 01: +0,2.072,58
12,May 09 2017 01: +0,2.123,81
13,May 10 2017 01: +0,2.204,61
14,May 11 2017 01: +0,2.082,88
15,May 12 2017 01: +0,2.21,88
16,May 13 2017 01: +0,2.236,103
17,May 14 2017 01: +0,2.25,96
18,May 15 2017 01: +0,2.379,70
19,May 16 2017 01: +0,2.44,56
20,May 17 2017 01: +0,2.456,53
21,May 18 2017 01: +0,2.394,56
22,May 19 2017 01: +0,2.521,74
23,May 20 2017 01: +0,2.477,85
24,May 21 2017 01: +0,2.597,66
25,May 22 2017 01: +0,3.018,58
26,May 23 2017 01: +0,3.07,36
27,May 24 2017 01: +0,2.494,53
28,May 25 2017 01: +0,2.929,58
29,May 26 2017 01: +0,3.061,79
30,May 27 2017 01: +0,2.906,58
31,May 28 2017 01: +0,2.695,59
32,May 29 2017 01: +0,2.768,57
33,May 30 2017 01: +0,2.74,55
34,May 31 2017 01: +0,2.769,52
35,Jun 01 2017 01: +0,2.798,59
36,Jun 02 2017 01: +0,2.849,75
37,Jun 03 2017 01: +0,3.045,67
38,Jun 04 2017 01: +0,3.474,71
39,Jun 05 2017 01: +0,3.494,51
40,Jun 06 2017 01: +0,3.583,55
41,Jun 07 2017 01: +0,3.706,59
42,Jun 08 2017 01: +0,3.89,46
43,Jun 09 2017 01: +0,3.546,52
44,Jun 10 2017 01: +0,3.677,62
45,Jun 11 2017 01: +0,3.766,50
46,Jun 12 2017 01: +0,3.866,52
47,Jun 13 2017 01: +0,3.59,41
48,Jun 14 2017 01: +0,3.519,37
49,Jun 15 2017 01: +0,3.476,47
50,Jun 16 2017 01: +0,3.418,49
51,Jun 17 2017 01: +0,3.703,48
52,Jun 18 2017 01: +0,3.825,46
53,Jun 19 2017 01: +0,3.926,51
54,Jun 20 2017 01: +0,3.889,28
55,Jun 21 2017 01: +0,3.766,39
56,Jun 22 2017 01: +0,3.453,44
57,Jun 23 2017 01: +0,3.212,48
58,Jun 24 2017 01: +0,3.274,50
59,Jun 25 2017 01: +0,3.166,46
60,Jun 26 2017 01: +0,3.589,45
61,Jun 27 2017 01: +0,3.609,44
62,Jun 28 2017 01: +0,3.757,39
63,Jun 29 2017 01: +0,3.585,35
64,Jun 30 2017 01: +0,3.452,44
65,Jul 01 2017 01: +0,3.427,36
66,Jul 02 2017 01: +0,3.414,44
67,Jul 03 2017 01: +0,3.533,42
