,time,price,volume
0,May 15 2020 01: +0,2.566,706
1,May 16 2020 01: +0,2.762,513
2,May 17 2020 01: +0,2.47,349
3,May 18 2020 01: +0,2.452,304
4,May 19 2020 01: +0,2.396,332
5,May 20 2020 01: +0,2.406,272
6,May 21 2020 01: +0,2.101,349
7,May 22 2020 01: +0,1.826,384
8,May 23 2020 01: +0,2.294,335
9,May 24 2020 01: +0,2.63,248
10,May 25 2020 01: +0,2.585,204
11,May 26 2020 01: +0,2.42,224
12,May 27 2020 01: +0,2.377,227
13,May 28 2020 01: +0,2.504,722
14,May 29 2020 01: +0,3.739,1163
15,May 30 2020 01: +0,3.823,593
16,May 31 2020 01: +0,3.763,468
17,Jun 01 2020 01: +0,3.715,430
18,Jun 02 2020 01: +0,3.795,405
19,Jun 03 2020 01: +0,4.336,301
20,Jun 04 2020 01: +0,4.923,350
21,Jun 05 2020 01: +0,5.03,276
22,Jun 06 2020 01: +0,5.235,272
23,Jun 07 2020 01: +0,5.853,249
24,Jun 08 2020 01: +0,6.196,209
25,Jun 09 2020 01: +0,5.97,221
26,Jun 10 2020 01: +0,5.938,202
27,Jun 11 2020 01: +0,5.902,350
28,Jun 12 2020 01: +0,6.607,433
29,Jun 13 2020 01: +0,6.242,360
30,Jun 14 2020 01: +0,6.366,266
31,Jun 15 2020 01: +0,6.306,227
32,Jun 16 2020 01: +0,6.254,197
33,Jun 17 2020 01: +0,5.801,192
34,Jun 18 2020 01: +0,5.518,238
35,Jun 19 2020 01: +0,5.407,243
36,Jun 20 2020 01: +0,5.181,268
37,Jun 21 2020 01: +0,5.013,250
38,Jun 22 2020 01: +0,4.86,242
39,Jun 23 2020 01: +0,4.562,210
40,Jun 24 2020 01: +0,4.542,210
41,Jun 25 2020 01: +0,4.822,224
42,Jun 26 2020 01: +0,4.951,245
43,Jun 27 2020 01: +0,4.836,225
44,Jun 28 2020 01: +0,5.221,180
45,Jun 29 2020 01: +0,5.368,202
46,Jun 30 2020 01: +0,5.303,155
47,Jul 01 2020 01: +0,5.575,159
48,Jul 02 2020 01: +0,5.55,187
49,Jul 03 2020 01: +0,5.65,141
50,Jul 04 2020 01: +0,5.826,152
51,Jul 05 2020 01: +0,5.552,165
52,Jul 06 2020 01: +0,5.645,179
53,Jul 07 2020 01: +0,6.08,206
54,Jul 08 2020 01: +0,6.087,200
55,Jul 09 2020 01: +0,6.366,253
56,Jul 10 2020 01: +0,6.457,231
57,Jul 11 2020 01: +0,7.103,204
58,Jul 12 2020 01: +0,7.09,186
59,Jul 13 2020 01: +0,7.061,184
60,Jul 14 2020 01: +0,6.985,182
61,Jul 15 2020 01: +0,7.88,132
62,Jul 16 2020 01: +0,7.532,145
63,Jul 17 2020 01: +0,7.468,153
64,Jul 18 2020 01: +0,7.539,153
65,Jul 19 2020 01: +0,7.873,130
66,Jul 20 2020 01: +0,7.951,159
67,Jul 21 2020 01: +0,7.77,101
68,Jul 22 2020 01: +0,7.483,139
69,Jul 23 2020 01: +0,7.67,131
70,Jul 24 2020 01: +0,7.829,128
71,Jul 25 2020 01: +0,7.812,139
72,Jul 26 2020 01: +0,8.258,117
73,Jul 27 2020 01: +0,8.12,104
74,Jul 28 2020 01: +0,8.107,109
75,Jul 29 2020 01: +0,8.094,110
76,Jul 30 2020 01: +0,8.225,108
77,Jul 31 2020 01: +0,8.144,118
78,Aug 01 2020 01: +0,8.258,107
79,Aug 02 2020 01: +0,8.331,119
80,Aug 03 2020 01: +0,8.415,109
81,Aug 04 2020 01: +0,8.756,124
82,Aug 05 2020 01: +0,8.801,105
83,Aug 06 2020 01: +0,8.996,122
84,Aug 07 2020 01: +0,8.627,89
85,Aug 08 2020 01: +0,8.629,95
86,Aug 09 2020 01: +0,8.187,103
87,Aug 10 2020 01: +0,8.6,102
88,Aug 11 2020 01: +0,8.595,111
89,Aug 12 2020 01: +0,8.678,119
90,Aug 13 2020 01: +0,8.74,108
91,Aug 14 2020 01: +0,8.624,159
92,Aug 15 2020 01: +0,8.7,112
93,Aug 16 2020 01: +0,8.773,119
94,Aug 17 2020 01: +0,8.399,99
95,Aug 18 2020 01: +0,8.355,113
96,Aug 19 2020 01: +0,7.989,106
97,Aug 20 2020 01: +0,7.809,123
98,Aug 21 2020 01: +0,7.894,117
99,Aug 22 2020 01: +0,7.912,94
100,Aug 23 2020 01: +0,8.083,104
101,Aug 24 2020 01: +0,7.927,81
102,Aug 25 2020 01: +0,8.08,86
103,Aug 26 2020 01: +0,7.829,87
104,Aug 27 2020 01: +0,7.527,100
105,Aug 28 2020 01: +0,7.498,114
106,Aug 29 2020 01: +0,7.786,124
107,Aug 30 2020 01: +0,7.619,113
108,Aug 31 2020 01: +0,7.924,90
109,Sep 01 2020 01: +0,7.376,78
110,Sep 02 2020 01: +0,7.596,77
111,Sep 03 2020 01: +0,7.501,123
112,Sep 04 2020 01: +0,7.53,95
113,Sep 05 2020 01: +0,7.893,95
114,Sep 06 2020 01: +0,7.503,97
115,Sep 07 2020 01: +0,7.822,100
116,Sep 08 2020 01: +0,7.87,94
117,Sep 09 2020 01: +0,7.611,95
118,Sep 10 2020 01: +0,7.764,94
119,Sep 11 2020 01: +0,7.634,113
120,Sep 12 2020 01: +0,7.68,97
121,Sep 13 2020 01: +0,7.652,119
122,Sep 14 2020 01: +0,7.488,96
123,Sep 15 2020 01: +0,7.611,106
124,Sep 16 2020 01: +0,7.067,90
125,Sep 17 2020 01: +0,7.065,104
126,Sep 18 2020 01: +0,7.018,85
127,Sep 19 2020 01: +0,7.204,102
128,Sep 20 2020 01: +0,6.986,110
129,Sep 21 2020 01: +0,6.824,87
130,Sep 22 2020 01: +0,6.621,90
131,Sep 23 2020 01: +0,6.553,90
132,Sep 24 2020 01: +0,6.984,123
133,Sep 25 2020 01: +0,6.551,110
134,Sep 26 2020 01: +0,6.732,105
135,Sep 27 2020 01: +0,6.884,107
136,Sep 28 2020 01: +0,6.691,103
137,Sep 29 2020 01: +0,6.639,112
138,Sep 30 2020 01: +0,6.647,98
139,Oct 01 2020 01: +0,6.654,140
140,Oct 02 2020 01: +0,6.518,107
141,Oct 03 2020 01: +0,6.703,124
142,Oct 04 2020 01: +0,6.812,128
143,Oct 05 2020 01: +0,6.903,122
144,Oct 06 2020 01: +0,7.079,90
145,Oct 07 2020 01: +0,7.091,87
146,Oct 08 2020 01: +0,6.906,108
147,Oct 09 2020 01: +0,7.311,147
148,Oct 10 2020 01: +0,7.764,135
149,Oct 11 2020 01: +0,8.012,96
150,Oct 12 2020 01: +0,8.055,110
151,Oct 13 2020 01: +0,8.368,90
152,Oct 14 2020 01: +0,8.034,78
153,Oct 15 2020 01: +0,8.153,78
154,Oct 16 2020 01: +0,8.316,81
155,Oct 17 2020 01: +0,8.226,81
156,Oct 18 2020 01: +0,8.347,80
157,Oct 19 2020 01: +0,8.608,91
158,Oct 20 2020 01: +0,8.83,78
159,Oct 21 2020 01: +0,8.798,89
160,Oct 22 2020 01: +0,8.697,82
161,Oct 23 2020 01: +0,8.736,95
162,Oct 24 2020 01: +0,8.944,69
163,Oct 25 2020 01: +0,9.018,78
164,Oct 26 2020 01: +0,8.75,90
165,Oct 27 2020 01: +0,8.541,69
166,Oct 28 2020 01: +0,8.904,75
167,Oct 29 2020 01: +0,8.893,84
168,Oct 30 2020 01: +0,8.331,82
169,Oct 31 2020 01: +0,8.365,69
170,Nov 01 2020 01: +0,8.617,93
171,Nov 02 2020 01: +0,8.703,96
172,Nov 03 2020 01: +0,8.608,67
173,Nov 04 2020 01: +0,8.829,84
174,Nov 05 2020 01: +0,8.799,91
175,Nov 06 2020 01: +0,8.633,86
176,Nov 07 2020 01: +0,8.864,97
177,Nov 08 2020 01: +0,8.838,87
178,Nov 09 2020 01: +0,8.857,93
179,Nov 10 2020 01: +0,8.862,93
180,Nov 11 2020 01: +0,8.759,74
181,Nov 12 2020 01: +0,8.748,98
182,Nov 13 2020 01: +0,8.795,93
183,Nov 14 2020 01: +0,8.739,96
184,Nov 15 2020 01: +0,8.883,93
185,Nov 16 2020 01: +0,8.796,61
186,Nov 17 2020 01: +0,8.865,84
187,Nov 18 2020 01: +0,8.843,60
188,Nov 19 2020 01: +0,8.819,84
189,Nov 20 2020 01: +0,8.716,93
190,Nov 21 2020 01: +0,8.561,82
191,Nov 22 2020 01: +0,8.844,104
192,Nov 23 2020 01: +0,9.222,74
193,Nov 24 2020 01: +0,9.03,69
194,Nov 25 2020 01: +0,8.689,56
195,Nov 26 2020 01: +0,8.696,83
196,Nov 27 2020 01: +0,8.652,79
197,Nov 28 2020 01: +0,8.411,83
198,Nov 29 2020 01: +0,8.558,93
199,Nov 30 2020 01: +0,8.863,82
200,Dec 01 2020 01: +0,8.811,79
201,Dec 02 2020 01: +0,9.108,79
202,Dec 03 2020 01: +0,8.927,98
203,Dec 04 2020 01: +0,8.054,106
204,Dec 05 2020 01: +0,8.711,105
205,Dec 06 2020 01: +0,8.581,103
206,Dec 07 2020 01: +0,8.603,84
207,Dec 08 2020 01: +0,8.414,99
208,Dec 09 2020 01: +0,8.396,88
209,Dec 10 2020 01: +0,8.236,104
210,Dec 11 2020 01: +0,8.007,92
211,Dec 12 2020 01: +0,8.168,90
212,Dec 13 2020 01: +0,8.195,99
213,Dec 14 2020 01: +0,8.449,80
214,Dec 15 2020 01: +0,8.352,89
215,Dec 16 2020 01: +0,8.273,106
216,Dec 17 2020 01: +0,8.422,101
217,Dec 18 2020 01: +0,8.3,110
218,Dec 19 2020 01: +0,8.246,94
219,Dec 20 2020 01: +0,8.218,136
220,Dec 21 2020 01: +0,8.453,138
221,Dec 22 2020 01: +0,8.79,107
222,Dec 23 2020 01: +0,8.737,114
223,Dec 24 2020 01: +0,8.824,149
224,Dec 25 2020 01: +0,10.032,273
225,Dec 26 2020 01: +0,10.531,155
226,Dec 27 2020 01: +0,10.516,150
227,Dec 28 2020 01: +0,11.405,150
228,Dec 29 2020 01: +0,11.635,143
229,Dec 30 2020 01: +0,12.056,135
230,Dec 31 2020 01: +0,12.272,120
231,Jan 01 2021 01: +0,13.104,138
232,Jan 02 2021 01: +0,13.561,136
233,Jan 03 2021 01: +0,13.552,122
234,Jan 04 2021 01: +0,13.582,113
235,Jan 05 2021 01: +0,14.796,112
236,Jan 06 2021 01: +0,15.147,134
237,Jan 07 2021 01: +0,16.08,120
238,Jan 08 2021 01: +0,17.675,151
239,Jan 09 2021 01: +0,18.605,149
240,Jan 10 2021 01: +0,18.911,163
241,Jan 11 2021 01: +0,18.997,133
242,Jan 12 2021 01: +0,19.957,126
243,Jan 13 2021 01: +0,20.625,116
244,Jan 14 2021 01: +0,22.422,125
245,Jan 15 2021 01: +0,22.916,133
246,Jan 16 2021 01: +0,22.639,132
247,Jan 17 2021 01: +0,23.39,151
248,Jan 18 2021 01: +0,25.376,131
249,Jan 19 2021 01: +0,25.109,109
250,Jan 20 2021 01: +0,24.752,122
251,Jan 21 2021 01: +0,22.241,132
252,Jan 22 2021 01: +0,21.576,109
253,Jan 23 2021 01: +0,21.935,122
254,Jan 24 2021 01: +0,22.798,148
255,Jan 25 2021 01: +0,24.609,118
256,Jan 26 2021 01: +0,24.074,111
257,Jan 27 2021 01: +0,24.917,92
258,Jan 28 2021 01: +0,23.032,112
259,Jan 29 2021 01: +0,24.106,142
260,Jan 30 2021 01: +0,23.552,113
261,Jan 31 2021 01: +0,23.176,118
262,Feb 01 2021 01: +0,23.933,117
263,Feb 02 2021 01: +0,23.458,103
264,Feb 03 2021 01: +0,24.49,107
265,Feb 04 2021 01: +0,22.615,114
266,Feb 05 2021 01: +0,23.455,100
267,Feb 06 2021 01: +0,24.142,121
268,Feb 07 2021 01: +0,24.192,111
269,Feb 08 2021 01: +0,24.726,117
270,Feb 09 2021 01: +0,23.969,113
271,Feb 10 2021 01: +0,24.202,100
272,Feb 11 2021 01: +0,25.156,106
273,Feb 12 2021 01: +0,24.479,114
274,Feb 13 2021 01: +0,23.671,143
275,Feb 14 2021 01: +0,24.813,126
276,Feb 15 2021 01: +0,23.683,112
277,Feb 16 2021 01: +0,23.852,106
278,Feb 17 2021 01: +0,24.581,113
279,Feb 18 2021 01: +0,24.692,142
280,Feb 19 2021 01: +0,24.757,130
281,Feb 20 2021 01: +0,25.225,111
282,Feb 21 2021 01: +0,25.762,148
283,Feb 22 2021 01: +0,25.201,133
284,Feb 23 2021 01: +0,24.183,104
285,Feb 24 2021 01: +0,24.379,117
286,Feb 25 2021 01: +0,25.44,93
287,Feb 26 2021 01: +0,25.417,91
288,Feb 27 2021 01: +0,25.285,89
289,Feb 28 2021 01: +0,23.603,84
290,Mar 01 2021 01: +0,24.406,91
291,Mar 02 2021 01: +0,24.021,78
292,Mar 03 2021 01: +0,23.239,70
293,Mar 04 2021 01: +0,23.452,86
294,Mar 05 2021 01: +0,21.746,87
295,Mar 06 2021 01: +0,22.433,85
296,Mar 07 2021 01: +0,23.159,84
297,Mar 08 2021 01: +0,23.01,74
298,Mar 09 2021 01: +0,23.168,76
299,Mar 10 2021 01: +0,22.368,73
300,Mar 11 2021 01: +0,22.74,70
301,Mar 12 2021 01: +0,22.196,87
302,Mar 13 2021 01: +0,22.025,83
303,Mar 14 2021 01: +0,22.453,93
304,Mar 15 2021 01: +0,23.276,81
305,Mar 16 2021 01: +0,20.431,77
306,Mar 17 2021 01: +0,22.69,77
307,Mar 18 2021 01: +0,21.696,92
308,Mar 19 2021 01: +0,20.984,75
309,Mar 20 2021 01: +0,20.099,80
310,Mar 21 2021 01: +0,20.043,88
311,Mar 22 2021 01: +0,19.661,61
312,Mar 23 2021 01: +0,20.302,67
313,Mar 24 2021 01: +0,19.612,63
314,Mar 25 2021 01: +0,20.468,81
315,Mar 26 2021 01: +0,20.79,63
316,Mar 27 2021 01: +0,20.693,61
317,Mar 28 2021 01: +0,20.126,71
318,Mar 29 2021 01: +0,20.044,61
319,Mar 30 2021 01: +0,20.541,54
320,Mar 31 2021 01: +0,20.042,65
321,Apr 01 2021 01: +0,20.789,59
322,Apr 02 2021 01: +0,21.222,91
323,Apr 03 2021 01: +0,20.512,66
324,Apr 04 2021 01: +0,21.208,79
325,Apr 05 2021 01: +0,21.477,73
326,Apr 06 2021 01: +0,22.1,80
327,Apr 07 2021 01: +0,21.128,66
328,Apr 08 2021 01: +0,20.539,50
329,Apr 09 2021 01: +0,21.374,75
330,Apr 10 2021 01: +0,20.953,73
331,Apr 11 2021 01: +0,21.346,68
332,Apr 12 2021 01: +0,20.817,57
333,Apr 13 2021 01: +0,21.116,61
334,Apr 14 2021 01: +0,21.007,7
335,Apr 14 2021 03: +0,19.976,2
336,Apr 14 2021 04: +0,21.847,3
337,Apr 14 2021 05: +0,22.0,1
338,Apr 14 2021 06: +0,22.05,2
339,Apr 14 2021 07: +0,21.5,2
340,Apr 14 2021 08: +0,21.96,1
341,Apr 14 2021 09: +0,21.449,2
342,Apr 14 2021 10: +0,21.419,2
343,Apr 14 2021 11: +0,20.837,1
344,Apr 14 2021 12: +0,20.624,2
345,Apr 14 2021 13: +0,19.837,1
346,Apr 14 2021 14: +0,18.813,2
347,Apr 14 2021 15: +0,19.241,5
348,Apr 14 2021 16: +0,20.886,6
349,Apr 14 2021 17: +0,21.911,4
350,Apr 14 2021 18: +0,17.846,1
351,Apr 14 2021 19: +0,20.636,6
352,Apr 14 2021 20: +0,22.332,7
353,Apr 14 2021 21: +0,22.888,3
354,Apr 14 2021 22: +0,21.82,2
355,Apr 14 2021 23: +0,21.836,3
356,Apr 15 2021 00: +0,22.454,2
357,Apr 15 2021 01: +0,21.903,3
358,Apr 15 2021 02: +0,19.996,1
