,time,price,volume
0,Dec 10 2020 01: +0,2.71,144
1,Dec 11 2020 01: +0,3.441,422
2,Dec 12 2020 01: +0,4.056,244
3,Dec 13 2020 01: +0,4.323,208
4,Dec 14 2020 01: +0,4.031,182
5,Dec 15 2020 01: +0,3.652,187
6,Dec 16 2020 01: +0,4.001,152
7,Dec 17 2020 01: +0,3.845,203
8,Dec 18 2020 01: +0,3.445,184
9,Dec 19 2020 01: +0,2.982,173
10,Dec 20 2020 01: +0,2.909,231
11,Dec 21 2020 01: +0,3.13,189
12,Dec 22 2020 01: +0,3.502,142
13,Dec 23 2020 01: +0,3.561,131
14,Dec 24 2020 01: +0,3.344,155
15,Dec 25 2020 01: +0,4.03,226
16,Dec 26 2020 01: +0,4.156,154
17,Dec 27 2020 01: +0,4.052,124
18,Dec 28 2020 01: +0,4.072,118
19,Dec 29 2020 01: +0,4.21,119
20,Dec 30 2020 01: +0,4.235,130
21,Dec 31 2020 01: +0,4.238,93
22,Jan 01 2021 01: +0,4.347,109
23,Jan 02 2021 01: +0,4.62,159
24,Jan 03 2021 01: +0,4.775,155
25,Jan 04 2021 01: +0,4.846,128
26,Jan 05 2021 01: +0,4.892,125
27,Jan 06 2021 01: +0,5.359,115
28,Jan 07 2021 01: +0,6.726,222
29,Jan 08 2021 01: +0,9.032,184
30,Jan 09 2021 01: +0,8.906,142
31,Jan 10 2021 01: +0,8.284,186
32,Jan 11 2021 01: +0,9.335,135
33,Jan 12 2021 01: +0,9.369,107
34,Jan 13 2021 01: +0,9.071,118
35,Jan 14 2021 01: +0,9.583,113
36,Jan 15 2021 01: +0,9.367,147
37,Jan 16 2021 01: +0,10.207,101
38,Jan 17 2021 01: +0,10.58,108
39,Jan 18 2021 01: +0,10.903,85
40,Jan 19 2021 01: +0,10.972,85
41,Jan 20 2021 01: +0,10.443,70
42,Jan 21 2021 01: +0,10.144,79
43,Jan 22 2021 01: +0,10.094,127
44,Jan 23 2021 01: +0,9.004,120
45,Jan 24 2021 01: +0,8.783,128
46,Jan 25 2021 01: +0,9.282,98
47,Jan 26 2021 01: +0,9.286,105
48,Jan 27 2021 01: +0,8.552,87
49,Jan 28 2021 01: +0,8.116,124
50,Jan 29 2021 01: +0,8.895,158
51,Jan 30 2021 01: +0,9.242,96
52,Jan 31 2021 01: +0,9.286,118
53,Feb 01 2021 01: +0,9.794,124
54,Feb 02 2021 01: +0,9.762,75
55,Feb 03 2021 01: +0,9.689,78
56,Feb 04 2021 01: +0,9.871,91
57,Feb 05 2021 01: +0,9.739,94
58,Feb 06 2021 01: +0,10.004,84
59,Feb 07 2021 01: +0,10.256,77
60,Feb 08 2021 01: +0,10.158,73
61,Feb 09 2021 01: +0,9.764,61
62,Feb 10 2021 01: +0,10.063,70
63,Feb 11 2021 01: +0,9.674,87
64,Feb 12 2021 01: +0,9.38,91
65,Feb 13 2021 01: +0,9.99,85
66,Feb 14 2021 01: +0,9.641,72
67,Feb 15 2021 01: +0,10.034,101
68,Feb 16 2021 01: +0,9.891,63
69,Feb 17 2021 01: +0,9.322,75
70,Feb 18 2021 01: +0,9.471,92
71,Feb 19 2021 01: +0,10.573,182
72,Feb 20 2021 01: +0,10.768,142
73,Feb 21 2021 01: +0,10.503,105
74,Feb 22 2021 01: +0,10.136,79
75,Feb 23 2021 01: +0,10.592,84
76,Feb 24 2021 01: +0,10.381,74
77,Feb 25 2021 01: +0,10.716,93
78,Feb 26 2021 01: +0,11.034,90
79,Feb 27 2021 01: +0,11.172,79
80,Feb 28 2021 01: +0,10.913,56
81,Mar 01 2021 01: +0,10.861,79
82,Mar 02 2021 01: +0,10.619,51
83,Mar 03 2021 01: +0,10.366,52
84,Mar 04 2021 01: +0,10.846,61
85,Mar 05 2021 01: +0,10.127,80
86,Mar 06 2021 01: +0,11.281,77
87,Mar 07 2021 01: +0,10.988,73
88,Mar 08 2021 01: +0,10.772,53
89,Mar 09 2021 01: +0,11.174,46
90,Mar 10 2021 01: +0,11.338,68
91,Mar 11 2021 01: +0,11.161,48
92,Mar 12 2021 01: +0,10.947,54
93,Mar 13 2021 01: +0,10.988,58
94,Mar 14 2021 01: +0,10.872,53
95,Mar 15 2021 01: +0,10.952,37
96,Mar 16 2021 01: +0,10.896,51
97,Mar 17 2021 01: +0,10.457,49
98,Mar 18 2021 01: +0,10.746,57
99,Mar 19 2021 01: +0,11.124,87
100,Mar 20 2021 01: +0,10.957,61
101,Mar 21 2021 01: +0,11.045,57
102,Mar 22 2021 01: +0,10.517,39
103,Mar 23 2021 01: +0,10.87,54
104,Mar 24 2021 01: +0,10.852,54
105,Mar 25 2021 01: +0,10.403,71
106,Mar 26 2021 01: +0,11.193,82
107,Mar 27 2021 01: +0,10.916,75
108,Mar 28 2021 01: +0,11.181,47
109,Mar 29 2021 01: +0,11.234,46
110,Mar 30 2021 01: +0,11.458,42
111,Mar 31 2021 01: +0,10.199,43
112,Apr 01 2021 01: +0,11.151,52
113,Apr 02 2021 01: +0,11.19,46
114,Apr 03 2021 01: +0,11.243,53
115,Apr 04 2021 01: +0,11.435,77
116,Apr 05 2021 01: +0,11.91,52
117,Apr 06 2021 01: +0,11.719,52
118,Apr 07 2021 01: +0,11.735,43
119,Apr 08 2021 01: +0,11.229,61
120,Apr 09 2021 01: +0,10.473,62
121,Apr 10 2021 01: +0,11.277,47
122,Apr 11 2021 01: +0,10.086,58
123,Apr 12 2021 01: +0,10.191,58
124,Apr 13 2021 01: +0,9.871,32
125,Apr 14 2021 01: +0,9.797,6
126,Apr 14 2021 03: +0,10.036,2
127,Apr 14 2021 04: +0,10.076,2
