,time,price,volume
0,May 03 2018 01: +0,1.789,9
1,May 04 2018 01: +0,1.051,26
2,May 05 2018 01: +0,1.089,25
3,May 06 2018 01: +0,1.136,23
4,May 07 2018 01: +0,1.09,15
5,May 08 2018 01: +0,1.088,14
6,May 09 2018 01: +0,1.108,19
7,May 10 2018 01: +0,0.964,18
8,May 11 2018 01: +0,1.089,22
9,May 12 2018 01: +0,1.222,22
10,May 13 2018 01: +0,1.178,10
11,May 14 2018 01: +0,1.154,11
12,May 15 2018 01: +0,1.186,20
13,May 16 2018 01: +0,1.045,9
14,May 17 2018 01: +0,1.012,15
15,May 18 2018 01: +0,1.072,14
16,May 19 2018 01: +0,1.144,12
17,May 20 2018 01: +0,1.055,12
18,May 21 2018 01: +0,0.969,9
19,May 22 2018 01: +0,0.957,13
20,May 23 2018 01: +0,1.013,7
21,May 24 2018 01: +0,0.998,8
22,May 25 2018 01: +0,0.936,19
23,May 26 2018 01: +0,1.023,13
24,May 27 2018 01: +0,0.945,12
25,May 28 2018 01: +0,1.003,11
26,May 29 2018 01: +0,0.944,9
27,May 30 2018 01: +0,0.863,7
28,May 31 2018 01: +0,0.943,12
29,Jun 01 2018 01: +0,0.887,14
30,Jun 02 2018 01: +0,0.925,8
31,Jun 03 2018 01: +0,0.959,9
32,Jun 04 2018 01: +0,0.969,11
33,Jun 05 2018 01: +0,1.02,4
34,Jun 06 2018 01: +0,0.925,12
35,Jun 07 2018 01: +0,0.947,11
36,Jun 08 2018 01: +0,0.994,24
37,Jun 09 2018 01: +0,1.009,12
38,Jun 10 2018 01: +0,1.048,17
39,Jun 11 2018 01: +0,1.068,14
40,Jun 12 2018 01: +0,1.089,9
41,Jun 13 2018 01: +0,1.093,10
42,Jun 14 2018 01: +0,0.991,12
43,Jun 15 2018 01: +0,1.085,12
44,Jun 16 2018 01: +0,1.123,15
45,Jun 17 2018 01: +0,1.093,12
46,Jun 18 2018 01: +0,1.005,7
47,Jun 19 2018 01: +0,1.147,5
48,Jun 20 2018 01: +0,1.013,5
49,Jun 21 2018 01: +0,1.04,13
50,Jun 22 2018 01: +0,0.966,10
51,Jun 23 2018 01: +0,0.974,18
52,Jun 24 2018 01: +0,0.924,10
53,Jun 25 2018 01: +0,0.922,17
54,Jun 26 2018 01: +0,0.967,11
55,Jun 27 2018 01: +0,1.013,14
56,Jun 28 2018 01: +0,1.056,10
57,Jun 29 2018 01: +0,1.056,10
58,Jun 30 2018 01: +0,0.982,11
59,Jul 01 2018 01: +0,1.03,8
60,Jul 02 2018 01: +0,1.058,13
61,Jul 03 2018 01: +0,1.084,10
62,Jul 04 2018 01: +0,1.026,12
63,Jul 05 2018 01: +0,1.0,11
64,Jul 06 2018 01: +0,0.998,10
65,Jul 07 2018 01: +0,1.156,14
66,Jul 08 2018 01: +0,1.143,11
67,Jul 09 2018 01: +0,1.141,9
68,Jul 10 2018 01: +0,1.1,8
69,Jul 11 2018 01: +0,1.112,12
70,Jul 12 2018 01: +0,1.132,16
71,Jul 13 2018 01: +0,1.097,13
72,Jul 14 2018 01: +0,1.16,8
73,Jul 15 2018 01: +0,1.182,13
74,Jul 16 2018 01: +0,1.247,8
75,Jul 17 2018 01: +0,1.218,11
76,Jul 18 2018 01: +0,1.265,9
77,Jul 19 2018 01: +0,1.13,10
78,Jul 20 2018 01: +0,1.255,8
79,Jul 21 2018 01: +0,1.231,10
80,Jul 22 2018 01: +0,1.125,11
81,Jul 23 2018 01: +0,1.239,7
82,Jul 24 2018 01: +0,1.279,4
83,Jul 25 2018 01: +0,1.189,14
84,Jul 26 2018 01: +0,1.304,10
85,Jul 27 2018 01: +0,1.173,8
86,Jul 28 2018 01: +0,1.205,5
87,Jul 29 2018 01: +0,1.083,14
88,Jul 30 2018 01: +0,1.126,3
89,Jul 31 2018 01: +0,1.17,6
90,Aug 01 2018 01: +0,1.052,9
91,Aug 02 2018 01: +0,1.098,11
92,Aug 03 2018 01: +0,1.01,8
93,Aug 04 2018 01: +0,1.098,9
94,Aug 05 2018 01: +0,1.183,15
95,Aug 06 2018 01: +0,1.163,6
96,Aug 07 2018 01: +0,1.118,8
97,Aug 08 2018 01: +0,1.005,13
98,Aug 09 2018 01: +0,1.17,8
99,Aug 10 2018 01: +0,1.023,5
100,Aug 11 2018 01: +0,1.06,9
