,time,price,volume
0,Feb 11 2021 01: +0,2.073,94
1,Feb 12 2021 01: +0,1.957,126
2,Feb 13 2021 01: +0,1.951,115
3,Feb 14 2021 01: +0,1.755,134
4,Feb 15 2021 01: +0,1.627,125
5,Feb 16 2021 01: +0,1.705,82
6,Feb 17 2021 01: +0,1.686,65
7,Feb 18 2021 01: +0,1.624,60
8,Feb 19 2021 01: +0,1.598,88
9,Feb 20 2021 01: +0,1.515,70
10,Feb 21 2021 01: +0,1.576,65
11,Feb 22 2021 01: +0,1.538,51
12,Feb 23 2021 01: +0,1.497,68
13,Feb 24 2021 01: +0,1.476,55
14,Feb 25 2021 01: +0,1.301,64
15,Feb 26 2021 01: +0,1.323,104
16,Feb 27 2021 01: +0,1.395,79
17,Feb 28 2021 01: +0,1.306,107
18,Mar 01 2021 01: +0,1.317,67
19,Mar 02 2021 01: +0,1.166,95
20,Mar 03 2021 01: +0,1.229,75
21,Mar 04 2021 01: +0,1.304,72
22,Mar 05 2021 01: +0,1.201,90
23,Mar 06 2021 01: +0,1.157,88
24,Mar 07 2021 01: +0,1.252,96
25,Mar 08 2021 01: +0,1.23,59
26,Mar 09 2021 01: +0,1.229,78
27,Mar 10 2021 01: +0,1.243,51
28,Mar 11 2021 01: +0,1.26,59
29,Mar 12 2021 01: +0,1.071,76
30,Mar 13 2021 01: +0,1.182,64
31,Mar 14 2021 01: +0,1.16,58
32,Mar 15 2021 01: +0,1.198,56
33,Mar 16 2021 01: +0,1.146,55
34,Mar 17 2021 01: +0,1.118,53
35,Mar 18 2021 01: +0,1.063,61
36,Mar 19 2021 01: +0,0.916,85
37,Mar 20 2021 01: +0,0.97,53
38,Mar 21 2021 01: +0,1.022,61
39,Mar 22 2021 01: +0,1.021,42
40,Mar 23 2021 01: +0,1.016,46
41,Mar 24 2021 01: +0,0.991,58
42,Mar 25 2021 01: +0,0.944,39
43,Mar 26 2021 01: +0,0.926,60
44,Mar 27 2021 01: +0,0.94,61
45,Mar 28 2021 01: +0,1.001,45
46,Mar 29 2021 01: +0,0.891,51
47,Mar 30 2021 01: +0,1.019,42
48,Mar 31 2021 01: +0,1.042,32
49,Apr 01 2021 01: +0,0.993,62
50,Apr 02 2021 01: +0,1.11,49
51,Apr 03 2021 01: +0,1.067,56
52,Apr 04 2021 01: +0,1.129,55
53,Apr 05 2021 01: +0,1.093,45
54,Apr 06 2021 01: +0,1.084,42
55,Apr 07 2021 01: +0,1.086,44
