,time,price,volume
0,Aug 01 2019 01: +0,1.119,54
1,Aug 02 2019 01: +0,1.042,167
2,Aug 03 2019 01: +0,1.013,117
3,Aug 04 2019 01: +0,1.002,112
4,Aug 05 2019 01: +0,0.999,122
5,Aug 06 2019 01: +0,1.008,137
6,Aug 07 2019 01: +0,0.939,161
7,Aug 08 2019 01: +0,0.892,81
8,Aug 09 2019 01: +0,0.848,179
9,Aug 10 2019 01: +0,0.813,168
10,Aug 11 2019 01: +0,0.817,100
11,Aug 12 2019 01: +0,0.838,73
12,Aug 13 2019 01: +0,0.919,74
13,Aug 14 2019 01: +0,0.877,71
14,Aug 15 2019 01: +0,0.911,173
15,Aug 16 2019 01: +0,0.868,224
16,Aug 17 2019 01: +0,0.858,162
17,Aug 18 2019 01: +0,0.932,98
18,Aug 19 2019 01: +0,0.908,87
19,Aug 20 2019 01: +0,1.004,127
20,Aug 21 2019 01: +0,1.03,76
21,Aug 22 2019 01: +0,0.992,69
22,Aug 23 2019 01: +0,0.924,64
23,Aug 24 2019 01: +0,0.914,88
24,Aug 25 2019 01: +0,0.857,62
25,Aug 26 2019 01: +0,0.896,72
26,Aug 27 2019 01: +0,0.82,64
27,Aug 28 2019 01: +0,0.81,49
28,Aug 29 2019 01: +0,0.804,52
29,Aug 30 2019 01: +0,0.776,52
30,Aug 31 2019 01: +0,0.769,72
31,Sep 01 2019 01: +0,0.748,58
32,Sep 02 2019 01: +0,0.725,70
33,Sep 03 2019 01: +0,0.767,58
34,Sep 04 2019 01: +0,0.779,42
35,Sep 05 2019 01: +0,0.766,57
36,Sep 06 2019 01: +0,0.72,55
37,Sep 07 2019 01: +0,0.74,62
38,Sep 08 2019 01: +0,0.74,60
39,Sep 09 2019 01: +0,0.753,63
40,Sep 10 2019 01: +0,0.72,44
41,Sep 11 2019 01: +0,0.718,47
42,Sep 12 2019 01: +0,0.721,50
43,Sep 13 2019 01: +0,0.65,57
44,Sep 14 2019 01: +0,0.683,91
45,Sep 15 2019 01: +0,0.687,57
46,Sep 16 2019 01: +0,0.67,48
47,Sep 17 2019 01: +0,0.668,41
48,Sep 18 2019 01: +0,0.615,52
49,Sep 19 2019 01: +0,0.606,47
50,Sep 20 2019 01: +0,0.596,84
51,Sep 21 2019 01: +0,0.623,106
52,Sep 22 2019 01: +0,0.644,93
