,time,price,volume
0,Feb 08 2018 01: +0,1.262,10
1,Feb 09 2018 01: +0,1.174,61
2,Feb 10 2018 01: +0,1.19,37
3,Feb 11 2018 01: +0,1.203,42
4,Feb 12 2018 01: +0,1.155,28
5,Feb 13 2018 01: +0,1.2,36
6,Feb 14 2018 01: +0,1.235,30
7,Feb 15 2018 01: +0,1.136,27
8,Feb 16 2018 01: +0,0.981,63
9,Feb 17 2018 01: +0,1.037,32
10,Feb 18 2018 01: +0,1.059,40
11,Feb 19 2018 01: +0,1.098,25
12,Feb 20 2018 01: +0,1.177,25
13,Feb 21 2018 01: +0,1.104,25
14,Feb 22 2018 01: +0,1.159,29
15,Feb 23 2018 01: +0,1.085,23
16,Feb 24 2018 01: +0,1.154,36
17,Feb 25 2018 01: +0,1.028,27
18,Feb 26 2018 01: +0,1.152,24
19,Feb 27 2018 01: +0,1.171,22
20,Feb 28 2018 01: +0,1.139,19
21,Mar 01 2018 01: +0,1.164,24
22,Mar 02 2018 01: +0,1.11,22
23,Mar 03 2018 01: +0,1.16,27
24,Mar 04 2018 01: +0,1.246,25
25,Mar 05 2018 01: +0,1.171,21
26,Mar 06 2018 01: +0,1.229,21
27,Mar 07 2018 01: +0,1.142,21
28,Mar 08 2018 01: +0,1.206,24
29,Mar 09 2018 01: +0,1.18,29
30,Mar 10 2018 01: +0,1.207,24
31,Mar 11 2018 01: +0,1.069,21
32,Mar 12 2018 01: +0,1.137,22
33,Mar 13 2018 01: +0,1.2,19
34,Mar 14 2018 01: +0,1.289,18
35,Mar 15 2018 01: +0,1.165,15
36,Mar 16 2018 01: +0,1.15,19
37,Mar 17 2018 01: +0,1.173,22
38,Mar 18 2018 01: +0,1.215,22
39,Mar 19 2018 01: +0,1.152,20
40,Mar 20 2018 01: +0,1.194,19
41,Mar 21 2018 01: +0,1.242,15
42,Mar 22 2018 01: +0,1.292,10
43,Mar 23 2018 01: +0,1.121,19
44,Mar 24 2018 01: +0,1.18,24
45,Mar 25 2018 01: +0,1.166,20
