,time,price,volume
0,Nov 05 2020 01: +0,2.533,7
1,Nov 06 2020 01: +0,1.242,72
2,Nov 07 2020 01: +0,1.104,48
3,Nov 08 2020 01: +0,1.092,44
4,Nov 09 2020 01: +0,1.008,46
5,Nov 10 2020 01: +0,1.05,49
6,Nov 11 2020 01: +0,1.082,51
7,Nov 12 2020 01: +0,0.982,47
8,Nov 13 2020 01: +0,1.007,57
9,Nov 14 2020 01: +0,0.982,57
10,Nov 15 2020 01: +0,0.89,56
11,Nov 16 2020 01: +0,0.915,41
12,Nov 17 2020 01: +0,0.934,37
13,Nov 18 2020 01: +0,0.888,37
14,Nov 19 2020 01: +0,0.851,44
15,Nov 20 2020 01: +0,0.807,62
16,Nov 21 2020 01: +0,0.807,50
17,Nov 22 2020 01: +0,0.805,57
18,Nov 23 2020 01: +0,0.811,45
19,Nov 24 2020 01: +0,0.74,40
20,Nov 25 2020 01: +0,0.71,49
21,Nov 26 2020 01: +0,0.663,42
22,Nov 27 2020 01: +0,0.656,62
23,Nov 28 2020 01: +0,0.721,60
24,Nov 29 2020 01: +0,0.763,63
25,Nov 30 2020 01: +0,0.732,45
26,Dec 01 2020 01: +0,0.739,46
27,Dec 02 2020 01: +0,0.729,31
28,Dec 03 2020 01: +0,0.683,62
29,Dec 04 2020 01: +0,0.587,67
30,Dec 05 2020 01: +0,0.7,67
31,Dec 06 2020 01: +0,0.715,51
32,Dec 07 2020 01: +0,0.675,56
33,Dec 08 2020 01: +0,0.665,42
34,Dec 09 2020 01: +0,0.666,35
35,Dec 10 2020 01: +0,0.651,44
36,Dec 11 2020 01: +0,0.672,64
37,Dec 12 2020 01: +0,0.692,52
38,Dec 13 2020 01: +0,0.65,45
39,Dec 14 2020 01: +0,0.673,65
40,Dec 15 2020 01: +0,0.666,46
41,Dec 16 2020 01: +0,0.73,55
42,Dec 17 2020 01: +0,0.765,53
43,Dec 18 2020 01: +0,0.818,48
44,Dec 19 2020 01: +0,0.765,56
45,Dec 20 2020 01: +0,0.764,72
46,Dec 21 2020 01: +0,0.782,67
47,Dec 22 2020 01: +0,0.849,51
48,Dec 23 2020 01: +0,0.773,56
49,Dec 24 2020 01: +0,0.865,59
50,Dec 25 2020 01: +0,0.899,63
51,Dec 26 2020 01: +0,0.964,70
52,Dec 27 2020 01: +0,1.025,51
53,Dec 28 2020 01: +0,1.036,53
54,Dec 29 2020 01: +0,1.142,46
55,Dec 30 2020 01: +0,1.199,50
56,Dec 31 2020 01: +0,1.115,49
57,Jan 01 2021 01: +0,1.149,58
58,Jan 02 2021 01: +0,1.039,69
59,Jan 03 2021 01: +0,1.201,60
60,Jan 04 2021 01: +0,1.174,50
61,Jan 05 2021 01: +0,1.207,71
62,Jan 06 2021 01: +0,1.266,64
63,Jan 07 2021 01: +0,1.395,74
64,Jan 08 2021 01: +0,1.635,112
65,Jan 09 2021 01: +0,1.931,114
66,Jan 10 2021 01: +0,2.389,109
67,Jan 11 2021 01: +0,2.603,71
68,Jan 12 2021 01: +0,2.179,80
69,Jan 13 2021 01: +0,2.328,68
70,Jan 14 2021 01: +0,2.307,92
71,Jan 15 2021 01: +0,2.286,105
72,Jan 16 2021 01: +0,2.468,77
73,Jan 17 2021 01: +0,2.445,92
74,Jan 18 2021 01: +0,2.628,89
75,Jan 19 2021 01: +0,2.548,73
76,Jan 20 2021 01: +0,2.938,72
77,Jan 21 2021 01: +0,2.873,69
78,Jan 22 2021 01: +0,2.562,68
79,Jan 23 2021 01: +0,3.038,78
80,Jan 24 2021 01: +0,3.07,69
81,Jan 25 2021 01: +0,3.01,66
82,Jan 26 2021 01: +0,3.002,57
83,Jan 27 2021 01: +0,3.17,55
84,Jan 28 2021 01: +0,2.855,62
85,Jan 29 2021 01: +0,2.536,64
86,Jan 30 2021 01: +0,2.901,76
87,Jan 31 2021 01: +0,2.827,60
88,Feb 01 2021 01: +0,2.849,66
89,Feb 02 2021 01: +0,2.804,47
90,Feb 03 2021 01: +0,2.65,58
91,Feb 04 2021 01: +0,2.747,73
92,Feb 05 2021 01: +0,2.745,66
93,Feb 06 2021 01: +0,2.634,61
94,Feb 07 2021 01: +0,2.709,57
95,Feb 08 2021 01: +0,2.64,57
96,Feb 09 2021 01: +0,2.628,64
97,Feb 10 2021 01: +0,2.914,39
98,Feb 11 2021 01: +0,2.765,81
99,Feb 12 2021 01: +0,2.6,79
100,Feb 13 2021 01: +0,2.736,78
101,Feb 14 2021 01: +0,2.831,76
102,Feb 15 2021 01: +0,2.922,60
103,Feb 16 2021 01: +0,3.136,63
104,Feb 17 2021 01: +0,2.895,34
105,Feb 18 2021 01: +0,2.909,49
106,Feb 19 2021 01: +0,2.987,63
107,Feb 20 2021 01: +0,2.952,55
108,Feb 21 2021 01: +0,3.071,48
109,Feb 22 2021 01: +0,3.019,47
110,Feb 23 2021 01: +0,2.921,48
111,Feb 24 2021 01: +0,3.066,47
112,Feb 25 2021 01: +0,3.092,38
113,Feb 26 2021 01: +0,3.022,52
114,Feb 27 2021 01: +0,3.006,45
115,Feb 28 2021 01: +0,3.042,60
116,Mar 01 2021 01: +0,2.828,44
117,Mar 02 2021 01: +0,2.895,40
118,Mar 03 2021 01: +0,2.862,29
119,Mar 04 2021 01: +0,2.932,37
120,Mar 05 2021 01: +0,2.859,36
121,Mar 06 2021 01: +0,2.824,39
122,Mar 07 2021 01: +0,2.741,47
123,Mar 08 2021 01: +0,2.875,34
124,Mar 09 2021 01: +0,2.799,40
125,Mar 10 2021 01: +0,2.59,27
126,Mar 11 2021 01: +0,2.65,34
127,Mar 12 2021 01: +0,2.588,42
128,Mar 13 2021 01: +0,2.735,40
129,Mar 14 2021 01: +0,2.753,37
130,Mar 15 2021 01: +0,2.681,35
131,Mar 16 2021 01: +0,2.265,38
132,Mar 17 2021 01: +0,2.299,36
133,Mar 18 2021 01: +0,2.694,44
134,Mar 19 2021 01: +0,2.1,33
135,Mar 20 2021 01: +0,2.068,34
136,Mar 21 2021 01: +0,2.104,24
137,Mar 22 2021 01: +0,2.047,30
138,Mar 23 2021 01: +0,2.055,21
139,Mar 24 2021 01: +0,2.131,26
140,Mar 25 2021 01: +0,2.066,24
141,Mar 26 2021 01: +0,2.023,25
142,Mar 27 2021 01: +0,2.06,28
143,Mar 28 2021 01: +0,2.022,24
144,Mar 29 2021 01: +0,1.96,30
145,Mar 30 2021 01: +0,2.042,34
146,Mar 31 2021 01: +0,2.102,26
147,Apr 01 2021 01: +0,2.09,28
148,Apr 02 2021 01: +0,2.162,44
149,Apr 03 2021 01: +0,2.141,25
150,Apr 04 2021 01: +0,2.051,30
151,Apr 05 2021 01: +0,2.134,39
152,Apr 06 2021 01: +0,2.134,29
153,Apr 07 2021 01: +0,2.038,39
154,Apr 08 2021 01: +0,2.041,29
155,Apr 09 2021 01: +0,2.219,36
156,Apr 10 2021 01: +0,1.852,31
157,Apr 11 2021 01: +0,1.901,30
158,Apr 12 2021 01: +0,2.009,28
159,Apr 13 2021 01: +0,1.958,21
160,Apr 14 2021 01: +0,2.11,3
161,Apr 14 2021 04: +0,1.297,2
162,Apr 14 2021 07: +0,1.923,1
163,Apr 14 2021 09: +0,2.123,2
164,Apr 14 2021 10: +0,2.215,2
165,Apr 14 2021 13: +0,2.207,1
166,Apr 14 2021 16: +0,2.2,1
167,Apr 14 2021 17: +0,2.16,1
168,Apr 14 2021 20: +0,2.162,1
169,Apr 14 2021 23: +0,1.734,1
