,time,price,volume
0,Jan 25 2019 01: +0,0.983,46
1,Jan 26 2019 01: +0,1.113,35
2,Jan 27 2019 01: +0,1.111,38
3,Jan 28 2019 01: +0,1.119,30
4,Jan 29 2019 01: +0,1.012,25
5,Jan 30 2019 01: +0,1.128,35
6,Jan 31 2019 01: +0,1.085,19
7,Feb 01 2019 01: +0,0.846,52
8,Feb 02 2019 01: +0,0.931,36
9,Feb 03 2019 01: +0,1.087,32
10,Feb 04 2019 01: +0,1.075,21
11,Feb 05 2019 01: +0,0.981,20
12,Feb 06 2019 01: +0,0.953,18
13,Feb 07 2019 01: +0,0.981,31
14,Feb 08 2019 01: +0,1.067,21
15,Feb 09 2019 01: +0,0.983,27
16,Feb 10 2019 01: +0,1.012,15
17,Feb 11 2019 01: +0,1.02,16
18,Feb 12 2019 01: +0,1.013,15
19,Feb 13 2019 01: +0,0.973,14
20,Feb 14 2019 01: +0,0.971,19
21,Feb 15 2019 01: +0,0.923,18
22,Feb 16 2019 01: +0,0.972,29
23,Feb 17 2019 01: +0,0.995,13
24,Feb 18 2019 01: +0,1.03,20
25,Feb 19 2019 01: +0,0.991,16
26,Feb 20 2019 01: +0,0.973,19
27,Feb 21 2019 01: +0,1.041,20
28,Feb 22 2019 01: +0,1.038,24
29,Feb 23 2019 01: +0,1.012,24
30,Feb 24 2019 01: +0,1.067,26
31,Feb 25 2019 01: +0,1.141,13
32,Feb 26 2019 01: +0,1.152,27
33,Feb 27 2019 01: +0,1.118,11
34,Feb 28 2019 01: +0,1.121,18
35,Mar 01 2019 01: +0,0.893,25
36,Mar 02 2019 01: +0,0.959,29
37,Mar 03 2019 01: +0,1.047,12
38,Mar 04 2019 01: +0,0.977,16
39,Mar 05 2019 01: +0,1.016,26
40,Mar 06 2019 01: +0,1.032,21
41,Mar 07 2019 01: +0,1.055,22
42,Mar 08 2019 01: +0,1.08,15
43,Mar 09 2019 01: +0,1.013,15
44,Mar 10 2019 01: +0,1.146,23
45,Mar 11 2019 01: +0,1.094,11
46,Mar 12 2019 01: +0,1.045,10
47,Mar 13 2019 01: +0,1.07,12
48,Mar 14 2019 01: +0,1.021,11
49,Mar 15 2019 01: +0,1.131,12
50,Mar 16 2019 01: +0,1.133,25
51,Mar 17 2019 01: +0,1.227,16
52,Mar 18 2019 01: +0,1.093,8
53,Mar 19 2019 01: +0,1.05,16
54,Mar 20 2019 01: +0,0.981,10
55,Mar 21 2019 01: +0,0.937,14
56,Mar 22 2019 01: +0,1.029,17
57,Mar 23 2019 01: +0,1.092,19
58,Mar 24 2019 01: +0,0.941,12
59,Mar 25 2019 01: +0,1.043,9
60,Mar 26 2019 01: +0,1.01,16
61,Mar 27 2019 01: +0,0.911,13
62,Mar 28 2019 01: +0,0.848,15
63,Mar 29 2019 01: +0,0.852,19
64,Mar 30 2019 01: +0,0.852,20
65,Mar 31 2019 01: +0,0.85,27
66,Apr 01 2019 01: +0,0.823,19
67,Apr 02 2019 01: +0,0.832,12
68,Apr 03 2019 01: +0,0.795,15
69,Apr 04 2019 01: +0,0.801,20
70,Apr 05 2019 01: +0,0.848,12
71,Apr 06 2019 01: +0,0.775,18
72,Apr 07 2019 01: +0,0.816,18
73,Apr 08 2019 01: +0,0.817,15
74,Apr 09 2019 01: +0,0.847,27
75,Apr 10 2019 01: +0,0.811,22
76,Apr 11 2019 01: +0,0.94,17
77,Apr 12 2019 01: +0,0.933,10
78,Apr 13 2019 01: +0,0.932,16
79,Apr 14 2019 01: +0,0.845,20
80,Apr 15 2019 01: +0,0.867,21
81,Apr 16 2019 01: +0,0.901,25
82,Apr 17 2019 01: +0,0.912,20
83,Apr 18 2019 01: +0,0.949,17
84,Apr 19 2019 01: +0,0.934,19
85,Apr 20 2019 01: +0,1.073,10
86,Apr 21 2019 01: +0,1.053,17
87,Apr 22 2019 01: +0,1.053,23
88,Apr 23 2019 01: +0,1.053,18
89,Apr 24 2019 01: +0,0.967,10
90,Apr 25 2019 01: +0,1.005,15
91,Apr 26 2019 01: +0,1.062,7
92,Apr 27 2019 01: +0,0.97,13
93,Apr 28 2019 01: +0,0.93,17
94,Apr 29 2019 01: +0,0.891,11
95,Apr 30 2019 01: +0,0.949,10
96,May 01 2019 01: +0,0.92,16
97,May 02 2019 01: +0,0.902,18
98,May 03 2019 01: +0,0.886,17
99,May 04 2019 01: +0,0.859,18
100,May 05 2019 01: +0,0.923,10
101,May 06 2019 01: +0,0.916,8
102,May 07 2019 01: +0,0.899,14
103,May 08 2019 01: +0,0.893,11
104,May 09 2019 01: +0,0.874,12
105,May 10 2019 01: +0,0.883,12
106,May 11 2019 01: +0,0.9,19
107,May 12 2019 01: +0,0.912,26
108,May 13 2019 01: +0,0.809,12
109,May 14 2019 01: +0,0.889,7
110,May 15 2019 01: +0,0.95,14
111,May 16 2019 01: +0,0.939,20
112,May 17 2019 01: +0,0.883,8
113,May 18 2019 01: +0,0.896,14
114,May 19 2019 01: +0,0.906,16
115,May 20 2019 01: +0,0.9,12
116,May 21 2019 01: +0,0.942,10
117,May 22 2019 01: +0,0.9,13
118,May 23 2019 01: +0,0.911,4
119,May 24 2019 01: +0,0.825,17
120,May 25 2019 01: +0,0.831,10
121,May 26 2019 01: +0,0.763,4
122,May 27 2019 01: +0,0.755,14
123,May 28 2019 01: +0,0.836,5
124,May 29 2019 01: +0,0.785,11
125,May 30 2019 01: +0,0.807,7
126,May 31 2019 01: +0,0.847,13
127,Jun 01 2019 01: +0,0.872,7
128,Jun 02 2019 01: +0,0.834,15
129,Jun 03 2019 01: +0,0.867,6
130,Jun 04 2019 01: +0,0.886,13
131,Jun 05 2019 01: +0,0.94,9
132,Jun 06 2019 01: +0,0.923,10
133,Jun 07 2019 01: +0,0.923,7
134,Jun 08 2019 01: +0,0.952,9
135,Jun 09 2019 01: +0,0.914,11
136,Jun 10 2019 01: +0,0.901,10
137,Jun 11 2019 01: +0,0.932,11
138,Jun 12 2019 01: +0,1.012,6
139,Jun 13 2019 01: +0,1.053,10
140,Jun 14 2019 01: +0,1.008,12
141,Jun 15 2019 01: +0,0.985,13
142,Jun 16 2019 01: +0,1.107,10
143,Jun 17 2019 01: +0,1.18,20
144,Jun 18 2019 01: +0,1.654,9
145,Jun 19 2019 01: +0,1.264,2
146,Jun 20 2019 01: +0,1.124,7
147,Jun 21 2019 01: +0,1.165,13
148,Jun 22 2019 01: +0,1.152,9
149,Jun 23 2019 01: +0,1.113,10
150,Jun 24 2019 01: +0,0.991,4
151,Jun 25 2019 01: +0,1.152,10
152,Jun 26 2019 01: +0,0.987,8
153,Jun 27 2019 01: +0,0.958,6
154,Jun 28 2019 01: +0,1.102,7
155,Jun 29 2019 01: +0,0.957,12
156,Jun 30 2019 01: +0,1.072,11
157,Jul 01 2019 01: +0,1.074,13
158,Jul 02 2019 01: +0,1.096,11
159,Jul 03 2019 01: +0,1.133,9
160,Jul 04 2019 01: +0,1.215,8
161,Jul 05 2019 01: +0,1.134,13
162,Jul 06 2019 01: +0,1.105,12
163,Jul 07 2019 01: +0,1.072,10
164,Jul 08 2019 01: +0,1.151,11
165,Jul 09 2019 01: +0,1.141,9
166,Jul 10 2019 01: +0,1.259,11
167,Jul 11 2019 01: +0,1.246,9
168,Jul 12 2019 01: +0,1.222,8
169,Jul 13 2019 01: +0,1.226,12
170,Jul 14 2019 01: +0,1.235,14
171,Jul 15 2019 01: +0,1.303,9
172,Jul 16 2019 01: +0,1.341,9
173,Jul 17 2019 01: +0,1.502,9
174,Jul 18 2019 01: +0,1.495,7
175,Jul 19 2019 01: +0,1.337,14
176,Jul 20 2019 01: +0,1.3,15
177,Jul 21 2019 01: +0,1.281,12
178,Jul 22 2019 01: +0,1.318,11
179,Jul 23 2019 01: +0,1.423,11
180,Jul 24 2019 01: +0,1.42,10
181,Jul 25 2019 01: +0,1.425,7
182,Jul 26 2019 01: +0,1.278,10
183,Jul 27 2019 01: +0,1.319,10
184,Jul 28 2019 01: +0,1.267,6
185,Jul 29 2019 01: +0,1.122,12
186,Jul 30 2019 01: +0,1.261,8
187,Jul 31 2019 01: +0,1.243,7
188,Aug 01 2019 01: +0,1.264,5
189,Aug 02 2019 01: +0,1.192,9
190,Aug 03 2019 01: +0,1.289,7
191,Aug 04 2019 01: +0,1.194,6
192,Aug 05 2019 01: +0,1.158,9
193,Aug 06 2019 01: +0,1.186,8
194,Aug 07 2019 01: +0,1.257,7
195,Aug 08 2019 01: +0,1.335,7
196,Aug 09 2019 01: +0,1.283,8
197,Aug 10 2019 01: +0,1.163,10
198,Aug 11 2019 01: +0,1.24,6
199,Aug 12 2019 01: +0,1.239,9
200,Aug 13 2019 01: +0,1.297,5
201,Aug 14 2019 01: +0,1.323,7
202,Aug 15 2019 01: +0,1.194,8
203,Aug 16 2019 01: +0,1.015,12
204,Aug 17 2019 01: +0,1.062,8
205,Aug 18 2019 01: +0,1.023,6
206,Aug 19 2019 01: +0,1.14,5
207,Aug 20 2019 01: +0,1.02,8
208,Aug 21 2019 01: +0,1.093,3
209,Aug 22 2019 01: +0,1.012,9
210,Aug 23 2019 01: +0,1.004,16
211,Aug 24 2019 01: +0,1.024,8
212,Aug 25 2019 01: +0,0.849,7
213,Aug 26 2019 01: +0,0.888,5
214,Aug 27 2019 01: +0,0.906,9
215,Aug 28 2019 01: +0,0.957,4
216,Aug 29 2019 01: +0,0.926,9
217,Aug 30 2019 01: +0,1.025,5
218,Aug 31 2019 01: +0,0.991,5
219,Sep 01 2019 01: +0,0.842,5
220,Sep 02 2019 01: +0,0.918,7
221,Sep 03 2019 01: +0,0.981,6
222,Sep 04 2019 01: +0,0.958,6
223,Sep 05 2019 01: +0,0.973,8
224,Sep 06 2019 01: +0,1.045,6
225,Sep 07 2019 01: +0,0.995,8
226,Sep 08 2019 01: +0,1.012,9
227,Sep 09 2019 01: +0,0.934,5
228,Sep 10 2019 01: +0,0.986,6
229,Sep 11 2019 01: +0,0.868,4
230,Sep 12 2019 01: +0,0.949,6
231,Sep 13 2019 01: +0,0.997,6
232,Sep 14 2019 01: +0,0.955,5
233,Sep 15 2019 01: +0,1.002,8
234,Sep 16 2019 01: +0,0.924,8
235,Sep 17 2019 01: +0,0.887,4
236,Sep 18 2019 01: +0,0.819,7
237,Sep 19 2019 01: +0,0.963,2
238,Sep 20 2019 01: +0,0.887,5
239,Sep 21 2019 01: +0,0.872,11
240,Sep 22 2019 01: +0,0.949,3
241,Sep 23 2019 01: +0,0.913,2
242,Sep 24 2019 01: +0,0.866,6
243,Sep 25 2019 01: +0,0.93,4
