,time,price,volume
0,Apr 27 2019 01: +0,2.094,66
1,Apr 28 2019 01: +0,2.323,54
2,Apr 29 2019 01: +0,2.013,70
3,Apr 30 2019 01: +0,1.516,54
4,May 01 2019 01: +0,1.467,86
5,May 02 2019 01: +0,1.205,75
6,May 03 2019 01: +0,1.169,58
7,May 04 2019 01: +0,1.165,64
8,May 05 2019 01: +0,1.246,71
9,May 06 2019 01: +0,1.4,42
10,May 07 2019 01: +0,1.253,37
11,May 08 2019 01: +0,1.215,36
12,May 09 2019 01: +0,1.399,50
13,May 10 2019 01: +0,1.254,60
14,May 11 2019 01: +0,1.283,56
15,May 12 2019 01: +0,1.345,55
16,May 13 2019 01: +0,1.252,34
17,May 14 2019 01: +0,1.249,30
18,May 15 2019 01: +0,1.26,33
19,May 16 2019 01: +0,1.164,38
20,May 17 2019 01: +0,1.004,52
21,May 18 2019 01: +0,0.984,51
22,May 19 2019 01: +0,1.239,41
23,May 20 2019 01: +0,1.125,32
24,May 21 2019 01: +0,1.173,36
25,May 22 2019 01: +0,1.19,35
26,May 23 2019 01: +0,1.221,24
27,May 24 2019 01: +0,1.174,116
28,May 25 2019 01: +0,1.198,47
29,May 26 2019 01: +0,1.062,35
30,May 27 2019 01: +0,1.103,28
31,May 28 2019 01: +0,1.166,27
32,May 29 2019 01: +0,1.085,22
33,May 30 2019 01: +0,1.075,25
34,May 31 2019 01: +0,1.081,32
35,Jun 01 2019 01: +0,1.094,32
36,Jun 02 2019 01: +0,1.102,45
37,Jun 03 2019 01: +0,1.09,26
38,Jun 04 2019 01: +0,1.175,38
39,Jun 05 2019 01: +0,1.149,47
40,Jun 06 2019 01: +0,1.256,25
41,Jun 07 2019 01: +0,1.235,34
42,Jun 08 2019 01: +0,1.195,38
43,Jun 09 2019 01: +0,1.161,28
44,Jun 10 2019 01: +0,1.184,40
45,Jun 11 2019 01: +0,1.165,36
46,Jun 12 2019 01: +0,1.162,33
47,Jun 13 2019 01: +0,1.22,34
48,Jun 14 2019 01: +0,1.229,44
49,Jun 15 2019 01: +0,1.202,41
50,Jun 16 2019 01: +0,1.232,36
51,Jun 17 2019 01: +0,1.204,40
52,Jun 18 2019 01: +0,1.192,28
53,Jun 19 2019 01: +0,1.257,31
54,Jun 20 2019 01: +0,1.292,36
55,Jun 21 2019 01: +0,1.255,44
56,Jun 22 2019 01: +0,1.193,35
57,Jun 23 2019 01: +0,1.22,30
58,Jun 24 2019 01: +0,1.218,45
59,Jun 25 2019 01: +0,1.415,30
60,Jun 26 2019 01: +0,1.326,42
61,Jun 27 2019 01: +0,1.209,24
62,Jun 28 2019 01: +0,1.291,43
63,Jun 29 2019 01: +0,1.221,38
64,Jun 30 2019 01: +0,1.258,25
65,Jul 01 2019 01: +0,1.244,34
66,Jul 02 2019 01: +0,1.206,18
67,Jul 03 2019 01: +0,1.183,25
68,Jul 04 2019 01: +0,1.245,41
69,Jul 05 2019 01: +0,1.247,34
70,Jul 06 2019 01: +0,1.281,34
71,Jul 07 2019 01: +0,1.288,27
72,Jul 08 2019 01: +0,1.321,43
73,Jul 09 2019 01: +0,1.322,27
74,Jul 10 2019 01: +0,1.335,42
75,Jul 11 2019 01: +0,1.359,39
76,Jul 12 2019 01: +0,1.418,33
77,Jul 13 2019 01: +0,1.59,39
78,Jul 14 2019 01: +0,1.706,29
79,Jul 15 2019 01: +0,1.845,34
80,Jul 16 2019 01: +0,2.033,25
81,Jul 17 2019 01: +0,2.143,31
82,Jul 18 2019 01: +0,2.171,19
83,Jul 19 2019 01: +0,2.434,29
84,Jul 20 2019 01: +0,3.016,25
85,Jul 21 2019 01: +0,2.664,22
86,Jul 22 2019 01: +0,2.506,19
87,Jul 23 2019 01: +0,2.492,20
88,Jul 24 2019 01: +0,2.486,21
89,Jul 25 2019 01: +0,2.114,23
90,Jul 26 2019 01: +0,2.102,30
91,Jul 27 2019 01: +0,2.027,22
92,Jul 28 2019 01: +0,1.864,24
93,Jul 29 2019 01: +0,1.912,17
94,Jul 30 2019 01: +0,1.932,32
95,Jul 31 2019 01: +0,1.888,29
96,Aug 01 2019 01: +0,1.925,31
97,Aug 02 2019 01: +0,2.065,21
98,Aug 03 2019 01: +0,2.137,21
99,Aug 04 2019 01: +0,2.007,18
100,Aug 05 2019 01: +0,2.171,25
101,Aug 06 2019 01: +0,2.327,21
102,Aug 07 2019 01: +0,2.228,19
103,Aug 08 2019 01: +0,2.187,23
104,Aug 09 2019 01: +0,2.145,27
105,Aug 10 2019 01: +0,1.982,24
106,Aug 11 2019 01: +0,2.103,25
107,Aug 12 2019 01: +0,2.112,16
108,Aug 13 2019 01: +0,2.101,20
109,Aug 14 2019 01: +0,2.113,25
110,Aug 15 2019 01: +0,2.163,23
111,Aug 16 2019 01: +0,2.004,28
112,Aug 17 2019 01: +0,1.904,21
113,Aug 18 2019 01: +0,1.781,23
114,Aug 19 2019 01: +0,1.706,15
115,Aug 20 2019 01: +0,1.747,23
116,Aug 21 2019 01: +0,1.88,12
117,Aug 22 2019 01: +0,1.933,19
118,Aug 23 2019 01: +0,1.973,20
119,Aug 24 2019 01: +0,1.91,19
120,Aug 25 2019 01: +0,1.943,16
121,Aug 26 2019 01: +0,1.957,18
122,Aug 27 2019 01: +0,1.912,15
123,Aug 28 2019 01: +0,1.929,10
124,Aug 29 2019 01: +0,1.869,22
125,Aug 30 2019 01: +0,1.918,20
126,Aug 31 2019 01: +0,1.95,20
127,Sep 01 2019 01: +0,1.885,22
128,Sep 02 2019 01: +0,1.809,22
129,Sep 03 2019 01: +0,1.792,18
130,Sep 04 2019 01: +0,1.929,16
131,Sep 05 2019 01: +0,2.069,22
132,Sep 06 2019 01: +0,1.966,20
133,Sep 07 2019 01: +0,1.919,19
134,Sep 08 2019 01: +0,1.777,21
135,Sep 09 2019 01: +0,1.66,8
136,Sep 10 2019 01: +0,1.722,15
137,Sep 11 2019 01: +0,1.79,13
138,Sep 12 2019 01: +0,1.886,30
139,Sep 13 2019 01: +0,1.823,15
140,Sep 14 2019 01: +0,1.834,27
141,Sep 15 2019 01: +0,1.777,11
142,Sep 16 2019 01: +0,1.806,17
143,Sep 17 2019 01: +0,1.83,15
144,Sep 18 2019 01: +0,1.647,13
145,Sep 19 2019 01: +0,1.803,10
146,Sep 20 2019 01: +0,1.701,14
147,Sep 21 2019 01: +0,1.811,12
148,Sep 22 2019 01: +0,1.757,17
149,Sep 23 2019 01: +0,1.811,11
150,Sep 24 2019 01: +0,1.78,17
151,Sep 25 2019 01: +0,1.727,14
152,Sep 26 2019 01: +0,1.719,16
153,Sep 27 2019 01: +0,1.722,14
154,Sep 28 2019 01: +0,1.754,23
155,Sep 29 2019 01: +0,1.901,21
156,Sep 30 2019 01: +0,1.916,19
157,Oct 01 2019 01: +0,1.866,9
158,Oct 02 2019 01: +0,1.903,12
159,Oct 03 2019 01: +0,1.845,26
160,Oct 04 2019 01: +0,2.053,13
161,Oct 05 2019 01: +0,1.919,16
162,Oct 06 2019 01: +0,1.879,16
163,Oct 07 2019 01: +0,2.001,15
164,Oct 08 2019 01: +0,2.026,23
165,Oct 09 2019 01: +0,2.061,9
166,Oct 10 2019 01: +0,1.886,17
167,Oct 11 2019 01: +0,1.945,13
168,Oct 12 2019 01: +0,1.914,25
169,Oct 13 2019 01: +0,1.928,12
170,Oct 14 2019 01: +0,1.721,9
171,Oct 15 2019 01: +0,1.652,15
172,Oct 16 2019 01: +0,1.792,17
173,Oct 17 2019 01: +0,1.799,10
174,Oct 18 2019 01: +0,1.67,21
175,Oct 19 2019 01: +0,1.566,23
176,Oct 20 2019 01: +0,1.708,13
177,Oct 21 2019 01: +0,1.566,16
178,Oct 22 2019 01: +0,1.682,19
179,Oct 23 2019 01: +0,1.681,10
180,Oct 24 2019 01: +0,1.601,13
181,Oct 25 2019 01: +0,1.637,14
182,Oct 26 2019 01: +0,1.495,14
183,Oct 27 2019 01: +0,1.592,23
184,Oct 28 2019 01: +0,1.584,11
185,Oct 29 2019 01: +0,1.46,14
186,Oct 30 2019 01: +0,1.505,8
187,Oct 31 2019 01: +0,1.446,18
188,Nov 01 2019 01: +0,1.486,11
189,Nov 02 2019 01: +0,1.531,15
190,Nov 03 2019 01: +0,1.576,17
191,Nov 04 2019 01: +0,1.539,7
192,Nov 05 2019 01: +0,1.491,16
193,Nov 06 2019 01: +0,1.583,12
194,Nov 07 2019 01: +0,1.477,12
195,Nov 08 2019 01: +0,1.582,11
196,Nov 09 2019 01: +0,1.564,23
197,Nov 10 2019 01: +0,1.595,13
198,Nov 11 2019 01: +0,1.567,14
