,time,price,volume
0,May 23 2019 01: +0,1.246,10
1,May 24 2019 01: +0,1.124,284
2,May 25 2019 01: +0,1.535,234
3,May 26 2019 01: +0,1.467,209
4,May 27 2019 01: +0,1.418,187
5,May 28 2019 01: +0,1.385,114
6,May 29 2019 01: +0,1.36,104
7,May 30 2019 01: +0,1.362,126
8,May 31 2019 01: +0,1.314,116
9,Jun 01 2019 01: +0,1.339,144
10,Jun 02 2019 01: +0,1.365,123
11,Jun 03 2019 01: +0,1.333,91
12,Jun 04 2019 01: +0,1.333,98
13,Jun 05 2019 01: +0,1.426,102
14,Jun 06 2019 01: +0,1.505,176
15,Jun 07 2019 01: +0,1.592,101
16,Jun 08 2019 01: +0,1.587,101
17,Jun 09 2019 01: +0,1.594,114
18,Jun 10 2019 01: +0,1.619,107
19,Jun 11 2019 01: +0,1.629,99
20,Jun 12 2019 01: +0,1.587,103
21,Jun 13 2019 01: +0,1.602,87
22,Jun 14 2019 01: +0,2.045,137
23,Jun 15 2019 01: +0,2.165,132
24,Jun 16 2019 01: +0,3.178,86
25,Jun 17 2019 01: +0,2.72,83
26,Jun 18 2019 01: +0,2.902,69
27,Jun 19 2019 01: +0,2.806,79
28,Jun 20 2019 01: +0,2.878,105
29,Jun 21 2019 01: +0,2.71,83
30,Jun 22 2019 01: +0,2.694,109
31,Jun 23 2019 01: +0,2.672,79
32,Jun 24 2019 01: +0,2.61,89
33,Jun 25 2019 01: +0,2.527,74
34,Jun 26 2019 01: +0,2.309,94
35,Jun 27 2019 01: +0,2.459,76
36,Jun 28 2019 01: +0,2.43,80
37,Jun 29 2019 01: +0,2.228,85
38,Jun 30 2019 01: +0,2.451,124
39,Jul 01 2019 01: +0,2.494,102
40,Jul 02 2019 01: +0,2.46,88
41,Jul 03 2019 01: +0,2.498,75
42,Jul 04 2019 01: +0,2.666,118
43,Jul 05 2019 01: +0,2.573,57
44,Jul 06 2019 01: +0,2.871,83
45,Jul 07 2019 01: +0,3.033,67
46,Jul 08 2019 01: +0,3.047,72
47,Jul 09 2019 01: +0,3.418,86
48,Jul 10 2019 01: +0,4.009,64
49,Jul 11 2019 01: +0,3.844,62
50,Jul 12 2019 01: +0,3.852,47
51,Jul 13 2019 01: +0,3.857,77
52,Jul 14 2019 01: +0,3.712,59
53,Jul 15 2019 01: +0,3.941,93
54,Jul 16 2019 01: +0,4.319,50
55,Jul 17 2019 01: +0,4.453,51
56,Jul 18 2019 01: +0,4.515,51
57,Jul 19 2019 01: +0,4.653,62
58,Jul 20 2019 01: +0,5.522,47
59,Jul 21 2019 01: +0,5.253,50
60,Jul 22 2019 01: +0,5.506,49
61,Jul 23 2019 01: +0,5.693,44
62,Jul 24 2019 01: +0,5.138,49
63,Jul 25 2019 01: +0,5.493,55
64,Jul 26 2019 01: +0,4.913,67
65,Jul 27 2019 01: +0,4.397,52
66,Jul 28 2019 01: +0,4.051,43
67,Jul 29 2019 01: +0,4.127,52
68,Jul 30 2019 01: +0,4.062,62
69,Jul 31 2019 01: +0,4.16,47
70,Aug 01 2019 01: +0,4.427,78
71,Aug 02 2019 01: +0,4.382,41
72,Aug 03 2019 01: +0,4.683,43
73,Aug 04 2019 01: +0,4.581,36
74,Aug 05 2019 01: +0,4.817,46
75,Aug 06 2019 01: +0,4.82,45
76,Aug 07 2019 01: +0,4.557,41
77,Aug 08 2019 01: +0,4.764,55
78,Aug 09 2019 01: +0,4.726,53
79,Aug 10 2019 01: +0,4.613,41
80,Aug 11 2019 01: +0,4.805,61
81,Aug 12 2019 01: +0,4.839,45
82,Aug 13 2019 01: +0,4.694,38
83,Aug 14 2019 01: +0,4.819,54
84,Aug 15 2019 01: +0,4.578,53
85,Aug 16 2019 01: +0,3.23,50
86,Aug 17 2019 01: +0,3.344,50
87,Aug 18 2019 01: +0,3.2,40
88,Aug 19 2019 01: +0,3.392,40
89,Aug 20 2019 01: +0,3.539,40
90,Aug 21 2019 01: +0,3.108,45
91,Aug 22 2019 01: +0,2.913,33
92,Aug 23 2019 01: +0,2.828,39
93,Aug 24 2019 01: +0,2.889,55
94,Aug 25 2019 01: +0,2.925,53
95,Aug 26 2019 01: +0,2.898,35
96,Aug 27 2019 01: +0,2.947,46
97,Aug 28 2019 01: +0,2.99,33
98,Aug 29 2019 01: +0,2.898,58
99,Aug 30 2019 01: +0,2.85,52
100,Aug 31 2019 01: +0,2.831,53
101,Sep 01 2019 01: +0,2.883,60
102,Sep 02 2019 01: +0,2.89,56
103,Sep 03 2019 01: +0,3.033,38
104,Sep 04 2019 01: +0,3.05,40
105,Sep 05 2019 01: +0,3.035,42
106,Sep 06 2019 01: +0,2.8,26
107,Sep 07 2019 01: +0,2.808,45
108,Sep 08 2019 01: +0,2.92,46
109,Sep 09 2019 01: +0,2.919,43
110,Sep 10 2019 01: +0,2.784,36
111,Sep 11 2019 01: +0,2.833,45
112,Sep 12 2019 01: +0,2.709,31
113,Sep 13 2019 01: +0,2.831,47
114,Sep 14 2019 01: +0,2.849,62
115,Sep 15 2019 01: +0,2.884,53
116,Sep 16 2019 01: +0,2.845,38
117,Sep 17 2019 01: +0,2.9,37
118,Sep 18 2019 01: +0,2.784,29
119,Sep 19 2019 01: +0,2.683,33
120,Sep 20 2019 01: +0,2.633,32
121,Sep 21 2019 01: +0,2.771,33
122,Sep 22 2019 01: +0,2.763,35
123,Sep 23 2019 01: +0,2.727,28
124,Sep 24 2019 01: +0,2.74,36
125,Sep 25 2019 01: +0,2.654,38
126,Sep 26 2019 01: +0,2.706,35
127,Sep 27 2019 01: +0,2.755,31
128,Sep 28 2019 01: +0,2.724,46
129,Sep 29 2019 01: +0,2.758,55
130,Sep 30 2019 01: +0,2.76,33
131,Oct 01 2019 01: +0,2.753,34
132,Oct 02 2019 01: +0,2.742,49
133,Oct 03 2019 01: +0,2.683,65
134,Oct 04 2019 01: +0,2.806,41
135,Oct 05 2019 01: +0,2.82,54
136,Oct 06 2019 01: +0,2.86,52
137,Oct 07 2019 01: +0,2.904,27
138,Oct 08 2019 01: +0,2.928,32
139,Oct 09 2019 01: +0,2.947,39
140,Oct 10 2019 01: +0,3.004,44
141,Oct 11 2019 01: +0,3.044,58
142,Oct 12 2019 01: +0,2.725,42
143,Oct 13 2019 01: +0,2.839,56
144,Oct 14 2019 01: +0,2.768,33
145,Oct 15 2019 01: +0,2.82,39
146,Oct 16 2019 01: +0,2.717,21
147,Oct 17 2019 01: +0,2.653,27
148,Oct 18 2019 01: +0,2.672,59
149,Oct 19 2019 01: +0,2.637,58
150,Oct 20 2019 01: +0,2.662,57
151,Oct 21 2019 01: +0,2.634,42
152,Oct 22 2019 01: +0,2.73,35
153,Oct 23 2019 01: +0,2.601,29
154,Oct 24 2019 01: +0,2.656,36
155,Oct 25 2019 01: +0,2.722,42
156,Oct 26 2019 01: +0,2.823,42
157,Oct 27 2019 01: +0,2.586,37
158,Oct 28 2019 01: +0,2.595,31
159,Oct 29 2019 01: +0,2.717,19
160,Oct 30 2019 01: +0,2.71,38
161,Oct 31 2019 01: +0,2.715,35
162,Nov 01 2019 01: +0,2.545,36
163,Nov 02 2019 01: +0,2.734,33
164,Nov 03 2019 01: +0,2.781,40
165,Nov 04 2019 01: +0,2.697,24
166,Nov 05 2019 01: +0,2.711,27
