,time,price,volume
0,Jun 08 2017 01: +0,1.759,8
1,Jun 09 2017 01: +0,1.238,46
2,Jun 10 2017 01: +0,1.447,49
3,Jun 11 2017 01: +0,1.494,38
4,Jun 12 2017 01: +0,1.437,40
5,Jun 13 2017 01: +0,1.342,54
6,Jun 14 2017 01: +0,1.326,36
7,Jun 15 2017 01: +0,1.246,53
8,Jun 16 2017 01: +0,1.244,69
9,Jun 17 2017 01: +0,1.354,50
10,Jun 18 2017 01: +0,1.491,45
11,Jun 19 2017 01: +0,1.462,49
12,Jun 20 2017 01: +0,1.412,41
13,Jun 21 2017 01: +0,1.363,29
14,Jun 22 2017 01: +0,1.215,42
15,Jun 23 2017 01: +0,1.215,50
16,Jun 24 2017 01: +0,1.221,37
17,Jun 25 2017 01: +0,1.271,33
18,Jun 26 2017 01: +0,1.264,31
19,Jun 27 2017 01: +0,1.285,41
20,Jun 28 2017 01: +0,1.327,27
21,Jun 29 2017 01: +0,1.319,36
22,Jun 30 2017 01: +0,1.237,38
23,Jul 01 2017 01: +0,1.304,32
24,Jul 02 2017 01: +0,1.279,33
25,Jul 03 2017 01: +0,1.27,36
26,Jul 04 2017 01: +0,1.277,24
27,Jul 05 2017 01: +0,1.389,31
28,Jul 06 2017 01: +0,1.364,44
29,Jul 07 2017 01: +0,1.309,34
30,Jul 08 2017 01: +0,1.274,35
31,Jul 09 2017 01: +0,1.337,35
32,Jul 10 2017 01: +0,1.292,23
33,Jul 11 2017 01: +0,1.346,37
34,Jul 12 2017 01: +0,1.301,33
35,Jul 13 2017 01: +0,1.211,29
36,Jul 14 2017 01: +0,1.198,23
37,Jul 15 2017 01: +0,1.268,28
38,Jul 16 2017 01: +0,1.28,24
39,Jul 17 2017 01: +0,1.332,28
40,Jul 18 2017 01: +0,1.286,22
41,Jul 19 2017 01: +0,1.279,28
42,Jul 20 2017 01: +0,1.314,19
43,Jul 21 2017 01: +0,1.203,32
44,Jul 22 2017 01: +0,1.343,24
45,Jul 23 2017 01: +0,1.279,24
46,Jul 24 2017 01: +0,1.235,22
47,Jul 25 2017 01: +0,1.328,24
48,Jul 26 2017 01: +0,1.203,21
49,Jul 27 2017 01: +0,1.279,23
50,Jul 28 2017 01: +0,1.14,24
51,Jul 29 2017 01: +0,1.29,24
52,Jul 30 2017 01: +0,1.269,17
53,Jul 31 2017 01: +0,1.303,19
54,Aug 01 2017 01: +0,1.246,22
55,Aug 02 2017 01: +0,1.281,13
56,Aug 03 2017 01: +0,1.228,29
57,Aug 04 2017 01: +0,1.155,26
58,Aug 05 2017 01: +0,1.175,21
59,Aug 06 2017 01: +0,1.218,23
60,Aug 07 2017 01: +0,1.23,25
61,Aug 08 2017 01: +0,1.259,21
62,Aug 09 2017 01: +0,1.136,21
63,Aug 10 2017 01: +0,1.017,24
64,Aug 11 2017 01: +0,1.122,24
65,Aug 12 2017 01: +0,1.145,20
66,Aug 13 2017 01: +0,1.142,17
67,Aug 14 2017 01: +0,1.122,23
68,Aug 15 2017 01: +0,1.155,21
69,Aug 16 2017 01: +0,1.18,21
70,Aug 17 2017 01: +0,1.198,26
71,Aug 18 2017 01: +0,1.275,24
72,Aug 19 2017 01: +0,1.211,23
73,Aug 20 2017 01: +0,1.245,11
74,Aug 21 2017 01: +0,1.28,19
75,Aug 22 2017 01: +0,1.245,14
76,Aug 23 2017 01: +0,1.108,12
77,Aug 24 2017 01: +0,1.163,13
78,Aug 25 2017 01: +0,1.15,18
79,Aug 26 2017 01: +0,1.132,14
80,Aug 27 2017 01: +0,1.252,16
81,Aug 28 2017 01: +0,1.287,6
82,Aug 29 2017 01: +0,1.185,11
83,Aug 30 2017 01: +0,1.127,10
84,Aug 31 2017 01: +0,1.149,10
85,Sep 01 2017 01: +0,1.129,7
86,Sep 02 2017 01: +0,1.013,11
87,Sep 03 2017 01: +0,1.056,12
88,Sep 04 2017 01: +0,0.999,11
89,Sep 05 2017 01: +0,1.111,12
90,Sep 06 2017 01: +0,1.011,11
91,Sep 07 2017 01: +0,1.004,19
92,Sep 08 2017 01: +0,1.112,13
93,Sep 09 2017 01: +0,1.079,15
94,Sep 10 2017 01: +0,1.012,20
95,Sep 11 2017 01: +0,1.029,13
96,Sep 12 2017 01: +0,1.051,8
97,Sep 13 2017 01: +0,1.108,11
98,Sep 14 2017 01: +0,0.998,19
99,Sep 15 2017 01: +0,1.098,15
100,Sep 16 2017 01: +0,1.069,25
101,Sep 17 2017 01: +0,1.098,23
102,Sep 18 2017 01: +0,0.983,14
103,Sep 19 2017 01: +0,1.055,10
104,Sep 20 2017 01: +0,1.11,14
105,Sep 21 2017 01: +0,1.09,17
106,Sep 22 2017 01: +0,1.142,21
107,Sep 23 2017 01: +0,1.098,16
108,Sep 24 2017 01: +0,1.12,20
109,Sep 25 2017 01: +0,1.016,12
110,Sep 26 2017 01: +0,0.926,21
111,Sep 27 2017 01: +0,1.108,14
112,Sep 28 2017 01: +0,1.044,14
113,Sep 29 2017 01: +0,1.098,14
114,Sep 30 2017 01: +0,1.041,14
115,Oct 01 2017 01: +0,1.046,20
