,time,price,volume
0,Jun 15 2017 01: +0,2.152,2
1,Jun 16 2017 01: +0,1.307,2
2,Jun 17 2017 01: +0,1.181,3
3,Jun 18 2017 01: +0,1.31,1
4,Jun 19 2017 01: +0,1.2,5
5,Jun 20 2017 01: +0,1.068,4
6,Jun 21 2017 01: +0,1.187,5
7,Jun 22 2017 01: +0,1.098,7
8,Jun 23 2017 01: +0,0.926,6
9,Jun 24 2017 01: +0,0.979,7
10,Jun 25 2017 01: +0,1.055,8
11,Jun 26 2017 01: +0,1.096,5
12,Jun 27 2017 01: +0,1.128,7
13,Jun 28 2017 01: +0,1.119,3
14,Jun 29 2017 01: +0,0.997,5
15,Jun 30 2017 01: +0,1.205,6
16,Jul 01 2017 01: +0,1.314,3
17,Jul 02 2017 01: +0,1.409,3
18,Jul 03 2017 01: +0,1.386,5
19,Jul 04 2017 01: +0,1.595,2
20,Jul 05 2017 01: +0,1.424,1
21,Jul 06 2017 01: +0,1.501,5
22,Jul 07 2017 01: +0,1.336,4
23,Jul 08 2017 01: +0,1.41,5
24,Jul 09 2017 01: +0,1.634,6
25,Jul 10 2017 01: +0,1.906,6
26,Jul 11 2017 01: +0,1.969,5
27,Jul 12 2017 01: +0,1.33,3
28,Jul 13 2017 01: +0,1.906,4
29,Jul 14 2017 01: +0,1.717,3
30,Jul 15 2017 01: +0,1.253,4
31,Jul 16 2017 01: +0,1.392,3
32,Jul 17 2017 01: +0,2.066,2
33,Jul 18 2017 01: +0,1.758,2
34,Jul 19 2017 01: +0,2.011,2
35,Jul 20 2017 01: +0,1.511,7
36,Jul 21 2017 01: +0,1.857,4
37,Jul 22 2017 01: +0,2.065,2
38,Jul 23 2017 01: +0,1.805,4
39,Jul 24 2017 01: +0,2.063,2
40,Jul 25 2017 01: +0,1.964,2
41,Jul 26 2017 01: +0,1.864,5
42,Jul 27 2017 01: +0,1.99,4
43,Jul 28 2017 01: +0,2.063,1
44,Jul 29 2017 01: +0,1.811,3
45,Jul 30 2017 01: +0,1.74,3
46,Jul 31 2017 01: +0,2.02,1
47,Aug 01 2017 01: +0,2.004,1
48,Aug 03 2017 01: +0,1.724,1
49,Aug 04 2017 01: +0,1.551,5
50,Aug 05 2017 01: +0,1.876,5
51,Aug 06 2017 01: +0,2.023,5
52,Aug 07 2017 01: +0,1.85,1
53,Aug 08 2017 01: +0,1.635,4
54,Aug 09 2017 01: +0,1.978,4
55,Aug 10 2017 01: +0,1.35,1
56,Aug 11 2017 01: +0,1.998,2
57,Aug 12 2017 01: +0,1.77,1
58,Aug 13 2017 01: +0,1.704,4
59,Aug 14 2017 01: +0,1.898,1
60,Aug 15 2017 01: +0,1.569,2
61,Aug 16 2017 01: +0,1.901,2
62,Aug 17 2017 01: +0,1.665,5
63,Aug 18 2017 01: +0,1.921,3
64,Aug 19 2017 01: +0,1.913,2
65,Aug 20 2017 01: +0,1.948,1
66,Aug 21 2017 01: +0,1.854,6
67,Aug 22 2017 01: +0,2.066,4
68,Aug 23 2017 01: +0,1.446,2
69,Aug 24 2017 01: +0,1.784,2
70,Aug 25 2017 01: +0,1.75,1
71,Aug 26 2017 01: +0,1.724,1
72,Aug 27 2017 01: +0,1.734,1
73,Aug 28 2017 01: +0,1.663,1
74,Aug 29 2017 01: +0,1.61,1
75,Aug 31 2017 01: +0,1.7,2
76,Sep 01 2017 01: +0,1.775,1
77,Sep 02 2017 01: +0,1.411,2
78,Sep 03 2017 01: +0,1.772,2
79,Sep 04 2017 01: +0,1.574,2
80,Sep 06 2017 01: +0,1.49,1
81,Sep 07 2017 01: +0,1.61,3
82,Sep 08 2017 01: +0,1.26,1
83,Sep 09 2017 01: +0,1.45,2
84,Sep 10 2017 01: +0,1.59,4
85,Sep 11 2017 01: +0,1.209,1
86,Sep 14 2017 01: +0,1.836,3
87,Sep 16 2017 01: +0,1.771,2
88,Sep 17 2017 01: +0,1.805,2
89,Sep 19 2017 01: +0,1.828,1
90,Sep 21 2017 01: +0,0.8,1
91,Sep 22 2017 01: +0,1.039,4
92,Sep 23 2017 01: +0,1.614,1
93,Sep 24 2017 01: +0,1.64,2
94,Sep 25 2017 01: +0,1.774,1
95,Sep 26 2017 01: +0,1.364,1
96,Sep 27 2017 01: +0,1.777,1
97,Sep 29 2017 01: +0,1.769,1
98,Sep 30 2017 01: +0,1.033,2
99,Oct 02 2017 01: +0,1.459,1
100,Oct 03 2017 01: +0,1.559,4
101,Oct 04 2017 01: +0,1.69,1
102,Oct 05 2017 01: +0,1.37,2
103,Oct 06 2017 01: +0,1.768,7
104,Oct 07 2017 01: +0,1.857,3
105,Oct 08 2017 01: +0,1.895,4
106,Oct 09 2017 01: +0,1.852,4
107,Oct 10 2017 01: +0,2.02,2
108,Oct 11 2017 01: +0,2.028,2
109,Oct 12 2017 01: +0,2.078,2
110,Oct 13 2017 01: +0,2.083,1
111,Oct 14 2017 01: +0,2.086,5
112,Oct 15 2017 01: +0,1.907,4
113,Oct 16 2017 01: +0,1.42,1
114,Oct 17 2017 01: +0,1.756,3
115,Oct 18 2017 01: +0,1.595,2
116,Oct 19 2017 01: +0,1.82,2
117,Oct 20 2017 01: +0,1.753,5
118,Oct 21 2017 01: +0,1.531,4
119,Oct 22 2017 01: +0,1.971,7
120,Oct 23 2017 01: +0,2.087,1
121,Oct 24 2017 01: +0,2.264,13
122,Oct 25 2017 01: +0,3.24,1
123,Oct 27 2017 01: +0,1.55,1
124,Oct 28 2017 01: +0,2.655,2
125,Oct 29 2017 01: +0,2.525,2
126,Oct 30 2017 01: +0,2.66,1
127,Oct 31 2017 01: +0,1.54,2
128,Nov 01 2017 01: +0,1.58,1
129,Nov 02 2017 01: +0,1.985,1
130,Nov 03 2017 01: +0,2.299,3
131,Nov 04 2017 01: +0,2.646,5
132,Nov 05 2017 01: +0,2.902,6
133,Nov 06 2017 01: +0,2.888,2
134,Nov 07 2017 01: +0,2.305,2
135,Nov 08 2017 01: +0,3.174,3
136,Nov 09 2017 01: +0,2.555,2
137,Nov 10 2017 01: +0,3.225,2
138,Nov 11 2017 01: +0,2.878,4
139,Nov 12 2017 01: +0,2.37,3
140,Nov 13 2017 01: +0,2.62,1
141,Nov 14 2017 01: +0,2.425,6
142,Nov 16 2017 01: +0,2.532,5
143,Nov 17 2017 01: +0,1.42,1
144,Nov 18 2017 01: +0,3.15,2
145,Nov 19 2017 01: +0,3.03,5
146,Nov 20 2017 01: +0,3.104,1
147,Nov 21 2017 01: +0,3.149,1
148,Nov 22 2017 01: +0,2.998,1
149,Nov 23 2017 01: +0,2.446,2
150,Nov 24 2017 01: +0,2.87,1
151,Nov 25 2017 01: +0,2.696,2
152,Nov 26 2017 01: +0,2.355,2
153,Nov 27 2017 01: +0,2.912,2
154,Nov 29 2017 01: +0,2.634,4
155,Nov 30 2017 01: +0,2.956,2
