,time,price,volume
0,Mar 09 2017 01: +0,1.664,11
1,Mar 10 2017 01: +0,1.639,8
2,Mar 11 2017 01: +0,1.677,9
3,Mar 12 2017 01: +0,1.58,10
4,Mar 13 2017 01: +0,1.588,9
5,Mar 14 2017 01: +0,1.601,7
6,Mar 15 2017 01: +0,1.251,3
7,Mar 16 2017 01: +0,1.404,9
8,Mar 17 2017 01: +0,1.258,13
9,Mar 18 2017 01: +0,1.467,4
10,Mar 19 2017 01: +0,1.345,6
11,Mar 20 2017 01: +0,1.325,8
12,Mar 21 2017 01: +0,1.439,7
13,Mar 22 2017 01: +0,1.378,3
14,Mar 24 2017 01: +0,1.565,2
15,Mar 25 2017 01: +0,1.576,4
16,Mar 26 2017 01: +0,1.625,6
17,Mar 27 2017 01: +0,1.738,1
18,Mar 28 2017 01: +0,1.75,2
19,Mar 29 2017 01: +0,2.706,3
20,Mar 30 2017 01: +0,1.832,3
21,Mar 31 2017 01: +0,1.911,3
22,Apr 01 2017 01: +0,2.282,5
23,Apr 02 2017 01: +0,3.199,1
24,Apr 07 2017 01: +0,1.438,6
25,Apr 08 2017 01: +0,1.069,2
26,Apr 09 2017 01: +0,1.352,17
27,Apr 10 2017 01: +0,1.33,1
28,Apr 11 2017 01: +0,1.337,3
29,Apr 12 2017 01: +0,1.351,4
30,Apr 13 2017 01: +0,1.388,6
31,Apr 14 2017 01: +0,1.594,5
32,Apr 15 2017 01: +0,1.276,6
33,Apr 16 2017 01: +0,1.296,8
34,Apr 17 2017 01: +0,1.54,9
35,Apr 18 2017 01: +0,1.631,4
36,Apr 19 2017 01: +0,1.319,5
37,Apr 21 2017 01: +0,1.217,3
38,Apr 22 2017 01: +0,1.542,12
39,Apr 23 2017 01: +0,1.434,6
40,Apr 24 2017 01: +0,1.559,4
41,Apr 25 2017 01: +0,1.569,7
42,Apr 26 2017 01: +0,1.63,5
43,Apr 27 2017 01: +0,1.726,3
44,Apr 28 2017 01: +0,1.474,3
45,Apr 29 2017 01: +0,1.243,3
46,Apr 30 2017 01: +0,1.295,4
47,May 01 2017 01: +0,1.395,7
48,May 02 2017 01: +0,1.498,4
49,May 03 2017 01: +0,1.511,4
50,May 04 2017 01: +0,1.593,3
51,May 05 2017 01: +0,1.638,1
52,May 07 2017 01: +0,1.453,2
53,May 08 2017 01: +0,0.905,1
54,May 09 2017 01: +0,1.195,6
55,May 10 2017 01: +0,1.337,2
56,May 11 2017 01: +0,1.094,3
57,May 12 2017 01: +0,1.356,3
58,May 13 2017 01: +0,1.286,5
59,May 14 2017 01: +0,1.462,10
60,May 15 2017 01: +0,1.617,4
61,May 16 2017 01: +0,1.669,2
62,May 17 2017 01: +0,1.676,2
63,May 18 2017 01: +0,1.679,2
64,May 19 2017 01: +0,1.583,5
65,May 20 2017 01: +0,1.616,4
66,May 21 2017 01: +0,1.171,2
67,May 22 2017 01: +0,1.68,2
68,May 23 2017 01: +0,1.661,3
69,May 24 2017 01: +0,1.466,3
70,May 25 2017 01: +0,1.42,1
71,May 26 2017 01: +0,1.552,3
72,May 27 2017 01: +0,1.447,5
73,May 28 2017 01: +0,1.15,1
74,May 29 2017 01: +0,0.87,1
75,May 30 2017 01: +0,1.231,6
76,May 31 2017 01: +0,1.188,1
77,Jun 01 2017 01: +0,1.2,1
78,Jun 02 2017 01: +0,1.415,5
79,Jun 03 2017 01: +0,1.63,1
80,Jun 04 2017 01: +0,1.322,2
81,Jun 05 2017 01: +0,1.4,2
82,Jun 06 2017 01: +0,1.198,3
