,time,price,volume
0,Jun 21 2019 01: +0,1.203,121
1,Jun 22 2019 01: +0,1.437,333
2,Jun 23 2019 01: +0,1.431,207
3,Jun 24 2019 01: +0,1.398,143
4,Jun 25 2019 01: +0,1.203,181
5,Jun 26 2019 01: +0,1.375,185
6,Jun 27 2019 01: +0,1.311,151
7,Jun 28 2019 01: +0,1.378,217
8,Jun 29 2019 01: +0,1.251,159
9,Jun 30 2019 01: +0,1.292,183
10,Jul 01 2019 01: +0,1.23,127
11,Jul 02 2019 01: +0,1.224,165
12,Jul 03 2019 01: +0,1.173,129
13,Jul 04 2019 01: +0,1.22,151
14,Jul 05 2019 01: +0,1.275,143
15,Jul 06 2019 01: +0,1.384,119
16,Jul 07 2019 01: +0,1.389,134
17,Jul 08 2019 01: +0,1.435,137
18,Jul 09 2019 01: +0,1.754,120
19,Jul 10 2019 01: +0,1.871,117
20,Jul 11 2019 01: +0,1.804,89
21,Jul 12 2019 01: +0,1.984,119
22,Jul 13 2019 01: +0,1.416,142
23,Jul 14 2019 01: +0,1.555,115
24,Jul 15 2019 01: +0,1.648,92
25,Jul 16 2019 01: +0,1.526,93
26,Jul 17 2019 01: +0,1.561,87
27,Jul 18 2019 01: +0,1.521,67
28,Jul 19 2019 01: +0,1.546,71
29,Jul 20 2019 01: +0,1.469,109
30,Jul 21 2019 01: +0,1.45,82
31,Jul 22 2019 01: +0,1.415,59
32,Jul 23 2019 01: +0,1.466,70
33,Jul 24 2019 01: +0,1.347,65
34,Jul 25 2019 01: +0,1.353,72
35,Jul 26 2019 01: +0,1.244,84
36,Jul 27 2019 01: +0,1.36,66
37,Jul 28 2019 01: +0,1.292,61
38,Jul 29 2019 01: +0,1.351,69
39,Jul 30 2019 01: +0,1.383,60
40,Jul 31 2019 01: +0,1.32,48
41,Aug 01 2019 01: +0,1.305,79
42,Aug 02 2019 01: +0,1.23,79
43,Aug 03 2019 01: +0,1.228,65
44,Aug 04 2019 01: +0,1.299,66
45,Aug 05 2019 01: +0,1.299,74
46,Aug 06 2019 01: +0,1.316,57
47,Aug 07 2019 01: +0,1.203,57
48,Aug 08 2019 01: +0,1.255,58
49,Aug 09 2019 01: +0,1.206,81
50,Aug 10 2019 01: +0,1.252,76
51,Aug 11 2019 01: +0,1.285,71
52,Aug 12 2019 01: +0,1.274,52
53,Aug 13 2019 01: +0,1.295,49
54,Aug 14 2019 01: +0,1.292,72
55,Aug 15 2019 01: +0,1.218,91
56,Aug 16 2019 01: +0,1.332,169
57,Aug 17 2019 01: +0,1.366,134
58,Aug 18 2019 01: +0,1.415,89
59,Aug 19 2019 01: +0,1.47,88
60,Aug 20 2019 01: +0,1.514,92
61,Aug 21 2019 01: +0,1.445,61
62,Aug 22 2019 01: +0,1.44,88
63,Aug 23 2019 01: +0,1.369,71
64,Aug 24 2019 01: +0,1.331,67
65,Aug 25 2019 01: +0,1.329,89
66,Aug 26 2019 01: +0,1.323,60
67,Aug 27 2019 01: +0,1.299,50
68,Aug 28 2019 01: +0,1.317,69
69,Aug 29 2019 01: +0,1.272,48
70,Aug 30 2019 01: +0,1.275,57
71,Aug 31 2019 01: +0,1.226,56
72,Sep 01 2019 01: +0,1.263,53
73,Sep 02 2019 01: +0,1.163,55
74,Sep 03 2019 01: +0,1.165,43
75,Sep 04 2019 01: +0,1.162,50
76,Sep 05 2019 01: +0,1.197,45
77,Sep 06 2019 01: +0,1.19,47
78,Sep 07 2019 01: +0,1.132,51
79,Sep 08 2019 01: +0,1.167,60
80,Sep 09 2019 01: +0,1.132,44
81,Sep 10 2019 01: +0,1.118,57
82,Sep 11 2019 01: +0,1.12,60
83,Sep 12 2019 01: +0,1.078,54
84,Sep 13 2019 01: +0,1.084,51
85,Sep 14 2019 01: +0,1.112,62
86,Sep 15 2019 01: +0,1.113,64
87,Sep 16 2019 01: +0,1.183,55
88,Sep 17 2019 01: +0,1.115,38
89,Sep 18 2019 01: +0,1.004,46
90,Sep 19 2019 01: +0,1.045,61
91,Sep 20 2019 01: +0,1.049,41
92,Sep 21 2019 01: +0,1.065,43
93,Sep 22 2019 01: +0,1.079,34
94,Sep 23 2019 01: +0,1.108,42
95,Sep 24 2019 01: +0,1.067,37
96,Sep 25 2019 01: +0,1.059,34
97,Sep 26 2019 01: +0,1.003,37
98,Sep 27 2019 01: +0,1.024,48
99,Sep 28 2019 01: +0,1.034,73
100,Sep 29 2019 01: +0,1.003,60
101,Sep 30 2019 01: +0,1.023,48
102,Oct 01 2019 01: +0,1.011,33
103,Oct 02 2019 01: +0,1.033,41
104,Oct 03 2019 01: +0,1.02,61
105,Oct 04 2019 01: +0,1.017,54
106,Oct 05 2019 01: +0,1.05,46
107,Oct 06 2019 01: +0,1.052,57
108,Oct 07 2019 01: +0,1.139,69
109,Oct 08 2019 01: +0,1.11,36
110,Oct 09 2019 01: +0,1.093,48
111,Oct 10 2019 01: +0,1.119,37
112,Oct 11 2019 01: +0,1.078,57
113,Oct 12 2019 01: +0,1.122,72
114,Oct 13 2019 01: +0,1.049,53
115,Oct 14 2019 01: +0,1.06,47
116,Oct 15 2019 01: +0,1.112,38
117,Oct 16 2019 01: +0,1.15,48
118,Oct 17 2019 01: +0,1.15,50
119,Oct 18 2019 01: +0,1.052,49
120,Oct 19 2019 01: +0,1.052,60
121,Oct 20 2019 01: +0,1.01,57
122,Oct 21 2019 01: +0,1.07,45
123,Oct 22 2019 01: +0,1.024,42
124,Oct 23 2019 01: +0,0.921,31
125,Oct 24 2019 01: +0,0.962,44
126,Oct 25 2019 01: +0,0.927,40
127,Oct 26 2019 01: +0,0.883,44
128,Oct 27 2019 01: +0,0.976,43
129,Oct 28 2019 01: +0,0.976,36
130,Oct 29 2019 01: +0,0.969,43
131,Oct 30 2019 01: +0,0.939,36
132,Oct 31 2019 01: +0,0.95,30
133,Nov 01 2019 01: +0,0.935,37
134,Nov 02 2019 01: +0,1.032,56
135,Nov 03 2019 01: +0,0.966,39
136,Nov 04 2019 01: +0,1.026,36
137,Nov 05 2019 01: +0,0.945,24
138,Nov 06 2019 01: +0,0.937,33
139,Nov 07 2019 01: +0,0.979,39
140,Nov 08 2019 01: +0,0.909,48
141,Nov 09 2019 01: +0,0.915,39
142,Nov 10 2019 01: +0,0.905,40
143,Nov 11 2019 01: +0,0.927,39
144,Nov 12 2019 01: +0,0.975,51
145,Nov 13 2019 01: +0,0.954,43
146,Nov 14 2019 01: +0,0.927,47
147,Nov 15 2019 01: +0,0.912,60
148,Nov 16 2019 01: +0,0.937,58
149,Nov 17 2019 01: +0,0.969,61
150,Nov 18 2019 01: +0,0.956,39
151,Nov 19 2019 01: +0,0.924,46
152,Nov 20 2019 01: +0,0.87,43
153,Nov 21 2019 01: +0,0.869,31
154,Nov 22 2019 01: +0,0.758,34
155,Nov 23 2019 01: +0,0.971,72
156,Nov 24 2019 01: +0,1.022,60
157,Nov 25 2019 01: +0,1.031,46
158,Nov 26 2019 01: +0,1.009,24
159,Nov 27 2019 01: +0,0.95,47
160,Nov 28 2019 01: +0,0.977,45
161,Nov 29 2019 01: +0,0.955,55
162,Nov 30 2019 01: +0,0.988,33
163,Dec 01 2019 01: +0,0.984,52
164,Dec 02 2019 01: +0,1.019,44
165,Dec 03 2019 01: +0,0.938,27
166,Dec 04 2019 01: +0,0.986,31
167,Dec 05 2019 01: +0,0.989,26
168,Dec 06 2019 01: +0,0.875,38
169,Dec 07 2019 01: +0,1.026,52
170,Dec 08 2019 01: +0,1.027,73
171,Dec 09 2019 01: +0,1.05,60
172,Dec 10 2019 01: +0,1.025,38
173,Dec 11 2019 01: +0,1.071,38
174,Dec 12 2019 01: +0,1.003,34
175,Dec 13 2019 01: +0,1.041,49
176,Dec 14 2019 01: +0,1.076,45
177,Dec 15 2019 01: +0,1.057,48
178,Dec 16 2019 01: +0,1.13,45
