,time,price,volume
0,Feb 13 2020 01: +0,1.335,16
1,Feb 14 2020 01: +0,1.215,139
2,Feb 15 2020 01: +0,1.458,123
3,Feb 16 2020 01: +0,1.331,90
4,Feb 17 2020 01: +0,1.22,79
5,Feb 18 2020 01: +0,1.281,65
6,Feb 19 2020 01: +0,1.196,66
7,Feb 20 2020 01: +0,1.164,63
8,Feb 21 2020 01: +0,1.101,81
9,Feb 22 2020 01: +0,1.033,84
10,Feb 23 2020 01: +0,1.081,72
11,Feb 24 2020 01: +0,1.118,71
12,Feb 25 2020 01: +0,1.08,50
13,Feb 26 2020 01: +0,1.144,49
14,Feb 27 2020 01: +0,1.141,94
15,Feb 28 2020 01: +0,1.132,190
16,Feb 29 2020 01: +0,1.171,148
17,Mar 01 2020 01: +0,1.221,125
18,Mar 02 2020 01: +0,1.246,82
19,Mar 03 2020 01: +0,1.127,104
20,Mar 04 2020 01: +0,1.18,75
21,Mar 05 2020 01: +0,1.266,74
22,Mar 06 2020 01: +0,1.324,89
23,Mar 07 2020 01: +0,1.325,101
24,Mar 08 2020 01: +0,1.361,62
25,Mar 09 2020 01: +0,1.586,58
26,Mar 10 2020 01: +0,1.638,47
27,Mar 11 2020 01: +0,1.492,47
28,Mar 12 2020 01: +0,1.506,52
29,Mar 13 2020 01: +0,1.531,62
30,Mar 14 2020 01: +0,1.824,97
31,Mar 15 2020 01: +0,1.735,78
32,Mar 16 2020 01: +0,1.782,76
33,Mar 17 2020 01: +0,1.711,74
34,Mar 18 2020 01: +0,1.621,77
35,Mar 19 2020 01: +0,1.646,74
36,Mar 20 2020 01: +0,1.733,87
37,Mar 21 2020 01: +0,1.614,90
38,Mar 22 2020 01: +0,1.64,75
39,Mar 23 2020 01: +0,1.603,72
40,Mar 24 2020 01: +0,1.634,62
41,Mar 25 2020 01: +0,1.642,78
42,Mar 26 2020 01: +0,1.649,65
43,Mar 27 2020 01: +0,1.476,60
44,Mar 28 2020 01: +0,1.588,73
45,Mar 29 2020 01: +0,1.556,57
46,Mar 30 2020 01: +0,1.312,72
47,Mar 31 2020 01: +0,1.408,71
48,Apr 01 2020 01: +0,1.363,67
49,Apr 02 2020 01: +0,1.525,80
50,Apr 03 2020 01: +0,1.483,82
51,Apr 04 2020 01: +0,1.496,60
52,Apr 05 2020 01: +0,1.569,74
53,Apr 06 2020 01: +0,1.608,60
54,Apr 07 2020 01: +0,1.687,68
55,Apr 08 2020 01: +0,1.85,69
56,Apr 09 2020 01: +0,1.838,93
57,Apr 10 2020 01: +0,1.744,70
58,Apr 11 2020 01: +0,1.761,66
59,Apr 12 2020 01: +0,1.816,73
60,Apr 13 2020 01: +0,1.901,68
61,Apr 14 2020 01: +0,1.876,60
62,Apr 15 2020 01: +0,1.885,55
63,Apr 16 2020 01: +0,1.958,82
64,Apr 17 2020 01: +0,1.775,86
65,Apr 18 2020 01: +0,1.914,65
66,Apr 19 2020 01: +0,1.921,58
67,Apr 20 2020 01: +0,1.923,53
68,Apr 21 2020 01: +0,1.829,51
69,Apr 22 2020 01: +0,1.883,55
70,Apr 23 2020 01: +0,1.992,56
71,Apr 24 2020 01: +0,1.875,54
72,Apr 25 2020 01: +0,2.016,78
73,Apr 26 2020 01: +0,2.179,69
74,Apr 27 2020 01: +0,2.149,63
75,Apr 28 2020 01: +0,2.469,52
76,Apr 29 2020 01: +0,2.178,44
77,Apr 30 2020 01: +0,2.195,55
78,May 01 2020 01: +0,2.283,55
79,May 02 2020 01: +0,2.207,47
80,May 03 2020 01: +0,2.24,47
81,May 04 2020 01: +0,2.142,48
82,May 05 2020 01: +0,2.293,49
83,May 06 2020 01: +0,2.226,44
84,May 07 2020 01: +0,2.222,58
85,May 08 2020 01: +0,2.399,60
86,May 09 2020 01: +0,2.628,75
87,May 10 2020 01: +0,2.793,40
88,May 11 2020 01: +0,2.883,57
89,May 12 2020 01: +0,2.89,34
90,May 13 2020 01: +0,2.988,48
91,May 14 2020 01: +0,2.741,51
92,May 15 2020 01: +0,2.538,50
93,May 16 2020 01: +0,2.592,64
94,May 17 2020 01: +0,2.625,55
95,May 18 2020 01: +0,2.803,49
96,May 19 2020 01: +0,2.7,25
97,May 20 2020 01: +0,2.625,41
98,May 21 2020 01: +0,2.568,25
99,May 22 2020 01: +0,2.43,41
100,May 23 2020 01: +0,2.687,36
101,May 24 2020 01: +0,2.743,35
102,May 25 2020 01: +0,2.59,25
103,May 26 2020 01: +0,2.606,48
104,May 27 2020 01: +0,2.433,33
105,May 28 2020 01: +0,2.394,48
106,May 29 2020 01: +0,2.179,52
107,May 30 2020 01: +0,2.356,40
108,May 31 2020 01: +0,2.33,37
109,Jun 01 2020 01: +0,2.357,29
110,Jun 02 2020 01: +0,2.351,39
111,Jun 03 2020 01: +0,2.265,31
112,Jun 04 2020 01: +0,2.148,39
113,Jun 05 2020 01: +0,2.307,44
114,Jun 06 2020 01: +0,2.363,36
115,Jun 07 2020 01: +0,2.44,47
116,Jun 08 2020 01: +0,2.589,39
117,Jun 09 2020 01: +0,2.453,33
118,Jun 10 2020 01: +0,2.436,35
119,Jun 11 2020 01: +0,2.077,49
120,Jun 12 2020 01: +0,1.629,71
121,Jun 13 2020 01: +0,1.407,38
122,Jun 14 2020 01: +0,1.481,37
123,Jun 15 2020 01: +0,1.575,32
124,Jun 16 2020 01: +0,1.556,31
125,Jun 17 2020 01: +0,1.476,22
126,Jun 18 2020 01: +0,1.398,32
127,Jun 19 2020 01: +0,1.338,31
128,Jun 20 2020 01: +0,1.302,26
129,Jun 21 2020 01: +0,1.288,32
130,Jun 22 2020 01: +0,1.318,29
131,Jun 23 2020 01: +0,1.227,38
132,Jun 24 2020 01: +0,1.325,30
133,Jun 25 2020 01: +0,1.087,39
134,Jun 26 2020 01: +0,1.096,25
135,Jun 27 2020 01: +0,1.16,35
136,Jun 28 2020 01: +0,1.173,36
137,Jun 29 2020 01: +0,1.307,35
138,Jun 30 2020 01: +0,1.274,32
139,Jul 01 2020 01: +0,1.366,36
140,Jul 02 2020 01: +0,1.485,47
141,Jul 03 2020 01: +0,1.501,31
142,Jul 04 2020 01: +0,1.44,23
143,Jul 05 2020 01: +0,1.485,27
144,Jul 06 2020 01: +0,1.454,34
145,Jul 07 2020 01: +0,1.512,42
146,Jul 08 2020 01: +0,1.444,34
147,Jul 09 2020 01: +0,1.493,37
148,Jul 10 2020 01: +0,1.624,37
149,Jul 11 2020 01: +0,1.947,37
150,Jul 12 2020 01: +0,1.812,29
151,Jul 13 2020 01: +0,1.7,29
152,Jul 14 2020 01: +0,1.747,36
153,Jul 15 2020 01: +0,1.799,46
154,Jul 16 2020 01: +0,1.911,23
155,Jul 17 2020 01: +0,1.973,29
156,Jul 18 2020 01: +0,1.796,27
157,Jul 19 2020 01: +0,1.974,36
158,Jul 20 2020 01: +0,1.923,34
159,Jul 21 2020 01: +0,1.612,33
160,Jul 22 2020 01: +0,1.785,27
161,Jul 23 2020 01: +0,1.778,30
162,Jul 24 2020 01: +0,1.799,39
163,Jul 25 2020 01: +0,1.839,41
164,Jul 26 2020 01: +0,1.804,36
