,time,price,volume
0,Apr 19 2018 01: +0,1.478,2
1,Apr 20 2018 01: +0,1.203,29
2,Apr 21 2018 01: +0,1.372,14
3,Apr 22 2018 01: +0,1.363,13
4,Apr 23 2018 01: +0,1.291,14
5,Apr 24 2018 01: +0,1.294,15
6,Apr 25 2018 01: +0,1.233,14
7,Apr 26 2018 01: +0,1.085,14
8,Apr 27 2018 01: +0,1.056,14
9,Apr 28 2018 01: +0,1.088,13
10,Apr 29 2018 01: +0,1.023,10
11,Apr 30 2018 01: +0,1.075,8
12,May 01 2018 01: +0,1.162,12
13,May 02 2018 01: +0,1.098,4
14,May 03 2018 01: +0,1.042,15
15,May 04 2018 01: +0,0.994,13
16,May 05 2018 01: +0,1.027,11
17,May 06 2018 01: +0,0.972,16
18,May 07 2018 01: +0,0.97,25
19,May 08 2018 01: +0,0.971,13
20,May 09 2018 01: +0,0.993,8
21,May 10 2018 01: +0,1.004,10
22,May 11 2018 01: +0,0.92,13
23,May 12 2018 01: +0,1.033,12
24,May 13 2018 01: +0,1.033,13
25,May 14 2018 01: +0,0.97,8
26,May 15 2018 01: +0,0.872,14
27,May 16 2018 01: +0,0.945,5
28,May 17 2018 01: +0,0.974,9
29,May 18 2018 01: +0,0.996,6
30,May 19 2018 01: +0,1.011,11
31,May 20 2018 01: +0,1.05,9
32,May 21 2018 01: +0,1.081,10
33,May 22 2018 01: +0,0.968,4
34,May 23 2018 01: +0,1.035,4
35,May 24 2018 01: +0,0.965,5
36,May 25 2018 01: +0,0.924,9
37,May 26 2018 01: +0,0.955,9
38,May 27 2018 01: +0,0.824,8
39,May 28 2018 01: +0,0.967,5
40,May 29 2018 01: +0,0.945,9
41,May 30 2018 01: +0,1.052,3
42,May 31 2018 01: +0,0.992,3
43,Jun 01 2018 01: +0,0.964,10
44,Jun 02 2018 01: +0,0.99,7
45,Jun 03 2018 01: +0,1.082,11
46,Jun 04 2018 01: +0,1.119,5
47,Jun 05 2018 01: +0,1.106,8
48,Jun 06 2018 01: +0,1.114,3
49,Jun 07 2018 01: +0,1.099,5
50,Jun 08 2018 01: +0,0.829,10
51,Jun 09 2018 01: +0,1.004,10
52,Jun 10 2018 01: +0,1.142,13
53,Jun 11 2018 01: +0,1.238,8
54,Jun 12 2018 01: +0,1.127,7
55,Jun 13 2018 01: +0,1.123,9
56,Jun 14 2018 01: +0,1.251,4
57,Jun 15 2018 01: +0,1.235,9
58,Jun 16 2018 01: +0,1.263,6
59,Jun 17 2018 01: +0,1.149,7
60,Jun 18 2018 01: +0,1.171,11
61,Jun 19 2018 01: +0,1.223,2
62,Jun 20 2018 01: +0,1.07,5
63,Jun 21 2018 01: +0,1.125,7
64,Jun 22 2018 01: +0,1.065,8
65,Jun 23 2018 01: +0,1.003,11
66,Jun 24 2018 01: +0,1.041,8
67,Jun 25 2018 01: +0,1.134,8
68,Jun 26 2018 01: +0,1.06,8
69,Jun 27 2018 01: +0,1.189,7
70,Jun 28 2018 01: +0,1.097,4
71,Jun 29 2018 01: +0,1.243,8
72,Jun 30 2018 01: +0,1.419,11
73,Jul 01 2018 01: +0,1.549,6
74,Jul 02 2018 01: +0,1.739,1
75,Jul 03 2018 01: +0,1.32,6
76,Jul 04 2018 01: +0,1.377,5
77,Jul 05 2018 01: +0,1.383,7
78,Jul 06 2018 01: +0,1.346,5
79,Jul 07 2018 01: +0,1.195,4
80,Jul 08 2018 01: +0,1.316,6
81,Jul 09 2018 01: +0,1.356,9
82,Jul 10 2018 01: +0,1.564,11
83,Jul 11 2018 01: +0,1.709,8
84,Jul 12 2018 01: +0,1.341,3
85,Jul 13 2018 01: +0,1.583,5
86,Jul 14 2018 01: +0,1.789,10
87,Jul 15 2018 01: +0,2.681,7
88,Jul 16 2018 01: +0,3.006,5
89,Jul 17 2018 01: +0,1.937,2
90,Jul 18 2018 01: +0,1.753,6
91,Jul 19 2018 01: +0,2.186,7
92,Jul 20 2018 01: +0,1.845,5
93,Jul 21 2018 01: +0,1.619,8
94,Jul 22 2018 01: +0,1.413,4
95,Jul 23 2018 01: +0,1.365,6
96,Jul 24 2018 01: +0,1.438,5
97,Jul 25 2018 01: +0,1.623,6
98,Jul 26 2018 01: +0,1.769,6
99,Jul 27 2018 01: +0,1.934,4
100,Jul 28 2018 01: +0,2.097,5
101,Jul 29 2018 01: +0,1.621,8
102,Jul 30 2018 01: +0,1.231,1
103,Jul 31 2018 01: +0,1.507,1
104,Aug 01 2018 01: +0,1.562,8
105,Aug 02 2018 01: +0,1.632,7
106,Aug 03 2018 01: +0,1.728,4
107,Aug 04 2018 01: +0,1.593,6
108,Aug 05 2018 01: +0,1.55,5
109,Aug 06 2018 01: +0,1.606,9
110,Aug 07 2018 01: +0,1.648,6
111,Aug 08 2018 01: +0,1.593,5
112,Aug 09 2018 01: +0,1.755,2
113,Aug 10 2018 01: +0,1.714,3
114,Aug 11 2018 01: +0,1.591,5
115,Aug 12 2018 01: +0,1.376,3
116,Aug 13 2018 01: +0,1.379,5
117,Aug 14 2018 01: +0,1.672,8
118,Aug 15 2018 01: +0,1.293,2
119,Aug 16 2018 01: +0,1.15,1
120,Aug 17 2018 01: +0,1.532,3
121,Aug 18 2018 01: +0,1.518,9
122,Aug 19 2018 01: +0,1.632,4
123,Aug 20 2018 01: +0,1.659,2
124,Aug 21 2018 01: +0,1.627,6
125,Aug 22 2018 01: +0,1.295,2
126,Aug 23 2018 01: +0,1.314,7
127,Aug 24 2018 01: +0,1.445,6
128,Aug 25 2018 01: +0,1.703,4
129,Aug 26 2018 01: +0,1.727,5
130,Aug 27 2018 01: +0,1.354,4
131,Aug 28 2018 01: +0,1.674,4
132,Aug 29 2018 01: +0,1.375,2
133,Aug 30 2018 01: +0,1.234,5
134,Aug 31 2018 01: +0,1.529,3
135,Sep 01 2018 01: +0,1.133,5
136,Sep 02 2018 01: +0,1.666,3
137,Sep 03 2018 01: +0,1.35,5
138,Sep 04 2018 01: +0,1.43,1
139,Sep 05 2018 01: +0,1.208,4
140,Sep 06 2018 01: +0,1.4,2
141,Sep 07 2018 01: +0,1.322,5
142,Sep 08 2018 01: +0,1.052,6
143,Sep 09 2018 01: +0,1.219,5
144,Sep 10 2018 01: +0,1.354,4
145,Sep 11 2018 01: +0,1.423,2
146,Sep 12 2018 01: +0,1.05,6
147,Sep 13 2018 01: +0,1.463,9
148,Sep 14 2018 01: +0,1.722,4
149,Sep 15 2018 01: +0,1.573,4
150,Sep 16 2018 01: +0,1.362,3
151,Sep 17 2018 01: +0,1.328,3
152,Sep 18 2018 01: +0,1.113,9
153,Sep 19 2018 01: +0,1.127,4
154,Sep 20 2018 01: +0,1.112,5
155,Sep 21 2018 01: +0,1.306,5
156,Sep 22 2018 01: +0,1.183,7
157,Sep 23 2018 01: +0,1.25,3
158,Sep 24 2018 01: +0,1.245,8
159,Sep 25 2018 01: +0,1.197,5
160,Sep 26 2018 01: +0,1.296,5
161,Sep 27 2018 01: +0,1.17,3
162,Sep 28 2018 01: +0,1.166,4
163,Sep 29 2018 01: +0,1.064,5
164,Sep 30 2018 01: +0,1.239,8
165,Oct 01 2018 01: +0,1.273,4
166,Oct 02 2018 01: +0,1.297,4
167,Oct 03 2018 01: +0,1.1,3
168,Oct 04 2018 01: +0,1.284,6
169,Oct 05 2018 01: +0,1.19,5
170,Oct 06 2018 01: +0,1.396,5
171,Oct 07 2018 01: +0,1.628,10
172,Oct 08 2018 01: +0,1.782,12
173,Oct 09 2018 01: +0,1.814,3
174,Oct 10 2018 01: +0,1.403,7
175,Oct 11 2018 01: +0,1.554,4
176,Oct 12 2018 01: +0,1.718,4
177,Oct 13 2018 01: +0,1.985,7
178,Oct 14 2018 01: +0,2.002,6
179,Oct 15 2018 01: +0,2.076,8
180,Oct 16 2018 01: +0,2.219,5
181,Oct 17 2018 01: +0,2.026,4
182,Oct 18 2018 01: +0,1.662,3
183,Oct 19 2018 01: +0,1.625,5
184,Oct 20 2018 01: +0,1.944,10
185,Oct 21 2018 01: +0,1.902,6
186,Oct 22 2018 01: +0,1.98,8
187,Oct 24 2018 01: +0,1.978,5
188,Oct 25 2018 01: +0,2.034,3
189,Oct 26 2018 01: +0,2.176,2
190,Oct 27 2018 01: +0,1.571,2
191,Oct 28 2018 01: +0,1.474,6
192,Oct 29 2018 01: +0,1.587,7
193,Oct 30 2018 01: +0,1.797,5
194,Oct 31 2018 01: +0,1.808,5
195,Nov 01 2018 01: +0,1.962,2
196,Nov 02 2018 01: +0,1.832,1
197,Nov 03 2018 01: +0,1.949,7
198,Nov 04 2018 01: +0,1.549,4
199,Nov 05 2018 01: +0,1.785,5
200,Nov 06 2018 01: +0,1.908,6
201,Nov 07 2018 01: +0,2.025,4
202,Nov 08 2018 01: +0,1.904,9
203,Nov 09 2018 01: +0,1.8,4
204,Nov 10 2018 01: +0,1.922,3
205,Nov 11 2018 01: +0,1.835,4
206,Nov 12 2018 01: +0,2.083,6
207,Nov 13 2018 01: +0,1.999,6
208,Nov 14 2018 01: +0,2.077,4
209,Nov 15 2018 01: +0,2.137,3
210,Nov 16 2018 01: +0,2.009,5
211,Nov 17 2018 01: +0,2.103,7
212,Nov 18 2018 01: +0,2.239,7
213,Nov 19 2018 01: +0,2.162,5
214,Nov 20 2018 01: +0,2.318,2
215,Nov 21 2018 01: +0,1.869,3
216,Nov 22 2018 01: +0,2.221,9
217,Nov 23 2018 01: +0,1.89,4
218,Nov 24 2018 01: +0,1.73,3
219,Nov 25 2018 01: +0,1.676,4
220,Nov 26 2018 01: +0,2.024,2
221,Nov 27 2018 01: +0,1.608,1
222,Nov 28 2018 01: +0,1.705,1
223,Nov 29 2018 01: +0,1.713,5
224,Nov 30 2018 01: +0,1.735,8
225,Dec 01 2018 01: +0,2.055,2
226,Dec 02 2018 01: +0,1.837,2
227,Dec 03 2018 01: +0,2.072,5
228,Dec 04 2018 01: +0,2.359,6
229,Dec 05 2018 01: +0,2.434,2
230,Dec 06 2018 01: +0,2.057,5
231,Dec 07 2018 01: +0,2.376,5
232,Dec 08 2018 01: +0,2.364,3
233,Dec 09 2018 01: +0,1.824,6
234,Dec 10 2018 01: +0,2.195,5
235,Dec 11 2018 01: +0,3.062,12
236,Dec 12 2018 01: +0,2.012,1
237,Dec 14 2018 01: +0,2.26,7
238,Dec 15 2018 01: +0,2.459,4
239,Dec 16 2018 01: +0,2.774,4
240,Dec 17 2018 01: +0,2.271,5
241,Dec 18 2018 01: +0,2.18,2
242,Dec 19 2018 01: +0,2.251,6
243,Dec 20 2018 01: +0,2.849,5
244,Dec 21 2018 01: +0,2.481,7
245,Dec 22 2018 01: +0,1.821,5
246,Dec 24 2018 01: +0,1.958,9
247,Dec 25 2018 01: +0,2.533,6
248,Dec 26 2018 01: +0,2.438,6
249,Dec 27 2018 01: +0,2.856,10
250,Dec 28 2018 01: +0,3.047,6
251,Dec 29 2018 01: +0,2.988,6
252,Dec 30 2018 01: +0,3.233,2
253,Dec 31 2018 01: +0,2.99,1
254,Jan 01 2019 01: +0,3.004,7
255,Jan 02 2019 01: +0,3.277,4
