,time,price,volume
0,Nov 01 2019 01: +0,3.78,4
1,Nov 02 2019 01: +0,2.543,7
2,Nov 03 2019 01: +0,2.501,5
3,Nov 04 2019 01: +0,2.453,5
4,Nov 05 2019 01: +0,2.012,1
5,Nov 06 2019 01: +0,2.516,1
6,Nov 07 2019 01: +0,2.097,3
7,Nov 08 2019 01: +0,1.449,10
8,Nov 09 2019 01: +0,1.382,7
9,Nov 10 2019 01: +0,1.442,5
10,Nov 11 2019 01: +0,1.484,4
11,Nov 12 2019 01: +0,1.511,3
12,Nov 13 2019 01: +0,1.549,4
13,Nov 14 2019 01: +0,1.459,3
14,Nov 15 2019 01: +0,1.503,2
15,Nov 16 2019 01: +0,1.476,5
16,Nov 17 2019 01: +0,1.548,3
17,Nov 18 2019 01: +0,1.224,12
18,Nov 19 2019 01: +0,1.233,4
19,Nov 20 2019 01: +0,1.221,5
20,Nov 21 2019 01: +0,1.086,3
21,Nov 22 2019 01: +0,1.158,10
22,Nov 23 2019 01: +0,1.163,4
23,Nov 24 2019 01: +0,1.127,7
24,Nov 25 2019 01: +0,1.145,3
25,Nov 26 2019 01: +0,1.175,5
26,Nov 27 2019 01: +0,1.099,8
27,Nov 28 2019 01: +0,1.068,8
28,Nov 29 2019 01: +0,1.1,3
29,Nov 30 2019 01: +0,1.082,3
30,Dec 01 2019 01: +0,1.07,2
31,Dec 02 2019 01: +0,1.045,5
32,Dec 03 2019 01: +0,1.063,3
33,Dec 04 2019 01: +0,1.074,2
34,Dec 05 2019 01: +0,0.863,3
35,Dec 06 2019 01: +0,0.997,3
36,Dec 07 2019 01: +0,0.947,5
37,Dec 08 2019 01: +0,0.832,4
38,Dec 09 2019 01: +0,1.005,6
39,Dec 10 2019 01: +0,1.01,10
40,Dec 11 2019 01: +0,0.997,3
41,Dec 12 2019 01: +0,1.04,1
42,Dec 13 2019 01: +0,0.974,8
43,Dec 14 2019 01: +0,1.016,4
44,Dec 15 2019 01: +0,1.014,3
45,Dec 16 2019 01: +0,0.988,5
46,Dec 17 2019 01: +0,1.01,5
47,Dec 18 2019 01: +0,0.989,6
48,Dec 19 2019 01: +0,0.994,5
49,Dec 20 2019 01: +0,0.96,2
50,Dec 21 2019 01: +0,0.996,3
51,Dec 22 2019 01: +0,1.036,3
52,Dec 23 2019 01: +0,1.007,4
53,Dec 24 2019 01: +0,1.059,7
54,Dec 25 2019 01: +0,1.119,7
55,Dec 26 2019 01: +0,1.209,7
56,Dec 27 2019 01: +0,1.232,2
57,Dec 28 2019 01: +0,1.023,5
58,Dec 29 2019 01: +0,1.052,2
59,Dec 30 2019 01: +0,1.206,3
60,Dec 31 2019 01: +0,1.177,6
61,Jan 01 2020 01: +0,1.244,3
62,Jan 02 2020 01: +0,0.968,3
63,Jan 03 2020 01: +0,1.188,3
64,Jan 04 2020 01: +0,1.045,5
65,Jan 05 2020 01: +0,1.303,7
66,Jan 06 2020 01: +0,1.352,4
67,Jan 07 2020 01: +0,1.369,4
68,Jan 08 2020 01: +0,1.956,6
69,Jan 09 2020 01: +0,1.77,1
70,Jan 10 2020 01: +0,1.581,6
71,Jan 11 2020 01: +0,1.445,6
72,Jan 12 2020 01: +0,1.524,5
73,Jan 13 2020 01: +0,0.933,1
74,Jan 14 2020 01: +0,1.351,4
75,Jan 15 2020 01: +0,1.203,4
76,Jan 16 2020 01: +0,0.967,6
77,Jan 17 2020 01: +0,0.919,6
78,Jan 18 2020 01: +0,1.017,6
79,Jan 19 2020 01: +0,1.387,8
80,Jan 20 2020 01: +0,1.477,3
81,Jan 21 2020 01: +0,1.446,6
82,Jan 22 2020 01: +0,1.44,1
83,Jan 23 2020 01: +0,1.23,1
84,Jan 24 2020 01: +0,1.251,4
85,Jan 25 2020 01: +0,1.345,2
86,Jan 26 2020 01: +0,1.193,4
87,Jan 27 2020 01: +0,1.265,5
88,Jan 28 2020 01: +0,1.212,4
89,Jan 30 2020 01: +0,1.168,4
90,Jan 31 2020 01: +0,1.145,3
91,Feb 01 2020 01: +0,1.379,6
92,Feb 02 2020 01: +0,1.116,4
93,Feb 03 2020 01: +0,1.238,6
94,Feb 04 2020 01: +0,1.436,4
95,Feb 05 2020 01: +0,1.645,2
96,Feb 06 2020 01: +0,1.331,4
97,Feb 07 2020 01: +0,1.471,3
98,Feb 08 2020 01: +0,1.127,2
99,Feb 09 2020 01: +0,1.264,6
100,Feb 10 2020 01: +0,1.074,3
101,Feb 11 2020 01: +0,1.225,3
102,Feb 12 2020 01: +0,1.165,3
103,Feb 13 2020 01: +0,1.238,3
104,Feb 14 2020 01: +0,1.25,3
105,Feb 15 2020 01: +0,1.223,5
106,Feb 16 2020 01: +0,1.295,7
107,Feb 17 2020 01: +0,1.291,2
108,Feb 18 2020 01: +0,1.253,3
109,Feb 19 2020 01: +0,1.335,3
110,Feb 20 2020 01: +0,1.338,2
111,Feb 21 2020 01: +0,1.346,2
112,Feb 22 2020 01: +0,1.198,4
113,Feb 23 2020 01: +0,1.294,3
114,Feb 24 2020 01: +0,1.338,1
115,Feb 26 2020 01: +0,1.044,6
116,Feb 27 2020 01: +0,1.349,3
117,Feb 29 2020 01: +0,1.16,2
118,Mar 01 2020 01: +0,1.196,7
119,Mar 02 2020 01: +0,1.183,4
120,Mar 03 2020 01: +0,1.258,2
121,Mar 04 2020 01: +0,1.353,2
122,Mar 05 2020 01: +0,1.186,2
123,Mar 06 2020 01: +0,1.332,3
124,Mar 07 2020 01: +0,1.297,3
125,Mar 08 2020 01: +0,1.209,3
126,Mar 09 2020 01: +0,1.206,3
127,Mar 10 2020 01: +0,1.133,5
128,Mar 11 2020 01: +0,1.314,1
129,Mar 12 2020 01: +0,0.969,7
130,Mar 13 2020 01: +0,1.083,2
131,Mar 14 2020 01: +0,1.153,3
132,Mar 15 2020 01: +0,1.139,4
133,Mar 16 2020 01: +0,0.685,1
134,Mar 17 2020 01: +0,1.011,3
135,Mar 18 2020 01: +0,0.999,5
136,Mar 19 2020 01: +0,1.123,4
137,Mar 20 2020 01: +0,1.108,5
138,Mar 21 2020 01: +0,1.131,3
139,Mar 22 2020 01: +0,0.918,5
140,Mar 23 2020 01: +0,1.03,4
141,Mar 24 2020 01: +0,0.903,3
142,Mar 25 2020 01: +0,0.94,3
143,Mar 26 2020 01: +0,0.785,3
144,Mar 27 2020 01: +0,0.957,9
145,Mar 28 2020 01: +0,1.037,4
146,Mar 29 2020 01: +0,1.022,6
147,Mar 30 2020 01: +0,0.989,3
148,Mar 31 2020 01: +0,0.862,3
149,Apr 01 2020 01: +0,0.911,7
150,Apr 02 2020 01: +0,0.875,4
151,Apr 03 2020 01: +0,0.907,3
152,Apr 04 2020 01: +0,0.945,8
153,Apr 05 2020 01: +0,0.926,6
154,Apr 06 2020 01: +0,0.942,5
155,Apr 07 2020 01: +0,0.962,5
156,Apr 08 2020 01: +0,0.979,6
157,Apr 09 2020 01: +0,0.906,4
158,Apr 10 2020 01: +0,1.042,7
159,Apr 11 2020 01: +0,0.963,7
160,Apr 12 2020 01: +0,0.952,8
161,Apr 13 2020 01: +0,1.086,6
162,Apr 14 2020 01: +0,1.113,4
163,Apr 15 2020 01: +0,1.001,7
164,Apr 16 2020 01: +0,0.859,3
165,Apr 17 2020 01: +0,0.93,4
166,Apr 18 2020 01: +0,0.964,4
167,Apr 19 2020 01: +0,1.078,3
168,Apr 20 2020 01: +0,1.036,2
169,Apr 21 2020 01: +0,0.948,5
170,Apr 22 2020 01: +0,1.003,3
171,Apr 23 2020 01: +0,0.819,2
172,Apr 24 2020 01: +0,1.038,5
173,Apr 25 2020 01: +0,0.96,7
174,Apr 26 2020 01: +0,1.027,5
175,Apr 27 2020 01: +0,0.993,5
176,Apr 29 2020 01: +0,0.964,4
177,Apr 30 2020 01: +0,0.755,6
178,May 01 2020 01: +0,0.929,5
179,May 02 2020 01: +0,0.995,3
180,May 03 2020 01: +0,0.949,4
181,May 04 2020 01: +0,0.945,6
182,May 05 2020 01: +0,0.983,8
183,May 06 2020 01: +0,0.997,6
184,May 07 2020 01: +0,0.983,7
185,May 08 2020 01: +0,1.015,5
186,May 09 2020 01: +0,1.015,6
187,May 10 2020 01: +0,1.045,4
188,May 11 2020 01: +0,1.042,4
189,May 12 2020 01: +0,1.064,5
190,May 14 2020 01: +0,0.813,5
191,May 15 2020 01: +0,1.015,5
192,May 16 2020 01: +0,1.037,5
193,May 17 2020 01: +0,1.012,7
194,May 18 2020 01: +0,0.933,6
195,May 19 2020 01: +0,1.03,2
196,May 20 2020 01: +0,1.006,5
197,May 21 2020 01: +0,1.107,2
198,May 22 2020 01: +0,1.102,5
199,May 23 2020 01: +0,1.074,7
200,May 24 2020 01: +0,1.087,7
201,May 25 2020 01: +0,1.178,4
202,May 26 2020 01: +0,1.154,3
203,May 27 2020 01: +0,1.01,3
204,May 28 2020 01: +0,1.02,3
205,May 29 2020 01: +0,0.975,4
206,May 30 2020 01: +0,0.974,6
207,May 31 2020 01: +0,0.822,3
208,Jun 01 2020 01: +0,0.937,2
209,Jun 02 2020 01: +0,0.897,7
210,Jun 03 2020 01: +0,0.952,2
211,Jun 04 2020 01: +0,0.985,5
212,Jun 05 2020 01: +0,1.021,3
213,Jun 06 2020 01: +0,1.14,4
214,Jun 07 2020 01: +0,1.193,4
215,Jun 08 2020 01: +0,1.174,4
216,Jun 09 2020 01: +0,1.17,2
217,Jun 10 2020 01: +0,1.049,4
218,Jun 12 2020 01: +0,0.867,5
219,Jun 13 2020 01: +0,0.921,5
220,Jun 14 2020 01: +0,1.038,1
221,Jun 15 2020 01: +0,0.937,3
222,Jun 16 2020 01: +0,0.89,2
223,Jun 17 2020 01: +0,0.768,5
224,Jun 18 2020 01: +0,0.851,3
225,Jun 19 2020 01: +0,0.862,2
226,Jun 20 2020 01: +0,0.799,3
227,Jun 21 2020 01: +0,0.779,4
228,Jun 22 2020 01: +0,0.936,2
229,Jun 23 2020 01: +0,0.905,1
230,Jun 24 2020 01: +0,0.904,2
231,Jun 25 2020 01: +0,0.683,2
232,Jun 26 2020 01: +0,0.832,4
233,Jun 27 2020 01: +0,0.776,3
234,Jun 28 2020 01: +0,0.727,3
235,Jun 29 2020 01: +0,0.83,4
236,Jun 30 2020 01: +0,0.835,2
237,Jul 01 2020 01: +0,0.828,3
238,Jul 02 2020 01: +0,0.817,6
239,Jul 03 2020 01: +0,0.83,1
240,Jul 04 2020 01: +0,0.96,2
241,Jul 05 2020 01: +0,0.9,5
242,Jul 06 2020 01: +0,0.835,2
243,Jul 07 2020 01: +0,0.856,3
244,Jul 09 2020 01: +0,0.74,1
245,Jul 10 2020 01: +0,0.874,2
246,Jul 11 2020 04: +0,0.706,1
247,Jul 11 2020 05: +0,0.921,1
248,Jul 11 2020 06: +0,0.912,1
249,Jul 11 2020 10: +0,0.983,1
250,Jul 11 2020 17: +0,0.985,1
251,Jul 11 2020 19: +0,0.99,1
252,Jul 12 2020 04: +0,0.847,1
253,Jul 12 2020 22: +0,0.65,1
254,Jul 12 2020 23: +0,0.786,1
255,Jul 13 2020 00: +0,0.8,1
256,Jul 13 2020 02: +0,0.8,1
257,Jul 14 2020 12: +0,0.92,1
258,Jul 14 2020 19: +0,0.885,1
259,Jul 14 2020 22: +0,1.01,1
260,Jul 15 2020 09: +0,1.012,1
261,Jul 15 2020 19: +0,0.999,1
262,Jul 17 2020 03: +0,1.0,1
263,Jul 17 2020 09: +0,1.045,2
264,Jul 17 2020 10: +0,1.08,1
265,Jul 17 2020 11: +0,1.1,1
266,Jul 17 2020 19: +0,1.04,1
267,Jul 18 2020 01: +0,1.133,1
268,Jul 18 2020 02: +0,1.137,1
269,Jul 18 2020 04: +0,1.12,1
270,Jul 18 2020 21: +0,0.77,1
271,Jul 18 2020 22: +0,0.777,1
272,Jul 19 2020 03: +0,1.107,1
273,Jul 19 2020 07: +0,1.12,1
274,Jul 19 2020 18: +0,1.15,1
275,Jul 20 2020 02: +0,1.11,1
276,Jul 20 2020 05: +0,1.123,1
277,Jul 20 2020 12: +0,0.682,1
278,Jul 21 2020 09: +0,0.8,1
279,Jul 21 2020 19: +0,0.814,1
280,Jul 22 2020 09: +0,0.821,1
281,Jul 22 2020 12: +0,0.916,1
282,Jul 23 2020 13: +0,0.92,1
283,Jul 23 2020 15: +0,0.926,2
284,Jul 23 2020 20: +0,0.69,1
285,Jul 24 2020 04: +0,0.8,1
286,Jul 24 2020 09: +0,0.797,1
287,Jul 24 2020 13: +0,0.774,1
288,Jul 24 2020 14: +0,0.797,1
289,Jul 24 2020 21: +0,0.813,1
290,Jul 25 2020 00: +0,0.96,1
291,Jul 25 2020 06: +0,0.96,1
292,Jul 25 2020 10: +0,0.782,1
293,Jul 25 2020 19: +0,0.95,2
294,Jul 25 2020 22: +0,0.956,1
295,Jul 26 2020 00: +0,0.89,1
296,Jul 26 2020 06: +0,0.931,2
297,Jul 26 2020 20: +0,0.793,1
298,Jul 27 2020 04: +0,0.75,1
299,Jul 27 2020 05: +0,0.95,1
300,Jul 27 2020 10: +0,0.947,1
301,Jul 27 2020 13: +0,0.881,1
302,Jul 27 2020 18: +0,0.836,1
303,Jul 28 2020 09: +0,0.94,1
304,Jul 29 2020 10: +0,0.904,1
305,Jul 29 2020 19: +0,0.89,1
306,Jul 30 2020 05: +0,0.89,1
307,Jul 30 2020 11: +0,0.903,1
308,Jul 30 2020 19: +0,0.903,1
309,Jul 31 2020 15: +0,0.74,1
310,Aug 01 2020 02: +0,0.84,1
311,Aug 01 2020 10: +0,0.8,1
312,Aug 01 2020 16: +0,0.85,1
313,Aug 02 2020 16: +0,0.827,1
314,Aug 02 2020 17: +0,0.849,1
315,Aug 02 2020 22: +0,0.856,1
316,Aug 03 2020 13: +0,0.84,1
317,Aug 03 2020 17: +0,0.85,1
318,Aug 03 2020 23: +0,0.85,1
319,Aug 04 2020 05: +0,0.86,2
320,Aug 04 2020 16: +0,0.71,1
321,Aug 04 2020 18: +0,0.86,1
322,Aug 05 2020 10: +0,0.854,1
323,Aug 05 2020 13: +0,0.86,1
324,Aug 05 2020 21: +0,0.878,1
325,Aug 06 2020 02: +0,0.605,1
326,Aug 06 2020 12: +0,0.78,3
327,Aug 07 2020 05: +0,0.83,1
328,Aug 07 2020 13: +0,0.816,1
329,Aug 08 2020 00: +0,0.81,1
330,Aug 08 2020 19: +0,0.8,1
331,Aug 09 2020 18: +0,0.717,1
332,Aug 10 2020 02: +0,0.76,1
333,Aug 10 2020 07: +0,0.725,2
334,Aug 10 2020 08: +0,0.769,1
335,Aug 10 2020 17: +0,0.767,1
336,Aug 10 2020 19: +0,0.764,1
337,Aug 10 2020 23: +0,0.774,1
