,time,price,volume
0,Jul 10 2020 01: +0,1.17,1
1,Jul 11 2020 01: +0,0.737,2
2,Jul 12 2020 01: +0,0.702,6
3,Jul 13 2020 01: +0,0.643,5
4,Jul 14 2020 01: +0,0.846,5
5,Jul 15 2020 01: +0,0.645,7
6,Jul 16 2020 01: +0,0.726,20
7,Jul 17 2020 01: +0,0.616,33
8,Jul 18 2020 01: +0,0.557,24
9,Jul 19 2020 01: +0,0.587,22
10,Jul 20 2020 01: +0,0.648,19
11,Jul 21 2020 01: +0,0.745,19
12,Jul 22 2020 01: +0,0.705,15
13,Jul 23 2020 01: +0,0.694,25
14,Jul 24 2020 01: +0,0.606,23
15,Jul 25 2020 01: +0,0.623,25
16,Jul 26 2020 01: +0,0.697,16
17,Jul 27 2020 01: +0,0.686,20
18,Jul 28 2020 01: +0,0.667,8
19,Jul 29 2020 01: +0,0.685,26
20,Jul 30 2020 01: +0,0.744,11
21,Jul 31 2020 01: +0,0.68,12
22,Aug 01 2020 01: +0,0.633,20
23,Aug 02 2020 01: +0,0.655,18
24,Aug 03 2020 01: +0,0.705,13
25,Aug 04 2020 01: +0,0.688,13
26,Aug 05 2020 01: +0,0.633,8
27,Aug 06 2020 01: +0,0.609,24
28,Aug 07 2020 01: +0,0.574,17
29,Aug 08 2020 01: +0,0.614,16
30,Aug 09 2020 01: +0,0.589,22
31,Aug 10 2020 01: +0,0.628,22
32,Aug 11 2020 01: +0,0.565,18
33,Aug 12 2020 01: +0,0.563,22
34,Aug 13 2020 01: +0,0.574,19
35,Aug 14 2020 01: +0,0.576,20
36,Aug 15 2020 01: +0,0.541,20
37,Aug 16 2020 01: +0,0.589,17
38,Aug 17 2020 01: +0,0.538,15
39,Aug 18 2020 01: +0,0.564,12
40,Aug 19 2020 01: +0,0.486,14
41,Aug 20 2020 01: +0,0.515,20
42,Aug 21 2020 01: +0,0.542,16
43,Aug 22 2020 01: +0,0.45,20
44,Aug 23 2020 01: +0,0.566,26
45,Aug 24 2020 01: +0,0.57,12
46,Aug 25 2020 01: +0,0.52,8
47,Aug 26 2020 01: +0,0.507,17
48,Aug 27 2020 01: +0,0.503,27
49,Aug 28 2020 01: +0,0.524,25
50,Aug 29 2020 01: +0,0.499,24
51,Aug 30 2020 01: +0,0.477,16
52,Aug 31 2020 01: +0,0.497,26
53,Sep 01 2020 01: +0,0.494,14
54,Sep 02 2020 01: +0,0.477,21
55,Sep 03 2020 01: +0,0.455,30
56,Sep 04 2020 01: +0,0.482,27
57,Sep 05 2020 01: +0,0.5,21
58,Sep 06 2020 01: +0,0.516,22
59,Sep 07 2020 01: +0,0.486,18
60,Sep 08 2020 01: +0,0.474,22
61,Sep 09 2020 01: +0,0.459,27
62,Sep 10 2020 01: +0,0.491,21
63,Sep 11 2020 01: +0,0.47,21
64,Sep 12 2020 01: +0,0.443,11
65,Sep 13 2020 01: +0,0.487,14
66,Sep 14 2020 01: +0,0.465,15
67,Sep 15 2020 01: +0,0.48,15
68,Sep 16 2020 01: +0,0.454,19
69,Sep 17 2020 01: +0,0.454,15
70,Sep 18 2020 01: +0,0.457,17
71,Sep 19 2020 01: +0,0.45,26
72,Sep 20 2020 01: +0,0.46,20
73,Sep 21 2020 01: +0,0.472,15
74,Sep 22 2020 01: +0,0.464,7
75,Sep 23 2020 01: +0,0.488,5
76,Sep 24 2020 01: +0,0.444,21
77,Sep 25 2020 01: +0,0.414,21
78,Sep 26 2020 01: +0,0.45,16
79,Sep 27 2020 01: +0,0.483,16
80,Sep 28 2020 01: +0,0.404,19
81,Sep 29 2020 01: +0,0.456,12
82,Sep 30 2020 01: +0,0.433,13
83,Oct 01 2020 01: +0,0.429,21
84,Oct 02 2020 01: +0,0.425,18
85,Oct 03 2020 01: +0,0.442,39
86,Oct 04 2020 01: +0,0.445,11
87,Oct 05 2020 01: +0,0.447,11
88,Oct 06 2020 01: +0,0.446,12
89,Oct 07 2020 01: +0,0.475,23
90,Oct 08 2020 01: +0,0.453,19
91,Oct 09 2020 01: +0,0.455,20
92,Oct 10 2020 01: +0,0.465,14
93,Oct 11 2020 01: +0,0.479,11
94,Oct 12 2020 01: +0,0.425,9
95,Oct 13 2020 01: +0,0.418,12
96,Oct 14 2020 01: +0,0.447,31
97,Oct 15 2020 01: +0,0.493,14
98,Oct 16 2020 01: +0,0.431,22
99,Oct 17 2020 01: +0,0.437,22
100,Oct 18 2020 01: +0,0.453,12
101,Oct 19 2020 01: +0,0.462,13
102,Oct 20 2020 01: +0,0.456,24
103,Oct 21 2020 01: +0,0.408,10
104,Oct 22 2020 01: +0,0.432,18
105,Oct 23 2020 01: +0,0.41,19
