,time,price,volume
0,Jun 21 2018 01: +0,4.5,1
1,Jun 22 2018 01: +0,3.913,6
2,Jun 23 2018 01: +0,3.0,9
3,Jun 24 2018 01: +0,3.106,7
4,Jun 25 2018 01: +0,3.249,4
5,Jun 26 2018 01: +0,3.443,7
6,Jun 27 2018 01: +0,3.168,6
7,Jun 28 2018 01: +0,3.301,4
8,Jun 29 2018 01: +0,3.284,5
9,Jun 30 2018 01: +0,3.022,4
10,Jul 01 2018 01: +0,3.244,4
11,Jul 02 2018 01: +0,3.023,4
12,Jul 03 2018 01: +0,3.229,4
13,Jul 04 2018 01: +0,3.254,4
14,Jul 05 2018 01: +0,2.858,6
15,Jul 06 2018 01: +0,3.276,4
16,Jul 07 2018 01: +0,3.122,7
17,Jul 08 2018 01: +0,3.728,12
18,Jul 09 2018 01: +0,7.218,5
19,Jul 10 2018 01: +0,7.303,3
20,Jul 11 2018 01: +0,7.081,4
21,Jul 12 2018 01: +0,5.898,5
22,Jul 13 2018 01: +0,4.226,6
23,Jul 14 2018 01: +0,4.471,7
24,Jul 15 2018 01: +0,4.206,4
25,Jul 16 2018 01: +0,3.99,5
26,Jul 17 2018 01: +0,3.517,5
27,Jul 18 2018 01: +0,3.635,1
28,Jul 19 2018 01: +0,3.737,4
29,Jul 20 2018 01: +0,3.686,5
30,Jul 21 2018 01: +0,3.778,4
31,Jul 22 2018 01: +0,3.689,3
32,Jul 23 2018 01: +0,3.728,5
33,Jul 24 2018 01: +0,3.628,7
34,Jul 26 2018 01: +0,3.55,6
35,Jul 27 2018 01: +0,3.211,2
36,Jul 28 2018 01: +0,3.403,6
37,Jul 29 2018 01: +0,3.534,4
38,Jul 30 2018 01: +0,3.784,6
39,Jul 31 2018 01: +0,3.487,3
40,Aug 01 2018 01: +0,3.964,5
41,Aug 02 2018 01: +0,3.865,5
42,Aug 03 2018 01: +0,3.371,4
43,Aug 04 2018 01: +0,3.326,3
44,Aug 05 2018 01: +0,2.9,1
45,Aug 06 2018 01: +0,3.628,5
46,Aug 07 2018 01: +0,3.626,4
47,Aug 08 2018 01: +0,3.515,6
48,Aug 09 2018 01: +0,2.796,1
49,Aug 10 2018 01: +0,3.171,6
50,Aug 11 2018 01: +0,3.581,5
51,Aug 12 2018 01: +0,4.575,2
52,Aug 13 2018 01: +0,4.341,6
53,Aug 14 2018 01: +0,4.472,5
54,Aug 15 2018 01: +0,3.945,3
55,Aug 16 2018 01: +0,3.968,3
56,Aug 17 2018 01: +0,3.38,5
57,Aug 18 2018 01: +0,3.5,4
58,Aug 19 2018 01: +0,3.63,3
59,Aug 20 2018 01: +0,2.797,4
60,Aug 21 2018 01: +0,3.222,4
61,Aug 22 2018 01: +0,3.739,3
62,Aug 23 2018 01: +0,3.942,1
63,Aug 24 2018 01: +0,3.641,1
64,Aug 25 2018 01: +0,3.605,5
65,Aug 26 2018 01: +0,2.55,2
66,Aug 27 2018 01: +0,4.878,2
67,Aug 28 2018 01: +0,5.485,2
68,Aug 29 2018 01: +0,4.348,5
69,Aug 30 2018 01: +0,4.996,5
70,Aug 31 2018 01: +0,3.805,3
71,Sep 01 2018 01: +0,4.606,3
72,Sep 02 2018 01: +0,3.84,3
73,Sep 03 2018 01: +0,4.055,3
74,Sep 05 2018 01: +0,3.019,3
75,Sep 06 2018 01: +0,2.887,2
76,Sep 07 2018 01: +0,2.944,3
77,Sep 08 2018 01: +0,2.949,4
78,Sep 09 2018 01: +0,3.0,1
79,Sep 10 2018 01: +0,3.366,7
80,Sep 11 2018 01: +0,4.436,4
81,Sep 12 2018 01: +0,4.41,3
82,Sep 13 2018 01: +0,3.932,1
83,Sep 14 2018 01: +0,3.96,5
84,Sep 15 2018 01: +0,3.969,2
85,Sep 16 2018 01: +0,3.951,2
86,Sep 17 2018 01: +0,3.847,1
87,Sep 18 2018 01: +0,3.828,5
88,Sep 19 2018 01: +0,3.815,1
89,Sep 20 2018 01: +0,3.834,7
90,Sep 21 2018 01: +0,3.741,1
91,Sep 22 2018 01: +0,3.907,2
92,Sep 23 2018 01: +0,3.635,1
93,Sep 24 2018 01: +0,3.636,4
94,Sep 26 2018 01: +0,3.336,4
95,Sep 27 2018 01: +0,4.005,4
96,Sep 28 2018 01: +0,4.113,4
97,Sep 29 2018 01: +0,4.2,5
98,Sep 30 2018 01: +0,3.969,3
99,Oct 02 2018 01: +0,4.039,2
100,Oct 03 2018 01: +0,3.539,2
101,Oct 04 2018 01: +0,4.824,5
102,Oct 06 2018 01: +0,4.86,1
103,Oct 07 2018 01: +0,5.293,7
104,Oct 08 2018 01: +0,4.545,3
105,Oct 09 2018 01: +0,5.871,3
106,Oct 10 2018 01: +0,6.115,10
107,Oct 12 2018 01: +0,5.72,1
108,Oct 13 2018 01: +0,10.285,2
109,Oct 14 2018 01: +0,9.897,1
110,Oct 15 2018 01: +0,8.986,3
111,Oct 16 2018 01: +0,9.02,1
112,Oct 17 2018 01: +0,5.825,3
113,Oct 18 2018 01: +0,6.815,4
114,Oct 19 2018 01: +0,6.326,4
115,Oct 20 2018 01: +0,7.015,4
116,Oct 21 2018 01: +0,4.731,1
117,Oct 22 2018 01: +0,4.511,6
118,Oct 23 2018 01: +0,4.531,2
119,Oct 24 2018 01: +0,5.445,5
120,Oct 25 2018 01: +0,6.211,3
121,Oct 26 2018 01: +0,6.195,2
122,Oct 27 2018 01: +0,5.994,3
123,Oct 28 2018 01: +0,5.933,3
124,Oct 29 2018 01: +0,5.985,2
125,Oct 30 2018 01: +0,4.717,3
126,Oct 31 2018 01: +0,5.158,1
127,Nov 01 2018 01: +0,4.953,2
128,Nov 02 2018 01: +0,4.561,1
129,Nov 03 2018 01: +0,4.975,3
130,Nov 04 2018 01: +0,4.768,6
131,Nov 05 2018 01: +0,5.142,1
132,Nov 06 2018 01: +0,5.16,2
133,Nov 07 2018 01: +0,4.636,2
134,Nov 08 2018 01: +0,5.47,1
135,Nov 09 2018 01: +0,6.13,1
136,Nov 10 2018 01: +0,4.059,1
137,Nov 11 2018 01: +0,6.242,2
138,Nov 12 2018 01: +0,6.3,9
139,Nov 13 2018 01: +0,6.83,1
140,Nov 14 2018 01: +0,6.286,1
141,Nov 15 2018 01: +0,6.24,1
142,Nov 17 2018 01: +0,6.54,4
143,Nov 18 2018 01: +0,7.033,3
144,Nov 19 2018 01: +0,7.06,1
145,Nov 21 2018 01: +0,7.056,5
146,Nov 22 2018 01: +0,7.049,2
147,Nov 23 2018 01: +0,6.848,4
148,Nov 24 2018 01: +0,7.564,2
149,Nov 25 2018 01: +0,6.805,1
150,Nov 26 2018 01: +0,5.214,1
151,Nov 27 2018 01: +0,6.356,4
152,Nov 28 2018 01: +0,6.99,1
153,Nov 29 2018 01: +0,7.258,4
154,Nov 30 2018 01: +0,7.55,2
155,Dec 01 2018 01: +0,7.49,5
156,Dec 02 2018 01: +0,7.043,3
157,Dec 03 2018 01: +0,8.245,2
158,Dec 04 2018 01: +0,8.319,3
159,Dec 05 2018 01: +0,8.108,4
160,Dec 06 2018 01: +0,8.338,2
161,Dec 09 2018 01: +0,6.651,2
162,Dec 10 2018 01: +0,7.763,2
163,Dec 11 2018 01: +0,6.466,4
164,Dec 12 2018 01: +0,7.955,3
165,Dec 13 2018 01: +0,7.469,4
166,Dec 14 2018 01: +0,7.497,5
167,Dec 15 2018 01: +0,8.55,3
168,Dec 16 2018 01: +0,8.345,3
169,Dec 19 2018 01: +0,8.048,4
170,Dec 20 2018 01: +0,7.429,4
171,Dec 21 2018 01: +0,7.453,3
172,Dec 22 2018 01: +0,7.204,2
173,Dec 23 2018 01: +0,6.908,2
174,Dec 24 2018 01: +0,7.868,2
175,Dec 25 2018 01: +0,7.466,4
176,Dec 26 2018 01: +0,6.703,2
177,Dec 27 2018 01: +0,7.401,1
178,Dec 28 2018 01: +0,7.499,3
179,Dec 29 2018 01: +0,6.245,5
180,Dec 30 2018 01: +0,7.62,3
181,Dec 31 2018 01: +0,7.158,3
182,Jan 01 2019 01: +0,7.746,4
183,Jan 02 2019 01: +0,7.805,3
184,Jan 03 2019 01: +0,6.475,2
185,Jan 04 2019 01: +0,7.932,2
186,Jan 05 2019 01: +0,7.991,2
187,Jan 06 2019 01: +0,7.56,1
188,Jan 07 2019 01: +0,6.965,2
189,Jan 08 2019 01: +0,7.756,4
190,Jan 09 2019 01: +0,8.175,4
191,Jan 10 2019 01: +0,8.162,2
192,Jan 11 2019 01: +0,7.38,2
193,Jan 12 2019 01: +0,8.227,3
194,Jan 14 2019 01: +0,8.28,1
195,Jan 15 2019 01: +0,8.258,2
196,Jan 16 2019 01: +0,8.429,4
197,Jan 17 2019 01: +0,9.015,3
198,Jan 18 2019 01: +0,8.98,2
199,Jan 19 2019 01: +0,7.573,3
200,Jan 20 2019 01: +0,8.041,3
201,Jan 22 2019 01: +0,8.597,4
202,Jan 23 2019 01: +0,8.767,5
203,Jan 24 2019 01: +0,7.999,2
204,Jan 25 2019 01: +0,8.172,1
205,Jan 26 2019 01: +0,8.52,3
206,Jan 27 2019 01: +0,9.472,6
207,Jan 28 2019 01: +0,10.232,2
208,Jan 29 2019 01: +0,10.46,1
209,Jan 30 2019 01: +0,10.28,1
210,Jan 31 2019 01: +0,8.289,3
211,Feb 01 2019 01: +0,10.307,5
212,Feb 02 2019 01: +0,10.378,4
213,Feb 04 2019 01: +0,10.55,1
214,Feb 05 2019 01: +0,10.459,2
215,Feb 06 2019 01: +0,10.474,4
216,Feb 07 2019 01: +0,7.347,2
217,Feb 08 2019 01: +0,10.222,2
218,Feb 09 2019 01: +0,8.721,2
219,Feb 10 2019 01: +0,10.17,1
220,Feb 12 2019 01: +0,9.036,2
221,Feb 13 2019 01: +0,10.12,1
222,Feb 14 2019 01: +0,10.022,1
223,Feb 15 2019 01: +0,9.141,2
224,Feb 16 2019 01: +0,9.098,4
225,Feb 18 2019 01: +0,8.108,2
226,Feb 19 2019 01: +0,8.878,2
227,Feb 21 2019 01: +0,8.571,3
228,Feb 22 2019 01: +0,8.873,2
229,Feb 23 2019 01: +0,8.658,3
230,Feb 24 2019 01: +0,6.582,1
231,Feb 26 2019 01: +0,8.14,2
232,Feb 27 2019 01: +0,6.994,1
