,time,price,volume
0,Sep 28 2017 01: +0,1.138,1
1,Sep 29 2017 01: +0,0.868,10
2,Sep 30 2017 01: +0,0.868,12
3,Oct 01 2017 01: +0,0.952,13
4,Oct 02 2017 01: +0,1.028,4
5,Oct 03 2017 01: +0,0.919,6
6,Oct 04 2017 01: +0,0.939,6
7,Oct 05 2017 01: +0,0.889,9
8,Oct 06 2017 01: +0,0.815,9
9,Oct 07 2017 01: +0,0.782,12
10,Oct 08 2017 01: +0,0.783,10
11,Oct 09 2017 01: +0,0.919,3
12,Oct 10 2017 01: +0,1.072,7
13,Oct 11 2017 01: +0,1.037,9
14,Oct 12 2017 01: +0,0.937,10
15,Oct 13 2017 01: +0,0.929,10
16,Oct 14 2017 01: +0,1.033,11
17,Oct 15 2017 01: +0,1.045,4
18,Oct 16 2017 01: +0,1.028,8
19,Oct 17 2017 01: +0,0.916,2
20,Oct 18 2017 01: +0,0.851,4
21,Oct 19 2017 01: +0,0.933,9
22,Oct 20 2017 01: +0,0.991,7
23,Oct 21 2017 01: +0,0.997,10
24,Oct 22 2017 01: +0,1.018,5
25,Oct 23 2017 01: +0,1.122,5
26,Oct 24 2017 01: +0,1.085,5
27,Oct 25 2017 01: +0,1.005,2
28,Oct 26 2017 01: +0,0.899,10
29,Oct 27 2017 01: +0,0.806,11
30,Oct 28 2017 01: +0,0.76,8
31,Oct 29 2017 01: +0,0.917,11
32,Oct 30 2017 01: +0,0.99,5
33,Oct 31 2017 01: +0,0.972,5
34,Nov 01 2017 01: +0,1.013,6
35,Nov 02 2017 01: +0,0.966,10
36,Nov 03 2017 01: +0,0.973,6
37,Nov 04 2017 01: +0,0.996,7
38,Nov 05 2017 01: +0,0.966,7
39,Nov 06 2017 01: +0,1.079,10
40,Nov 07 2017 01: +0,0.729,1
41,Nov 08 2017 01: +0,0.994,5
42,Nov 09 2017 01: +0,1.095,4
43,Nov 10 2017 01: +0,1.067,5
44,Nov 11 2017 01: +0,0.906,4
45,Nov 12 2017 01: +0,1.008,8
46,Nov 13 2017 01: +0,1.006,6
47,Nov 14 2017 01: +0,1.049,3
48,Nov 15 2017 01: +0,0.983,6
49,Nov 16 2017 01: +0,0.998,2
50,Nov 17 2017 01: +0,0.887,5
51,Nov 18 2017 01: +0,1.004,7
52,Nov 19 2017 01: +0,0.834,4
53,Nov 20 2017 01: +0,0.996,6
54,Nov 21 2017 01: +0,1.008,3
55,Nov 22 2017 01: +0,1.013,2
56,Nov 23 2017 01: +0,0.928,2
57,Nov 24 2017 01: +0,0.846,6
58,Nov 25 2017 01: +0,0.932,4
59,Nov 26 2017 01: +0,0.764,9
60,Nov 27 2017 01: +0,0.771,6
61,Nov 28 2017 01: +0,0.81,2
62,Nov 29 2017 01: +0,0.88,1
63,Nov 30 2017 01: +0,0.796,6
64,Dec 01 2017 01: +0,0.927,7
65,Dec 02 2017 01: +0,0.941,8
66,Dec 03 2017 01: +0,1.037,6
67,Dec 04 2017 01: +0,1.035,3
68,Dec 05 2017 01: +0,1.035,6
69,Dec 06 2017 01: +0,1.001,5
70,Dec 07 2017 01: +0,1.068,14
71,Dec 08 2017 01: +0,1.124,4
72,Dec 09 2017 01: +0,1.111,3
73,Dec 10 2017 01: +0,1.052,4
74,Dec 11 2017 01: +0,1.065,7
75,Dec 12 2017 01: +0,1.11,7
76,Dec 13 2017 01: +0,1.147,3
77,Dec 14 2017 01: +0,0.994,4
78,Dec 15 2017 01: +0,1.062,4
79,Dec 16 2017 01: +0,1.058,6
80,Dec 17 2017 01: +0,1.135,3
81,Dec 18 2017 01: +0,1.146,8
82,Dec 19 2017 01: +0,1.233,6
83,Dec 20 2017 01: +0,1.181,5
84,Dec 21 2017 01: +0,1.168,5
85,Dec 22 2017 01: +0,1.128,3
86,Dec 23 2017 01: +0,1.3,5
87,Dec 24 2017 01: +0,1.26,4
88,Dec 25 2017 01: +0,1.319,10
89,Dec 26 2017 01: +0,1.826,4
90,Dec 27 2017 01: +0,1.747,6
91,Dec 28 2017 01: +0,1.797,7
92,Dec 29 2017 01: +0,1.893,7
93,Dec 30 2017 01: +0,2.011,4
94,Dec 31 2017 01: +0,1.916,4
95,Jan 01 2018 01: +0,1.719,7
96,Jan 02 2018 01: +0,1.859,6
97,Jan 03 2018 01: +0,2.007,4
98,Jan 04 2018 01: +0,1.701,4
99,Jan 05 2018 01: +0,2.003,4
100,Jan 06 2018 01: +0,1.679,4
101,Jan 07 2018 01: +0,1.32,2
102,Jan 08 2018 01: +0,1.483,5
103,Jan 09 2018 01: +0,1.408,3
104,Jan 10 2018 01: +0,1.407,5
105,Jan 11 2018 01: +0,1.603,4
106,Jan 12 2018 01: +0,1.648,5
107,Jan 13 2018 01: +0,1.708,6
108,Jan 14 2018 01: +0,2.017,10
109,Jan 15 2018 01: +0,1.196,1
110,Jan 16 2018 01: +0,1.909,1
111,Jan 17 2018 01: +0,1.531,4
112,Jan 18 2018 01: +0,1.698,4
113,Jan 19 2018 01: +0,1.287,3
114,Jan 20 2018 01: +0,1.466,4
115,Jan 21 2018 01: +0,1.376,5
116,Jan 22 2018 01: +0,1.604,5
117,Jan 23 2018 01: +0,1.51,3
118,Jan 24 2018 01: +0,1.63,3
