,time,price,volume
0,Sep 26 2019 01: +0,1.155,2
1,Sep 27 2019 01: +0,1.082,32
2,Sep 28 2019 01: +0,1.079,31
3,Sep 29 2019 01: +0,1.163,20
4,Sep 30 2019 01: +0,1.117,21
5,Oct 01 2019 01: +0,1.083,22
6,Oct 02 2019 01: +0,0.942,19
7,Oct 03 2019 01: +0,0.963,34
8,Oct 04 2019 01: +0,0.843,39
9,Oct 05 2019 01: +0,1.141,28
10,Oct 06 2019 01: +0,1.015,27
11,Oct 07 2019 01: +0,1.115,17
12,Oct 08 2019 01: +0,1.181,11
13,Oct 09 2019 01: +0,1.046,20
14,Oct 10 2019 01: +0,1.031,23
15,Oct 11 2019 01: +0,1.059,30
16,Oct 12 2019 01: +0,0.89,33
17,Oct 13 2019 01: +0,0.898,36
18,Oct 14 2019 01: +0,1.023,20
19,Oct 15 2019 01: +0,1.028,17
20,Oct 16 2019 01: +0,0.954,16
21,Oct 17 2019 01: +0,1.014,17
22,Oct 18 2019 01: +0,0.943,33
23,Oct 19 2019 01: +0,0.903,39
24,Oct 20 2019 01: +0,0.977,24
25,Oct 21 2019 01: +0,0.95,34
26,Oct 22 2019 01: +0,0.901,21
27,Oct 23 2019 01: +0,0.925,19
28,Oct 24 2019 01: +0,0.853,22
29,Oct 25 2019 01: +0,0.778,31
30,Oct 26 2019 01: +0,0.783,21
31,Oct 27 2019 01: +0,0.85,21
32,Oct 28 2019 01: +0,0.94,23
33,Oct 29 2019 01: +0,0.967,20
34,Oct 30 2019 01: +0,0.875,15
35,Oct 31 2019 01: +0,0.933,13
36,Nov 01 2019 01: +0,0.862,22
37,Nov 02 2019 01: +0,0.725,20
38,Nov 03 2019 01: +0,0.854,30
39,Nov 04 2019 01: +0,0.868,16
40,Nov 05 2019 01: +0,0.805,22
41,Nov 06 2019 01: +0,0.774,15
42,Nov 07 2019 01: +0,0.794,23
43,Nov 08 2019 01: +0,0.784,28
44,Nov 09 2019 01: +0,0.825,29
45,Nov 10 2019 01: +0,0.745,27
46,Nov 11 2019 01: +0,0.749,27
47,Nov 12 2019 01: +0,0.805,17
48,Nov 13 2019 01: +0,0.81,22
49,Nov 14 2019 01: +0,0.78,15
50,Nov 15 2019 01: +0,0.812,34
51,Nov 16 2019 01: +0,0.88,14
52,Nov 17 2019 01: +0,0.866,23
53,Nov 18 2019 01: +0,0.881,19
54,Nov 19 2019 01: +0,0.806,14
55,Nov 20 2019 01: +0,0.795,26
56,Nov 21 2019 01: +0,0.789,15
57,Nov 22 2019 01: +0,0.782,19
58,Nov 23 2019 01: +0,0.784,14
59,Nov 24 2019 01: +0,0.737,25
60,Nov 25 2019 01: +0,0.826,24
61,Nov 26 2019 01: +0,0.734,24
62,Nov 27 2019 01: +0,0.782,18
63,Nov 28 2019 01: +0,0.747,21
64,Nov 29 2019 01: +0,0.779,20
65,Nov 30 2019 01: +0,0.799,24
66,Dec 01 2019 01: +0,0.777,18
67,Dec 02 2019 01: +0,0.818,14
68,Dec 03 2019 01: +0,0.893,21
69,Dec 04 2019 01: +0,0.796,13
70,Dec 05 2019 01: +0,0.77,18
71,Dec 06 2019 01: +0,0.865,23
72,Dec 07 2019 01: +0,0.909,23
73,Dec 08 2019 01: +0,0.984,15
74,Dec 09 2019 01: +0,1.056,27
75,Dec 10 2019 01: +0,1.036,11
76,Dec 11 2019 01: +0,0.941,17
77,Dec 12 2019 01: +0,0.981,14
78,Dec 13 2019 01: +0,0.927,24
79,Dec 14 2019 01: +0,0.925,21
80,Dec 15 2019 01: +0,0.865,23
81,Dec 16 2019 01: +0,0.865,18
82,Dec 17 2019 01: +0,0.824,16
83,Dec 18 2019 01: +0,1.004,23
84,Dec 19 2019 01: +0,0.999,15
85,Dec 20 2019 01: +0,0.959,25
86,Dec 21 2019 01: +0,1.005,19
87,Dec 22 2019 01: +0,0.931,28
88,Dec 23 2019 01: +0,0.974,21
89,Dec 24 2019 01: +0,0.934,18
90,Dec 25 2019 01: +0,0.94,46
91,Dec 26 2019 01: +0,1.061,50
92,Dec 27 2019 01: +0,1.064,24
93,Dec 28 2019 01: +0,1.057,21
94,Dec 29 2019 01: +0,1.032,23
95,Dec 30 2019 01: +0,1.093,29
96,Dec 31 2019 01: +0,1.096,20
97,Jan 01 2020 01: +0,1.153,18
98,Jan 02 2020 01: +0,1.163,24
99,Jan 03 2020 01: +0,1.231,20
100,Jan 04 2020 01: +0,1.24,18
101,Jan 05 2020 01: +0,1.15,26
102,Jan 06 2020 01: +0,1.26,27
103,Jan 07 2020 01: +0,1.283,19
104,Jan 08 2020 01: +0,1.247,16
105,Jan 09 2020 01: +0,1.241,17
106,Jan 10 2020 01: +0,1.32,26
107,Jan 11 2020 01: +0,1.212,11
108,Jan 12 2020 01: +0,1.301,16
109,Jan 13 2020 01: +0,1.407,49
110,Jan 14 2020 01: +0,2.298,35
111,Jan 15 2020 01: +0,3.568,44
112,Jan 16 2020 01: +0,2.704,39
113,Jan 17 2020 01: +0,2.554,26
114,Jan 18 2020 01: +0,6.789,234
115,Jan 19 2020 01: +0,11.23,63
116,Jan 20 2020 01: +0,7.187,50
117,Jan 21 2020 01: +0,6.334,57
118,Jan 22 2020 01: +0,5.91,58
119,Jan 23 2020 01: +0,5.149,72
120,Jan 24 2020 01: +0,5.204,26
121,Jan 25 2020 01: +0,4.727,43
122,Jan 26 2020 01: +0,4.444,35
123,Jan 27 2020 01: +0,4.916,25
124,Jan 28 2020 01: +0,4.403,23
125,Jan 29 2020 01: +0,4.611,34
126,Jan 30 2020 01: +0,4.347,27
127,Jan 31 2020 01: +0,4.594,27
128,Feb 01 2020 01: +0,4.487,34
129,Feb 02 2020 01: +0,4.423,29
130,Feb 03 2020 01: +0,4.195,22
131,Feb 04 2020 01: +0,4.095,25
132,Feb 05 2020 01: +0,4.236,23
133,Feb 06 2020 01: +0,4.325,43
134,Feb 07 2020 01: +0,4.234,14
135,Feb 08 2020 01: +0,4.138,24
136,Feb 09 2020 01: +0,4.115,23
137,Feb 10 2020 01: +0,4.179,19
138,Feb 11 2020 01: +0,4.095,16
139,Feb 12 2020 01: +0,4.131,25
140,Feb 13 2020 01: +0,3.826,27
141,Feb 14 2020 01: +0,3.609,21
142,Feb 15 2020 01: +0,3.595,27
143,Feb 16 2020 01: +0,3.579,26
144,Feb 17 2020 01: +0,3.699,24
145,Feb 18 2020 01: +0,3.615,18
146,Feb 19 2020 01: +0,3.951,18
147,Feb 20 2020 01: +0,3.866,15
148,Feb 21 2020 01: +0,3.663,20
149,Feb 22 2020 01: +0,3.666,32
150,Feb 23 2020 01: +0,3.73,13
151,Feb 24 2020 01: +0,3.661,21
152,Feb 25 2020 01: +0,3.473,17
153,Feb 26 2020 01: +0,3.676,17
154,Feb 27 2020 01: +0,3.825,14
155,Feb 28 2020 01: +0,2.987,17
156,Feb 29 2020 01: +0,3.215,20
157,Mar 01 2020 01: +0,3.546,18
158,Mar 02 2020 01: +0,3.468,13
159,Mar 03 2020 01: +0,3.529,18
160,Mar 04 2020 01: +0,3.514,18
161,Mar 05 2020 01: +0,3.333,18
162,Mar 06 2020 01: +0,3.535,18
163,Mar 07 2020 01: +0,3.442,15
164,Mar 08 2020 01: +0,3.576,20
165,Mar 09 2020 01: +0,3.67,22
166,Mar 10 2020 01: +0,3.664,17
167,Mar 11 2020 01: +0,3.587,16
168,Mar 12 2020 01: +0,3.695,16
169,Mar 13 2020 01: +0,3.664,15
170,Mar 14 2020 01: +0,3.382,22
