,time,price,volume
0,Aug 17 2017 01: +0,1.236,21
1,Aug 18 2017 01: +0,1.172,57
2,Aug 19 2017 01: +0,1.199,50
3,Aug 20 2017 01: +0,1.291,48
4,Aug 21 2017 01: +0,1.375,52
5,Aug 22 2017 01: +0,1.426,50
6,Aug 23 2017 01: +0,1.399,36
7,Aug 24 2017 01: +0,1.328,34
8,Aug 25 2017 01: +0,1.067,40
9,Aug 26 2017 01: +0,1.368,44
10,Aug 27 2017 01: +0,1.308,31
11,Aug 28 2017 01: +0,1.236,36
12,Aug 29 2017 01: +0,1.223,31
13,Aug 30 2017 01: +0,1.199,31
14,Aug 31 2017 01: +0,1.211,23
15,Sep 01 2017 01: +0,1.07,37
16,Sep 02 2017 01: +0,1.269,27
17,Sep 03 2017 01: +0,1.285,25
18,Sep 04 2017 01: +0,1.327,21
19,Sep 05 2017 01: +0,1.214,23
20,Sep 06 2017 01: +0,1.186,21
21,Sep 07 2017 01: +0,1.191,37
22,Sep 08 2017 01: +0,1.304,31
23,Sep 09 2017 01: +0,1.462,35
24,Sep 10 2017 01: +0,1.38,37
25,Sep 11 2017 01: +0,1.496,17
26,Sep 12 2017 01: +0,1.508,28
27,Sep 13 2017 01: +0,1.443,17
28,Sep 14 2017 01: +0,1.306,20
29,Sep 15 2017 01: +0,1.295,24
30,Sep 16 2017 01: +0,1.387,35
31,Sep 17 2017 01: +0,1.359,22
32,Sep 18 2017 01: +0,1.317,15
33,Sep 19 2017 01: +0,1.39,17
34,Sep 20 2017 01: +0,1.417,14
35,Sep 21 2017 01: +0,1.371,20
36,Sep 22 2017 01: +0,1.393,28
37,Sep 23 2017 01: +0,1.453,25
38,Sep 24 2017 01: +0,1.579,32
39,Sep 25 2017 01: +0,1.62,10
40,Sep 26 2017 01: +0,1.363,19
41,Sep 27 2017 01: +0,1.59,24
42,Sep 28 2017 01: +0,1.533,21
43,Sep 29 2017 01: +0,1.239,18
44,Sep 30 2017 01: +0,1.486,24
45,Oct 01 2017 01: +0,1.287,14
46,Oct 02 2017 01: +0,1.325,22
47,Oct 03 2017 01: +0,1.284,19
48,Oct 04 2017 01: +0,1.169,15
49,Oct 05 2017 01: +0,1.377,21
50,Oct 06 2017 01: +0,1.426,6
51,Oct 07 2017 01: +0,1.265,14
52,Oct 08 2017 01: +0,1.248,22
