,time,price,volume
0,Nov 01 2019 01: +0,3.724,6
1,Nov 02 2019 01: +0,2.556,7
2,Nov 03 2019 01: +0,2.481,8
3,Nov 04 2019 01: +0,3.867,6
4,Nov 06 2019 01: +0,2.7,2
5,Nov 07 2019 01: +0,2.401,6
6,Nov 08 2019 01: +0,1.848,9
7,Nov 09 2019 01: +0,1.698,10
8,Nov 10 2019 01: +0,2.0,6
9,Nov 11 2019 01: +0,1.925,7
10,Nov 12 2019 01: +0,2.285,3
11,Nov 13 2019 01: +0,2.097,6
12,Nov 14 2019 01: +0,1.953,4
13,Nov 15 2019 01: +0,1.838,5
14,Nov 16 2019 01: +0,1.961,5
15,Nov 17 2019 01: +0,1.68,5
16,Nov 18 2019 01: +0,1.451,4
17,Nov 19 2019 01: +0,1.474,4
18,Nov 20 2019 01: +0,1.57,5
19,Nov 21 2019 01: +0,1.479,5
20,Nov 22 2019 01: +0,1.425,5
21,Nov 23 2019 01: +0,1.321,7
22,Nov 24 2019 01: +0,1.387,7
23,Nov 25 2019 01: +0,1.409,2
24,Nov 26 2019 01: +0,1.316,9
25,Nov 27 2019 01: +0,1.252,7
26,Nov 28 2019 01: +0,1.301,10
27,Nov 29 2019 01: +0,1.29,5
28,Nov 30 2019 01: +0,1.223,7
29,Dec 01 2019 01: +0,1.279,7
30,Dec 02 2019 01: +0,1.419,3
31,Dec 03 2019 01: +0,1.503,4
32,Dec 04 2019 01: +0,1.463,6
33,Dec 05 2019 01: +0,1.333,7
34,Dec 06 2019 01: +0,1.396,2
35,Dec 07 2019 01: +0,1.072,9
36,Dec 08 2019 01: +0,1.134,6
37,Dec 09 2019 01: +0,1.23,8
38,Dec 10 2019 01: +0,1.304,7
39,Dec 11 2019 01: +0,1.628,1
40,Dec 12 2019 01: +0,1.58,4
41,Dec 13 2019 01: +0,1.428,6
42,Dec 14 2019 01: +0,1.354,6
43,Dec 15 2019 01: +0,1.454,5
44,Dec 16 2019 01: +0,1.325,4
45,Dec 17 2019 01: +0,1.298,4
46,Dec 18 2019 01: +0,1.392,8
47,Dec 19 2019 01: +0,1.303,4
48,Dec 20 2019 01: +0,1.459,5
49,Dec 21 2019 01: +0,1.49,5
50,Dec 22 2019 01: +0,1.493,4
51,Dec 23 2019 01: +0,1.39,2
52,Dec 24 2019 01: +0,1.482,7
53,Dec 25 2019 01: +0,1.582,7
54,Dec 26 2019 01: +0,1.57,10
55,Dec 27 2019 01: +0,2.043,3
56,Dec 28 2019 01: +0,1.819,9
57,Dec 29 2019 01: +0,1.994,7
58,Dec 30 2019 01: +0,2.129,6
59,Dec 31 2019 01: +0,2.238,2
60,Jan 01 2020 01: +0,2.123,4
61,Jan 02 2020 01: +0,1.798,7
62,Jan 03 2020 01: +0,1.94,4
63,Jan 04 2020 01: +0,1.893,6
64,Jan 05 2020 01: +0,1.86,10
65,Jan 06 2020 01: +0,2.118,9
66,Jan 07 2020 01: +0,2.318,8
67,Jan 08 2020 01: +0,2.448,6
68,Jan 09 2020 01: +0,2.091,5
69,Jan 10 2020 01: +0,2.204,7
70,Jan 11 2020 01: +0,2.194,5
71,Jan 12 2020 01: +0,2.05,8
