,time,price,volume
0,Apr 22 2021 01: +0,2.759,1
1,Apr 22 2021 03: +0,3.96,1
2,Apr 22 2021 06: +0,4.235,2
3,Apr 22 2021 09: +0,3.88,1
4,Apr 22 2021 12: +0,3.783,2
5,Apr 22 2021 16: +0,2.763,1
6,Apr 22 2021 17: +0,3.077,2
7,Apr 22 2021 19: +0,3.33,1
8,Apr 22 2021 20: +0,3.471,5
9,Apr 22 2021 21: +0,3.515,6
10,Apr 22 2021 22: +0,3.864,3
11,Apr 22 2021 23: +0,3.732,2
12,Apr 23 2021 00: +0,3.737,4
13,Apr 23 2021 01: +0,2.82,4
14,Apr 23 2021 02: +0,3.091,1
15,Apr 23 2021 03: +0,2.285,1
16,Apr 23 2021 05: +0,2.2,1
17,Apr 23 2021 06: +0,1.97,1
18,Apr 23 2021 07: +0,2.255,2
19,Apr 23 2021 08: +0,2.254,2
20,Apr 23 2021 09: +0,2.334,4
21,Apr 23 2021 10: +0,2.323,1
22,Apr 23 2021 11: +0,2.468,4
23,Apr 23 2021 13: +0,2.514,3
24,Apr 23 2021 14: +0,2.35,1
25,Apr 23 2021 15: +0,2.024,4
26,Apr 23 2021 16: +0,2.185,2
27,Apr 23 2021 17: +0,2.518,5
28,Apr 23 2021 19: +0,2.471,2
29,Apr 23 2021 20: +0,2.494,2
30,Apr 23 2021 21: +0,2.5,1
31,Apr 23 2021 22: +0,2.635,4
32,Apr 23 2021 23: +0,3.585,4
33,Apr 24 2021 00: +0,3.435,2
34,Apr 24 2021 01: +0,3.614,3
35,Apr 24 2021 03: +0,3.25,1
36,Apr 24 2021 04: +0,3.215,2
37,Apr 24 2021 05: +0,3.23,1
38,Apr 24 2021 07: +0,2.794,2
39,Apr 24 2021 08: +0,2.39,3
40,Apr 24 2021 09: +0,3.072,2
41,Apr 24 2021 10: +0,3.015,1
42,Apr 24 2021 11: +0,3.015,1
43,Apr 24 2021 12: +0,2.291,1
44,Apr 24 2021 14: +0,2.206,2
45,Apr 24 2021 15: +0,2.191,1
46,Apr 24 2021 16: +0,2.242,2
47,Apr 24 2021 17: +0,2.655,2
48,Apr 24 2021 18: +0,2.67,5
49,Apr 24 2021 19: +0,2.342,2
50,Apr 24 2021 20: +0,2.646,1
51,Apr 24 2021 21: +0,2.56,4
52,Apr 24 2021 22: +0,2.77,3
53,Apr 24 2021 23: +0,2.776,2
54,Apr 25 2021 00: +0,2.78,1
55,Apr 25 2021 01: +0,2.785,2
56,Apr 25 2021 02: +0,2.718,2
57,Apr 25 2021 03: +0,2.8,1
58,Apr 25 2021 04: +0,2.245,4
59,Apr 25 2021 05: +0,2.45,2
60,Apr 25 2021 07: +0,3.015,1
61,Apr 25 2021 10: +0,2.963,3
62,Apr 25 2021 11: +0,2.998,3
63,Apr 25 2021 13: +0,2.077,2
64,Apr 25 2021 14: +0,2.496,1
65,Apr 25 2021 17: +0,2.84,1
66,Apr 25 2021 18: +0,2.77,1
67,Apr 25 2021 19: +0,2.637,1
68,Apr 25 2021 21: +0,2.49,1
69,Apr 25 2021 22: +0,2.5,2
70,Apr 25 2021 23: +0,2.201,7
71,Apr 26 2021 00: +0,2.385,1
72,Apr 26 2021 01: +0,2.0,1
73,Apr 26 2021 02: +0,1.995,2
74,Apr 26 2021 03: +0,2.1,5
75,Apr 26 2021 05: +0,2.045,2
76,Apr 26 2021 06: +0,2.36,1
77,Apr 26 2021 07: +0,2.38,1
78,Apr 26 2021 08: +0,2.346,2
79,Apr 26 2021 10: +0,2.315,4
80,Apr 26 2021 11: +0,2.344,1
81,Apr 26 2021 12: +0,2.376,1
82,Apr 26 2021 13: +0,2.336,2
83,Apr 26 2021 14: +0,2.013,2
84,Apr 26 2021 15: +0,2.289,2
85,Apr 26 2021 17: +0,1.742,2
86,Apr 26 2021 18: +0,2.181,2
87,Apr 26 2021 19: +0,1.69,5
88,Apr 26 2021 20: +0,2.342,3
89,Apr 26 2021 21: +0,2.26,5
90,Apr 26 2021 23: +0,2.56,2
91,Apr 27 2021 00: +0,2.7,6
92,Apr 27 2021 01: +0,2.627,2
93,Apr 27 2021 03: +0,2.391,1
94,Apr 27 2021 04: +0,2.38,1
95,Apr 27 2021 05: +0,2.53,1
96,Apr 27 2021 06: +0,2.48,2
97,Apr 27 2021 08: +0,2.304,1
98,Apr 27 2021 09: +0,2.533,2
99,Apr 27 2021 10: +0,2.452,1
100,Apr 27 2021 13: +0,2.342,1
101,Apr 27 2021 14: +0,2.09,1
102,Apr 27 2021 18: +0,2.26,5
103,Apr 27 2021 19: +0,2.261,2
104,Apr 27 2021 20: +0,2.245,2
105,Apr 27 2021 21: +0,2.25,1
106,Apr 27 2021 22: +0,2.226,2
107,Apr 27 2021 23: +0,2.23,1
108,Apr 28 2021 00: +0,2.24,3
109,Apr 28 2021 01: +0,2.249,6
110,Apr 28 2021 02: +0,2.253,1
111,Apr 28 2021 03: +0,2.23,2
112,Apr 28 2021 04: +0,2.24,3
113,Apr 28 2021 05: +0,2.208,3
114,Apr 28 2021 09: +0,1.462,2
115,Apr 28 2021 10: +0,1.725,1
116,Apr 28 2021 13: +0,1.965,1
117,Apr 28 2021 14: +0,2.07,4
118,Apr 28 2021 15: +0,2.244,1
119,Apr 28 2021 16: +0,1.992,1
120,Apr 28 2021 18: +0,1.999,3
121,Apr 28 2021 20: +0,1.927,2
122,Apr 28 2021 21: +0,2.125,2
