,time,price,volume
0,Dec 29 2016 01: +0,5.332,4
1,Dec 30 2016 01: +0,4.68,2
2,Jan 01 2017 01: +0,3.689,5
3,Jan 02 2017 01: +0,3.872,7
4,Jan 03 2017 01: +0,4.093,2
5,Jan 04 2017 01: +0,2.09,1
6,Jan 05 2017 01: +0,3.835,7
7,Jan 06 2017 01: +0,4.282,5
8,Jan 07 2017 01: +0,4.607,1
9,Jan 08 2017 01: +0,7.426,4
10,Jan 09 2017 01: +0,3.714,2
11,Jan 10 2017 01: +0,5.46,2
12,Jan 11 2017 01: +0,3.57,4
13,Jan 12 2017 01: +0,3.714,8
14,Jan 13 2017 01: +0,4.94,7
15,Jan 14 2017 01: +0,4.35,5
16,Jan 15 2017 01: +0,4.688,12
17,Jan 16 2017 01: +0,4.87,10
18,Jan 17 2017 01: +0,4.651,4
19,Jan 18 2017 01: +0,4.891,8
20,Jan 19 2017 01: +0,4.71,8
21,Jan 20 2017 01: +0,4.688,5
22,Jan 21 2017 01: +0,4.976,5
23,Jan 22 2017 01: +0,4.216,10
24,Jan 23 2017 01: +0,4.04,5
25,Jan 24 2017 01: +0,4.705,4
26,Jan 25 2017 01: +0,4.121,1
27,Jan 26 2017 01: +0,5.01,6
28,Jan 27 2017 01: +0,5.25,5
29,Jan 28 2017 01: +0,5.559,6
30,Jan 29 2017 01: +0,4.085,4
31,Jan 30 2017 01: +0,4.35,10
32,Jan 31 2017 01: +0,4.7,7
33,Feb 01 2017 01: +0,4.976,9
34,Feb 02 2017 01: +0,5.593,8
35,Feb 03 2017 01: +0,6.419,8
36,Feb 04 2017 01: +0,6.091,8
37,Feb 05 2017 01: +0,5.745,6
38,Feb 06 2017 01: +0,4.978,7
39,Feb 07 2017 01: +0,5.333,8
40,Feb 08 2017 01: +0,6.461,8
41,Feb 09 2017 01: +0,6.121,5
42,Feb 10 2017 01: +0,6.15,10
43,Feb 11 2017 01: +0,5.93,9
44,Feb 12 2017 01: +0,7.462,8
45,Feb 13 2017 01: +0,6.461,3
46,Feb 14 2017 01: +0,5.477,7
47,Feb 15 2017 01: +0,6.318,7
48,Feb 16 2017 01: +0,5.963,10
49,Feb 17 2017 01: +0,6.823,4
50,Feb 18 2017 01: +0,7.19,11
51,Feb 19 2017 01: +0,6.179,8
52,Feb 20 2017 01: +0,5.983,12
53,Feb 21 2017 01: +0,8.376,9
54,Feb 22 2017 01: +0,7.741,5
55,Feb 23 2017 01: +0,7.775,5
56,Feb 24 2017 01: +0,8.302,7
57,Feb 25 2017 01: +0,7.496,10
58,Feb 26 2017 01: +0,7.31,6
59,Feb 27 2017 01: +0,7.923,3
60,Feb 28 2017 01: +0,8.489,4
61,Mar 01 2017 01: +0,6.766,3
62,Mar 02 2017 01: +0,6.635,6
63,Mar 03 2017 01: +0,6.68,9
64,Mar 04 2017 01: +0,6.735,8
65,Mar 05 2017 01: +0,6.899,5
66,Mar 06 2017 01: +0,7.035,3
67,Mar 08 2017 01: +0,6.814,5
68,Mar 09 2017 01: +0,7.302,7
69,Mar 10 2017 01: +0,6.651,5
70,Mar 11 2017 01: +0,7.02,4
71,Mar 12 2017 01: +0,7.34,6
72,Mar 13 2017 01: +0,6.861,8
73,Mar 14 2017 01: +0,7.667,2
74,Mar 15 2017 01: +0,6.796,2
75,Mar 16 2017 01: +0,6.407,6
76,Mar 17 2017 01: +0,6.687,6
77,Mar 18 2017 01: +0,7.352,5
78,Mar 19 2017 01: +0,7.883,4
79,Mar 20 2017 01: +0,6.987,3
80,Mar 21 2017 01: +0,7.178,2
81,Mar 22 2017 01: +0,7.056,4
82,Mar 23 2017 01: +0,6.753,7
83,Mar 24 2017 01: +0,7.01,3
84,Mar 25 2017 01: +0,5.957,5
85,Mar 26 2017 01: +0,6.191,4
86,Mar 27 2017 01: +0,6.306,3
87,Mar 28 2017 01: +0,5.592,3
88,Mar 29 2017 01: +0,5.261,1
89,Mar 30 2017 01: +0,4.197,5
90,Mar 31 2017 01: +0,5.556,4
91,Apr 01 2017 01: +0,5.006,7
92,Apr 02 2017 01: +0,5.148,2
93,Apr 03 2017 01: +0,5.255,2
94,Apr 04 2017 01: +0,5.26,1
95,Apr 05 2017 01: +0,4.7,5
96,Apr 06 2017 01: +0,4.519,4
97,Apr 07 2017 01: +0,4.92,3
98,Apr 08 2017 01: +0,4.519,6
99,Apr 09 2017 01: +0,5.002,8
100,Apr 10 2017 01: +0,6.138,4
101,Apr 11 2017 01: +0,6.39,1
102,Apr 12 2017 01: +0,6.445,4
103,Apr 13 2017 01: +0,7.017,9
104,Apr 14 2017 01: +0,5.762,7
105,Apr 15 2017 01: +0,7.15,2
106,Apr 16 2017 01: +0,6.678,5
107,Apr 17 2017 01: +0,7.157,4
108,Apr 18 2017 01: +0,6.094,5
109,Apr 19 2017 01: +0,7.145,2
110,Apr 20 2017 01: +0,7.105,8
111,Apr 21 2017 01: +0,4.737,3
112,Apr 22 2017 01: +0,5.584,3
113,Apr 23 2017 01: +0,5.7,7
114,Apr 24 2017 01: +0,6.083,2
115,Apr 25 2017 01: +0,6.611,4
116,Apr 26 2017 01: +0,6.246,7
117,Apr 28 2017 01: +0,7.059,2
118,Apr 29 2017 01: +0,5.847,3
119,Apr 30 2017 01: +0,6.954,3
120,May 01 2017 01: +0,6.618,3
121,May 02 2017 01: +0,6.701,5
122,May 03 2017 01: +0,6.935,2
123,May 04 2017 01: +0,6.535,2
124,May 05 2017 01: +0,5.757,3
125,May 06 2017 01: +0,6.409,4
126,May 07 2017 01: +0,6.422,4
127,May 08 2017 01: +0,6.93,4
128,May 09 2017 01: +0,6.833,2
129,May 10 2017 01: +0,6.35,2
130,May 11 2017 01: +0,5.727,4
131,May 12 2017 01: +0,6.977,2
132,May 13 2017 01: +0,7.079,3
133,May 14 2017 01: +0,6.675,4
134,May 15 2017 01: +0,6.129,3
135,May 16 2017 01: +0,6.172,2
136,May 17 2017 01: +0,6.451,1
137,May 18 2017 01: +0,6.955,5
138,May 19 2017 01: +0,6.821,3
139,May 20 2017 01: +0,7.236,7
140,May 21 2017 01: +0,7.191,2
141,May 22 2017 01: +0,7.476,3
142,May 23 2017 01: +0,7.462,2
143,May 24 2017 01: +0,6.648,4
144,May 25 2017 01: +0,7.532,5
145,May 26 2017 01: +0,8.09,2
146,May 28 2017 01: +0,6.907,2
147,May 29 2017 01: +0,6.398,2
148,May 30 2017 01: +0,5.873,4
149,May 31 2017 01: +0,5.206,2
150,Jun 01 2017 01: +0,5.812,5
151,Jun 02 2017 01: +0,6.976,3
152,Jun 03 2017 01: +0,7.383,5
153,Jun 04 2017 01: +0,7.974,4
154,Jun 05 2017 01: +0,8.899,2
155,Jun 07 2017 01: +0,6.739,4
156,Jun 08 2017 01: +0,8.767,4
157,Jun 09 2017 01: +0,8.151,4
158,Jun 10 2017 01: +0,8.894,1
159,Jun 11 2017 01: +0,7.42,1
160,Jun 12 2017 01: +0,8.81,2
161,Jun 13 2017 01: +0,6.175,1
162,Jun 14 2017 01: +0,7.455,2
163,Jun 15 2017 01: +0,8.489,3
164,Jun 16 2017 01: +0,7.147,2
