,time,price,volume
0,Nov 22 2016 01: +0,6.36,1
1,Nov 24 2016 01: +0,7.386,2
2,Nov 25 2016 01: +0,6.018,2
3,Nov 26 2016 01: +0,5.704,2
4,Nov 27 2016 01: +0,4.979,2
5,Nov 28 2016 01: +0,5.228,2
6,Nov 30 2016 01: +0,4.285,2
7,Dec 02 2016 01: +0,3.004,1
8,Dec 03 2016 01: +0,2.675,5
9,Dec 04 2016 01: +0,3.031,2
10,Dec 05 2016 01: +0,2.991,2
11,Dec 06 2016 01: +0,2.013,1
12,Dec 07 2016 01: +0,2.861,1
13,Dec 08 2016 01: +0,1.364,1
14,Dec 09 2016 01: +0,2.139,3
15,Dec 10 2016 01: +0,2.355,4
16,Dec 11 2016 01: +0,2.404,6
17,Dec 12 2016 01: +0,2.544,4
18,Dec 13 2016 01: +0,3.563,2
19,Dec 14 2016 01: +0,3.441,2
20,Dec 15 2016 01: +0,2.149,2
21,Dec 16 2016 01: +0,1.66,1
22,Dec 17 2016 01: +0,2.272,1
23,Dec 18 2016 01: +0,2.875,2
24,Dec 19 2016 01: +0,2.456,2
25,Dec 20 2016 01: +0,2.473,2
26,Dec 21 2016 01: +0,1.872,4
27,Dec 22 2016 01: +0,2.772,6
28,Dec 23 2016 01: +0,2.601,7
29,Dec 24 2016 01: +0,2.848,1
30,Dec 25 2016 01: +0,2.632,3
31,Dec 26 2016 01: +0,2.814,1
32,Dec 27 2016 01: +0,1.576,1
33,Dec 28 2016 01: +0,1.928,2
34,Dec 29 2016 01: +0,2.285,3
35,Dec 30 2016 01: +0,2.087,2
36,Dec 31 2016 01: +0,2.622,2
37,Jan 01 2017 01: +0,2.57,1
38,Jan 02 2017 01: +0,2.408,2
39,Jan 03 2017 01: +0,2.232,4
40,Jan 05 2017 01: +0,1.595,4
41,Jan 06 2017 01: +0,1.689,7
42,Jan 07 2017 01: +0,2.022,11
43,Jan 08 2017 01: +0,2.815,1
44,Jan 09 2017 01: +0,3.636,1
45,Jan 10 2017 01: +0,2.019,3
46,Jan 11 2017 01: +0,4.579,6
47,Jan 12 2017 01: +0,5.092,3
48,Jan 14 2017 01: +0,2.299,4
49,Jan 15 2017 01: +0,2.667,5
50,Jan 16 2017 01: +0,2.745,5
51,Jan 17 2017 01: +0,3.445,3
52,Jan 18 2017 01: +0,3.204,1
53,Jan 19 2017 01: +0,2.93,3
54,Jan 20 2017 01: +0,3.839,1
55,Jan 21 2017 01: +0,3.24,4
56,Jan 22 2017 01: +0,2.399,3
57,Jan 23 2017 01: +0,2.053,3
58,Jan 24 2017 01: +0,2.404,5
59,Jan 25 2017 01: +0,2.571,4
60,Jan 26 2017 01: +0,2.54,3
61,Jan 27 2017 01: +0,2.522,8
62,Jan 28 2017 01: +0,2.9,4
63,Jan 29 2017 01: +0,2.668,3
64,Jan 30 2017 01: +0,2.325,5
65,Jan 31 2017 01: +0,2.53,3
66,Feb 01 2017 01: +0,2.073,3
67,Feb 02 2017 01: +0,2.337,8
68,Feb 03 2017 01: +0,2.332,4
69,Feb 04 2017 01: +0,2.59,7
70,Feb 05 2017 01: +0,2.676,3
71,Feb 06 2017 01: +0,3.094,7
72,Feb 07 2017 01: +0,3.836,7
73,Feb 08 2017 01: +0,3.342,4
74,Feb 09 2017 01: +0,3.588,4
75,Feb 10 2017 01: +0,2.897,5
76,Feb 11 2017 01: +0,2.925,2
77,Feb 12 2017 01: +0,3.544,4
78,Feb 13 2017 01: +0,3.544,6
79,Feb 14 2017 01: +0,4.022,2
80,Feb 15 2017 01: +0,3.612,1
81,Feb 16 2017 01: +0,3.677,3
82,Feb 17 2017 01: +0,3.629,2
83,Feb 18 2017 01: +0,3.27,3
84,Feb 19 2017 01: +0,3.272,4
85,Feb 20 2017 01: +0,3.93,3
86,Feb 21 2017 01: +0,3.509,5
87,Feb 22 2017 01: +0,2.913,3
88,Feb 23 2017 01: +0,3.632,8
89,Feb 24 2017 01: +0,3.698,2
90,Feb 25 2017 01: +0,3.86,3
91,Feb 26 2017 01: +0,3.857,4
92,Feb 27 2017 01: +0,3.9,2
93,Feb 28 2017 01: +0,3.988,3
94,Mar 01 2017 01: +0,3.461,2
95,Mar 02 2017 01: +0,3.789,2
96,Mar 03 2017 01: +0,3.649,2
97,Mar 04 2017 01: +0,3.374,7
98,Mar 05 2017 01: +0,3.502,4
99,Mar 07 2017 01: +0,3.918,3
100,Mar 08 2017 01: +0,4.065,3
101,Mar 09 2017 01: +0,3.315,3
102,Mar 10 2017 01: +0,3.663,4
103,Mar 11 2017 01: +0,4.174,2
104,Mar 12 2017 01: +0,3.946,2
105,Mar 13 2017 01: +0,3.937,2
106,Mar 14 2017 01: +0,3.574,3
107,Mar 15 2017 01: +0,3.404,1
108,Mar 16 2017 01: +0,3.32,5
109,Mar 17 2017 01: +0,3.693,2
110,Mar 18 2017 01: +0,3.787,2
111,Mar 19 2017 01: +0,3.557,4
112,Mar 20 2017 01: +0,3.674,2
113,Mar 22 2017 01: +0,3.57,2
114,Mar 23 2017 01: +0,3.587,5
115,Mar 24 2017 01: +0,3.325,5
116,Mar 25 2017 01: +0,3.547,4
117,Mar 26 2017 01: +0,3.703,3
118,Mar 27 2017 01: +0,3.811,1
119,Mar 28 2017 01: +0,3.743,3
120,Mar 29 2017 01: +0,3.466,3
121,Mar 30 2017 01: +0,3.5,1
122,Mar 31 2017 01: +0,3.384,1
123,Apr 01 2017 01: +0,3.128,5
124,Apr 02 2017 01: +0,3.796,1
125,Apr 03 2017 01: +0,3.451,5
126,Apr 04 2017 01: +0,3.818,3
127,Apr 05 2017 01: +0,3.58,1
128,Apr 06 2017 01: +0,3.231,3
129,Apr 07 2017 01: +0,3.5,2
130,Apr 08 2017 01: +0,2.776,2
131,Apr 09 2017 01: +0,3.008,8
132,Apr 10 2017 01: +0,3.052,4
133,Apr 11 2017 01: +0,3.274,2
134,Apr 12 2017 01: +0,3.469,4
135,Apr 13 2017 01: +0,3.478,2
136,Apr 14 2017 01: +0,3.833,1
137,Apr 15 2017 01: +0,3.789,2
138,Apr 16 2017 01: +0,3.86,3
139,Apr 17 2017 01: +0,3.545,5
140,Apr 20 2017 01: +0,3.14,2
141,Apr 21 2017 01: +0,3.453,3
142,Apr 22 2017 01: +0,3.189,5
143,Apr 23 2017 01: +0,2.46,1
144,Apr 24 2017 01: +0,3.093,5
145,Apr 25 2017 01: +0,2.921,4
146,Apr 26 2017 01: +0,2.94,5
147,Apr 27 2017 01: +0,3.208,1
148,Apr 28 2017 01: +0,3.331,2
149,Apr 29 2017 01: +0,2.956,6
150,Apr 30 2017 01: +0,2.91,2
151,May 01 2017 01: +0,3.036,6
152,May 02 2017 01: +0,3.326,2
153,May 03 2017 01: +0,2.573,2
154,May 04 2017 01: +0,3.417,4
155,May 05 2017 01: +0,3.875,3
156,May 06 2017 01: +0,3.838,5
157,May 07 2017 01: +0,3.949,5
158,May 08 2017 01: +0,4.377,2
159,May 09 2017 01: +0,3.901,4
160,May 10 2017 01: +0,5.18,2
161,May 11 2017 01: +0,5.693,5
162,May 12 2017 01: +0,4.838,2
163,May 14 2017 01: +0,5.69,1
164,May 15 2017 01: +0,5.06,9
165,May 17 2017 01: +0,5.875,2
166,May 18 2017 01: +0,7.99,1
167,May 19 2017 01: +0,7.886,2
168,May 21 2017 01: +0,5.138,1
169,May 22 2017 01: +0,7.9,1
170,May 23 2017 01: +0,5.528,3
171,May 24 2017 01: +0,4.18,3
172,May 25 2017 01: +0,2.45,1
173,May 26 2017 01: +0,4.231,1
174,May 27 2017 01: +0,3.029,5
175,May 28 2017 01: +0,3.644,6
176,May 29 2017 01: +0,4.015,2
177,May 31 2017 01: +0,2.517,1
178,Jun 01 2017 01: +0,3.311,5
179,Jun 02 2017 01: +0,4.23,3
180,Jun 03 2017 01: +0,4.246,2
181,Jun 04 2017 01: +0,2.537,2
182,Jun 05 2017 01: +0,3.934,5
183,Jun 06 2017 01: +0,4.181,4
184,Jun 08 2017 01: +0,3.41,3
185,Jun 09 2017 01: +0,3.637,2
186,Jun 10 2017 01: +0,3.805,3
187,Jun 11 2017 01: +0,3.697,4
188,Jun 13 2017 01: +0,3.49,4
189,Jun 14 2017 01: +0,4.388,1
190,Jun 15 2017 01: +0,4.002,1
191,Jun 16 2017 01: +0,3.81,5
192,Jun 17 2017 01: +0,3.024,2
193,Jun 19 2017 01: +0,3.688,3
194,Jun 20 2017 01: +0,4.333,3
195,Jun 21 2017 01: +0,4.369,1
196,Jun 22 2017 01: +0,3.764,3
197,Jun 23 2017 01: +0,3.319,3
198,Jun 24 2017 01: +0,4.363,3
199,Jun 25 2017 01: +0,3.696,3
200,Jun 26 2017 01: +0,3.53,2
201,Jun 27 2017 01: +0,3.958,2
202,Jun 28 2017 01: +0,3.961,2
203,Jun 29 2017 01: +0,3.97,1
204,Jun 30 2017 01: +0,3.61,3
205,Jul 01 2017 01: +0,3.627,3
206,Jul 02 2017 01: +0,3.992,3
207,Jul 03 2017 01: +0,4.104,3
208,Jul 04 2017 01: +0,4.469,3
209,Jul 05 2017 01: +0,5.179,1
210,Jul 06 2017 01: +0,5.053,2
211,Jul 07 2017 01: +0,4.443,7
212,Jul 08 2017 01: +0,5.537,2
213,Jul 09 2017 01: +0,5.456,3
214,Jul 10 2017 01: +0,2.993,1
215,Jul 11 2017 01: +0,5.53,2
216,Jul 12 2017 01: +0,5.777,3
217,Jul 13 2017 01: +0,4.711,3
218,Jul 15 2017 01: +0,5.471,3
219,Jul 16 2017 01: +0,4.781,2
220,Jul 17 2017 01: +0,4.871,2
221,Jul 18 2017 01: +0,5.784,3
222,Jul 19 2017 01: +0,3.48,1
223,Jul 20 2017 01: +0,4.367,2
224,Jul 21 2017 01: +0,4.975,2
225,Jul 22 2017 01: +0,3.88,1
226,Jul 23 2017 01: +0,4.363,3
227,Jul 24 2017 01: +0,4.673,1
228,Jul 26 2017 01: +0,4.079,4
229,Jul 27 2017 01: +0,4.484,4
230,Jul 28 2017 01: +0,4.951,3
231,Jul 29 2017 01: +0,5.388,1
232,Jul 30 2017 01: +0,3.99,1
233,Jul 31 2017 01: +0,5.635,2
234,Aug 01 2017 01: +0,5.933,2
235,Aug 03 2017 01: +0,4.657,2
236,Aug 04 2017 01: +0,4.651,5
237,Aug 06 2017 01: +0,5.099,4
238,Aug 07 2017 01: +0,5.141,4
239,Aug 08 2017 01: +0,4.152,3
240,Aug 09 2017 01: +0,4.774,2
241,Aug 10 2017 01: +0,4.973,5
242,Aug 11 2017 01: +0,3.577,2
243,Aug 12 2017 01: +0,4.731,2
244,Aug 13 2017 01: +0,5.19,1
245,Aug 14 2017 01: +0,4.185,4
246,Aug 15 2017 01: +0,5.512,3
247,Aug 16 2017 01: +0,5.295,2
248,Aug 18 2017 01: +0,5.151,3
249,Aug 19 2017 01: +0,5.501,1
250,Aug 20 2017 01: +0,5.983,1
251,Aug 21 2017 01: +0,5.497,3
252,Aug 22 2017 01: +0,4.109,2
253,Aug 24 2017 01: +0,4.48,2
254,Aug 25 2017 01: +0,4.467,2
255,Aug 26 2017 01: +0,5.447,2
256,Aug 27 2017 01: +0,4.567,2
257,Aug 28 2017 01: +0,5.498,2
258,Aug 29 2017 01: +0,4.04,1
259,Aug 30 2017 01: +0,3.87,1
260,Aug 31 2017 01: +0,4.72,2
261,Sep 01 2017 01: +0,3.45,1
262,Sep 02 2017 01: +0,4.558,3
263,Sep 03 2017 01: +0,5.137,2
264,Sep 04 2017 01: +0,3.98,1
265,Sep 05 2017 01: +0,5.23,1
266,Sep 06 2017 01: +0,4.5,1
267,Sep 08 2017 01: +0,5.282,2
268,Sep 09 2017 01: +0,5.27,4
269,Sep 11 2017 01: +0,5.503,2
270,Sep 12 2017 01: +0,5.563,3
271,Sep 14 2017 01: +0,5.36,2
272,Sep 16 2017 01: +0,5.36,1
273,Sep 17 2017 01: +0,5.292,3
274,Sep 18 2017 01: +0,4.0,1
275,Sep 19 2017 01: +0,3.59,1
276,Sep 20 2017 01: +0,3.563,1
277,Sep 21 2017 01: +0,3.847,2
278,Sep 23 2017 01: +0,4.107,2
279,Sep 26 2017 01: +0,3.543,2
280,Sep 27 2017 01: +0,4.594,1
281,Sep 28 2017 01: +0,3.505,1
282,Sep 29 2017 01: +0,4.6,1
283,Sep 30 2017 01: +0,4.41,2
284,Oct 02 2017 01: +0,4.271,2
285,Oct 03 2017 01: +0,4.142,2
286,Oct 04 2017 01: +0,4.631,1
287,Oct 05 2017 01: +0,4.24,2
288,Oct 06 2017 01: +0,4.062,2
289,Oct 07 2017 01: +0,4.645,1
290,Oct 09 2017 01: +0,4.227,3
291,Oct 10 2017 01: +0,4.677,3
292,Oct 11 2017 01: +0,3.589,1
293,Oct 12 2017 01: +0,4.343,1
294,Oct 13 2017 01: +0,3.734,2
295,Oct 14 2017 01: +0,3.841,3
296,Oct 16 2017 01: +0,3.148,2
297,Oct 17 2017 01: +0,3.001,1
298,Oct 18 2017 01: +0,2.99,1
299,Oct 19 2017 01: +0,2.762,2
300,Oct 20 2017 01: +0,3.085,3
301,Oct 21 2017 01: +0,3.168,2
302,Oct 22 2017 01: +0,3.103,3
303,Oct 24 2017 01: +0,3.26,4
304,Oct 27 2017 01: +0,2.695,4
305,Oct 28 2017 01: +0,3.127,3
306,Oct 29 2017 01: +0,3.425,1
307,Oct 30 2017 01: +0,3.46,1
308,Nov 01 2017 01: +0,3.444,2
309,Nov 03 2017 01: +0,3.712,2
310,Nov 05 2017 01: +0,3.974,2
311,Nov 06 2017 01: +0,3.991,1
312,Nov 07 2017 01: +0,3.975,3
313,Nov 08 2017 01: +0,4.4,1
314,Nov 09 2017 01: +0,2.64,1
315,Nov 10 2017 01: +0,4.21,3
316,Nov 11 2017 01: +0,4.564,2
317,Nov 13 2017 01: +0,4.01,3
318,Nov 15 2017 01: +0,3.993,3
319,Nov 16 2017 01: +0,3.388,1
320,Nov 18 2017 01: +0,5.03,1
321,Nov 19 2017 01: +0,4.822,1
322,Nov 21 2017 01: +0,3.219,1
323,Nov 23 2017 01: +0,4.058,1
324,Nov 25 2017 01: +0,3.652,5
325,Nov 26 2017 01: +0,4.104,2
326,Nov 28 2017 01: +0,4.178,1
327,Dec 01 2017 01: +0,3.792,2
328,Dec 02 2017 01: +0,4.39,1
329,Dec 03 2017 01: +0,4.303,2
330,Dec 05 2017 01: +0,4.293,1
331,Dec 06 2017 01: +0,3.927,2
332,Dec 08 2017 01: +0,3.942,3
333,Dec 09 2017 01: +0,4.198,3
334,Dec 10 2017 01: +0,4.55,1
335,Dec 11 2017 01: +0,3.526,1
336,Dec 14 2017 01: +0,2.926,1
337,Dec 15 2017 01: +0,4.74,1
338,Dec 16 2017 01: +0,4.367,2
