,time,price,volume
0,Dec 23 2016 01: +0,11.44,1
1,Dec 27 2016 01: +0,3.209,2
2,Dec 29 2016 01: +0,3.4,1
3,Dec 30 2016 01: +0,2.447,2
4,Dec 31 2016 01: +0,3.338,2
5,Jan 02 2017 01: +0,3.367,3
6,Jan 05 2017 01: +0,1.645,2
7,Jan 06 2017 01: +0,2.602,4
8,Jan 07 2017 01: +0,2.89,3
9,Jan 08 2017 01: +0,2.42,5
10,Jan 09 2017 01: +0,2.752,1
11,Jan 10 2017 01: +0,1.744,3
12,Jan 11 2017 01: +0,1.599,3
13,Jan 12 2017 01: +0,2.272,4
14,Jan 13 2017 01: +0,2.194,7
15,Jan 14 2017 01: +0,2.39,3
16,Jan 15 2017 01: +0,1.93,3
17,Jan 16 2017 01: +0,2.542,6
18,Jan 17 2017 01: +0,3.297,3
19,Jan 18 2017 01: +0,2.552,4
20,Jan 19 2017 01: +0,2.781,11
21,Jan 20 2017 01: +0,2.842,4
22,Jan 21 2017 01: +0,3.108,4
23,Jan 22 2017 01: +0,2.232,3
24,Jan 23 2017 01: +0,2.722,4
25,Jan 25 2017 01: +0,2.575,2
26,Jan 26 2017 01: +0,1.802,3
27,Jan 27 2017 01: +0,2.434,6
28,Jan 28 2017 01: +0,2.297,2
29,Jan 29 2017 01: +0,2.404,4
30,Jan 30 2017 01: +0,1.992,4
31,Jan 31 2017 01: +0,2.324,2
32,Feb 01 2017 01: +0,2.039,3
33,Feb 02 2017 01: +0,2.225,6
34,Feb 03 2017 01: +0,2.416,8
35,Feb 04 2017 01: +0,3.008,9
36,Feb 05 2017 01: +0,3.341,3
37,Feb 06 2017 01: +0,3.204,5
38,Feb 07 2017 01: +0,4.161,4
39,Feb 08 2017 01: +0,4.772,3
40,Feb 09 2017 01: +0,4.756,4
41,Feb 10 2017 01: +0,3.845,3
42,Feb 11 2017 01: +0,4.0,2
43,Feb 12 2017 01: +0,4.284,3
44,Feb 13 2017 01: +0,3.631,3
45,Feb 14 2017 01: +0,3.715,6
46,Feb 15 2017 01: +0,3.535,2
47,Feb 16 2017 01: +0,4.168,7
48,Feb 17 2017 01: +0,4.275,2
49,Feb 18 2017 01: +0,4.132,6
50,Feb 19 2017 01: +0,6.008,1
51,Feb 20 2017 01: +0,3.941,5
52,Feb 22 2017 01: +0,5.03,3
53,Feb 23 2017 01: +0,3.675,4
54,Feb 25 2017 01: +0,5.23,1
55,Feb 26 2017 01: +0,4.323,3
56,Feb 27 2017 01: +0,4.237,3
57,Feb 28 2017 01: +0,4.939,2
58,Mar 02 2017 01: +0,3.818,3
59,Mar 03 2017 01: +0,3.8,4
60,Mar 04 2017 01: +0,4.169,2
61,Mar 05 2017 01: +0,3.77,2
62,Mar 06 2017 01: +0,4.692,1
63,Mar 08 2017 01: +0,4.271,2
64,Mar 09 2017 01: +0,3.355,2
65,Mar 10 2017 01: +0,4.16,3
66,Mar 11 2017 01: +0,4.125,2
67,Mar 12 2017 01: +0,3.996,1
68,Mar 13 2017 01: +0,3.717,6
69,Mar 14 2017 01: +0,3.505,3
70,Mar 15 2017 01: +0,4.519,3
71,Mar 16 2017 01: +0,5.242,1
72,Mar 17 2017 01: +0,4.79,1
73,Mar 18 2017 01: +0,3.7,4
74,Mar 20 2017 01: +0,3.817,3
75,Mar 21 2017 01: +0,3.404,2
76,Mar 22 2017 01: +0,3.704,3
77,Mar 23 2017 01: +0,3.488,6
78,Mar 24 2017 01: +0,4.33,1
79,Mar 25 2017 01: +0,3.91,2
80,Mar 27 2017 01: +0,4.09,1
81,Mar 28 2017 01: +0,3.29,2
82,Mar 30 2017 01: +0,2.58,3
83,Mar 31 2017 01: +0,2.3,1
84,Apr 01 2017 01: +0,2.664,2
85,Apr 02 2017 01: +0,2.598,4
86,Apr 03 2017 01: +0,2.997,1
87,Apr 04 2017 01: +0,3.15,1
88,Apr 05 2017 01: +0,3.017,2
89,Apr 07 2017 01: +0,2.409,2
90,Apr 08 2017 01: +0,3.095,5
91,Apr 09 2017 01: +0,3.49,1
92,Apr 10 2017 01: +0,3.703,3
93,Apr 11 2017 01: +0,3.505,2
94,Apr 12 2017 01: +0,4.189,2
95,Apr 13 2017 01: +0,3.981,5
96,Apr 14 2017 01: +0,3.799,2
97,Apr 15 2017 01: +0,3.31,2
98,Apr 16 2017 01: +0,2.511,2
99,Apr 17 2017 01: +0,3.703,4
100,Apr 18 2017 01: +0,4.209,1
101,Apr 19 2017 01: +0,4.13,2
102,Apr 20 2017 01: +0,4.098,3
103,Apr 22 2017 01: +0,3.321,3
104,Apr 23 2017 01: +0,2.5,1
105,Apr 24 2017 01: +0,3.431,4
106,Apr 25 2017 01: +0,3.808,2
107,Apr 26 2017 01: +0,4.109,2
108,Apr 27 2017 01: +0,3.228,3
109,Apr 28 2017 01: +0,3.529,2
110,Apr 29 2017 01: +0,3.273,1
111,Apr 30 2017 01: +0,3.728,3
112,May 01 2017 01: +0,3.696,3
113,May 02 2017 01: +0,3.82,1
114,May 03 2017 01: +0,3.934,3
115,May 04 2017 01: +0,3.294,2
116,May 05 2017 01: +0,4.06,1
117,May 06 2017 01: +0,2.679,2
118,May 07 2017 01: +0,3.535,3
119,May 11 2017 01: +0,2.691,6
120,May 12 2017 01: +0,3.019,4
121,May 13 2017 01: +0,3.326,3
