,time,price,volume
0,Feb 04 2017 01: +0,2.914,1
1,Feb 07 2017 01: +0,4.593,1
2,Feb 09 2017 01: +0,1.931,13
3,Feb 10 2017 01: +0,1.703,19
4,Feb 11 2017 01: +0,1.798,23
5,Feb 12 2017 01: +0,1.961,13
6,Feb 13 2017 01: +0,1.938,8
7,Feb 14 2017 01: +0,1.938,12
8,Feb 15 2017 01: +0,1.894,6
9,Feb 16 2017 01: +0,1.924,17
10,Feb 17 2017 01: +0,1.889,7
11,Feb 18 2017 01: +0,2.046,13
12,Feb 19 2017 01: +0,1.978,11
13,Feb 20 2017 01: +0,1.926,10
14,Feb 21 2017 01: +0,2.088,8
15,Feb 22 2017 01: +0,2.212,10
16,Feb 23 2017 01: +0,1.972,15
17,Feb 24 2017 01: +0,1.982,16
18,Feb 25 2017 01: +0,2.104,15
19,Feb 26 2017 01: +0,2.085,7
20,Feb 27 2017 01: +0,2.005,10
21,Feb 28 2017 01: +0,1.664,2
22,Mar 01 2017 01: +0,2.247,15
23,Mar 02 2017 01: +0,2.439,14
24,Mar 03 2017 01: +0,3.142,12
25,Mar 04 2017 01: +0,3.703,5
26,Mar 05 2017 01: +0,2.962,10
27,Mar 06 2017 01: +0,2.773,8
28,Mar 07 2017 01: +0,2.666,3
29,Mar 08 2017 01: +0,2.913,12
30,Mar 09 2017 01: +0,3.034,8
31,Mar 10 2017 01: +0,2.75,10
32,Mar 11 2017 01: +0,2.785,6
33,Mar 12 2017 01: +0,2.818,8
34,Mar 13 2017 01: +0,2.989,7
35,Mar 14 2017 01: +0,2.47,9
36,Mar 15 2017 01: +0,2.673,11
37,Mar 16 2017 01: +0,2.826,10
38,Mar 17 2017 01: +0,2.599,12
39,Mar 18 2017 01: +0,2.74,6
40,Mar 19 2017 01: +0,2.838,11
41,Mar 20 2017 01: +0,2.505,4
42,Mar 21 2017 01: +0,2.593,5
43,Mar 22 2017 01: +0,2.693,7
44,Mar 23 2017 01: +0,2.767,9
45,Mar 24 2017 01: +0,3.51,4
46,Mar 25 2017 01: +0,4.021,3
47,Mar 26 2017 01: +0,5.038,1
48,Mar 27 2017 01: +0,3.757,3
49,Mar 29 2017 01: +0,2.994,1
50,Mar 30 2017 01: +0,2.316,3
51,Mar 31 2017 01: +0,1.797,11
52,Apr 01 2017 01: +0,1.543,6
53,Apr 02 2017 01: +0,1.654,7
54,Apr 03 2017 01: +0,1.821,4
55,Apr 04 2017 01: +0,1.867,6
56,Apr 05 2017 01: +0,2.014,4
57,Apr 06 2017 01: +0,1.781,4
58,Apr 07 2017 01: +0,1.976,4
59,Apr 08 2017 01: +0,1.79,4
60,Apr 09 2017 01: +0,1.963,4
61,Apr 11 2017 01: +0,1.87,7
62,Apr 12 2017 01: +0,1.666,6
63,Apr 13 2017 01: +0,1.772,10
64,Apr 14 2017 01: +0,1.802,7
65,Apr 15 2017 01: +0,1.829,4
66,Apr 16 2017 01: +0,1.552,8
67,Apr 17 2017 01: +0,1.874,9
68,Apr 18 2017 01: +0,2.125,5
69,Apr 19 2017 01: +0,1.907,4
70,Apr 20 2017 01: +0,2.214,8
71,Apr 21 2017 01: +0,2.205,3
72,Apr 22 2017 01: +0,2.656,11
73,Apr 23 2017 01: +0,2.334,7
74,Apr 24 2017 01: +0,2.003,6
75,Apr 25 2017 01: +0,2.08,2
76,Apr 26 2017 01: +0,2.312,5
77,Apr 27 2017 01: +0,2.512,7
78,Apr 28 2017 01: +0,2.595,6
79,Apr 29 2017 01: +0,1.979,6
80,Apr 30 2017 01: +0,2.618,3
81,May 01 2017 01: +0,2.611,8
82,May 02 2017 01: +0,2.477,4
83,May 03 2017 01: +0,2.747,3
84,May 04 2017 01: +0,2.164,4
85,May 05 2017 01: +0,2.261,4
86,May 06 2017 01: +0,2.046,10
87,May 07 2017 01: +0,2.286,4
88,May 08 2017 01: +0,2.044,5
89,May 09 2017 01: +0,1.999,5
90,May 10 2017 01: +0,1.776,2
91,May 11 2017 01: +0,1.701,8
92,May 12 2017 01: +0,1.953,6
93,May 13 2017 01: +0,2.303,5
94,May 14 2017 01: +0,2.382,3
95,May 15 2017 01: +0,2.102,4
96,May 16 2017 01: +0,2.073,2
97,May 17 2017 01: +0,2.081,5
98,May 18 2017 01: +0,1.838,8
99,May 19 2017 01: +0,2.105,7
100,May 20 2017 01: +0,2.386,6
101,May 21 2017 01: +0,1.932,1
102,May 22 2017 01: +0,2.32,5
103,May 23 2017 01: +0,2.526,6
104,May 24 2017 01: +0,2.306,6
105,May 25 2017 01: +0,2.442,3
106,May 26 2017 01: +0,2.314,3
107,May 27 2017 01: +0,2.047,9
108,May 28 2017 01: +0,2.335,3
109,May 29 2017 01: +0,2.299,3
110,May 30 2017 01: +0,1.947,3
111,May 31 2017 01: +0,2.219,5
112,Jun 01 2017 01: +0,1.97,3
113,Jun 02 2017 01: +0,2.354,4
114,Jun 03 2017 01: +0,1.958,4
115,Jun 04 2017 01: +0,2.247,5
116,Jun 05 2017 01: +0,1.969,6
117,Jun 06 2017 01: +0,2.255,2
118,Jun 07 2017 01: +0,2.253,5
119,Jun 08 2017 01: +0,2.279,5
120,Jun 09 2017 01: +0,2.468,5
121,Jun 10 2017 01: +0,2.218,3
122,Jun 11 2017 01: +0,2.332,6
123,Jun 12 2017 01: +0,2.008,4
124,Jun 13 2017 01: +0,1.923,2
125,Jun 14 2017 01: +0,2.056,3
126,Jun 15 2017 01: +0,2.032,6
127,Jun 16 2017 01: +0,2.099,6
128,Jun 17 2017 01: +0,1.958,2
129,Jun 18 2017 01: +0,1.717,3
130,Jun 19 2017 01: +0,2.059,6
131,Jun 20 2017 01: +0,1.83,2
132,Jun 21 2017 01: +0,1.916,6
133,Jun 22 2017 01: +0,1.851,4
134,Jun 23 2017 01: +0,1.83,5
135,Jun 24 2017 01: +0,1.705,5
136,Jun 25 2017 01: +0,1.793,7
137,Jun 26 2017 01: +0,2.171,1
138,Jun 27 2017 01: +0,2.071,6
139,Jun 28 2017 01: +0,1.708,4
140,Jun 29 2017 01: +0,2.125,2
141,Jun 30 2017 01: +0,1.862,8
142,Jul 01 2017 01: +0,2.185,3
143,Jul 02 2017 01: +0,1.905,3
144,Jul 03 2017 01: +0,1.824,3
145,Jul 04 2017 01: +0,1.842,4
146,Jul 05 2017 01: +0,1.83,6
147,Jul 06 2017 01: +0,1.688,2
148,Jul 07 2017 01: +0,1.989,2
149,Jul 08 2017 01: +0,1.68,6
150,Jul 09 2017 01: +0,1.877,2
151,Jul 10 2017 01: +0,1.762,4
152,Jul 11 2017 01: +0,1.799,1
153,Jul 12 2017 01: +0,1.748,3
154,Jul 13 2017 01: +0,1.811,3
155,Jul 14 2017 01: +0,1.835,6
156,Jul 15 2017 01: +0,1.907,9
157,Jul 16 2017 01: +0,1.532,3
158,Jul 17 2017 01: +0,1.923,3
159,Jul 18 2017 01: +0,1.984,6
160,Jul 19 2017 01: +0,2.117,4
161,Jul 20 2017 01: +0,1.58,4
162,Jul 21 2017 01: +0,2.232,5
163,Jul 22 2017 01: +0,2.005,3
164,Jul 23 2017 01: +0,2.026,9
165,Jul 24 2017 01: +0,2.161,5
166,Jul 25 2017 01: +0,2.112,4
167,Jul 26 2017 01: +0,2.334,2
168,Jul 27 2017 01: +0,1.816,3
169,Jul 28 2017 01: +0,1.789,4
170,Jul 30 2017 01: +0,2.086,5
171,Jul 31 2017 01: +0,2.09,5
172,Aug 01 2017 01: +0,2.159,5
173,Aug 03 2017 01: +0,1.766,1
174,Aug 04 2017 01: +0,1.816,6
175,Aug 05 2017 01: +0,2.2,1
176,Aug 06 2017 01: +0,2.092,4
177,Aug 07 2017 01: +0,1.808,5
178,Aug 08 2017 01: +0,1.5,1
179,Aug 09 2017 01: +0,1.826,3
180,Aug 10 2017 01: +0,1.952,5
181,Aug 11 2017 01: +0,1.98,2
182,Aug 12 2017 01: +0,1.783,4
