,time,price,volume
0,Aug 21 2015 01: +0,5.299,6
1,Aug 22 2015 01: +0,4.441,5
2,Aug 23 2015 01: +0,3.253,5
3,Aug 24 2015 01: +0,4.634,6
4,Aug 25 2015 01: +0,4.385,7
5,Aug 26 2015 01: +0,3.669,5
6,Aug 27 2015 01: +0,2.922,6
7,Aug 28 2015 01: +0,3.148,5
8,Aug 29 2015 01: +0,3.297,3
9,Aug 30 2015 01: +0,4.57,1
10,Aug 31 2015 01: +0,2.949,2
11,Sep 01 2015 01: +0,3.569,2
12,Sep 02 2015 01: +0,3.169,5
13,Sep 03 2015 01: +0,2.89,2
14,Sep 04 2015 01: +0,3.28,3
15,Sep 05 2015 01: +0,3.306,2
16,Sep 06 2015 01: +0,3.312,4
17,Sep 07 2015 01: +0,3.073,2
18,Sep 08 2015 01: +0,3.62,4
19,Sep 09 2015 01: +0,4.573,5
20,Sep 11 2015 01: +0,4.878,2
21,Sep 14 2015 01: +0,6.96,1
22,Sep 16 2015 01: +0,6.431,1
23,Sep 17 2015 01: +0,6.296,3
24,Sep 18 2015 01: +0,6.644,1
25,Sep 19 2015 01: +0,6.575,2
26,Sep 21 2015 01: +0,3.995,2
27,Sep 22 2015 01: +0,4.218,3
28,Sep 26 2015 01: +0,3.46,1
29,Sep 27 2015 01: +0,5.228,3
30,Sep 28 2015 01: +0,5.11,2
31,Sep 30 2015 01: +0,5.25,1
32,Oct 04 2015 01: +0,5.585,4
33,Oct 05 2015 01: +0,6.72,1
34,Oct 07 2015 01: +0,5.72,1
35,Oct 08 2015 01: +0,3.346,3
36,Oct 09 2015 01: +0,5.59,1
37,Oct 10 2015 01: +0,2.655,3
38,Oct 12 2015 01: +0,2.08,1
39,Oct 13 2015 01: +0,2.93,1
40,Oct 15 2015 01: +0,2.97,2
41,Oct 17 2015 01: +0,2.0,1
42,Oct 18 2015 01: +0,2.83,1
43,Oct 20 2015 01: +0,2.93,1
44,Oct 21 2015 01: +0,2.882,1
45,Oct 22 2015 01: +0,2.642,1
46,Oct 23 2015 01: +0,2.94,2
47,Oct 25 2015 01: +0,2.313,3
48,Oct 26 2015 01: +0,1.259,1
49,Oct 27 2015 01: +0,3.041,1
50,Oct 28 2015 01: +0,1.992,1
51,Oct 29 2015 01: +0,2.79,1
52,Oct 30 2015 01: +0,1.89,1
53,Oct 31 2015 01: +0,2.313,2
54,Nov 04 2015 01: +0,2.645,1
55,Nov 05 2015 01: +0,2.81,1
56,Nov 06 2015 01: +0,3.08,2
57,Nov 08 2015 01: +0,2.363,2
58,Nov 09 2015 01: +0,2.829,2
59,Nov 10 2015 01: +0,3.148,1
60,Nov 11 2015 01: +0,3.109,2
61,Nov 14 2015 01: +0,3.092,1
62,Nov 16 2015 01: +0,2.563,2
63,Nov 17 2015 01: +0,3.12,1
64,Nov 19 2015 01: +0,3.115,1
65,Nov 20 2015 01: +0,3.096,1
66,Nov 23 2015 01: +0,2.93,1
67,Nov 24 2015 01: +0,3.001,1
68,Nov 25 2015 01: +0,3.07,1
69,Nov 27 2015 01: +0,2.065,2
70,Nov 28 2015 01: +0,2.16,1
71,Nov 29 2015 01: +0,2.158,3
72,Nov 30 2015 01: +0,2.615,2
73,Dec 02 2015 01: +0,2.164,2
74,Dec 05 2015 01: +0,2.172,2
75,Dec 06 2015 01: +0,2.025,2
76,Dec 07 2015 01: +0,2.545,4
77,Dec 08 2015 01: +0,3.14,1
78,Dec 10 2015 01: +0,2.876,3
79,Dec 11 2015 01: +0,3.313,1
80,Dec 12 2015 01: +0,2.743,1
81,Dec 13 2015 01: +0,2.77,1
82,Dec 14 2015 01: +0,2.68,1
83,Dec 15 2015 01: +0,2.11,1
84,Dec 16 2015 01: +0,2.892,1
85,Dec 17 2015 01: +0,3.33,1
86,Dec 23 2015 01: +0,2.154,2
87,Dec 24 2015 01: +0,2.752,1
88,Dec 27 2015 01: +0,1.88,1
89,Dec 28 2015 01: +0,2.39,2
90,Dec 29 2015 01: +0,3.12,2
91,Jan 01 2016 01: +0,3.0,1
92,Jan 02 2016 01: +0,1.54,1
93,Jan 03 2016 01: +0,3.15,1
94,Jan 04 2016 01: +0,2.95,1
95,Jan 07 2016 01: +0,2.87,1
96,Jan 09 2016 01: +0,4.19,6
97,Jan 11 2016 01: +0,2.798,1
98,Jan 13 2016 01: +0,3.25,1
99,Jan 14 2016 01: +0,2.835,1
100,Jan 16 2016 01: +0,2.94,2
101,Jan 17 2016 01: +0,3.3,1
102,Jan 18 2016 01: +0,2.84,3
103,Jan 19 2016 01: +0,3.171,3
104,Jan 20 2016 01: +0,3.07,2
105,Jan 21 2016 01: +0,3.665,4
106,Jan 23 2016 01: +0,4.41,1
107,Jan 24 2016 01: +0,3.175,2
108,Jan 25 2016 01: +0,4.118,2
109,Jan 26 2016 01: +0,4.003,2
110,Jan 27 2016 01: +0,3.83,1
111,Jan 28 2016 01: +0,3.791,1
112,Jan 29 2016 01: +0,3.0,1
113,Jan 30 2016 01: +0,3.52,2
114,Jan 31 2016 01: +0,3.5,1
115,Feb 01 2016 01: +0,2.971,3
116,Feb 02 2016 01: +0,2.658,2
117,Feb 03 2016 01: +0,2.87,1
118,Feb 04 2016 01: +0,2.963,2
119,Feb 05 2016 01: +0,2.908,2
120,Feb 06 2016 01: +0,3.05,2
121,Feb 07 2016 01: +0,3.176,6
122,Feb 08 2016 01: +0,3.551,3
123,Feb 09 2016 01: +0,3.79,2
124,Feb 10 2016 01: +0,3.775,2
125,Feb 11 2016 01: +0,4.392,6
126,Feb 12 2016 01: +0,4.615,2
127,Feb 13 2016 01: +0,4.093,3
128,Feb 14 2016 01: +0,4.07,3
129,Feb 15 2016 01: +0,3.979,1
130,Feb 16 2016 01: +0,4.04,2
131,Feb 17 2016 01: +0,3.546,3
132,Feb 18 2016 01: +0,3.055,3
133,Feb 19 2016 01: +0,2.404,5
134,Feb 20 2016 01: +0,3.009,7
135,Feb 21 2016 01: +0,2.703,5
136,Feb 22 2016 01: +0,3.105,1
137,Feb 23 2016 01: +0,3.033,2
138,Feb 25 2016 01: +0,3.003,4
139,Feb 26 2016 01: +0,2.971,2
140,Feb 27 2016 01: +0,2.438,5
141,Feb 28 2016 01: +0,2.795,2
142,Mar 01 2016 01: +0,3.07,2
143,Mar 03 2016 01: +0,2.827,3
144,Mar 04 2016 01: +0,3.12,1
145,Mar 05 2016 01: +0,3.261,3
146,Mar 06 2016 01: +0,3.65,2
147,Mar 08 2016 01: +0,3.178,1
148,Mar 10 2016 01: +0,3.15,1
149,Mar 11 2016 01: +0,3.1,1
150,Mar 12 2016 01: +0,3.304,3
151,Mar 15 2016 01: +0,2.548,2
152,Mar 16 2016 01: +0,2.75,3
153,Mar 17 2016 01: +0,3.14,1
154,Mar 18 2016 01: +0,3.05,1
