,time,price,volume
0,Nov 24 2016 01: +0,25.458,2
1,Nov 25 2016 01: +0,14.534,1
2,Nov 26 2016 01: +0,29.4,2
3,Nov 27 2016 01: +0,21.437,3
4,Nov 28 2016 01: +0,10.652,1
5,Nov 29 2016 01: +0,19.982,3
6,Dec 01 2016 01: +0,18.103,9
7,Dec 02 2016 01: +0,17.023,4
8,Dec 03 2016 01: +0,12.461,7
9,Dec 04 2016 01: +0,15.526,7
10,Dec 05 2016 01: +0,12.217,7
11,Dec 06 2016 01: +0,11.978,9
12,Dec 07 2016 01: +0,9.548,8
13,Dec 08 2016 01: +0,11.06,15
14,Dec 09 2016 01: +0,15.732,3
15,Dec 10 2016 01: +0,12.094,12
16,Dec 11 2016 01: +0,10.657,9
17,Dec 12 2016 01: +0,10.407,8
18,Dec 13 2016 01: +0,9.969,6
19,Dec 14 2016 01: +0,10.912,7
20,Dec 15 2016 01: +0,10.815,11
21,Dec 16 2016 01: +0,11.942,8
22,Dec 17 2016 01: +0,11.829,5
23,Dec 18 2016 01: +0,10.354,14
24,Dec 19 2016 01: +0,10.299,3
25,Dec 20 2016 01: +0,11.282,3
26,Dec 21 2016 01: +0,9.152,6
27,Dec 22 2016 01: +0,8.682,20
28,Dec 23 2016 01: +0,9.506,11
29,Dec 24 2016 01: +0,9.369,7
30,Dec 25 2016 01: +0,9.193,13
31,Dec 26 2016 01: +0,7.797,16
32,Dec 27 2016 01: +0,7.581,25
33,Dec 28 2016 01: +0,6.827,22
34,Dec 29 2016 01: +0,6.564,23
35,Dec 30 2016 01: +0,6.025,18
36,Dec 31 2016 01: +0,6.633,24
37,Jan 01 2017 01: +0,7.458,12
38,Jan 02 2017 01: +0,7.195,8
39,Jan 03 2017 01: +0,7.696,15
40,Jan 04 2017 01: +0,7.069,9
41,Jan 05 2017 01: +0,6.425,22
42,Jan 06 2017 01: +0,6.8,10
43,Jan 07 2017 01: +0,7.154,22
44,Jan 08 2017 01: +0,7.144,14
45,Jan 09 2017 01: +0,7.156,10
46,Jan 10 2017 01: +0,7.441,18
47,Jan 11 2017 01: +0,7.023,6
48,Jan 12 2017 01: +0,7.956,18
49,Jan 13 2017 01: +0,10.303,5
50,Jan 14 2017 01: +0,10.179,9
51,Jan 15 2017 01: +0,10.482,8
52,Jan 16 2017 01: +0,11.128,10
53,Jan 17 2017 01: +0,10.757,4
54,Jan 18 2017 01: +0,9.642,6
55,Jan 19 2017 01: +0,10.376,6
56,Jan 20 2017 01: +0,10.701,7
57,Jan 21 2017 01: +0,10.722,6
58,Jan 22 2017 01: +0,9.041,5
59,Jan 23 2017 01: +0,10.72,1
60,Jan 24 2017 01: +0,9.406,3
61,Jan 25 2017 01: +0,10.723,2
62,Jan 26 2017 01: +0,9.948,3
63,Jan 27 2017 01: +0,8.749,3
64,Jan 28 2017 01: +0,9.643,5
65,Jan 29 2017 01: +0,10.21,7
66,Jan 30 2017 01: +0,9.327,4
67,Jan 31 2017 01: +0,8.822,9
68,Feb 01 2017 01: +0,10.542,3
69,Feb 02 2017 01: +0,10.7,6
70,Feb 03 2017 01: +0,11.178,6
71,Feb 04 2017 01: +0,11.334,8
72,Feb 05 2017 01: +0,12.718,8
73,Feb 06 2017 01: +0,12.08,4
74,Feb 07 2017 01: +0,13.224,6
75,Feb 08 2017 01: +0,9.36,2
76,Feb 09 2017 01: +0,11.675,8
77,Feb 10 2017 01: +0,12.14,3
78,Feb 11 2017 01: +0,11.941,5
79,Feb 12 2017 01: +0,13.117,5
80,Feb 13 2017 01: +0,13.254,4
81,Feb 14 2017 01: +0,13.915,5
82,Feb 15 2017 01: +0,11.804,8
83,Feb 16 2017 01: +0,12.814,1
84,Feb 17 2017 01: +0,12.063,4
85,Feb 18 2017 01: +0,12.771,3
86,Feb 19 2017 01: +0,12.498,3
87,Feb 20 2017 01: +0,12.969,2
88,Feb 21 2017 01: +0,13.388,4
89,Feb 22 2017 01: +0,10.744,1
90,Feb 23 2017 01: +0,11.011,4
91,Feb 24 2017 01: +0,12.372,7
92,Feb 25 2017 01: +0,14.002,4
93,Feb 26 2017 01: +0,13.8,1
94,Feb 27 2017 01: +0,12.318,4
95,Feb 28 2017 01: +0,12.149,7
96,Mar 01 2017 01: +0,13.497,4
97,Mar 02 2017 01: +0,11.0,1
98,Mar 03 2017 01: +0,12.456,2
99,Mar 04 2017 01: +0,13.04,3
100,Mar 05 2017 01: +0,12.999,3
101,Mar 06 2017 01: +0,11.929,6
102,Mar 07 2017 01: +0,11.892,3
103,Mar 08 2017 01: +0,12.672,4
104,Mar 09 2017 01: +0,11.918,4
105,Mar 10 2017 01: +0,12.683,3
106,Mar 11 2017 01: +0,13.163,4
107,Mar 12 2017 01: +0,11.546,3
108,Mar 13 2017 01: +0,13.299,3
109,Mar 14 2017 01: +0,12.97,3
110,Mar 15 2017 01: +0,13.038,3
111,Mar 16 2017 01: +0,10.735,2
112,Mar 17 2017 01: +0,12.713,3
113,Mar 18 2017 01: +0,11.955,2
114,Mar 19 2017 01: +0,11.5,1
115,Mar 20 2017 01: +0,11.488,5
116,Mar 21 2017 01: +0,11.385,3
117,Mar 22 2017 01: +0,12.6,1
118,Mar 23 2017 01: +0,10.422,5
119,Mar 24 2017 01: +0,10.512,4
120,Mar 25 2017 01: +0,12.66,2
121,Mar 26 2017 01: +0,9.535,2
122,Mar 27 2017 01: +0,9.52,1
123,Mar 28 2017 01: +0,11.136,4
124,Mar 29 2017 01: +0,11.115,2
125,Mar 30 2017 01: +0,10.113,1
126,Mar 31 2017 01: +0,10.442,4
127,Apr 01 2017 01: +0,11.416,2
128,Apr 02 2017 01: +0,11.155,4
129,Apr 05 2017 01: +0,10.532,3
130,Apr 06 2017 01: +0,10.112,4
131,Apr 07 2017 01: +0,10.745,4
132,Apr 08 2017 01: +0,9.2,1
133,Apr 09 2017 01: +0,9.482,7
134,Apr 10 2017 01: +0,8.404,2
135,Apr 11 2017 01: +0,9.163,3
136,Apr 12 2017 01: +0,9.39,2
137,Apr 13 2017 01: +0,9.778,5
138,Apr 14 2017 01: +0,9.686,6
139,Apr 15 2017 01: +0,10.242,3
140,Apr 16 2017 01: +0,10.724,3
141,Apr 17 2017 01: +0,11.286,2
142,Apr 18 2017 01: +0,11.544,3
143,Apr 19 2017 01: +0,11.494,1
144,Apr 20 2017 01: +0,11.731,5
145,Apr 21 2017 01: +0,13.688,5
146,Apr 22 2017 01: +0,15.012,5
147,Apr 23 2017 01: +0,14.875,5
148,Apr 25 2017 01: +0,14.739,1
149,Apr 26 2017 01: +0,15.222,4
150,Apr 27 2017 01: +0,15.23,2
151,Apr 28 2017 01: +0,12.23,2
152,Apr 29 2017 01: +0,14.099,3
153,Apr 30 2017 01: +0,12.22,2
154,May 01 2017 01: +0,15.015,2
155,May 02 2017 01: +0,14.969,1
156,May 03 2017 01: +0,15.512,3
157,May 04 2017 01: +0,15.949,1
158,May 05 2017 01: +0,13.71,2
159,May 06 2017 01: +0,15.843,3
160,May 07 2017 01: +0,13.926,2
161,May 08 2017 01: +0,12.062,1
162,May 09 2017 01: +0,12.873,2
163,May 10 2017 01: +0,13.489,2
164,May 11 2017 01: +0,13.378,4
165,May 12 2017 01: +0,13.363,6
166,May 13 2017 01: +0,13.449,3
167,May 14 2017 01: +0,13.218,5
168,May 15 2017 01: +0,14.89,2
169,May 16 2017 01: +0,14.182,5
170,May 17 2017 01: +0,15.118,2
171,May 18 2017 01: +0,15.351,2
172,May 19 2017 01: +0,12.653,1
173,May 22 2017 01: +0,13.886,3
174,May 23 2017 01: +0,14.884,3
175,May 24 2017 01: +0,10.923,2
176,May 25 2017 01: +0,11.01,2
177,May 26 2017 01: +0,11.83,1
178,May 27 2017 01: +0,12.379,3
179,May 28 2017 01: +0,12.533,3
180,May 29 2017 01: +0,12.481,2
181,May 30 2017 01: +0,13.714,1
182,May 31 2017 01: +0,12.465,1
183,Jun 01 2017 01: +0,10.994,1
184,Jun 02 2017 01: +0,11.015,3
185,Jun 04 2017 01: +0,12.884,2
186,Jun 05 2017 01: +0,12.812,3
187,Jun 06 2017 01: +0,12.917,1
188,Jun 07 2017 01: +0,11.9,2
189,Jun 08 2017 01: +0,12.51,1
190,Jun 09 2017 01: +0,12.51,1
191,Jun 10 2017 01: +0,12.884,3
192,Jun 11 2017 01: +0,10.666,2
193,Jun 12 2017 01: +0,12.698,2
194,Jun 13 2017 01: +0,10.775,3
195,Jun 15 2017 01: +0,11.125,2
196,Jun 17 2017 01: +0,10.825,3
197,Jun 18 2017 01: +0,12.691,4
198,Jun 19 2017 01: +0,11.812,4
199,Jun 20 2017 01: +0,12.45,1
200,Jun 21 2017 01: +0,12.726,1
201,Jun 22 2017 01: +0,10.09,1
202,Jun 23 2017 01: +0,11.78,3
203,Jun 24 2017 01: +0,10.075,1
204,Jun 25 2017 01: +0,10.063,5
205,Jun 26 2017 01: +0,9.82,1
206,Jun 27 2017 01: +0,11.0,1
207,Jun 29 2017 01: +0,10.479,3
208,Jun 30 2017 01: +0,9.841,2
209,Jul 01 2017 01: +0,11.371,2
210,Jul 02 2017 01: +0,11.327,3
211,Jul 03 2017 01: +0,10.781,4
212,Jul 04 2017 01: +0,10.074,2
213,Jul 06 2017 01: +0,11.095,2
214,Jul 07 2017 01: +0,11.173,3
215,Jul 08 2017 01: +0,9.384,3
216,Jul 09 2017 01: +0,9.703,3
217,Jul 10 2017 01: +0,10.2,1
218,Jul 11 2017 01: +0,10.282,5
219,Jul 12 2017 01: +0,11.001,2
220,Jul 13 2017 01: +0,11.175,2
221,Jul 15 2017 01: +0,11.102,2
222,Jul 16 2017 01: +0,11.0,1
223,Jul 17 2017 01: +0,10.243,4
224,Jul 18 2017 01: +0,11.114,4
225,Jul 19 2017 01: +0,11.263,1
226,Jul 20 2017 01: +0,10.483,4
227,Jul 21 2017 01: +0,11.284,3
228,Jul 22 2017 01: +0,10.552,5
229,Jul 23 2017 01: +0,10.75,5
230,Jul 24 2017 01: +0,10.969,3
231,Jul 25 2017 01: +0,12.497,1
232,Jul 26 2017 01: +0,10.482,4
233,Jul 27 2017 01: +0,11.01,3
234,Jul 28 2017 01: +0,11.689,1
235,Jul 29 2017 01: +0,10.765,1
236,Jul 30 2017 01: +0,11.723,4
237,Jul 31 2017 01: +0,10.287,2
238,Aug 01 2017 01: +0,12.401,4
239,Aug 02 2017 01: +0,11.532,2
240,Aug 03 2017 01: +0,11.902,4
241,Aug 04 2017 01: +0,9.818,2
242,Aug 05 2017 01: +0,13.601,2
243,Aug 06 2017 01: +0,11.95,3
244,Aug 08 2017 01: +0,9.918,2
245,Aug 09 2017 01: +0,13.47,1
246,Aug 10 2017 01: +0,11.456,1
247,Aug 11 2017 01: +0,9.515,2
248,Aug 12 2017 01: +0,9.56,1
249,Aug 13 2017 01: +0,10.918,2
250,Aug 14 2017 01: +0,10.92,1
251,Aug 15 2017 01: +0,10.684,2
252,Aug 16 2017 01: +0,10.485,2
253,Aug 17 2017 01: +0,9.902,2
254,Aug 18 2017 01: +0,11.755,2
255,Aug 19 2017 01: +0,13.138,2
256,Aug 20 2017 01: +0,13.1,2
257,Aug 23 2017 01: +0,12.28,2
258,Aug 24 2017 01: +0,7.502,1
259,Aug 26 2017 01: +0,10.266,4
260,Aug 27 2017 01: +0,11.324,2
261,Aug 28 2017 01: +0,10.22,2
262,Aug 29 2017 01: +0,11.334,3
263,Aug 30 2017 01: +0,10.93,2
264,Aug 31 2017 01: +0,10.061,1
265,Sep 01 2017 01: +0,11.021,1
266,Sep 02 2017 01: +0,9.859,3
267,Sep 03 2017 01: +0,9.883,4
268,Sep 04 2017 01: +0,8.34,1
269,Sep 05 2017 01: +0,9.267,1
270,Sep 06 2017 01: +0,9.195,2
271,Sep 07 2017 01: +0,9.614,1
272,Sep 08 2017 01: +0,9.493,1
273,Sep 09 2017 01: +0,9.29,2
274,Sep 10 2017 01: +0,9.092,4
275,Sep 11 2017 01: +0,9.255,2
276,Sep 12 2017 01: +0,9.874,3
277,Sep 13 2017 01: +0,10.837,4
278,Sep 14 2017 01: +0,10.562,3
279,Sep 15 2017 01: +0,10.697,1
280,Sep 16 2017 01: +0,12.65,1
281,Sep 17 2017 01: +0,10.635,4
282,Sep 18 2017 01: +0,5.75,1
283,Sep 21 2017 01: +0,10.514,3
284,Sep 22 2017 01: +0,8.98,1
285,Sep 23 2017 01: +0,13.06,2
286,Sep 26 2017 01: +0,10.6,1
287,Sep 27 2017 01: +0,10.891,1
288,Sep 29 2017 01: +0,8.76,2
289,Sep 30 2017 01: +0,11.602,3
290,Oct 01 2017 01: +0,10.37,1
291,Oct 02 2017 01: +0,10.53,2
292,Oct 03 2017 01: +0,11.382,3
293,Oct 04 2017 01: +0,10.555,2
294,Oct 05 2017 01: +0,12.025,1
295,Oct 06 2017 01: +0,9.515,2
296,Oct 08 2017 01: +0,9.03,1
297,Oct 09 2017 01: +0,9.924,3
298,Oct 10 2017 01: +0,11.21,2
299,Oct 11 2017 01: +0,11.051,2
300,Oct 12 2017 01: +0,10.626,5
301,Oct 13 2017 01: +0,10.51,1
302,Oct 14 2017 01: +0,11.467,2
303,Oct 15 2017 01: +0,12.965,2
304,Oct 16 2017 01: +0,9.262,2
305,Oct 17 2017 01: +0,9.17,2
306,Oct 18 2017 01: +0,10.975,2
307,Oct 19 2017 01: +0,8.7,1
308,Oct 20 2017 01: +0,10.35,1
309,Oct 21 2017 01: +0,9.707,1
310,Oct 22 2017 01: +0,10.488,2
311,Oct 23 2017 01: +0,10.26,2
312,Oct 24 2017 01: +0,10.529,1
313,Oct 26 2017 01: +0,11.044,2
314,Oct 27 2017 01: +0,10.816,1
315,Oct 29 2017 01: +0,8.48,1
316,Oct 30 2017 01: +0,10.352,1
317,Oct 31 2017 01: +0,9.069,2
318,Nov 01 2017 01: +0,10.317,1
319,Nov 02 2017 01: +0,9.102,2
320,Nov 04 2017 01: +0,9.94,1
321,Nov 06 2017 01: +0,9.901,1
322,Nov 07 2017 01: +0,9.849,2
323,Nov 08 2017 01: +0,9.82,1
324,Nov 09 2017 01: +0,9.273,1
325,Nov 10 2017 01: +0,9.736,2
326,Nov 11 2017 01: +0,9.858,2
327,Nov 12 2017 01: +0,9.951,2
328,Nov 13 2017 01: +0,9.35,1
329,Nov 14 2017 01: +0,10.371,1
330,Nov 15 2017 01: +0,9.608,2
331,Nov 16 2017 01: +0,10.833,4
332,Nov 17 2017 01: +0,11.832,3
333,Nov 20 2017 01: +0,10.456,2
334,Nov 21 2017 01: +0,11.449,3
335,Nov 22 2017 01: +0,8.4,2
336,Nov 24 2017 01: +0,9.387,3
337,Nov 25 2017 01: +0,11.494,1
338,Dec 05 2017 01: +0,9.686,3
339,Dec 06 2017 01: +0,8.216,2
340,Dec 07 2017 01: +0,9.036,2
341,Dec 10 2017 01: +0,9.943,1
342,Dec 12 2017 01: +0,9.501,2
343,Dec 15 2017 01: +0,9.372,1
344,Dec 16 2017 01: +0,9.5,1
345,Dec 17 2017 01: +0,9.43,1
346,Dec 18 2017 01: +0,9.29,1
347,Dec 19 2017 01: +0,9.468,3
348,Dec 20 2017 01: +0,9.75,1
349,Dec 22 2017 01: +0,9.816,1
350,Dec 23 2017 01: +0,8.809,2
351,Dec 24 2017 01: +0,9.25,2
352,Dec 25 2017 01: +0,9.5,1
353,Dec 26 2017 01: +0,9.123,3
354,Dec 28 2017 01: +0,9.952,2
355,Dec 29 2017 01: +0,9.81,1
356,Dec 31 2017 01: +0,9.876,2
357,Jan 01 2018 01: +0,7.758,1
358,Jan 02 2018 01: +0,8.336,2
359,Jan 03 2018 01: +0,9.77,2
360,Jan 06 2018 01: +0,8.28,1
361,Jan 07 2018 01: +0,9.304,4
362,Jan 08 2018 01: +0,8.965,3
363,Jan 09 2018 01: +0,9.842,3
364,Jan 11 2018 01: +0,9.117,2
365,Jan 12 2018 01: +0,8.931,3
366,Jan 13 2018 01: +0,9.792,1
367,Jan 14 2018 01: +0,6.003,1
368,Jan 15 2018 01: +0,8.398,3
369,Jan 17 2018 01: +0,9.4,1
370,Jan 18 2018 01: +0,9.38,1
371,Jan 19 2018 01: +0,8.778,2
372,Jan 21 2018 01: +0,9.213,2
373,Jan 22 2018 01: +0,9.429,1
374,Jan 25 2018 01: +0,7.75,1
375,Jan 26 2018 01: +0,9.203,1
376,Jan 28 2018 01: +0,7.848,3
377,Jan 29 2018 01: +0,9.142,1
378,Jan 30 2018 01: +0,7.95,4
379,Jan 31 2018 01: +0,8.867,4
380,Feb 02 2018 01: +0,9.093,1
381,Feb 04 2018 01: +0,9.11,1
382,Feb 05 2018 01: +0,6.338,1
383,Feb 06 2018 01: +0,8.62,1
384,Feb 07 2018 01: +0,7.6,2
385,Feb 10 2018 01: +0,8.47,1
386,Feb 11 2018 01: +0,6.444,2
387,Feb 12 2018 01: +0,7.219,2
388,Feb 13 2018 01: +0,7.41,1
389,Feb 14 2018 01: +0,7.833,5
390,Feb 16 2018 01: +0,8.701,1
391,Feb 19 2018 01: +0,8.33,1
392,Feb 20 2018 01: +0,7.217,1
393,Feb 21 2018 01: +0,8.217,1
394,Feb 23 2018 01: +0,5.813,4
395,Feb 24 2018 01: +0,7.005,1
396,Feb 25 2018 01: +0,7.617,2
397,Feb 26 2018 01: +0,7.431,2
398,Feb 27 2018 01: +0,8.086,2
399,Mar 01 2018 01: +0,7.949,2
400,Mar 03 2018 01: +0,7.525,3
401,Mar 04 2018 01: +0,6.76,2
402,Mar 05 2018 01: +0,7.51,1
403,Mar 06 2018 01: +0,7.677,2
404,Mar 08 2018 01: +0,7.59,1
405,Mar 09 2018 01: +0,7.698,5
406,Mar 10 2018 01: +0,7.816,1
407,Mar 15 2018 01: +0,6.58,2
408,Mar 17 2018 01: +0,7.073,2
409,Mar 18 2018 01: +0,7.493,2
410,Mar 19 2018 01: +0,7.62,1
411,Mar 20 2018 01: +0,7.55,1
412,Mar 21 2018 01: +0,7.607,1
413,Mar 22 2018 01: +0,7.203,3
414,Mar 23 2018 01: +0,6.505,1
415,Mar 24 2018 01: +0,7.86,1
416,Mar 25 2018 01: +0,6.243,2
417,Mar 27 2018 01: +0,6.962,1
418,Mar 28 2018 01: +0,6.603,1
419,Mar 29 2018 01: +0,6.676,2
420,Mar 30 2018 01: +0,6.48,2
421,Apr 01 2018 01: +0,6.76,1
422,Apr 05 2018 01: +0,6.558,1
423,Apr 06 2018 01: +0,6.452,2
424,Apr 07 2018 01: +0,6.51,1
