,time,price,volume
0,Nov 27 2016 01: +0,3.542,1
1,Nov 30 2016 01: +0,6.98,1
2,Dec 01 2016 01: +0,7.63,24
3,Dec 02 2016 01: +0,6.232,20
4,Dec 03 2016 01: +0,5.663,24
5,Dec 04 2016 01: +0,6.476,18
6,Dec 05 2016 01: +0,5.6,15
7,Dec 06 2016 01: +0,5.301,8
8,Dec 07 2016 01: +0,5.402,15
9,Dec 08 2016 01: +0,4.822,10
10,Dec 09 2016 01: +0,5.144,12
11,Dec 10 2016 01: +0,4.948,13
12,Dec 11 2016 01: +0,4.138,9
13,Dec 12 2016 01: +0,4.164,7
14,Dec 13 2016 01: +0,4.061,7
15,Dec 14 2016 01: +0,4.482,9
16,Dec 15 2016 01: +0,4.448,13
17,Dec 16 2016 01: +0,4.47,11
18,Dec 17 2016 01: +0,4.057,12
19,Dec 18 2016 01: +0,4.058,11
20,Dec 19 2016 01: +0,4.206,6
21,Dec 20 2016 01: +0,4.101,10
22,Dec 21 2016 01: +0,3.957,11
23,Dec 22 2016 01: +0,4.253,13
24,Dec 23 2016 01: +0,4.372,12
25,Dec 24 2016 01: +0,4.658,12
26,Dec 25 2016 01: +0,4.578,12
27,Dec 26 2016 01: +0,3.741,20
28,Dec 27 2016 01: +0,3.218,23
29,Dec 28 2016 01: +0,3.696,17
30,Dec 29 2016 01: +0,4.221,10
31,Dec 30 2016 01: +0,3.994,10
32,Dec 31 2016 01: +0,3.52,20
33,Jan 01 2017 01: +0,3.893,11
34,Jan 02 2017 01: +0,3.568,18
35,Jan 03 2017 01: +0,3.479,11
36,Jan 04 2017 01: +0,3.691,9
37,Jan 05 2017 01: +0,3.474,17
38,Jan 06 2017 01: +0,3.433,24
39,Jan 07 2017 01: +0,3.632,24
40,Jan 08 2017 01: +0,3.814,22
41,Jan 09 2017 01: +0,4.412,5
42,Jan 10 2017 01: +0,4.076,7
43,Jan 11 2017 01: +0,3.886,9
44,Jan 12 2017 01: +0,3.563,11
45,Jan 13 2017 01: +0,4.219,12
46,Jan 14 2017 01: +0,4.601,10
47,Jan 15 2017 01: +0,4.277,14
48,Jan 16 2017 01: +0,4.996,9
49,Jan 17 2017 01: +0,5.085,8
50,Jan 18 2017 01: +0,4.611,11
51,Jan 19 2017 01: +0,4.771,7
52,Jan 20 2017 01: +0,5.051,9
53,Jan 21 2017 01: +0,5.022,6
54,Jan 22 2017 01: +0,3.672,3
55,Jan 23 2017 01: +0,3.711,5
56,Jan 24 2017 01: +0,4.175,6
57,Jan 25 2017 01: +0,4.542,1
58,Jan 26 2017 01: +0,3.872,2
59,Jan 27 2017 01: +0,3.768,7
60,Jan 28 2017 01: +0,3.975,4
61,Jan 29 2017 01: +0,3.797,10
62,Jan 30 2017 01: +0,3.677,8
63,Jan 31 2017 01: +0,3.247,8
64,Feb 01 2017 01: +0,3.065,7
65,Feb 02 2017 01: +0,3.905,11
66,Feb 03 2017 01: +0,4.527,8
67,Feb 04 2017 01: +0,4.672,5
68,Feb 05 2017 01: +0,4.489,7
69,Feb 06 2017 01: +0,4.983,3
70,Feb 07 2017 01: +0,4.663,3
71,Feb 08 2017 01: +0,4.569,2
72,Feb 09 2017 01: +0,4.457,8
73,Feb 10 2017 01: +0,4.631,8
74,Feb 11 2017 01: +0,4.589,7
75,Feb 12 2017 01: +0,4.647,5
76,Feb 13 2017 01: +0,4.154,4
77,Feb 15 2017 01: +0,3.96,4
78,Feb 16 2017 01: +0,3.825,5
79,Feb 17 2017 01: +0,4.752,11
80,Feb 18 2017 01: +0,5.15,6
81,Feb 19 2017 01: +0,5.422,3
82,Feb 20 2017 01: +0,4.222,5
83,Feb 21 2017 01: +0,5.805,6
84,Feb 22 2017 01: +0,4.828,5
85,Feb 23 2017 01: +0,4.706,8
86,Feb 24 2017 01: +0,4.85,2
87,Feb 25 2017 01: +0,4.393,5
88,Feb 26 2017 01: +0,4.187,6
89,Feb 27 2017 01: +0,3.641,2
90,Feb 28 2017 01: +0,4.102,4
91,Mar 01 2017 01: +0,4.202,7
92,Mar 02 2017 01: +0,4.597,9
93,Mar 03 2017 01: +0,4.197,4
94,Mar 04 2017 01: +0,4.385,4
95,Mar 05 2017 01: +0,4.517,4
96,Mar 06 2017 01: +0,4.4,4
97,Mar 07 2017 01: +0,4.084,4
98,Mar 08 2017 01: +0,4.09,8
99,Mar 09 2017 01: +0,3.851,4
100,Mar 10 2017 01: +0,4.474,2
101,Mar 11 2017 01: +0,3.032,2
102,Mar 12 2017 01: +0,4.256,5
103,Mar 13 2017 01: +0,4.545,3
104,Mar 14 2017 01: +0,3.992,3
105,Mar 15 2017 01: +0,4.057,4
106,Mar 16 2017 01: +0,4.774,1
107,Mar 17 2017 01: +0,4.054,4
108,Mar 18 2017 01: +0,4.178,7
109,Mar 19 2017 01: +0,4.006,5
110,Mar 20 2017 01: +0,4.068,5
111,Mar 21 2017 01: +0,4.157,4
112,Mar 22 2017 01: +0,4.176,6
113,Mar 23 2017 01: +0,3.335,4
114,Mar 24 2017 01: +0,3.131,5
115,Mar 25 2017 01: +0,3.42,2
116,Mar 26 2017 01: +0,2.638,3
117,Mar 27 2017 01: +0,2.905,4
118,Mar 28 2017 01: +0,3.631,5
119,Mar 29 2017 01: +0,3.948,2
120,Mar 30 2017 01: +0,2.953,5
121,Mar 31 2017 01: +0,2.781,4
122,Apr 01 2017 01: +0,4.027,4
123,Apr 02 2017 01: +0,3.026,4
124,Apr 04 2017 01: +0,2.648,3
125,Apr 05 2017 01: +0,3.15,4
126,Apr 06 2017 01: +0,2.975,2
127,Apr 08 2017 01: +0,3.134,5
128,Apr 09 2017 01: +0,3.479,2
129,Apr 10 2017 01: +0,3.032,6
130,Apr 11 2017 01: +0,3.491,3
131,Apr 12 2017 01: +0,3.303,3
132,Apr 13 2017 01: +0,3.501,7
133,Apr 14 2017 01: +0,3.621,4
134,Apr 15 2017 01: +0,3.089,3
135,Apr 16 2017 01: +0,4.356,7
136,Apr 17 2017 01: +0,4.736,5
137,Apr 18 2017 01: +0,4.413,3
138,Apr 19 2017 01: +0,4.295,1
139,Apr 20 2017 01: +0,4.728,3
140,Apr 21 2017 01: +0,4.829,3
141,Apr 22 2017 01: +0,4.852,6
142,Apr 23 2017 01: +0,4.693,6
143,Apr 24 2017 01: +0,3.42,1
144,Apr 25 2017 01: +0,4.57,1
145,Apr 26 2017 01: +0,4.603,6
146,Apr 27 2017 01: +0,4.971,2
147,Apr 28 2017 01: +0,3.886,5
148,Apr 29 2017 01: +0,4.489,5
149,Apr 30 2017 01: +0,4.394,3
150,May 01 2017 01: +0,4.656,2
151,May 02 2017 01: +0,5.057,2
152,May 03 2017 01: +0,3.808,3
153,May 04 2017 01: +0,4.225,2
154,May 06 2017 01: +0,4.219,3
155,May 07 2017 01: +0,4.165,5
156,May 08 2017 01: +0,3.77,4
157,May 09 2017 01: +0,3.722,2
158,May 10 2017 01: +0,3.704,6
159,May 11 2017 01: +0,3.872,3
160,May 12 2017 01: +0,4.0,2
161,May 13 2017 01: +0,4.343,4
162,May 14 2017 01: +0,3.914,4
163,May 15 2017 01: +0,4.17,1
164,May 16 2017 01: +0,4.105,5
165,May 17 2017 01: +0,3.993,3
166,May 18 2017 01: +0,3.913,5
167,May 19 2017 01: +0,4.06,6
168,May 20 2017 01: +0,4.364,7
169,May 21 2017 01: +0,3.693,4
170,May 22 2017 01: +0,4.775,4
171,May 23 2017 01: +0,4.484,4
