,time,price,volume
0,Dec 29 2016 01: +0,4.0,1
1,Jan 05 2017 01: +0,1.424,5
2,Jan 06 2017 01: +0,1.122,7
3,Jan 07 2017 01: +0,1.164,7
4,Jan 08 2017 01: +0,1.132,5
5,Jan 09 2017 01: +0,1.116,8
6,Jan 10 2017 01: +0,1.042,6
7,Jan 11 2017 01: +0,0.907,8
8,Jan 12 2017 01: +0,1.025,12
9,Jan 13 2017 01: +0,1.151,8
10,Jan 14 2017 01: +0,1.275,16
11,Jan 15 2017 01: +0,1.486,6
12,Jan 16 2017 01: +0,1.34,6
13,Jan 17 2017 01: +0,1.481,9
14,Jan 18 2017 01: +0,1.282,4
15,Jan 19 2017 01: +0,1.076,15
16,Jan 20 2017 01: +0,1.179,8
17,Jan 21 2017 01: +0,1.126,11
18,Jan 22 2017 01: +0,0.96,8
19,Jan 23 2017 01: +0,0.793,8
20,Jan 24 2017 01: +0,0.778,5
21,Jan 25 2017 01: +0,0.78,15
22,Jan 26 2017 01: +0,0.804,16
23,Jan 27 2017 01: +0,0.872,21
24,Jan 28 2017 01: +0,0.919,19
25,Jan 29 2017 01: +0,1.01,14
26,Jan 30 2017 01: +0,0.86,9
27,Jan 31 2017 01: +0,0.826,16
28,Feb 01 2017 01: +0,0.836,3
29,Feb 02 2017 01: +0,0.848,16
30,Feb 03 2017 01: +0,0.875,16
31,Feb 04 2017 01: +0,0.761,11
32,Feb 05 2017 01: +0,0.765,13
33,Feb 06 2017 01: +0,0.748,18
34,Feb 07 2017 01: +0,0.659,10
35,Feb 08 2017 01: +0,0.733,9
36,Feb 09 2017 01: +0,0.613,10
37,Feb 10 2017 01: +0,0.728,14
38,Feb 11 2017 01: +0,0.652,9
39,Feb 12 2017 01: +0,0.62,17
40,Feb 13 2017 01: +0,0.576,6
41,Feb 14 2017 01: +0,0.624,24
42,Feb 15 2017 01: +0,0.72,7
43,Feb 16 2017 01: +0,0.628,14
44,Feb 17 2017 01: +0,0.627,11
45,Feb 18 2017 01: +0,0.652,16
46,Feb 19 2017 01: +0,0.643,17
47,Feb 20 2017 01: +0,0.593,13
48,Feb 21 2017 01: +0,0.595,17
49,Feb 22 2017 01: +0,0.556,7
50,Feb 23 2017 01: +0,0.562,16
51,Feb 24 2017 01: +0,0.6,24
52,Feb 25 2017 01: +0,0.639,11
53,Feb 26 2017 01: +0,0.641,19
54,Feb 27 2017 01: +0,0.602,10
55,Feb 28 2017 01: +0,0.676,6
56,Mar 01 2017 01: +0,0.602,10
57,Mar 02 2017 01: +0,0.617,18
58,Mar 03 2017 01: +0,0.584,16
59,Mar 04 2017 01: +0,0.654,20
60,Mar 05 2017 01: +0,0.647,13
61,Mar 06 2017 01: +0,0.59,10
62,Mar 07 2017 01: +0,0.645,14
63,Mar 08 2017 01: +0,0.573,7
64,Mar 09 2017 01: +0,0.644,16
65,Mar 10 2017 01: +0,0.578,12
66,Mar 11 2017 01: +0,0.648,11
67,Mar 12 2017 01: +0,0.638,17
68,Mar 13 2017 01: +0,0.621,13
69,Mar 14 2017 01: +0,0.665,8
70,Mar 15 2017 01: +0,0.613,7
71,Mar 16 2017 01: +0,0.602,10
72,Mar 17 2017 01: +0,0.622,19
73,Mar 18 2017 01: +0,0.664,10
74,Mar 19 2017 01: +0,0.657,6
75,Mar 20 2017 01: +0,0.658,11
76,Mar 21 2017 01: +0,0.634,9
77,Mar 22 2017 01: +0,0.671,9
78,Mar 23 2017 01: +0,0.568,10
79,Mar 24 2017 01: +0,0.553,15
80,Mar 25 2017 01: +0,0.623,11
81,Mar 26 2017 01: +0,0.667,14
82,Mar 27 2017 01: +0,0.667,6
83,Mar 28 2017 01: +0,0.631,9
84,Mar 29 2017 01: +0,0.715,6
85,Mar 30 2017 01: +0,0.651,10
86,Mar 31 2017 01: +0,0.599,5
87,Apr 01 2017 01: +0,0.638,12
88,Apr 02 2017 01: +0,0.572,10
89,Apr 03 2017 01: +0,0.582,6
90,Apr 04 2017 01: +0,0.609,9
91,Apr 05 2017 01: +0,0.6,7
92,Apr 06 2017 01: +0,0.739,7
93,Apr 07 2017 01: +0,0.614,6
94,Apr 08 2017 01: +0,0.614,11
95,Apr 09 2017 01: +0,0.677,11
96,Apr 10 2017 01: +0,0.686,3
97,Apr 11 2017 01: +0,0.438,3
98,Apr 12 2017 01: +0,0.598,4
99,Apr 13 2017 01: +0,0.641,17
100,Apr 14 2017 01: +0,0.692,4
101,Apr 15 2017 01: +0,0.654,6
102,Apr 16 2017 01: +0,0.712,9
103,Apr 17 2017 01: +0,0.804,13
104,Apr 18 2017 01: +0,0.854,6
105,Apr 19 2017 01: +0,0.729,4
106,Apr 20 2017 01: +0,0.682,6
107,Apr 21 2017 01: +0,0.716,8
108,Apr 22 2017 01: +0,0.802,12
109,Apr 23 2017 01: +0,0.872,9
110,Apr 24 2017 01: +0,0.851,4
111,Apr 25 2017 01: +0,0.853,11
112,Apr 26 2017 01: +0,0.971,4
113,Apr 27 2017 01: +0,0.919,7
114,Apr 28 2017 01: +0,0.924,6
115,Apr 29 2017 01: +0,0.795,7
116,Apr 30 2017 01: +0,0.97,3
117,May 01 2017 01: +0,0.809,8
118,May 02 2017 01: +0,0.883,9
119,May 03 2017 01: +0,0.798,5
120,May 04 2017 01: +0,0.805,7
121,May 05 2017 01: +0,0.629,2
122,May 06 2017 01: +0,0.868,6
123,May 07 2017 01: +0,0.936,3
124,May 08 2017 01: +0,0.82,9
125,May 09 2017 01: +0,0.895,2
126,May 10 2017 01: +0,0.759,5
127,May 11 2017 01: +0,0.951,5
128,May 12 2017 01: +0,0.863,5
129,May 13 2017 01: +0,0.882,11
130,May 14 2017 01: +0,0.978,6
131,May 15 2017 01: +0,0.688,5
132,May 16 2017 01: +0,0.832,3
133,May 17 2017 01: +0,0.99,1
134,May 18 2017 01: +0,0.777,8
135,May 19 2017 01: +0,0.855,2
136,May 20 2017 01: +0,0.882,7
137,May 21 2017 01: +0,0.838,2
138,May 22 2017 01: +0,0.94,7
139,May 23 2017 01: +0,0.937,5
140,May 24 2017 01: +0,0.728,7
141,May 25 2017 01: +0,0.785,5
142,May 26 2017 01: +0,0.748,6
143,May 27 2017 01: +0,0.709,8
144,May 28 2017 01: +0,0.743,7
145,May 29 2017 01: +0,0.736,5
146,May 30 2017 01: +0,0.744,5
147,May 31 2017 01: +0,0.771,8
148,Jun 01 2017 01: +0,0.833,6
149,Jun 02 2017 01: +0,0.711,5
150,Jun 03 2017 01: +0,0.558,3
151,Jun 04 2017 01: +0,0.817,5
152,Jun 05 2017 01: +0,0.776,2
153,Jun 06 2017 01: +0,0.792,5
154,Jun 07 2017 01: +0,0.654,5
155,Jun 08 2017 01: +0,0.753,11
156,Jun 09 2017 01: +0,0.808,10
157,Jun 10 2017 01: +0,0.876,7
158,Jun 11 2017 01: +0,0.778,7
159,Jun 12 2017 01: +0,0.811,8
160,Jun 13 2017 01: +0,0.835,5
161,Jun 14 2017 01: +0,0.718,4
162,Jun 15 2017 01: +0,0.802,6
163,Jun 16 2017 01: +0,0.735,5
164,Jun 17 2017 01: +0,0.641,7
165,Jun 18 2017 01: +0,0.704,5
166,Jun 19 2017 01: +0,0.776,4
167,Jun 20 2017 01: +0,0.767,5
168,Jun 21 2017 01: +0,0.818,3
169,Jun 22 2017 01: +0,0.687,7
170,Jun 23 2017 01: +0,0.712,10
171,Jun 24 2017 01: +0,0.636,9
172,Jun 25 2017 01: +0,0.719,4
173,Jun 26 2017 01: +0,0.67,1
174,Jun 27 2017 01: +0,0.596,7
175,Jun 28 2017 01: +0,0.725,6
176,Jun 29 2017 01: +0,0.689,4
177,Jun 30 2017 01: +0,0.671,10
178,Jul 01 2017 01: +0,0.815,6
179,Jul 02 2017 01: +0,0.508,2
180,Jul 03 2017 01: +0,0.714,6
181,Jul 04 2017 01: +0,0.691,6
182,Jul 05 2017 01: +0,0.755,3
183,Jul 06 2017 01: +0,0.712,11
184,Jul 07 2017 01: +0,0.782,5
185,Jul 08 2017 01: +0,0.864,4
186,Jul 09 2017 01: +0,0.909,8
187,Jul 10 2017 01: +0,0.958,4
188,Jul 11 2017 01: +0,0.81,6
189,Jul 12 2017 01: +0,0.946,2
190,Jul 13 2017 01: +0,0.98,2
191,Jul 14 2017 01: +0,0.906,5
192,Jul 15 2017 01: +0,0.933,8
193,Jul 16 2017 01: +0,0.903,4
194,Jul 17 2017 01: +0,1.019,4
195,Jul 18 2017 01: +0,0.909,10
196,Jul 19 2017 01: +0,0.919,3
197,Jul 20 2017 01: +0,0.882,2
198,Jul 21 2017 01: +0,0.938,4
199,Jul 22 2017 01: +0,0.897,3
200,Jul 23 2017 01: +0,0.838,7
201,Jul 24 2017 01: +0,0.863,3
202,Jul 25 2017 01: +0,0.848,4
203,Jul 26 2017 01: +0,0.83,9
204,Jul 27 2017 01: +0,0.951,8
205,Jul 28 2017 01: +0,0.897,4
206,Jul 29 2017 01: +0,1.112,3
207,Jul 30 2017 01: +0,0.96,5
208,Jul 31 2017 01: +0,0.686,4
209,Aug 01 2017 01: +0,0.912,2
210,Aug 02 2017 01: +0,0.877,2
211,Aug 03 2017 01: +0,0.808,8
212,Aug 04 2017 01: +0,0.739,5
213,Aug 05 2017 01: +0,0.928,4
214,Aug 06 2017 01: +0,0.961,5
215,Aug 07 2017 01: +0,0.869,3
216,Aug 08 2017 01: +0,0.772,2
217,Aug 09 2017 01: +0,0.893,6
218,Aug 10 2017 01: +0,0.877,7
219,Aug 11 2017 01: +0,0.962,2
220,Aug 12 2017 01: +0,0.814,1
221,Aug 13 2017 01: +0,0.824,6
222,Aug 14 2017 01: +0,0.788,5
223,Aug 15 2017 01: +0,0.829,8
224,Aug 16 2017 01: +0,0.721,6
225,Aug 17 2017 01: +0,0.721,4
226,Aug 18 2017 01: +0,0.822,6
227,Aug 19 2017 01: +0,0.908,1
228,Aug 20 2017 01: +0,0.775,5
229,Aug 21 2017 01: +0,0.69,3
230,Aug 22 2017 01: +0,0.78,3
231,Aug 24 2017 01: +0,0.761,6
232,Aug 25 2017 01: +0,0.75,9
233,Aug 26 2017 01: +0,0.937,2
234,Aug 27 2017 01: +0,0.58,1
235,Aug 28 2017 01: +0,0.809,4
236,Aug 29 2017 01: +0,0.924,3
237,Aug 30 2017 01: +0,0.962,1
238,Aug 31 2017 01: +0,0.611,2
239,Sep 01 2017 01: +0,0.729,8
240,Sep 02 2017 01: +0,0.663,3
241,Sep 03 2017 01: +0,0.74,3
242,Sep 04 2017 01: +0,0.607,1
243,Sep 05 2017 01: +0,0.593,4
244,Sep 06 2017 01: +0,0.622,3
245,Sep 07 2017 01: +0,0.753,5
246,Sep 08 2017 01: +0,0.633,3
247,Sep 09 2017 01: +0,0.506,3
248,Sep 10 2017 01: +0,0.654,6
249,Sep 11 2017 01: +0,0.65,4
250,Sep 12 2017 01: +0,0.596,5
251,Sep 13 2017 01: +0,0.62,3
252,Sep 14 2017 01: +0,0.688,9
253,Sep 15 2017 01: +0,0.781,5
254,Sep 16 2017 01: +0,0.836,5
255,Sep 17 2017 01: +0,0.785,3
256,Sep 18 2017 01: +0,0.777,3
257,Sep 19 2017 01: +0,0.732,4
258,Sep 20 2017 01: +0,0.805,2
259,Sep 21 2017 01: +0,0.83,2
260,Sep 22 2017 01: +0,0.729,5
261,Sep 23 2017 01: +0,0.755,4
262,Sep 24 2017 01: +0,0.834,4
263,Sep 26 2017 01: +0,0.837,1
264,Sep 27 2017 01: +0,0.855,3
265,Sep 29 2017 01: +0,0.775,2
266,Sep 30 2017 01: +0,0.761,3
267,Oct 01 2017 01: +0,0.759,6
268,Oct 02 2017 01: +0,0.66,3
269,Oct 03 2017 01: +0,0.758,6
270,Oct 04 2017 01: +0,0.9,5
271,Oct 05 2017 01: +0,0.963,2
272,Oct 06 2017 01: +0,0.637,4
273,Oct 07 2017 01: +0,0.901,2
274,Oct 08 2017 01: +0,0.811,4
275,Oct 09 2017 01: +0,0.977,2
276,Oct 10 2017 01: +0,0.755,5
277,Oct 11 2017 01: +0,0.753,2
278,Oct 12 2017 01: +0,0.78,5
279,Oct 13 2017 01: +0,0.655,2
280,Oct 14 2017 01: +0,0.774,5
281,Oct 15 2017 01: +0,0.551,4
282,Oct 16 2017 01: +0,0.809,2
283,Oct 17 2017 01: +0,0.662,6
284,Oct 18 2017 01: +0,0.62,2
285,Oct 19 2017 01: +0,0.737,3
286,Oct 20 2017 01: +0,0.641,2
287,Oct 21 2017 01: +0,0.747,4
288,Oct 22 2017 01: +0,0.68,2
289,Oct 23 2017 01: +0,0.757,5
290,Oct 24 2017 01: +0,0.831,3
291,Oct 25 2017 01: +0,0.826,2
292,Oct 26 2017 01: +0,0.656,4
293,Oct 27 2017 01: +0,0.658,4
294,Oct 28 2017 01: +0,0.79,2
295,Oct 29 2017 01: +0,0.647,4
296,Oct 30 2017 01: +0,0.765,1
297,Oct 31 2017 01: +0,0.62,3
298,Nov 01 2017 01: +0,0.654,3
299,Nov 02 2017 01: +0,0.512,3
300,Nov 03 2017 01: +0,0.629,3
301,Nov 04 2017 01: +0,0.612,4
302,Nov 05 2017 01: +0,0.654,8
303,Nov 06 2017 01: +0,0.789,6
304,Nov 07 2017 01: +0,0.69,1
305,Nov 08 2017 01: +0,0.802,4
306,Nov 10 2017 01: +0,0.719,2
307,Nov 11 2017 01: +0,0.799,3
308,Nov 12 2017 01: +0,0.765,4
309,Nov 13 2017 01: +0,0.8,5
310,Nov 14 2017 01: +0,0.879,3
311,Nov 15 2017 01: +0,0.903,1
312,Nov 16 2017 01: +0,0.855,4
313,Nov 17 2017 01: +0,0.92,1
314,Nov 18 2017 01: +0,0.89,1
315,Nov 19 2017 01: +0,0.88,1
316,Nov 21 2017 01: +0,0.809,4
317,Nov 22 2017 01: +0,0.664,3
318,Nov 23 2017 01: +0,0.623,3
319,Nov 24 2017 01: +0,0.698,4
320,Nov 25 2017 01: +0,0.728,2
321,Nov 26 2017 01: +0,0.68,4
322,Nov 28 2017 01: +0,0.728,2
323,Nov 29 2017 01: +0,0.76,1
324,Nov 30 2017 01: +0,0.76,2
325,Dec 01 2017 01: +0,0.692,3
326,Dec 02 2017 01: +0,0.685,4
327,Dec 03 2017 01: +0,0.722,4
328,Dec 04 2017 01: +0,0.819,1
329,Dec 06 2017 01: +0,0.791,3
330,Dec 07 2017 01: +0,0.719,6
331,Dec 08 2017 01: +0,0.724,5
332,Dec 09 2017 01: +0,0.677,3
333,Dec 10 2017 01: +0,0.803,4
334,Dec 11 2017 01: +0,0.679,5
335,Dec 12 2017 01: +0,0.715,4
336,Dec 13 2017 01: +0,0.759,5
337,Dec 14 2017 01: +0,0.43,1
338,Dec 15 2017 01: +0,0.695,4
339,Dec 16 2017 01: +0,0.819,3
340,Dec 17 2017 01: +0,0.831,6
341,Dec 19 2017 01: +0,0.888,3
342,Dec 20 2017 01: +0,0.988,5
343,Dec 21 2017 01: +0,0.897,2
344,Dec 22 2017 01: +0,0.697,3
345,Dec 23 2017 01: +0,0.878,5
346,Dec 24 2017 01: +0,1.014,5
347,Dec 25 2017 01: +0,1.051,2
348,Dec 26 2017 01: +0,0.943,4
349,Dec 27 2017 01: +0,0.785,3
350,Dec 28 2017 01: +0,0.86,6
351,Dec 29 2017 01: +0,0.831,5
352,Dec 30 2017 01: +0,0.9,4
353,Dec 31 2017 01: +0,0.997,3
354,Jan 01 2018 01: +0,0.693,1
355,Jan 02 2018 01: +0,0.845,2
356,Jan 03 2018 01: +0,0.885,2
357,Jan 04 2018 01: +0,0.986,9
358,Jan 05 2018 01: +0,0.948,2
359,Jan 06 2018 01: +0,1.035,2
360,Jan 07 2018 01: +0,0.896,2
361,Jan 08 2018 01: +0,0.949,5
362,Jan 09 2018 01: +0,0.955,2
363,Jan 10 2018 01: +0,1.1,2
364,Jan 11 2018 01: +0,1.01,1
365,Jan 12 2018 01: +0,0.779,2
366,Jan 13 2018 01: +0,1.09,3
367,Jan 14 2018 01: +0,1.073,5
368,Jan 15 2018 01: +0,0.783,2
369,Jan 16 2018 01: +0,0.683,1
370,Jan 17 2018 01: +0,1.097,3
371,Jan 18 2018 01: +0,1.111,3
372,Jan 19 2018 01: +0,1.094,2
373,Jan 20 2018 01: +0,0.929,5
374,Jan 21 2018 01: +0,0.885,6
