,time,price,volume
0,Jul 16 2020 01: +0,1.713,25
1,Jul 17 2020 01: +0,1.695,65
2,Jul 18 2020 01: +0,1.753,81
3,Jul 19 2020 01: +0,2.021,83
4,Jul 20 2020 01: +0,1.92,79
5,Jul 21 2020 01: +0,1.946,58
6,Jul 22 2020 01: +0,1.747,84
7,Jul 23 2020 01: +0,1.713,97
8,Jul 24 2020 01: +0,1.692,77
9,Jul 25 2020 01: +0,1.656,95
10,Jul 26 2020 01: +0,1.655,97
11,Jul 27 2020 01: +0,1.626,83
12,Jul 28 2020 01: +0,1.613,77
13,Jul 29 2020 01: +0,1.693,74
14,Jul 30 2020 01: +0,1.607,60
15,Jul 31 2020 01: +0,1.657,76
16,Aug 01 2020 01: +0,1.575,79
17,Aug 02 2020 01: +0,1.568,72
18,Aug 03 2020 01: +0,1.688,80
19,Aug 04 2020 01: +0,1.738,77
20,Aug 05 2020 01: +0,1.683,48
21,Aug 06 2020 01: +0,1.725,69
22,Aug 07 2020 01: +0,1.751,72
23,Aug 08 2020 01: +0,1.763,80
24,Aug 09 2020 01: +0,1.821,71
25,Aug 10 2020 01: +0,1.827,69
26,Aug 11 2020 01: +0,1.845,49
27,Aug 12 2020 01: +0,1.73,70
28,Aug 13 2020 01: +0,1.631,67
29,Aug 14 2020 01: +0,1.733,87
30,Aug 15 2020 01: +0,1.898,75
31,Aug 16 2020 01: +0,1.787,55
32,Aug 17 2020 01: +0,1.745,49
33,Aug 18 2020 01: +0,1.761,62
34,Aug 19 2020 01: +0,1.862,68
35,Aug 20 2020 01: +0,1.801,53
36,Aug 21 2020 01: +0,1.703,54
37,Aug 22 2020 01: +0,1.729,57
38,Aug 23 2020 01: +0,1.768,62
39,Aug 24 2020 01: +0,1.627,52
40,Aug 25 2020 01: +0,1.754,43
41,Aug 26 2020 01: +0,1.651,48
42,Aug 27 2020 01: +0,1.666,42
43,Aug 28 2020 01: +0,1.631,59
44,Aug 29 2020 01: +0,1.654,76
45,Aug 30 2020 01: +0,1.655,49
46,Aug 31 2020 01: +0,1.721,56
47,Sep 01 2020 01: +0,1.709,44
48,Sep 02 2020 01: +0,1.72,48
49,Sep 03 2020 01: +0,1.712,53
50,Sep 04 2020 01: +0,1.703,79
51,Sep 05 2020 01: +0,1.697,60
52,Sep 06 2020 01: +0,1.827,72
53,Sep 07 2020 01: +0,1.694,48
54,Sep 08 2020 01: +0,1.58,53
55,Sep 09 2020 01: +0,1.726,39
56,Sep 10 2020 01: +0,1.672,44
57,Sep 11 2020 01: +0,1.717,54
58,Sep 12 2020 01: +0,1.728,55
59,Sep 13 2020 01: +0,1.602,83
60,Sep 14 2020 01: +0,1.611,88
61,Sep 15 2020 01: +0,1.659,55
62,Sep 16 2020 01: +0,1.496,49
63,Sep 17 2020 01: +0,1.456,58
64,Sep 18 2020 01: +0,1.393,72
65,Sep 19 2020 01: +0,1.463,62
66,Sep 20 2020 01: +0,1.43,55
67,Sep 21 2020 01: +0,1.448,51
68,Sep 22 2020 01: +0,1.511,41
69,Sep 23 2020 01: +0,1.427,30
70,Sep 24 2020 01: +0,1.368,52
71,Sep 25 2020 01: +0,1.227,63
72,Sep 26 2020 01: +0,1.266,65
73,Sep 27 2020 01: +0,1.288,65
74,Sep 28 2020 01: +0,1.275,41
75,Sep 29 2020 01: +0,1.174,36
76,Sep 30 2020 01: +0,1.167,42
77,Oct 01 2020 01: +0,1.16,62
78,Oct 02 2020 01: +0,1.212,61
79,Oct 03 2020 01: +0,1.227,66
80,Oct 04 2020 01: +0,1.193,84
81,Oct 05 2020 01: +0,1.227,63
82,Oct 06 2020 01: +0,1.184,42
83,Oct 07 2020 01: +0,1.262,74
84,Oct 08 2020 01: +0,1.187,50
85,Oct 09 2020 01: +0,1.133,49
86,Oct 10 2020 01: +0,1.268,64
87,Oct 11 2020 01: +0,1.246,46
88,Oct 12 2020 01: +0,1.2,41
89,Oct 13 2020 01: +0,1.162,45
90,Oct 14 2020 01: +0,1.24,37
91,Oct 15 2020 01: +0,1.224,46
92,Oct 16 2020 01: +0,1.252,61
93,Oct 17 2020 01: +0,1.318,68
94,Oct 18 2020 01: +0,1.279,55
95,Oct 19 2020 01: +0,1.32,48
96,Oct 20 2020 01: +0,1.29,45
97,Oct 21 2020 01: +0,1.293,46
98,Oct 22 2020 01: +0,1.356,41
99,Oct 23 2020 01: +0,1.311,44
100,Oct 24 2020 01: +0,1.351,42
101,Oct 25 2020 01: +0,1.349,48
102,Oct 26 2020 01: +0,1.387,44
103,Oct 27 2020 01: +0,1.321,52
104,Oct 28 2020 01: +0,1.261,43
105,Oct 29 2020 01: +0,1.321,46
106,Oct 30 2020 01: +0,1.151,92
107,Oct 31 2020 01: +0,1.184,40
108,Nov 01 2020 01: +0,1.225,45
109,Nov 02 2020 01: +0,1.2,41
110,Nov 03 2020 01: +0,1.293,46
111,Nov 04 2020 01: +0,1.278,39
112,Nov 05 2020 01: +0,1.22,42
113,Nov 06 2020 01: +0,1.282,78
114,Nov 07 2020 01: +0,1.372,56
115,Nov 08 2020 01: +0,1.357,61
116,Nov 09 2020 01: +0,1.336,52
117,Nov 10 2020 01: +0,1.36,62
118,Nov 11 2020 01: +0,1.331,39
119,Nov 12 2020 01: +0,1.316,42
120,Nov 13 2020 01: +0,1.342,65
121,Nov 14 2020 01: +0,1.38,58
122,Nov 15 2020 01: +0,1.382,41
123,Nov 16 2020 01: +0,1.32,46
124,Nov 17 2020 01: +0,1.361,31
125,Nov 18 2020 01: +0,1.294,42
126,Nov 19 2020 01: +0,1.323,53
127,Nov 20 2020 01: +0,1.294,61
128,Nov 21 2020 01: +0,1.346,45
129,Nov 22 2020 01: +0,1.397,49
130,Nov 23 2020 01: +0,1.356,35
131,Nov 24 2020 01: +0,1.313,28
132,Nov 25 2020 01: +0,1.316,42
133,Nov 26 2020 01: +0,1.265,30
134,Nov 27 2020 01: +0,1.331,61
135,Nov 28 2020 01: +0,1.26,62
136,Nov 29 2020 01: +0,1.301,51
137,Nov 30 2020 01: +0,1.296,39
138,Dec 01 2020 01: +0,1.274,57
139,Dec 02 2020 01: +0,1.356,49
140,Dec 03 2020 01: +0,1.352,56
141,Dec 04 2020 01: +0,1.319,69
142,Dec 05 2020 01: +0,1.321,61
143,Dec 06 2020 01: +0,1.308,73
144,Dec 07 2020 01: +0,1.299,48
145,Dec 08 2020 01: +0,1.305,55
146,Dec 09 2020 01: +0,1.264,62
147,Dec 10 2020 01: +0,1.304,48
148,Dec 11 2020 01: +0,1.307,66
149,Dec 12 2020 01: +0,1.296,46
150,Dec 13 2020 01: +0,1.327,52
151,Dec 14 2020 01: +0,1.361,48
152,Dec 15 2020 01: +0,1.423,75
153,Dec 16 2020 01: +0,1.502,36
154,Dec 17 2020 01: +0,1.468,46
155,Dec 18 2020 01: +0,1.517,63
156,Dec 19 2020 01: +0,1.415,52
157,Dec 20 2020 01: +0,1.463,77
158,Dec 21 2020 01: +0,1.368,49
159,Dec 22 2020 01: +0,1.43,50
160,Dec 23 2020 01: +0,1.502,47
161,Dec 24 2020 01: +0,1.501,48
162,Dec 25 2020 01: +0,1.641,77
163,Dec 26 2020 01: +0,1.749,55
164,Dec 27 2020 01: +0,1.633,41
165,Dec 28 2020 01: +0,1.65,51
166,Dec 29 2020 01: +0,1.709,42
167,Dec 30 2020 01: +0,1.77,65
168,Dec 31 2020 01: +0,1.636,49
169,Jan 01 2021 01: +0,1.736,51
170,Jan 02 2021 01: +0,1.738,55
171,Jan 03 2021 01: +0,1.742,64
172,Jan 04 2021 01: +0,1.689,56
173,Jan 05 2021 01: +0,1.772,89
174,Jan 06 2021 01: +0,1.738,68
175,Jan 07 2021 01: +0,1.725,98
176,Jan 08 2021 01: +0,1.83,109
177,Jan 09 2021 01: +0,2.081,123
178,Jan 10 2021 01: +0,2.129,129
179,Jan 11 2021 01: +0,2.141,136
180,Jan 12 2021 01: +0,2.387,83
181,Jan 13 2021 01: +0,2.519,102
182,Jan 14 2021 01: +0,2.501,90
183,Jan 15 2021 01: +0,2.564,109
184,Jan 16 2021 01: +0,2.846,135
185,Jan 17 2021 01: +0,2.935,104
186,Jan 18 2021 01: +0,3.026,68
187,Jan 19 2021 01: +0,3.197,82
188,Jan 20 2021 01: +0,3.161,68
189,Jan 21 2021 01: +0,3.396,71
190,Jan 22 2021 01: +0,3.082,102
191,Jan 23 2021 01: +0,3.294,66
192,Jan 24 2021 01: +0,3.435,61
193,Jan 25 2021 01: +0,3.275,65
194,Jan 26 2021 01: +0,3.236,63
195,Jan 27 2021 01: +0,3.54,62
196,Jan 28 2021 01: +0,3.41,59
197,Jan 29 2021 01: +0,2.894,71
198,Jan 30 2021 01: +0,3.303,75
199,Jan 31 2021 01: +0,3.114,45
200,Feb 01 2021 01: +0,2.983,57
201,Feb 02 2021 01: +0,2.91,57
202,Feb 03 2021 01: +0,2.863,52
203,Feb 04 2021 01: +0,2.923,70
204,Feb 05 2021 01: +0,2.93,71
205,Feb 06 2021 01: +0,2.93,55
206,Feb 07 2021 01: +0,3.0,51
207,Feb 08 2021 01: +0,2.97,42
208,Feb 09 2021 01: +0,2.915,41
209,Feb 10 2021 01: +0,2.689,49
210,Feb 11 2021 01: +0,2.721,51
211,Feb 12 2021 01: +0,2.556,62
212,Feb 13 2021 01: +0,2.616,45
213,Feb 14 2021 01: +0,2.525,49
214,Feb 15 2021 01: +0,2.354,33
215,Feb 16 2021 01: +0,2.455,39
216,Feb 17 2021 01: +0,2.619,45
217,Feb 18 2021 01: +0,2.403,36
218,Feb 19 2021 01: +0,2.441,58
219,Feb 20 2021 01: +0,2.479,49
220,Feb 21 2021 01: +0,2.459,42
221,Feb 22 2021 01: +0,2.389,39
222,Feb 23 2021 01: +0,2.321,33
223,Feb 24 2021 01: +0,2.371,31
224,Feb 25 2021 01: +0,2.262,19
225,Feb 26 2021 01: +0,2.126,61
226,Feb 27 2021 01: +0,2.18,48
227,Feb 28 2021 01: +0,2.257,55
228,Mar 01 2021 01: +0,2.251,29
