,time,price,volume
0,Feb 04 2021 01: +0,2.784,107
1,Feb 05 2021 01: +0,2.171,206
2,Feb 06 2021 01: +0,2.257,113
3,Feb 07 2021 01: +0,2.226,131
4,Feb 08 2021 01: +0,2.101,118
5,Feb 09 2021 01: +0,2.083,119
6,Feb 10 2021 01: +0,2.093,133
7,Feb 11 2021 01: +0,1.957,189
8,Feb 12 2021 01: +0,1.646,176
9,Feb 13 2021 01: +0,1.697,171
10,Feb 14 2021 01: +0,1.629,123
11,Feb 15 2021 01: +0,1.587,146
12,Feb 16 2021 01: +0,1.612,133
13,Feb 17 2021 01: +0,1.641,97
14,Feb 18 2021 01: +0,1.642,109
15,Feb 19 2021 01: +0,1.549,131
16,Feb 20 2021 01: +0,1.612,139
17,Feb 21 2021 01: +0,1.661,99
18,Feb 22 2021 01: +0,1.638,96
19,Feb 23 2021 01: +0,1.593,105
20,Feb 24 2021 01: +0,1.525,120
21,Feb 25 2021 01: +0,1.606,99
22,Feb 26 2021 01: +0,1.38,160
23,Feb 27 2021 01: +0,1.553,103
24,Feb 28 2021 01: +0,1.534,125
25,Mar 01 2021 01: +0,1.487,124
26,Mar 02 2021 01: +0,1.563,105
27,Mar 03 2021 01: +0,1.48,89
28,Mar 04 2021 01: +0,1.557,134
29,Mar 05 2021 01: +0,1.593,126
30,Mar 06 2021 01: +0,1.562,134
31,Mar 07 2021 01: +0,1.732,93
32,Mar 08 2021 01: +0,1.638,99
33,Mar 09 2021 01: +0,1.669,80
34,Mar 10 2021 01: +0,1.476,80
35,Mar 11 2021 01: +0,1.589,75
36,Mar 12 2021 01: +0,1.449,83
37,Mar 13 2021 01: +0,1.559,91
38,Mar 14 2021 01: +0,1.647,93
39,Mar 15 2021 01: +0,1.657,83
40,Mar 16 2021 01: +0,1.567,81
41,Mar 17 2021 01: +0,1.62,57
42,Mar 18 2021 01: +0,1.575,97
43,Mar 19 2021 01: +0,1.54,93
44,Mar 20 2021 01: +0,1.616,68
45,Mar 21 2021 01: +0,1.567,94
