,time,price,volume
0,Sep 19 2019 01: +0,1.207,1
1,Sep 20 2019 01: +0,1.631,32
2,Sep 21 2019 01: +0,1.567,30
3,Sep 22 2019 01: +0,1.608,22
4,Sep 23 2019 01: +0,1.432,15
5,Sep 24 2019 01: +0,1.207,18
6,Sep 25 2019 01: +0,1.194,24
7,Sep 26 2019 01: +0,1.204,30
8,Sep 27 2019 01: +0,1.038,35
9,Sep 28 2019 01: +0,1.136,35
10,Sep 29 2019 01: +0,1.293,21
11,Sep 30 2019 01: +0,1.425,20
12,Oct 01 2019 01: +0,1.206,15
13,Oct 02 2019 01: +0,1.128,16
14,Oct 03 2019 01: +0,1.13,27
15,Oct 04 2019 01: +0,1.066,42
16,Oct 05 2019 01: +0,1.188,28
17,Oct 06 2019 01: +0,1.12,37
18,Oct 07 2019 01: +0,1.072,34
19,Oct 08 2019 01: +0,1.182,16
20,Oct 09 2019 01: +0,1.163,18
21,Oct 10 2019 01: +0,1.208,15
22,Oct 11 2019 01: +0,1.204,19
23,Oct 12 2019 01: +0,1.079,43
24,Oct 13 2019 01: +0,1.114,19
25,Oct 14 2019 01: +0,1.128,16
26,Oct 15 2019 01: +0,1.148,19
27,Oct 16 2019 01: +0,1.127,19
28,Oct 17 2019 01: +0,1.075,27
29,Oct 18 2019 01: +0,1.065,32
30,Oct 19 2019 01: +0,1.073,37
31,Oct 20 2019 01: +0,1.059,34
32,Oct 21 2019 01: +0,1.054,59
33,Oct 22 2019 01: +0,1.132,48
34,Oct 23 2019 01: +0,1.064,26
35,Oct 24 2019 01: +0,1.013,26
36,Oct 25 2019 01: +0,1.025,34
37,Oct 26 2019 01: +0,1.081,36
38,Oct 27 2019 01: +0,1.055,23
39,Oct 28 2019 01: +0,1.013,14
40,Oct 29 2019 01: +0,1.026,28
41,Oct 30 2019 01: +0,1.094,31
42,Oct 31 2019 01: +0,1.068,21
43,Nov 01 2019 01: +0,1.045,25
44,Nov 02 2019 01: +0,0.955,27
45,Nov 03 2019 01: +0,1.11,22
46,Nov 04 2019 01: +0,1.083,25
47,Nov 05 2019 01: +0,1.06,18
48,Nov 06 2019 01: +0,1.047,21
49,Nov 07 2019 01: +0,1.084,27
50,Nov 08 2019 01: +0,1.098,31
51,Nov 09 2019 01: +0,1.116,30
52,Nov 10 2019 01: +0,1.105,25
53,Nov 11 2019 01: +0,0.938,14
54,Nov 12 2019 01: +0,1.04,25
55,Nov 13 2019 01: +0,1.071,20
56,Nov 14 2019 01: +0,1.112,18
57,Nov 15 2019 01: +0,1.115,31
58,Nov 16 2019 01: +0,1.193,31
59,Nov 17 2019 01: +0,1.254,24
60,Nov 18 2019 01: +0,1.167,25
61,Nov 19 2019 01: +0,1.091,17
62,Nov 20 2019 01: +0,0.96,21
63,Nov 21 2019 01: +0,1.015,26
64,Nov 22 2019 01: +0,1.007,27
65,Nov 23 2019 01: +0,0.987,26
66,Nov 24 2019 01: +0,0.958,20
67,Nov 25 2019 01: +0,0.998,33
68,Nov 26 2019 01: +0,0.984,25
69,Nov 27 2019 01: +0,0.963,23
70,Nov 28 2019 01: +0,0.987,29
71,Nov 29 2019 01: +0,1.0,30
72,Nov 30 2019 01: +0,1.039,34
73,Dec 01 2019 01: +0,1.102,17
74,Dec 02 2019 01: +0,1.049,18
75,Dec 03 2019 01: +0,1.074,15
76,Dec 04 2019 01: +0,1.018,17
77,Dec 05 2019 01: +0,1.138,26
78,Dec 06 2019 01: +0,1.067,28
79,Dec 07 2019 01: +0,1.108,36
80,Dec 08 2019 01: +0,1.134,17
81,Dec 09 2019 01: +0,1.064,11
82,Dec 10 2019 01: +0,1.134,26
83,Dec 11 2019 01: +0,1.101,13
84,Dec 12 2019 01: +0,1.205,26
85,Dec 13 2019 01: +0,1.113,24
86,Dec 14 2019 01: +0,1.124,22
87,Dec 15 2019 01: +0,1.151,21
88,Dec 16 2019 01: +0,1.19,19
89,Dec 17 2019 01: +0,1.139,18
90,Dec 18 2019 01: +0,1.224,28
91,Dec 19 2019 01: +0,1.133,23
92,Dec 20 2019 01: +0,1.033,35
93,Dec 21 2019 01: +0,1.059,23
94,Dec 22 2019 01: +0,1.183,9
95,Dec 23 2019 01: +0,1.205,21
96,Dec 24 2019 01: +0,1.134,26
97,Dec 25 2019 01: +0,1.222,24
98,Dec 26 2019 01: +0,1.256,25
99,Dec 27 2019 01: +0,1.227,27
100,Dec 28 2019 01: +0,1.161,20
101,Dec 29 2019 01: +0,1.228,25
102,Dec 30 2019 01: +0,1.276,19
103,Dec 31 2019 01: +0,1.27,19
104,Jan 01 2020 01: +0,1.25,17
105,Jan 02 2020 01: +0,1.3,31
106,Jan 03 2020 01: +0,1.391,38
107,Jan 04 2020 01: +0,1.428,17
108,Jan 05 2020 01: +0,1.382,18
109,Jan 06 2020 01: +0,1.421,27
110,Jan 07 2020 01: +0,1.521,15
111,Jan 08 2020 01: +0,1.52,16
112,Jan 09 2020 01: +0,1.527,18
113,Jan 10 2020 01: +0,1.43,23
114,Jan 11 2020 01: +0,1.465,12
115,Jan 12 2020 01: +0,1.508,15
116,Jan 13 2020 01: +0,1.413,14
117,Jan 14 2020 01: +0,1.38,21
118,Jan 15 2020 01: +0,1.517,7
119,Jan 16 2020 01: +0,1.515,12
120,Jan 17 2020 01: +0,1.521,14
121,Jan 18 2020 01: +0,1.578,16
122,Jan 19 2020 01: +0,1.455,14
123,Jan 20 2020 01: +0,1.475,10
124,Jan 21 2020 01: +0,1.392,20
125,Jan 22 2020 01: +0,1.494,7
126,Jan 23 2020 01: +0,1.566,22
127,Jan 24 2020 01: +0,1.443,12
128,Jan 25 2020 01: +0,1.388,13
129,Jan 26 2020 01: +0,1.358,18
130,Jan 27 2020 01: +0,1.452,14
131,Jan 28 2020 01: +0,1.369,17
132,Jan 29 2020 01: +0,1.453,14
133,Jan 30 2020 01: +0,1.396,17
134,Jan 31 2020 01: +0,1.482,13
135,Feb 01 2020 01: +0,1.447,17
136,Feb 02 2020 01: +0,1.474,15
137,Feb 03 2020 01: +0,1.48,8
138,Feb 04 2020 01: +0,1.35,12
139,Feb 05 2020 01: +0,1.333,18
140,Feb 06 2020 01: +0,1.358,16
141,Feb 07 2020 01: +0,1.449,22
142,Feb 08 2020 01: +0,1.466,16
143,Feb 09 2020 01: +0,1.491,22
144,Feb 10 2020 01: +0,1.526,8
145,Feb 11 2020 01: +0,1.503,9
146,Feb 12 2020 01: +0,1.502,11
147,Feb 13 2020 01: +0,1.443,11
148,Feb 14 2020 01: +0,1.435,10
149,Feb 15 2020 01: +0,1.519,16
150,Feb 16 2020 01: +0,1.532,22
151,Feb 17 2020 01: +0,1.509,8
152,Feb 18 2020 01: +0,1.535,17
153,Feb 19 2020 01: +0,1.475,17
154,Feb 20 2020 01: +0,1.575,12
155,Feb 21 2020 01: +0,1.526,12
156,Feb 22 2020 01: +0,1.584,26
157,Feb 23 2020 01: +0,1.453,20
158,Feb 24 2020 01: +0,1.675,12
159,Feb 25 2020 01: +0,1.438,13
160,Feb 26 2020 01: +0,1.52,6
161,Feb 27 2020 01: +0,1.445,15
162,Feb 28 2020 01: +0,1.284,8
163,Feb 29 2020 01: +0,1.345,16
164,Mar 01 2020 01: +0,1.249,16
165,Mar 02 2020 01: +0,1.427,16
166,Mar 03 2020 01: +0,1.458,5
167,Mar 04 2020 01: +0,1.346,12
168,Mar 05 2020 01: +0,1.364,18
169,Mar 06 2020 01: +0,1.275,6
170,Mar 07 2020 01: +0,1.379,14
171,Mar 08 2020 01: +0,1.369,15
172,Mar 09 2020 01: +0,1.328,7
173,Mar 10 2020 01: +0,1.318,14
174,Mar 11 2020 01: +0,1.181,19
175,Mar 12 2020 01: +0,1.149,22
176,Mar 13 2020 01: +0,1.147,14
177,Mar 14 2020 01: +0,1.281,19
178,Mar 15 2020 01: +0,1.149,15
179,Mar 16 2020 01: +0,1.183,19
180,Mar 17 2020 01: +0,1.125,14
181,Mar 18 2020 01: +0,1.112,22
182,Mar 19 2020 01: +0,1.242,16
183,Mar 20 2020 01: +0,1.205,8
184,Mar 21 2020 01: +0,1.085,24
185,Mar 22 2020 01: +0,1.045,37
186,Mar 23 2020 01: +0,1.041,18
187,Mar 24 2020 01: +0,1.03,24
188,Mar 25 2020 01: +0,1.085,30
189,Mar 26 2020 01: +0,1.113,13
190,Mar 27 2020 01: +0,1.05,20
191,Mar 28 2020 01: +0,1.121,28
192,Mar 29 2020 01: +0,1.103,20
193,Mar 30 2020 01: +0,1.084,20
194,Mar 31 2020 01: +0,1.064,19
195,Apr 01 2020 01: +0,1.128,19
196,Apr 02 2020 01: +0,1.184,31
197,Apr 03 2020 01: +0,1.201,29
198,Apr 04 2020 01: +0,1.157,25
199,Apr 05 2020 01: +0,1.209,14
200,Apr 06 2020 01: +0,1.131,15
201,Apr 07 2020 01: +0,1.159,17
202,Apr 08 2020 01: +0,1.184,23
203,Apr 09 2020 01: +0,1.196,24
204,Apr 10 2020 01: +0,1.209,20
205,Apr 11 2020 01: +0,1.212,16
206,Apr 12 2020 01: +0,1.199,21
207,Apr 13 2020 01: +0,1.235,15
208,Apr 14 2020 01: +0,1.218,25
209,Apr 15 2020 01: +0,1.232,22
210,Apr 16 2020 01: +0,1.223,22
211,Apr 17 2020 01: +0,1.206,25
212,Apr 18 2020 01: +0,1.175,24
213,Apr 19 2020 01: +0,1.186,33
214,Apr 20 2020 01: +0,1.169,31
215,Apr 21 2020 01: +0,1.159,18
216,Apr 22 2020 01: +0,1.202,46
217,Apr 23 2020 01: +0,1.321,14
218,Apr 24 2020 01: +0,1.213,15
219,Apr 25 2020 01: +0,1.282,17
220,Apr 26 2020 01: +0,1.308,8
221,Apr 27 2020 01: +0,1.365,22
222,Apr 28 2020 01: +0,1.323,11
223,Apr 29 2020 01: +0,1.301,12
224,Apr 30 2020 01: +0,1.276,20
225,May 01 2020 01: +0,1.411,18
226,May 02 2020 01: +0,1.349,14
227,May 03 2020 01: +0,1.395,12
228,May 04 2020 01: +0,1.43,18
229,May 05 2020 01: +0,1.199,11
230,May 06 2020 01: +0,1.344,23
231,May 07 2020 01: +0,1.428,11
232,May 08 2020 01: +0,1.468,22
233,May 09 2020 01: +0,1.416,15
234,May 10 2020 01: +0,1.452,20
235,May 11 2020 01: +0,1.353,15
236,May 12 2020 01: +0,1.353,11
237,May 13 2020 01: +0,1.275,18
238,May 14 2020 01: +0,1.27,20
239,May 15 2020 01: +0,1.278,13
240,May 16 2020 01: +0,1.296,20
241,May 17 2020 01: +0,1.347,32
242,May 18 2020 01: +0,1.255,17
243,May 19 2020 01: +0,1.295,22
244,May 20 2020 01: +0,1.313,15
245,May 21 2020 01: +0,1.348,21
246,May 22 2020 01: +0,1.382,30
247,May 23 2020 01: +0,1.298,25
248,May 24 2020 01: +0,1.316,16
249,May 25 2020 01: +0,1.293,18
250,May 26 2020 01: +0,1.345,12
251,May 27 2020 01: +0,1.384,23
252,May 28 2020 01: +0,1.307,21
253,May 29 2020 01: +0,1.364,26
254,May 30 2020 01: +0,1.333,17
255,May 31 2020 01: +0,1.329,18
256,Jun 01 2020 01: +0,1.408,14
257,Jun 02 2020 01: +0,1.473,23
258,Jun 03 2020 01: +0,1.355,14
259,Jun 04 2020 01: +0,1.404,23
260,Jun 05 2020 01: +0,1.359,19
261,Jun 06 2020 01: +0,1.485,11
262,Jun 07 2020 01: +0,1.381,15
263,Jun 08 2020 01: +0,1.446,10
264,Jun 09 2020 01: +0,1.505,18
265,Jun 10 2020 01: +0,1.508,12
266,Jun 11 2020 01: +0,1.405,13
267,Jun 12 2020 01: +0,1.262,16
268,Jun 13 2020 01: +0,1.344,21
269,Jun 14 2020 01: +0,1.397,6
270,Jun 15 2020 01: +0,1.314,13
271,Jun 16 2020 01: +0,1.318,12
272,Jun 17 2020 01: +0,1.249,13
273,Jun 18 2020 01: +0,1.3,7
274,Jun 19 2020 01: +0,1.232,13
275,Jun 20 2020 01: +0,1.107,12
276,Jun 21 2020 01: +0,1.225,11
277,Jun 22 2020 01: +0,1.203,9
278,Jun 23 2020 01: +0,1.213,14
279,Jun 24 2020 01: +0,1.197,10
280,Jun 25 2020 01: +0,1.172,14
281,Jun 26 2020 01: +0,1.151,11
282,Jun 27 2020 01: +0,1.108,17
283,Jun 28 2020 01: +0,1.095,16
284,Jun 29 2020 01: +0,1.066,19
285,Jun 30 2020 01: +0,1.169,18
286,Jul 01 2020 01: +0,1.163,11
287,Jul 02 2020 01: +0,1.158,14
288,Jul 03 2020 01: +0,1.171,16
289,Jul 04 2020 01: +0,1.15,19
290,Jul 05 2020 01: +0,1.17,22
291,Jul 06 2020 01: +0,1.257,18
292,Jul 07 2020 01: +0,1.219,10
293,Jul 08 2020 01: +0,1.239,12
294,Jul 09 2020 01: +0,1.245,17
295,Jul 10 2020 01: +0,1.12,24
296,Jul 11 2020 01: +0,1.073,27
297,Jul 12 2020 01: +0,1.219,8
298,Jul 13 2020 01: +0,1.267,23
299,Jul 14 2020 01: +0,1.163,13
300,Jul 15 2020 01: +0,1.207,16
301,Jul 16 2020 01: +0,1.216,12
302,Jul 17 2020 01: +0,1.138,15
303,Jul 18 2020 01: +0,1.179,21
304,Jul 19 2020 01: +0,1.17,13
305,Jul 20 2020 01: +0,1.206,18
306,Jul 21 2020 01: +0,1.18,17
307,Jul 22 2020 01: +0,1.198,25
308,Jul 23 2020 01: +0,1.153,16
309,Jul 24 2020 01: +0,1.19,11
310,Jul 25 2020 01: +0,1.469,145
311,Jul 26 2020 01: +0,1.314,25
312,Jul 27 2020 01: +0,1.262,15
313,Jul 28 2020 01: +0,1.259,19
314,Jul 29 2020 01: +0,1.185,12
315,Jul 30 2020 01: +0,1.275,11
316,Jul 31 2020 01: +0,1.276,11
317,Aug 01 2020 01: +0,1.171,120
318,Aug 02 2020 01: +0,1.273,16
319,Aug 03 2020 01: +0,1.264,16
320,Aug 04 2020 01: +0,1.156,17
321,Aug 05 2020 01: +0,1.185,17
322,Aug 06 2020 01: +0,1.168,26
323,Aug 07 2020 01: +0,1.181,13
324,Aug 08 2020 01: +0,1.208,21
325,Aug 09 2020 01: +0,1.188,14
326,Aug 10 2020 01: +0,1.182,11
327,Aug 11 2020 01: +0,1.118,24
328,Aug 12 2020 01: +0,1.164,13
329,Aug 13 2020 01: +0,1.152,7
330,Aug 14 2020 01: +0,1.101,18
331,Aug 15 2020 01: +0,1.102,19
332,Aug 16 2020 01: +0,1.099,23
333,Aug 17 2020 01: +0,1.128,8
334,Aug 18 2020 01: +0,1.122,13
335,Aug 19 2020 01: +0,1.066,13
336,Aug 20 2020 01: +0,1.071,12
337,Aug 21 2020 01: +0,1.083,18
338,Aug 22 2020 01: +0,1.072,14
339,Aug 23 2020 01: +0,1.096,17
340,Aug 24 2020 01: +0,1.053,15
341,Aug 25 2020 01: +0,1.096,19
342,Aug 26 2020 01: +0,1.074,13
343,Aug 27 2020 01: +0,1.075,19
344,Aug 28 2020 01: +0,1.079,20
345,Aug 29 2020 01: +0,1.05,13
346,Aug 30 2020 01: +0,1.054,5
347,Aug 31 2020 01: +0,1.113,12
348,Sep 01 2020 01: +0,1.079,10
349,Sep 02 2020 01: +0,1.0,13
350,Sep 03 2020 01: +0,0.98,20
351,Sep 04 2020 01: +0,1.044,18
352,Sep 05 2020 01: +0,1.049,21
353,Sep 06 2020 01: +0,1.074,11
354,Sep 07 2020 01: +0,1.057,11
355,Sep 08 2020 01: +0,1.054,11
356,Sep 09 2020 01: +0,1.014,12
357,Sep 10 2020 01: +0,1.005,14
358,Sep 11 2020 01: +0,1.001,10
359,Sep 12 2020 01: +0,1.023,9
360,Sep 13 2020 01: +0,1.02,15
361,Sep 14 2020 01: +0,1.053,5
362,Sep 15 2020 01: +0,0.995,13
363,Sep 16 2020 01: +0,0.976,14
364,Sep 17 2020 01: +0,1.006,12
365,Sep 18 2020 01: +0,0.919,9
366,Sep 19 2020 01: +0,1.0,8
367,Sep 20 2020 01: +0,0.958,11
368,Sep 21 2020 01: +0,0.929,18
369,Sep 22 2020 01: +0,0.996,12
370,Sep 23 2020 01: +0,0.939,12
371,Sep 24 2020 01: +0,0.899,12
372,Sep 25 2020 01: +0,0.883,12
373,Sep 26 2020 01: +0,0.968,12
374,Sep 27 2020 01: +0,0.896,10
375,Sep 28 2020 01: +0,0.842,8
376,Sep 29 2020 01: +0,0.867,10
377,Sep 30 2020 01: +0,0.915,14
378,Oct 01 2020 01: +0,0.921,10
379,Oct 02 2020 01: +0,0.933,9
380,Oct 03 2020 01: +0,0.932,15
381,Oct 04 2020 01: +0,0.903,16
382,Oct 05 2020 01: +0,0.878,14
383,Oct 06 2020 01: +0,0.937,9
384,Oct 07 2020 01: +0,0.916,10
385,Oct 08 2020 01: +0,0.927,9
386,Oct 09 2020 01: +0,0.906,10
387,Oct 10 2020 01: +0,0.92,16
388,Oct 11 2020 01: +0,0.899,10
389,Oct 12 2020 01: +0,0.871,8
390,Oct 13 2020 01: +0,0.819,12
391,Oct 14 2020 01: +0,0.882,10
392,Oct 15 2020 01: +0,0.887,13
393,Oct 16 2020 01: +0,0.922,5
394,Oct 17 2020 01: +0,0.87,9
395,Oct 18 2020 01: +0,0.92,10
396,Oct 19 2020 01: +0,0.889,8
397,Oct 20 2020 01: +0,0.883,9
398,Oct 21 2020 01: +0,0.9,12
399,Oct 22 2020 01: +0,0.884,9
400,Oct 23 2020 01: +0,0.885,17
401,Oct 24 2020 01: +0,0.832,15
402,Oct 25 2020 01: +0,0.861,19
403,Oct 26 2020 01: +0,0.872,10
404,Oct 27 2020 01: +0,0.844,22
405,Oct 28 2020 01: +0,0.885,13
406,Oct 29 2020 01: +0,0.906,11
407,Oct 30 2020 01: +0,0.828,24
408,Oct 31 2020 01: +0,0.884,12
409,Nov 01 2020 01: +0,0.818,13
410,Nov 02 2020 01: +0,0.872,12
411,Nov 03 2020 01: +0,0.91,18
412,Nov 04 2020 01: +0,0.947,10
413,Nov 05 2020 01: +0,0.988,12
414,Nov 06 2020 01: +0,0.903,12
415,Nov 07 2020 01: +0,0.917,9
416,Nov 08 2020 01: +0,0.995,11
417,Nov 09 2020 01: +0,0.938,6
418,Nov 10 2020 01: +0,0.971,18
419,Nov 11 2020 01: +0,0.967,10
420,Nov 12 2020 01: +0,0.9,15
421,Nov 13 2020 01: +0,0.893,18
422,Nov 14 2020 01: +0,0.868,16
423,Nov 15 2020 01: +0,0.892,20
424,Nov 16 2020 01: +0,1.03,16
425,Nov 17 2020 01: +0,1.013,8
426,Nov 18 2020 01: +0,0.937,15
427,Nov 19 2020 01: +0,0.941,21
428,Nov 20 2020 01: +0,0.955,21
429,Nov 21 2020 01: +0,0.914,16
430,Nov 22 2020 01: +0,0.912,20
431,Nov 23 2020 01: +0,0.951,14
432,Nov 24 2020 01: +0,0.945,14
433,Nov 25 2020 01: +0,0.988,14
434,Nov 26 2020 01: +0,0.88,11
435,Nov 27 2020 01: +0,0.906,18
436,Nov 28 2020 01: +0,0.918,13
437,Nov 29 2020 01: +0,0.905,8
438,Nov 30 2020 01: +0,0.906,16
439,Dec 01 2020 01: +0,0.958,13
440,Dec 02 2020 01: +0,0.984,14
441,Dec 03 2020 01: +0,0.951,18
442,Dec 04 2020 01: +0,0.987,15
443,Dec 05 2020 01: +0,0.982,14
444,Dec 06 2020 01: +0,0.901,9
445,Dec 07 2020 01: +0,0.993,17
446,Dec 08 2020 01: +0,0.902,8
447,Dec 09 2020 01: +0,0.943,7
448,Dec 10 2020 01: +0,0.996,8
449,Dec 11 2020 01: +0,1.001,12
450,Dec 12 2020 01: +0,0.954,11
451,Dec 13 2020 01: +0,1.023,9
452,Dec 14 2020 01: +0,1.042,8
453,Dec 15 2020 01: +0,1.027,8
454,Dec 16 2020 01: +0,1.062,15
455,Dec 17 2020 01: +0,1.068,23
456,Dec 18 2020 01: +0,1.068,11
457,Dec 19 2020 01: +0,0.959,12
458,Dec 20 2020 01: +0,0.98,17
459,Dec 21 2020 01: +0,0.938,10
460,Dec 22 2020 01: +0,0.868,5
461,Dec 23 2020 01: +0,0.826,12
462,Dec 24 2020 01: +0,0.849,12
463,Dec 25 2020 01: +0,1.022,5
464,Dec 26 2020 01: +0,0.878,13
465,Dec 27 2020 01: +0,0.922,18
466,Dec 28 2020 01: +0,0.997,12
467,Dec 29 2020 01: +0,1.018,9
468,Dec 30 2020 01: +0,1.049,13
469,Dec 31 2020 01: +0,0.979,12
