,time,price,volume
0,Feb 15 2019 01: +0,1.704,116
1,Feb 16 2019 01: +0,1.712,101
2,Feb 17 2019 01: +0,1.721,112
3,Feb 18 2019 01: +0,1.804,80
4,Feb 19 2019 01: +0,1.706,64
5,Feb 20 2019 01: +0,1.667,75
6,Feb 21 2019 01: +0,1.666,63
7,Feb 22 2019 01: +0,1.633,75
8,Feb 23 2019 01: +0,1.571,105
9,Feb 24 2019 01: +0,1.6,99
10,Feb 25 2019 01: +0,1.58,73
11,Feb 26 2019 01: +0,1.546,73
12,Feb 27 2019 01: +0,1.61,60
13,Feb 28 2019 01: +0,1.607,63
14,Mar 01 2019 01: +0,1.612,67
15,Mar 02 2019 01: +0,1.623,78
16,Mar 03 2019 01: +0,1.489,61
17,Mar 04 2019 01: +0,1.529,42
18,Mar 05 2019 01: +0,1.572,50
19,Mar 06 2019 01: +0,1.558,64
20,Mar 07 2019 01: +0,1.62,102
21,Mar 08 2019 01: +0,1.69,57
22,Mar 09 2019 01: +0,1.508,80
23,Mar 10 2019 01: +0,1.616,58
24,Mar 11 2019 01: +0,1.562,47
25,Mar 12 2019 01: +0,1.567,44
26,Mar 13 2019 01: +0,1.624,78
27,Mar 14 2019 01: +0,1.663,35
28,Mar 15 2019 01: +0,1.614,48
29,Mar 16 2019 01: +0,1.589,52
30,Mar 17 2019 01: +0,1.584,44
31,Mar 18 2019 01: +0,1.633,30
32,Mar 19 2019 01: +0,1.61,37
33,Mar 20 2019 01: +0,1.646,39
34,Mar 21 2019 01: +0,1.629,35
35,Mar 22 2019 01: +0,1.51,28
36,Mar 23 2019 01: +0,1.466,50
37,Mar 24 2019 01: +0,1.503,54
38,Mar 25 2019 01: +0,1.551,44
39,Mar 26 2019 01: +0,1.5,39
40,Mar 27 2019 01: +0,1.564,24
41,Mar 28 2019 01: +0,1.496,27
42,Mar 29 2019 01: +0,1.468,35
43,Mar 30 2019 01: +0,1.473,36
44,Mar 31 2019 01: +0,1.531,38
45,Apr 01 2019 01: +0,1.406,27
46,Apr 02 2019 01: +0,1.415,29
47,Apr 03 2019 01: +0,1.455,36
48,Apr 04 2019 01: +0,1.454,39
49,Apr 05 2019 01: +0,1.559,57
50,Apr 06 2019 01: +0,1.475,45
51,Apr 07 2019 01: +0,1.546,44
52,Apr 08 2019 01: +0,1.477,25
53,Apr 09 2019 01: +0,1.473,38
54,Apr 10 2019 01: +0,1.478,31
55,Apr 11 2019 01: +0,1.491,34
56,Apr 12 2019 01: +0,1.494,35
57,Apr 13 2019 01: +0,1.5,32
58,Apr 14 2019 01: +0,1.487,32
59,Apr 15 2019 01: +0,1.451,29
60,Apr 16 2019 01: +0,1.495,33
61,Apr 17 2019 01: +0,1.548,37
62,Apr 18 2019 01: +0,1.452,31
63,Apr 19 2019 01: +0,1.471,46
64,Apr 20 2019 01: +0,1.412,56
65,Apr 21 2019 01: +0,1.459,200
66,Apr 22 2019 01: +0,1.43,48
67,Apr 23 2019 01: +0,1.421,75
68,Apr 24 2019 01: +0,1.421,52
69,Apr 25 2019 01: +0,1.421,27
70,Apr 26 2019 01: +0,1.372,33
71,Apr 27 2019 01: +0,1.419,53
72,Apr 28 2019 01: +0,1.415,44
73,Apr 29 2019 01: +0,1.406,29
74,Apr 30 2019 01: +0,1.379,48
75,May 01 2019 01: +0,1.405,33
76,May 02 2019 01: +0,1.403,85
77,May 03 2019 01: +0,1.384,44
78,May 04 2019 01: +0,1.431,64
79,May 05 2019 01: +0,1.519,59
80,May 06 2019 01: +0,1.475,30
81,May 07 2019 01: +0,1.49,32
82,May 08 2019 01: +0,1.472,31
83,May 09 2019 01: +0,1.459,33
84,May 10 2019 01: +0,1.408,41
85,May 11 2019 01: +0,1.437,45
86,May 12 2019 01: +0,1.441,33
87,May 13 2019 01: +0,1.381,16
88,May 14 2019 01: +0,1.305,15
89,May 15 2019 01: +0,1.418,15
90,May 16 2019 01: +0,1.43,25
91,May 17 2019 01: +0,1.338,21
92,May 18 2019 01: +0,1.448,44
93,May 19 2019 01: +0,1.415,16
94,May 20 2019 01: +0,1.357,12
95,May 21 2019 01: +0,1.393,22
96,May 22 2019 01: +0,1.405,15
97,May 23 2019 01: +0,1.368,27
98,May 24 2019 01: +0,1.279,17
99,May 25 2019 01: +0,1.271,28
100,May 26 2019 01: +0,1.276,20
101,May 27 2019 01: +0,1.296,26
102,May 28 2019 01: +0,1.337,18
103,May 29 2019 01: +0,1.326,31
104,May 30 2019 01: +0,1.335,22
105,May 31 2019 01: +0,1.293,19
106,Jun 01 2019 01: +0,1.301,37
107,Jun 02 2019 01: +0,1.317,19
108,Jun 03 2019 01: +0,1.259,17
