,time,price,volume
0,Mar 27 2020 01: +0,5.926,26
1,Mar 28 2020 01: +0,5.782,21
2,Mar 29 2020 01: +0,5.558,17
3,Mar 30 2020 01: +0,4.632,18
4,Mar 31 2020 01: +0,4.811,10
5,Apr 01 2020 01: +0,4.633,22
6,Apr 02 2020 01: +0,4.209,17
7,Apr 03 2020 01: +0,5.577,23
8,Apr 04 2020 01: +0,4.875,16
9,Apr 05 2020 01: +0,5.144,12
10,Apr 06 2020 01: +0,5.157,16
11,Apr 07 2020 01: +0,5.029,17
12,Apr 08 2020 01: +0,4.393,14
13,Apr 09 2020 01: +0,4.016,13
14,Apr 10 2020 01: +0,4.661,13
15,Apr 11 2020 01: +0,4.356,7
16,Apr 12 2020 01: +0,4.857,19
17,Apr 13 2020 01: +0,5.106,10
18,Apr 14 2020 01: +0,4.543,17
19,Apr 15 2020 01: +0,5.001,12
20,Apr 16 2020 01: +0,4.635,17
21,Apr 17 2020 01: +0,5.021,19
22,Apr 18 2020 01: +0,5.144,18
23,Apr 19 2020 01: +0,5.302,14
24,Apr 20 2020 01: +0,5.673,17
25,Apr 21 2020 01: +0,6.194,12
26,Apr 22 2020 01: +0,5.497,10
27,Apr 23 2020 01: +0,5.695,8
28,Apr 24 2020 01: +0,5.588,12
29,Apr 25 2020 01: +0,8.249,25
30,Apr 26 2020 01: +0,8.462,10
31,Apr 27 2020 01: +0,8.339,11
32,Apr 28 2020 01: +0,8.202,12
33,Apr 29 2020 01: +0,8.609,11
34,Apr 30 2020 01: +0,8.958,13
35,May 01 2020 01: +0,12.871,8
36,May 02 2020 01: +0,10.926,10
37,May 03 2020 01: +0,11.839,6
38,May 04 2020 01: +0,10.714,9
39,May 05 2020 01: +0,9.916,10
40,May 06 2020 01: +0,10.035,6
41,May 07 2020 01: +0,8.95,15
42,May 08 2020 01: +0,9.293,15
43,May 09 2020 01: +0,9.978,9
44,May 10 2020 01: +0,8.759,7
45,May 11 2020 01: +0,8.922,12
46,May 12 2020 01: +0,10.079,9
47,May 13 2020 01: +0,10.604,9
48,May 14 2020 01: +0,9.347,12
49,May 15 2020 01: +0,9.11,9
50,May 16 2020 01: +0,10.33,11
51,May 17 2020 01: +0,10.659,3
52,May 18 2020 01: +0,10.531,7
53,May 19 2020 01: +0,8.654,6
54,May 20 2020 01: +0,9.701,6
55,May 21 2020 01: +0,9.792,7
56,May 22 2020 01: +0,9.418,7
57,May 23 2020 01: +0,9.357,10
58,May 24 2020 01: +0,10.173,5
59,May 25 2020 01: +0,9.657,8
60,May 26 2020 01: +0,9.451,8
61,May 27 2020 01: +0,9.196,5
62,May 28 2020 01: +0,9.2,13
63,May 29 2020 01: +0,9.875,8
64,May 30 2020 01: +0,10.276,7
65,May 31 2020 01: +0,9.531,7
66,Jun 01 2020 01: +0,8.091,7
67,Jun 02 2020 01: +0,8.149,5
68,Jun 03 2020 01: +0,9.121,8
69,Jun 04 2020 01: +0,9.261,9
70,Jun 05 2020 01: +0,10.677,9
71,Jun 06 2020 01: +0,10.152,4
72,Jun 07 2020 01: +0,9.123,5
73,Jun 08 2020 01: +0,9.474,4
74,Jun 09 2020 01: +0,9.433,8
75,Jun 10 2020 01: +0,10.567,3
76,Jun 11 2020 01: +0,8.659,5
77,Jun 12 2020 01: +0,8.127,7
78,Jun 13 2020 01: +0,8.946,6
79,Jun 14 2020 01: +0,8.258,3
80,Jun 15 2020 01: +0,8.7,5
81,Jun 16 2020 01: +0,8.601,7
82,Jun 17 2020 01: +0,8.259,9
83,Jun 18 2020 01: +0,8.815,2
84,Jun 19 2020 01: +0,8.847,6
85,Jun 20 2020 01: +0,7.98,9
86,Jun 21 2020 01: +0,7.337,7
87,Jun 22 2020 01: +0,7.506,7
88,Jun 23 2020 01: +0,7.379,5
89,Jun 24 2020 01: +0,7.618,4
90,Jun 25 2020 01: +0,6.89,4
91,Jun 26 2020 01: +0,6.722,7
92,Jun 27 2020 01: +0,7.075,15
93,Jun 28 2020 01: +0,6.809,15
94,Jun 29 2020 01: +0,6.621,12
95,Jun 30 2020 01: +0,6.526,10
96,Jul 01 2020 01: +0,6.559,6
97,Jul 02 2020 01: +0,6.971,8
98,Jul 03 2020 01: +0,7.497,10
99,Jul 04 2020 01: +0,6.97,5
100,Jul 05 2020 01: +0,6.592,6
101,Jul 06 2020 01: +0,7.789,9
102,Jul 07 2020 01: +0,6.416,3
103,Jul 08 2020 01: +0,7.569,5
104,Jul 09 2020 01: +0,8.693,7
105,Jul 10 2020 01: +0,7.439,8
106,Jul 11 2020 01: +0,7.465,1
107,Jul 11 2020 03: +0,7.469,1
108,Jul 11 2020 04: +0,7.47,1
109,Jul 11 2020 05: +0,7.47,1
110,Jul 11 2020 08: +0,8.01,1
111,Jul 11 2020 15: +0,7.6,3
112,Jul 11 2020 19: +0,7.975,1
113,Jul 11 2020 21: +0,8.212,1
114,Jul 11 2020 22: +0,8.81,1
115,Jul 12 2020 03: +0,8.832,1
