,time,price,volume
0,Jul 26 2019 01: +0,1.991,27
1,Jul 27 2019 01: +0,1.625,41
2,Jul 28 2019 01: +0,1.487,38
3,Jul 29 2019 01: +0,1.407,41
4,Jul 30 2019 01: +0,1.36,48
5,Jul 31 2019 01: +0,1.467,51
6,Aug 01 2019 01: +0,1.446,70
7,Aug 02 2019 01: +0,1.475,42
8,Aug 03 2019 01: +0,1.485,53
9,Aug 04 2019 01: +0,1.54,36
10,Aug 05 2019 01: +0,1.52,52
11,Aug 06 2019 01: +0,1.505,35
12,Aug 07 2019 01: +0,1.43,37
13,Aug 08 2019 01: +0,1.533,38
14,Aug 09 2019 01: +0,1.477,52
15,Aug 10 2019 01: +0,1.464,53
16,Aug 11 2019 01: +0,1.388,35
17,Aug 12 2019 01: +0,1.437,31
18,Aug 13 2019 01: +0,1.407,31
19,Aug 14 2019 01: +0,1.335,33
20,Aug 15 2019 01: +0,1.47,36
21,Aug 16 2019 01: +0,1.357,37
22,Aug 17 2019 01: +0,1.35,44
23,Aug 18 2019 01: +0,1.43,31
24,Aug 19 2019 01: +0,1.391,31
25,Aug 20 2019 01: +0,1.46,31
26,Aug 21 2019 01: +0,1.474,22
27,Aug 22 2019 01: +0,1.426,20
28,Aug 23 2019 01: +0,1.39,27
29,Aug 24 2019 01: +0,1.412,23
30,Aug 25 2019 01: +0,1.394,27
31,Aug 26 2019 01: +0,1.33,15
32,Aug 27 2019 01: +0,1.216,21
33,Aug 28 2019 01: +0,1.36,20
34,Aug 29 2019 01: +0,1.295,22
35,Aug 30 2019 01: +0,1.27,19
36,Aug 31 2019 01: +0,1.277,22
37,Sep 01 2019 01: +0,1.251,23
38,Sep 02 2019 01: +0,1.427,26
39,Sep 03 2019 01: +0,1.25,15
40,Sep 04 2019 01: +0,1.334,16
41,Sep 05 2019 01: +0,1.286,22
42,Sep 06 2019 01: +0,1.436,29
43,Sep 07 2019 01: +0,1.387,25
44,Sep 08 2019 01: +0,1.371,20
45,Sep 09 2019 01: +0,1.354,17
46,Sep 10 2019 01: +0,1.346,14
47,Sep 11 2019 01: +0,1.321,14
48,Sep 12 2019 01: +0,1.313,16
49,Sep 13 2019 01: +0,1.283,16
50,Sep 14 2019 01: +0,1.294,16
51,Sep 15 2019 01: +0,1.282,26
52,Sep 16 2019 01: +0,1.281,23
53,Sep 17 2019 01: +0,1.17,4
54,Sep 18 2019 01: +0,1.237,11
55,Sep 19 2019 01: +0,1.177,14
56,Sep 20 2019 01: +0,1.208,17
57,Sep 21 2019 01: +0,1.278,21
58,Sep 22 2019 01: +0,1.259,27
59,Sep 23 2019 01: +0,1.162,11
60,Sep 24 2019 01: +0,1.253,18
61,Sep 25 2019 01: +0,1.218,20
62,Sep 26 2019 01: +0,1.151,17
63,Sep 27 2019 01: +0,1.2,19
64,Sep 28 2019 01: +0,1.138,24
65,Sep 29 2019 01: +0,1.238,21
66,Sep 30 2019 01: +0,1.251,17
67,Oct 01 2019 01: +0,1.21,18
68,Oct 02 2019 01: +0,1.16,13
69,Oct 03 2019 01: +0,1.105,30
70,Oct 04 2019 01: +0,1.181,37
71,Oct 05 2019 01: +0,1.254,28
72,Oct 06 2019 01: +0,1.182,17
73,Oct 07 2019 01: +0,1.241,21
74,Oct 08 2019 01: +0,1.145,17
75,Oct 09 2019 01: +0,1.213,21
76,Oct 10 2019 01: +0,1.167,14
77,Oct 11 2019 01: +0,1.248,25
78,Oct 12 2019 01: +0,1.227,28
79,Oct 13 2019 01: +0,1.179,22
80,Oct 14 2019 01: +0,1.202,29
81,Oct 15 2019 01: +0,1.217,28
82,Oct 16 2019 01: +0,1.275,21
83,Oct 17 2019 01: +0,1.324,25
84,Oct 18 2019 01: +0,1.292,29
85,Oct 19 2019 01: +0,1.39,39
86,Oct 20 2019 01: +0,1.46,23
87,Oct 21 2019 01: +0,1.472,15
88,Oct 22 2019 01: +0,1.222,16
89,Oct 23 2019 01: +0,1.331,14
90,Oct 24 2019 01: +0,1.364,15
91,Oct 25 2019 01: +0,1.466,11
92,Oct 26 2019 01: +0,1.313,19
93,Oct 27 2019 01: +0,1.305,20
94,Oct 28 2019 01: +0,1.302,16
95,Oct 29 2019 01: +0,1.273,16
96,Oct 30 2019 01: +0,1.279,12
97,Oct 31 2019 01: +0,1.147,15
98,Nov 01 2019 01: +0,1.205,16
99,Nov 02 2019 01: +0,1.269,23
100,Nov 03 2019 01: +0,1.358,17
101,Nov 04 2019 01: +0,1.355,11
102,Nov 05 2019 01: +0,1.349,11
103,Nov 06 2019 01: +0,1.193,13
104,Nov 07 2019 01: +0,1.291,13
105,Nov 08 2019 01: +0,1.343,16
106,Nov 09 2019 01: +0,1.426,21
107,Nov 10 2019 01: +0,1.447,18
108,Nov 11 2019 01: +0,1.46,16
109,Nov 12 2019 01: +0,1.233,15
110,Nov 13 2019 01: +0,1.429,11
111,Nov 14 2019 01: +0,1.308,12
112,Nov 15 2019 01: +0,1.357,29
113,Nov 16 2019 01: +0,1.458,18
114,Nov 17 2019 01: +0,1.455,17
115,Nov 18 2019 01: +0,1.445,11
116,Nov 19 2019 01: +0,1.191,15
117,Nov 20 2019 01: +0,1.098,16
118,Nov 21 2019 01: +0,1.237,15
119,Nov 22 2019 01: +0,1.243,16
120,Nov 23 2019 01: +0,1.315,19
121,Nov 24 2019 01: +0,1.156,17
122,Nov 25 2019 01: +0,1.279,14
123,Nov 26 2019 01: +0,1.252,19
124,Nov 27 2019 01: +0,1.24,15
125,Nov 28 2019 01: +0,1.196,19
126,Nov 29 2019 01: +0,1.152,20
127,Nov 30 2019 01: +0,1.155,18
128,Dec 01 2019 01: +0,1.229,23
129,Dec 02 2019 01: +0,1.215,20
130,Dec 03 2019 01: +0,1.158,24
131,Dec 04 2019 01: +0,1.202,22
132,Dec 05 2019 01: +0,1.175,17
133,Dec 06 2019 01: +0,1.21,44
134,Dec 07 2019 01: +0,1.217,41
135,Dec 08 2019 01: +0,1.2,29
136,Dec 09 2019 01: +0,1.256,26
137,Dec 10 2019 01: +0,1.401,13
138,Dec 11 2019 01: +0,1.4,11
139,Dec 12 2019 01: +0,1.372,22
140,Dec 13 2019 01: +0,1.405,30
141,Dec 14 2019 01: +0,1.456,29
142,Dec 15 2019 01: +0,1.536,30
143,Dec 16 2019 01: +0,1.461,20
144,Dec 17 2019 01: +0,1.529,24
145,Dec 18 2019 01: +0,1.531,21
146,Dec 19 2019 01: +0,1.586,16
147,Dec 20 2019 01: +0,1.444,24
148,Dec 21 2019 01: +0,1.43,19
149,Dec 22 2019 01: +0,1.312,24
150,Dec 23 2019 01: +0,1.623,19
151,Dec 24 2019 01: +0,1.533,18
152,Dec 25 2019 01: +0,1.625,19
153,Dec 26 2019 01: +0,1.463,25
154,Dec 27 2019 01: +0,1.59,27
155,Dec 28 2019 01: +0,1.532,14
156,Dec 29 2019 01: +0,1.567,29
157,Dec 30 2019 01: +0,1.504,18
158,Dec 31 2019 01: +0,1.559,27
159,Jan 01 2020 01: +0,1.516,18
160,Jan 02 2020 01: +0,1.537,31
161,Jan 03 2020 01: +0,1.675,40
162,Jan 04 2020 01: +0,1.836,34
163,Jan 05 2020 01: +0,1.88,21
164,Jan 06 2020 01: +0,1.888,14
165,Jan 07 2020 01: +0,1.81,18
166,Jan 08 2020 01: +0,1.838,20
167,Jan 09 2020 01: +0,1.917,20
168,Jan 10 2020 01: +0,1.942,24
169,Jan 11 2020 01: +0,2.003,20
170,Jan 12 2020 01: +0,1.714,15
171,Jan 13 2020 01: +0,2.02,16
172,Jan 14 2020 01: +0,2.075,13
173,Jan 15 2020 01: +0,2.039,14
174,Jan 16 2020 01: +0,2.091,17
175,Jan 17 2020 01: +0,1.995,19
176,Jan 18 2020 01: +0,2.085,17
177,Jan 19 2020 01: +0,1.88,17
178,Jan 20 2020 01: +0,1.999,12
179,Jan 21 2020 01: +0,2.137,17
180,Jan 22 2020 01: +0,2.068,11
181,Jan 23 2020 01: +0,1.828,16
182,Jan 24 2020 01: +0,1.772,20
183,Jan 25 2020 01: +0,2.152,18
184,Jan 26 2020 01: +0,2.057,16
185,Jan 27 2020 01: +0,2.093,15
186,Jan 28 2020 01: +0,2.22,15
187,Jan 29 2020 01: +0,2.142,15
188,Jan 30 2020 01: +0,2.19,8
189,Jan 31 2020 01: +0,1.843,11
190,Feb 01 2020 01: +0,1.88,13
191,Feb 02 2020 01: +0,1.704,20
192,Feb 03 2020 01: +0,1.723,6
193,Feb 04 2020 01: +0,1.819,21
194,Feb 05 2020 01: +0,2.013,11
195,Feb 06 2020 01: +0,2.154,13
196,Feb 07 2020 01: +0,2.022,18
197,Feb 08 2020 01: +0,2.077,16
198,Feb 09 2020 01: +0,1.972,22
199,Feb 10 2020 01: +0,1.955,12
200,Feb 11 2020 01: +0,1.982,19
201,Feb 12 2020 01: +0,2.036,12
202,Feb 13 2020 01: +0,1.822,12
203,Feb 14 2020 01: +0,1.981,19
204,Feb 15 2020 01: +0,1.875,22
205,Feb 16 2020 01: +0,1.933,20
206,Feb 17 2020 01: +0,1.896,18
207,Feb 18 2020 01: +0,2.056,24
208,Feb 19 2020 01: +0,1.676,10
209,Feb 20 2020 01: +0,1.726,26
210,Feb 21 2020 01: +0,1.888,23
211,Feb 22 2020 01: +0,1.909,25
212,Feb 23 2020 01: +0,1.9,15
213,Feb 24 2020 01: +0,1.952,14
214,Feb 25 2020 01: +0,1.94,14
215,Feb 26 2020 01: +0,1.936,18
216,Feb 27 2020 01: +0,1.818,18
217,Feb 28 2020 01: +0,1.729,18
218,Feb 29 2020 01: +0,1.675,14
219,Mar 01 2020 01: +0,1.806,17
220,Mar 02 2020 01: +0,1.919,10
221,Mar 03 2020 01: +0,1.856,11
222,Mar 04 2020 01: +0,1.793,10
223,Mar 05 2020 01: +0,1.834,13
224,Mar 06 2020 01: +0,1.815,23
225,Mar 07 2020 01: +0,1.88,27
226,Mar 08 2020 01: +0,2.072,16
227,Mar 09 2020 01: +0,1.942,11
228,Mar 10 2020 01: +0,1.814,14
229,Mar 11 2020 01: +0,1.804,12
230,Mar 12 2020 01: +0,1.873,12
231,Mar 13 2020 01: +0,1.829,21
232,Mar 14 2020 01: +0,1.81,12
233,Mar 15 2020 01: +0,1.838,18
234,Mar 16 2020 01: +0,1.909,20
235,Mar 17 2020 01: +0,1.739,8
236,Mar 18 2020 01: +0,1.676,12
237,Mar 19 2020 01: +0,1.844,15
238,Mar 20 2020 01: +0,1.734,22
239,Mar 21 2020 01: +0,1.555,16
240,Mar 22 2020 01: +0,1.528,20
241,Mar 23 2020 01: +0,1.518,16
242,Mar 24 2020 01: +0,1.484,15
243,Mar 25 2020 01: +0,1.377,19
244,Mar 26 2020 01: +0,1.417,13
245,Mar 27 2020 01: +0,1.539,19
246,Mar 28 2020 01: +0,1.533,12
247,Mar 29 2020 01: +0,1.513,21
248,Mar 30 2020 01: +0,1.484,14
249,Mar 31 2020 01: +0,1.385,19
250,Apr 01 2020 01: +0,1.45,19
251,Apr 02 2020 01: +0,1.477,31
252,Apr 03 2020 01: +0,1.482,34
253,Apr 04 2020 01: +0,1.617,23
254,Apr 05 2020 01: +0,1.659,32
255,Apr 06 2020 01: +0,1.814,23
256,Apr 07 2020 01: +0,1.827,16
257,Apr 08 2020 01: +0,1.932,18
258,Apr 09 2020 01: +0,2.021,22
259,Apr 10 2020 01: +0,2.064,25
260,Apr 11 2020 01: +0,1.908,16
261,Apr 12 2020 01: +0,2.163,17
262,Apr 13 2020 01: +0,2.042,13
263,Apr 14 2020 01: +0,2.0,18
264,Apr 15 2020 01: +0,2.184,21
265,Apr 16 2020 01: +0,2.193,13
266,Apr 17 2020 01: +0,2.15,26
267,Apr 18 2020 01: +0,2.292,17
268,Apr 19 2020 01: +0,2.318,15
269,Apr 20 2020 01: +0,2.053,9
270,Apr 21 2020 01: +0,2.109,14
271,Apr 22 2020 01: +0,2.166,17
272,Apr 23 2020 01: +0,2.097,12
273,Apr 24 2020 01: +0,2.189,15
274,Apr 25 2020 01: +0,2.023,19
275,Apr 26 2020 01: +0,2.025,12
276,Apr 27 2020 01: +0,2.123,13
277,Apr 28 2020 01: +0,2.065,11
278,Apr 29 2020 01: +0,2.077,21
279,Apr 30 2020 01: +0,2.06,12
280,May 01 2020 01: +0,1.93,17
281,May 02 2020 01: +0,2.094,13
282,May 03 2020 01: +0,2.011,9
283,May 04 2020 01: +0,1.941,21
284,May 05 2020 01: +0,1.935,10
285,May 06 2020 01: +0,2.007,15
286,May 07 2020 01: +0,2.004,21
287,May 08 2020 01: +0,2.184,20
288,May 09 2020 01: +0,2.259,27
289,May 10 2020 01: +0,2.366,23
290,May 11 2020 01: +0,2.294,17
291,May 12 2020 01: +0,2.129,16
292,May 13 2020 01: +0,2.345,23
293,May 14 2020 01: +0,2.235,14
294,May 15 2020 01: +0,2.361,25
295,May 16 2020 01: +0,2.487,23
296,May 17 2020 01: +0,2.489,15
297,May 18 2020 01: +0,2.572,17
298,May 19 2020 01: +0,2.466,13
299,May 20 2020 01: +0,2.354,13
300,May 21 2020 01: +0,2.499,15
301,May 22 2020 01: +0,2.587,22
302,May 23 2020 01: +0,2.789,19
303,May 24 2020 01: +0,2.919,12
304,May 25 2020 01: +0,2.876,11
305,May 26 2020 01: +0,2.709,10
306,May 27 2020 01: +0,2.678,14
307,May 28 2020 01: +0,2.758,10
308,May 29 2020 01: +0,2.684,14
309,May 30 2020 01: +0,2.784,12
310,May 31 2020 01: +0,2.887,17
311,Jun 01 2020 01: +0,2.805,8
312,Jun 02 2020 01: +0,2.847,9
313,Jun 03 2020 01: +0,2.792,20
314,Jun 04 2020 01: +0,2.63,28
315,Jun 05 2020 01: +0,2.916,10
316,Jun 06 2020 01: +0,2.762,20
317,Jun 07 2020 01: +0,2.843,12
318,Jun 08 2020 01: +0,2.815,10
319,Jun 09 2020 01: +0,2.738,12
320,Jun 10 2020 01: +0,2.757,12
321,Jun 11 2020 01: +0,2.612,18
322,Jun 12 2020 01: +0,2.566,10
323,Jun 13 2020 01: +0,2.497,11
324,Jun 14 2020 01: +0,2.344,14
325,Jun 15 2020 01: +0,2.349,5
326,Jun 16 2020 01: +0,2.377,7
327,Jun 17 2020 01: +0,2.137,6
328,Jun 18 2020 01: +0,2.141,6
329,Jun 19 2020 01: +0,2.083,7
330,Jun 20 2020 01: +0,2.082,15
331,Jun 21 2020 01: +0,2.361,7
332,Jun 22 2020 01: +0,2.179,3
333,Jun 23 2020 01: +0,2.231,14
334,Jun 24 2020 01: +0,2.361,6
335,Jun 25 2020 01: +0,2.049,6
336,Jun 26 2020 01: +0,1.905,11
337,Jun 27 2020 01: +0,1.98,12
338,Jun 28 2020 01: +0,1.968,12
339,Jun 29 2020 01: +0,1.949,9
340,Jun 30 2020 01: +0,2.023,15
341,Jul 01 2020 01: +0,2.384,4
342,Jul 02 2020 01: +0,2.133,7
343,Jul 03 2020 01: +0,2.184,12
344,Jul 04 2020 01: +0,2.366,13
345,Jul 05 2020 01: +0,2.521,19
346,Jul 06 2020 01: +0,2.263,8
347,Jul 07 2020 01: +0,2.344,16
348,Jul 08 2020 01: +0,2.105,10
349,Jul 09 2020 01: +0,2.331,18
350,Jul 10 2020 01: +0,2.35,14
351,Jul 11 2020 01: +0,2.207,1
352,Jul 11 2020 03: +0,2.18,1
353,Jul 11 2020 04: +0,2.35,1
354,Jul 11 2020 05: +0,2.36,1
355,Jul 11 2020 09: +0,1.898,1
356,Jul 11 2020 10: +0,2.41,1
357,Jul 11 2020 11: +0,1.909,1
358,Jul 11 2020 12: +0,2.372,1
359,Jul 11 2020 13: +0,1.886,1
360,Jul 11 2020 17: +0,2.27,1
361,Jul 11 2020 20: +0,2.373,2
362,Jul 12 2020 02: +0,2.37,3
363,Jul 12 2020 04: +0,2.39,1
364,Jul 12 2020 07: +0,1.8,1
365,Jul 12 2020 10: +0,1.999,1
366,Jul 12 2020 15: +0,2.009,2
367,Jul 12 2020 17: +0,2.37,1
368,Jul 12 2020 18: +0,2.106,2
369,Jul 12 2020 19: +0,2.368,1
370,Jul 12 2020 21: +0,2.365,2
371,Jul 12 2020 23: +0,2.375,1
372,Jul 13 2020 01: +0,1.506,1
373,Jul 13 2020 07: +0,2.0,1
374,Jul 13 2020 08: +0,2.0,1
375,Jul 13 2020 15: +0,2.375,1
376,Jul 13 2020 21: +0,1.81,1
377,Jul 14 2020 02: +0,2.215,2
378,Jul 14 2020 03: +0,2.37,1
379,Jul 14 2020 06: +0,2.3,1
380,Jul 14 2020 07: +0,2.35,1
381,Jul 14 2020 08: +0,2.39,1
382,Jul 14 2020 12: +0,2.01,1
383,Jul 14 2020 14: +0,2.014,1
384,Jul 14 2020 16: +0,2.01,1
385,Jul 15 2020 03: +0,1.99,1
386,Jul 15 2020 04: +0,2.0,1
387,Jul 15 2020 06: +0,1.99,1
388,Jul 15 2020 09: +0,2.002,1
389,Jul 15 2020 10: +0,2.002,1
390,Jul 15 2020 11: +0,1.993,1
391,Jul 15 2020 14: +0,2.009,2
392,Jul 15 2020 16: +0,2.39,1
393,Jul 15 2020 17: +0,2.442,2
394,Jul 15 2020 21: +0,1.844,1
395,Jul 15 2020 23: +0,2.401,1
396,Jul 16 2020 01: +0,2.39,1
397,Jul 16 2020 06: +0,2.402,1
398,Jul 16 2020 10: +0,2.403,1
399,Jul 16 2020 12: +0,2.39,1
400,Jul 16 2020 13: +0,2.4,1
401,Jul 16 2020 14: +0,2.403,1
402,Jul 16 2020 16: +0,2.449,3
