,time,price,volume
0,Apr 19 2018 01: +0,2.162,9
1,Apr 20 2018 01: +0,1.919,21
2,Apr 21 2018 01: +0,1.904,20
3,Apr 22 2018 01: +0,1.798,17
4,Apr 23 2018 01: +0,1.901,22
5,Apr 24 2018 01: +0,1.843,20
6,Apr 25 2018 01: +0,1.701,16
7,Apr 26 2018 01: +0,1.585,20
8,Apr 27 2018 01: +0,1.551,28
9,Apr 28 2018 01: +0,1.666,34
10,Apr 29 2018 01: +0,1.795,29
11,Apr 30 2018 01: +0,1.824,21
12,May 01 2018 01: +0,1.891,16
13,May 02 2018 01: +0,1.976,11
14,May 03 2018 01: +0,1.946,19
15,May 04 2018 01: +0,1.917,31
16,May 05 2018 01: +0,2.053,37
17,May 06 2018 01: +0,2.365,18
18,May 07 2018 01: +0,2.427,20
19,May 08 2018 01: +0,2.136,10
20,May 09 2018 01: +0,2.25,11
21,May 10 2018 01: +0,2.198,11
22,May 11 2018 01: +0,2.384,16
23,May 12 2018 01: +0,2.389,8
24,May 13 2018 01: +0,2.436,11
25,May 14 2018 01: +0,2.294,17
26,May 15 2018 01: +0,2.4,12
27,May 16 2018 01: +0,2.422,15
28,May 17 2018 01: +0,2.279,9
29,May 18 2018 01: +0,2.423,13
30,May 19 2018 01: +0,2.372,12
31,May 20 2018 01: +0,2.375,13
32,May 21 2018 01: +0,2.303,7
33,May 22 2018 01: +0,2.396,13
34,May 23 2018 01: +0,2.274,11
35,May 24 2018 01: +0,2.298,7
36,May 25 2018 01: +0,2.394,21
37,May 26 2018 01: +0,2.371,15
38,May 27 2018 01: +0,2.179,8
39,May 28 2018 01: +0,2.311,9
40,May 29 2018 01: +0,2.392,8
41,May 30 2018 01: +0,2.336,5
42,May 31 2018 01: +0,2.482,14
43,Jun 01 2018 01: +0,2.165,15
44,Jun 02 2018 01: +0,2.138,10
45,Jun 03 2018 01: +0,2.276,11
46,Jun 04 2018 01: +0,2.121,14
47,Jun 05 2018 01: +0,2.255,6
48,Jun 06 2018 01: +0,2.103,17
49,Jun 07 2018 01: +0,2.095,10
50,Jun 08 2018 01: +0,1.648,22
51,Jun 09 2018 01: +0,1.76,15
52,Jun 10 2018 01: +0,2.165,11
53,Jun 11 2018 01: +0,1.831,11
54,Jun 12 2018 01: +0,1.88,11
55,Jun 13 2018 01: +0,2.087,10
56,Jun 14 2018 01: +0,2.033,9
57,Jun 15 2018 01: +0,1.985,4
58,Jun 16 2018 01: +0,1.892,8
59,Jun 17 2018 01: +0,1.966,10
60,Jun 18 2018 01: +0,1.736,8
61,Jun 19 2018 01: +0,1.949,5
62,Jun 20 2018 01: +0,1.855,7
63,Jun 21 2018 01: +0,1.793,9
64,Jun 22 2018 01: +0,1.882,7
65,Jun 23 2018 01: +0,1.554,9
66,Jun 24 2018 01: +0,1.613,10
67,Jun 25 2018 01: +0,1.857,11
68,Jun 26 2018 01: +0,1.874,10
69,Jun 27 2018 01: +0,1.798,10
70,Jun 28 2018 01: +0,1.59,10
71,Jun 29 2018 01: +0,1.642,8
72,Jun 30 2018 01: +0,1.683,11
73,Jul 01 2018 01: +0,1.842,8
74,Jul 02 2018 01: +0,1.962,18
75,Jul 03 2018 01: +0,1.784,13
76,Jul 04 2018 01: +0,1.753,7
77,Jul 05 2018 01: +0,2.01,18
78,Jul 06 2018 01: +0,1.578,6
79,Jul 07 2018 01: +0,1.781,30
80,Jul 08 2018 01: +0,2.04,8
81,Jul 09 2018 01: +0,1.904,9
82,Jul 10 2018 01: +0,2.142,9
83,Jul 11 2018 01: +0,1.935,5
84,Jul 12 2018 01: +0,2.328,6
85,Jul 13 2018 01: +0,1.91,9
86,Jul 14 2018 01: +0,1.909,9
87,Jul 15 2018 01: +0,2.017,10
88,Jul 16 2018 01: +0,2.007,15
89,Jul 17 2018 01: +0,2.169,10
90,Jul 18 2018 01: +0,2.215,10
91,Jul 19 2018 01: +0,2.195,3
92,Jul 20 2018 01: +0,2.011,10
93,Jul 21 2018 01: +0,1.794,5
94,Jul 22 2018 01: +0,2.056,10
95,Jul 23 2018 01: +0,2.141,6
96,Jul 24 2018 01: +0,2.172,4
97,Jul 25 2018 01: +0,1.971,4
98,Jul 26 2018 01: +0,2.053,4
99,Jul 27 2018 01: +0,2.018,6
100,Jul 28 2018 01: +0,1.971,8
101,Jul 29 2018 01: +0,1.908,9
102,Jul 30 2018 01: +0,1.813,5
103,Jul 31 2018 01: +0,2.032,1
104,Aug 01 2018 01: +0,1.821,6
105,Aug 02 2018 01: +0,1.941,9
106,Aug 03 2018 01: +0,1.896,4
107,Aug 04 2018 01: +0,1.791,4
108,Aug 05 2018 01: +0,1.79,8
109,Aug 06 2018 01: +0,1.746,3
110,Aug 07 2018 01: +0,1.786,5
111,Aug 08 2018 01: +0,1.822,7
112,Aug 09 2018 01: +0,1.746,4
113,Aug 10 2018 01: +0,1.732,6
114,Aug 11 2018 01: +0,1.611,11
115,Aug 12 2018 01: +0,1.555,6
116,Aug 13 2018 01: +0,1.585,11
117,Aug 14 2018 01: +0,1.628,7
118,Aug 15 2018 01: +0,1.67,3
119,Aug 16 2018 01: +0,1.745,4
120,Aug 17 2018 01: +0,1.625,2
