,time,price,volume
0,Aug 16 2019 01: +0,2.214,44
1,Aug 17 2019 01: +0,2.148,45
2,Aug 18 2019 01: +0,2.313,32
3,Aug 19 2019 01: +0,2.265,24
4,Aug 20 2019 01: +0,1.984,28
5,Aug 21 2019 01: +0,2.046,21
6,Aug 22 2019 01: +0,1.852,32
7,Aug 23 2019 01: +0,1.917,68
8,Aug 24 2019 01: +0,2.056,31
9,Aug 25 2019 01: +0,2.02,28
10,Aug 26 2019 01: +0,1.839,23
11,Aug 27 2019 01: +0,1.819,22
12,Aug 28 2019 01: +0,1.773,20
13,Aug 29 2019 01: +0,1.741,24
14,Aug 30 2019 01: +0,1.76,32
15,Aug 31 2019 01: +0,1.684,36
16,Sep 01 2019 01: +0,1.813,29
17,Sep 02 2019 01: +0,1.732,21
18,Sep 03 2019 01: +0,1.621,20
19,Sep 04 2019 01: +0,1.603,16
20,Sep 05 2019 01: +0,1.721,33
21,Sep 06 2019 01: +0,1.838,29
22,Sep 07 2019 01: +0,1.767,35
23,Sep 08 2019 01: +0,1.77,29
24,Sep 09 2019 01: +0,1.755,20
25,Sep 10 2019 01: +0,1.708,26
26,Sep 11 2019 01: +0,1.807,32
27,Sep 12 2019 01: +0,1.574,25
28,Sep 13 2019 01: +0,1.569,23
29,Sep 14 2019 01: +0,1.484,28
30,Sep 15 2019 01: +0,1.616,28
31,Sep 16 2019 01: +0,1.64,22
32,Sep 17 2019 01: +0,1.723,17
33,Sep 18 2019 01: +0,1.617,27
34,Sep 19 2019 01: +0,1.602,17
35,Sep 20 2019 01: +0,1.66,27
36,Sep 21 2019 01: +0,1.66,24
37,Sep 22 2019 01: +0,1.59,20
38,Sep 23 2019 01: +0,1.579,18
39,Sep 24 2019 01: +0,1.554,16
40,Sep 25 2019 01: +0,1.591,16
41,Sep 26 2019 01: +0,1.449,18
42,Sep 27 2019 01: +0,1.42,19
43,Sep 28 2019 01: +0,1.511,21
44,Sep 29 2019 01: +0,1.456,21
45,Sep 30 2019 01: +0,1.401,21
46,Oct 01 2019 01: +0,1.451,21
47,Oct 02 2019 01: +0,1.432,10
48,Oct 03 2019 01: +0,1.392,31
49,Oct 04 2019 01: +0,1.484,58
50,Oct 05 2019 01: +0,1.555,37
51,Oct 06 2019 01: +0,1.63,27
52,Oct 07 2019 01: +0,1.566,24
53,Oct 08 2019 01: +0,1.641,20
54,Oct 09 2019 01: +0,1.649,22
55,Oct 10 2019 01: +0,1.717,23
56,Oct 11 2019 01: +0,1.716,26
57,Oct 12 2019 01: +0,1.764,26
58,Oct 13 2019 01: +0,1.541,31
59,Oct 14 2019 01: +0,1.53,24
