,time,price,volume
0,Apr 08 2021 01: +0,1.741,19
1,Apr 09 2021 01: +0,1.554,54
2,Apr 10 2021 01: +0,1.367,122
3,Apr 11 2021 01: +0,1.3,43
4,Apr 12 2021 01: +0,1.217,42
5,Apr 13 2021 01: +0,1.218,37
6,Apr 14 2021 01: +0,1.021,2
7,Apr 14 2021 03: +0,1.101,2
8,Apr 14 2021 06: +0,1.29,1
9,Apr 14 2021 09: +0,1.148,2
10,Apr 14 2021 11: +0,1.132,2
11,Apr 14 2021 12: +0,1.286,1
12,Apr 14 2021 13: +0,1.125,2
13,Apr 14 2021 15: +0,1.207,1
14,Apr 14 2021 16: +0,1.19,2
15,Apr 14 2021 17: +0,1.272,2
16,Apr 14 2021 20: +0,1.19,1
17,Apr 14 2021 21: +0,1.177,4
18,Apr 14 2021 22: +0,1.23,5
19,Apr 15 2021 00: +0,1.28,2
20,Apr 15 2021 01: +0,1.15,4
21,Apr 15 2021 03: +0,1.024,1
22,Apr 15 2021 04: +0,1.075,3
23,Apr 15 2021 05: +0,1.15,1
24,Apr 15 2021 06: +0,1.225,2
25,Apr 15 2021 08: +0,1.016,1
26,Apr 15 2021 10: +0,1.055,1
27,Apr 15 2021 11: +0,1.056,2
28,Apr 15 2021 12: +0,1.207,2
29,Apr 15 2021 13: +0,1.198,1
30,Apr 15 2021 14: +0,1.29,3
31,Apr 15 2021 15: +0,1.3,1
32,Apr 15 2021 16: +0,1.291,1
33,Apr 15 2021 17: +0,1.311,2
34,Apr 15 2021 18: +0,1.31,3
35,Apr 15 2021 21: +0,1.2,1
36,Apr 15 2021 22: +0,1.31,3
37,Apr 15 2021 23: +0,1.31,1
38,Apr 16 2021 00: +0,1.118,2
39,Apr 16 2021 01: +0,1.23,1
40,Apr 16 2021 02: +0,1.15,1
41,Apr 16 2021 03: +0,1.15,1
42,Apr 16 2021 05: +0,1.053,3
43,Apr 16 2021 06: +0,1.18,1
44,Apr 16 2021 07: +0,1.099,2
45,Apr 16 2021 08: +0,1.203,2
46,Apr 16 2021 09: +0,1.162,1
47,Apr 16 2021 10: +0,1.107,2
48,Apr 16 2021 11: +0,1.083,2
49,Apr 16 2021 12: +0,1.1,5
50,Apr 16 2021 14: +0,1.09,3
51,Apr 16 2021 15: +0,0.997,2
52,Apr 16 2021 16: +0,1.036,4
53,Apr 16 2021 17: +0,1.056,3
54,Apr 16 2021 18: +0,1.11,3
55,Apr 16 2021 19: +0,1.034,2
56,Apr 16 2021 20: +0,0.93,2
57,Apr 16 2021 21: +0,1.064,2
58,Apr 16 2021 22: +0,0.95,2
59,Apr 16 2021 23: +0,1.189,2
60,Apr 17 2021 00: +0,1.18,1
61,Apr 17 2021 01: +0,1.17,2
62,Apr 17 2021 02: +0,1.1,3
63,Apr 17 2021 03: +0,1.09,3
64,Apr 17 2021 04: +0,1.15,1
65,Apr 17 2021 05: +0,1.15,1
66,Apr 17 2021 09: +0,1.15,1
67,Apr 17 2021 10: +0,1.143,1
68,Apr 17 2021 11: +0,1.172,3
69,Apr 17 2021 14: +0,0.998,2
70,Apr 17 2021 15: +0,1.018,3
71,Apr 17 2021 16: +0,1.046,1
72,Apr 17 2021 17: +0,1.007,3
73,Apr 17 2021 18: +0,1.034,5
74,Apr 17 2021 19: +0,1.073,2
75,Apr 17 2021 20: +0,1.034,3
76,Apr 17 2021 21: +0,1.056,2
77,Apr 17 2021 22: +0,1.052,1
78,Apr 17 2021 23: +0,1.165,1
79,Apr 18 2021 00: +0,1.033,2
80,Apr 18 2021 01: +0,1.129,1
81,Apr 18 2021 02: +0,1.134,1
82,Apr 18 2021 04: +0,1.007,2
83,Apr 18 2021 05: +0,1.01,1
84,Apr 18 2021 08: +0,1.098,2
85,Apr 18 2021 10: +0,1.007,3
86,Apr 18 2021 11: +0,1.102,1
87,Apr 18 2021 13: +0,1.076,1
88,Apr 18 2021 14: +0,1.066,2
89,Apr 18 2021 15: +0,1.06,1
90,Apr 18 2021 16: +0,1.101,1
91,Apr 18 2021 17: +0,1.03,3
92,Apr 18 2021 18: +0,1.114,2
93,Apr 18 2021 19: +0,1.114,2
94,Apr 18 2021 20: +0,1.128,1
95,Apr 18 2021 21: +0,1.06,2
96,Apr 18 2021 22: +0,1.107,2
97,Apr 18 2021 23: +0,1.115,2
98,Apr 19 2021 00: +0,1.11,3
99,Apr 19 2021 01: +0,1.007,3
100,Apr 19 2021 02: +0,1.138,3
101,Apr 19 2021 03: +0,1.036,2
102,Apr 19 2021 04: +0,1.15,2
103,Apr 19 2021 08: +0,0.965,1
104,Apr 19 2021 09: +0,0.8,1
105,Apr 19 2021 10: +0,1.245,1
106,Apr 19 2021 11: +0,0.924,2
107,Apr 19 2021 12: +0,1.006,1
108,Apr 19 2021 13: +0,1.103,1
109,Apr 19 2021 14: +0,1.227,1
110,Apr 19 2021 17: +0,1.163,2
111,Apr 19 2021 18: +0,1.172,1
112,Apr 19 2021 19: +0,1.018,1
113,Apr 19 2021 20: +0,1.102,3
114,Apr 19 2021 21: +0,1.08,2
115,Apr 19 2021 22: +0,1.164,1
116,Apr 20 2021 03: +0,1.146,1
117,Apr 20 2021 04: +0,5.093,5
118,Apr 20 2021 06: +0,1.089,1
119,Apr 20 2021 08: +0,1.029,2
120,Apr 20 2021 09: +0,1.113,1
121,Apr 20 2021 10: +0,1.113,2
122,Apr 20 2021 11: +0,1.1,3
123,Apr 20 2021 12: +0,1.15,1
124,Apr 20 2021 13: +0,1.15,2
125,Apr 20 2021 14: +0,1.15,1
126,Apr 20 2021 15: +0,1.04,3
127,Apr 20 2021 17: +0,1.113,1
