,time,price,volume
0,Aug 24 2017 01: +0,2.965,2
1,Aug 25 2017 01: +0,1.89,25
2,Aug 26 2017 01: +0,1.879,17
3,Aug 27 2017 01: +0,1.84,19
4,Aug 28 2017 01: +0,1.719,20
5,Aug 29 2017 01: +0,2.017,16
6,Aug 30 2017 01: +0,1.702,11
7,Aug 31 2017 01: +0,1.668,18
8,Sep 01 2017 01: +0,1.75,26
9,Sep 02 2017 01: +0,1.779,22
10,Sep 03 2017 01: +0,1.666,15
11,Sep 04 2017 01: +0,1.776,13
12,Sep 05 2017 01: +0,1.882,5
13,Sep 06 2017 01: +0,1.883,12
14,Sep 07 2017 01: +0,1.96,21
15,Sep 08 2017 01: +0,1.943,17
16,Sep 09 2017 01: +0,2.141,16
17,Sep 10 2017 01: +0,2.099,11
18,Sep 11 2017 01: +0,2.031,8
19,Sep 12 2017 01: +0,1.904,8
20,Sep 13 2017 01: +0,2.059,11
21,Sep 14 2017 01: +0,2.077,13
22,Sep 15 2017 01: +0,2.0,9
23,Sep 16 2017 01: +0,1.857,15
24,Sep 17 2017 01: +0,2.038,11
25,Sep 18 2017 01: +0,1.993,7
26,Sep 19 2017 01: +0,2.159,9
27,Sep 20 2017 01: +0,1.987,13
28,Sep 21 2017 01: +0,2.115,15
29,Sep 22 2017 01: +0,2.211,18
30,Sep 23 2017 01: +0,1.901,18
31,Sep 24 2017 01: +0,1.999,21
32,Sep 25 2017 01: +0,2.283,6
33,Sep 26 2017 01: +0,2.217,11
34,Sep 27 2017 01: +0,2.338,9
35,Sep 28 2017 01: +0,2.414,19
36,Sep 29 2017 01: +0,2.349,7
37,Sep 30 2017 01: +0,2.373,12
38,Oct 01 2017 01: +0,2.372,11
39,Oct 02 2017 01: +0,2.279,12
40,Oct 03 2017 01: +0,2.627,7
41,Oct 04 2017 01: +0,2.465,11
42,Oct 05 2017 01: +0,2.23,17
43,Oct 06 2017 01: +0,2.505,14
44,Oct 07 2017 01: +0,2.47,9
45,Oct 08 2017 01: +0,2.761,22
46,Oct 09 2017 01: +0,3.464,7
47,Oct 10 2017 01: +0,2.94,11
48,Oct 11 2017 01: +0,2.464,5
49,Oct 12 2017 01: +0,2.54,13
50,Oct 13 2017 01: +0,3.021,5
51,Oct 14 2017 01: +0,2.978,14
52,Oct 15 2017 01: +0,3.508,14
53,Oct 16 2017 01: +0,3.362,12
54,Oct 17 2017 01: +0,2.99,12
55,Oct 18 2017 01: +0,2.904,11
56,Oct 19 2017 01: +0,2.972,12
57,Oct 20 2017 01: +0,3.003,9
58,Oct 21 2017 01: +0,2.827,10
59,Oct 22 2017 01: +0,2.904,10
60,Oct 23 2017 01: +0,2.845,9
61,Oct 24 2017 01: +0,2.481,4
62,Oct 25 2017 01: +0,2.495,5
63,Oct 26 2017 01: +0,2.111,12
64,Oct 27 2017 01: +0,1.986,17
65,Oct 28 2017 01: +0,2.065,9
66,Oct 29 2017 01: +0,1.892,4
67,Oct 30 2017 01: +0,2.023,15
68,Oct 31 2017 01: +0,2.092,7
69,Nov 01 2017 01: +0,2.075,10
70,Nov 02 2017 01: +0,2.006,7
71,Nov 03 2017 01: +0,2.152,11
72,Nov 04 2017 01: +0,2.459,10
73,Nov 05 2017 01: +0,2.811,9
74,Nov 06 2017 01: +0,2.673,4
75,Nov 07 2017 01: +0,2.301,5
76,Nov 08 2017 01: +0,2.325,8
77,Nov 09 2017 01: +0,2.412,5
78,Nov 10 2017 01: +0,2.669,8
79,Nov 11 2017 01: +0,2.213,9
80,Nov 12 2017 01: +0,2.16,9
81,Nov 13 2017 01: +0,2.692,6
82,Nov 14 2017 01: +0,2.287,3
83,Nov 15 2017 01: +0,2.861,7
84,Nov 16 2017 01: +0,3.105,9
85,Nov 17 2017 01: +0,2.986,7
86,Nov 18 2017 01: +0,3.473,6
87,Nov 19 2017 01: +0,2.939,5
88,Nov 20 2017 01: +0,2.928,5
89,Nov 21 2017 01: +0,3.033,9
90,Nov 22 2017 01: +0,3.006,9
91,Nov 23 2017 01: +0,2.632,8
92,Nov 24 2017 01: +0,2.136,5
93,Nov 25 2017 01: +0,2.25,7
94,Nov 26 2017 01: +0,2.149,6
95,Nov 27 2017 01: +0,2.183,9
96,Nov 28 2017 01: +0,2.538,8
97,Nov 29 2017 01: +0,2.03,2
98,Nov 30 2017 01: +0,2.44,7
99,Dec 01 2017 01: +0,2.363,8
100,Dec 02 2017 01: +0,2.497,4
101,Dec 03 2017 01: +0,2.442,5
102,Dec 04 2017 01: +0,2.333,9
103,Dec 05 2017 01: +0,2.56,1
104,Dec 06 2017 01: +0,2.369,4
105,Dec 07 2017 01: +0,2.741,11
106,Dec 08 2017 01: +0,3.116,10
107,Dec 09 2017 01: +0,2.882,4
108,Dec 10 2017 01: +0,3.086,7
109,Dec 11 2017 01: +0,3.05,3
110,Dec 12 2017 01: +0,3.175,4
111,Dec 13 2017 01: +0,2.88,3
112,Dec 14 2017 01: +0,2.804,9
113,Dec 15 2017 01: +0,2.718,9
114,Dec 16 2017 01: +0,2.863,5
115,Dec 17 2017 01: +0,3.024,10
116,Dec 18 2017 01: +0,3.253,6
117,Dec 19 2017 01: +0,3.45,1
118,Dec 20 2017 01: +0,3.421,5
119,Dec 21 2017 01: +0,3.169,9
120,Dec 22 2017 01: +0,3.145,14
121,Dec 23 2017 01: +0,3.25,6
122,Dec 24 2017 01: +0,3.238,10
123,Dec 25 2017 01: +0,3.546,18
124,Dec 26 2017 01: +0,3.871,12
125,Dec 27 2017 01: +0,4.154,2
126,Dec 28 2017 01: +0,4.019,5
127,Dec 29 2017 01: +0,3.194,4
128,Dec 30 2017 01: +0,3.419,10
129,Dec 31 2017 01: +0,3.822,6
130,Jan 01 2018 01: +0,3.91,1
131,Jan 02 2018 01: +0,3.591,5
132,Jan 03 2018 01: +0,3.162,2
133,Jan 04 2018 01: +0,3.312,10
134,Jan 05 2018 01: +0,3.588,10
135,Jan 06 2018 01: +0,3.514,8
136,Jan 07 2018 01: +0,4.073,5
137,Jan 08 2018 01: +0,3.77,8
138,Jan 09 2018 01: +0,4.309,4
139,Jan 10 2018 01: +0,4.481,3
140,Jan 11 2018 01: +0,3.271,5
141,Jan 12 2018 01: +0,3.795,5
142,Jan 13 2018 01: +0,3.476,6
143,Jan 14 2018 01: +0,3.664,6
144,Jan 15 2018 01: +0,2.828,5
145,Jan 16 2018 01: +0,3.385,8
146,Jan 17 2018 01: +0,3.603,9
147,Jan 18 2018 01: +0,3.209,7
148,Jan 19 2018 01: +0,3.248,8
149,Jan 20 2018 01: +0,3.321,5
150,Jan 21 2018 01: +0,3.69,7
151,Jan 22 2018 01: +0,3.708,5
152,Jan 23 2018 01: +0,3.418,7
153,Jan 24 2018 01: +0,3.393,4
154,Jan 25 2018 01: +0,3.601,6
155,Jan 26 2018 01: +0,3.354,7
156,Jan 27 2018 01: +0,3.085,10
157,Jan 28 2018 01: +0,2.988,4
158,Jan 29 2018 01: +0,2.85,3
159,Jan 30 2018 01: +0,2.936,5
160,Jan 31 2018 01: +0,2.858,4
161,Feb 01 2018 01: +0,2.931,6
162,Feb 02 2018 01: +0,3.307,10
163,Feb 03 2018 01: +0,3.148,7
164,Feb 04 2018 01: +0,3.278,3
165,Feb 05 2018 01: +0,3.6,6
166,Feb 06 2018 01: +0,3.394,10
167,Feb 07 2018 01: +0,3.018,4
168,Feb 08 2018 01: +0,3.499,10
169,Feb 09 2018 01: +0,3.75,1
170,Feb 10 2018 01: +0,3.682,4
171,Feb 11 2018 01: +0,3.62,5
172,Feb 12 2018 01: +0,3.55,4
173,Feb 13 2018 01: +0,3.305,5
174,Feb 14 2018 01: +0,3.773,3
175,Feb 15 2018 01: +0,3.263,3
176,Feb 16 2018 01: +0,3.605,4
177,Feb 17 2018 01: +0,3.434,4
178,Feb 18 2018 01: +0,3.533,4
179,Feb 19 2018 01: +0,3.37,5
180,Feb 20 2018 01: +0,3.533,6
