,time,price,volume
0,Aug 16 2018 01: +0,2.971,1
1,Aug 17 2018 01: +0,1.539,13
2,Aug 18 2018 01: +0,1.501,5
3,Aug 19 2018 01: +0,1.735,12
4,Aug 20 2018 01: +0,1.713,6
5,Aug 21 2018 01: +0,1.59,6
6,Aug 22 2018 01: +0,1.678,6
7,Aug 23 2018 01: +0,1.739,6
8,Aug 24 2018 01: +0,1.619,8
9,Aug 25 2018 01: +0,1.546,16
10,Aug 26 2018 01: +0,1.654,11
11,Aug 27 2018 01: +0,1.674,5
12,Aug 28 2018 01: +0,1.634,6
13,Aug 29 2018 01: +0,1.426,6
14,Aug 30 2018 01: +0,1.511,8
15,Aug 31 2018 01: +0,1.469,6
16,Sep 01 2018 01: +0,1.539,5
17,Sep 02 2018 01: +0,1.543,8
18,Sep 03 2018 01: +0,1.515,6
19,Sep 04 2018 01: +0,1.614,8
20,Sep 05 2018 01: +0,1.32,4
21,Sep 06 2018 01: +0,1.579,7
22,Sep 07 2018 01: +0,1.647,4
23,Sep 08 2018 01: +0,1.586,11
24,Sep 09 2018 01: +0,1.559,8
25,Sep 10 2018 01: +0,1.62,4
26,Sep 11 2018 01: +0,1.481,5
27,Sep 12 2018 01: +0,1.529,6
28,Sep 13 2018 01: +0,1.475,4
29,Sep 14 2018 01: +0,1.509,3
30,Sep 15 2018 01: +0,1.556,11
31,Sep 16 2018 01: +0,1.483,5
32,Sep 17 2018 01: +0,1.424,9
33,Sep 18 2018 01: +0,1.567,11
34,Sep 19 2018 01: +0,1.596,9
35,Sep 20 2018 01: +0,1.644,10
36,Sep 21 2018 01: +0,1.71,9
37,Sep 22 2018 01: +0,1.621,9
38,Sep 23 2018 01: +0,1.483,15
39,Sep 24 2018 01: +0,1.549,11
40,Sep 25 2018 01: +0,1.535,7
41,Sep 26 2018 01: +0,1.527,6
42,Sep 27 2018 01: +0,1.523,6
43,Sep 28 2018 01: +0,1.471,11
44,Sep 29 2018 01: +0,1.536,14
45,Sep 30 2018 01: +0,1.606,12
46,Oct 01 2018 01: +0,1.58,4
47,Oct 02 2018 01: +0,1.572,7
48,Oct 03 2018 01: +0,1.588,5
49,Oct 04 2018 01: +0,1.645,14
50,Oct 05 2018 01: +0,1.661,6
51,Oct 06 2018 01: +0,1.646,9
52,Oct 07 2018 01: +0,1.703,9
53,Oct 08 2018 01: +0,1.821,5
54,Oct 09 2018 01: +0,1.979,3
55,Oct 10 2018 01: +0,1.989,7
56,Oct 11 2018 01: +0,2.093,7
57,Oct 12 2018 01: +0,2.281,7
58,Oct 13 2018 01: +0,1.811,3
59,Oct 14 2018 01: +0,1.731,3
60,Oct 15 2018 01: +0,1.668,4
61,Oct 16 2018 01: +0,1.785,8
62,Oct 17 2018 01: +0,2.092,6
63,Oct 18 2018 01: +0,1.983,5
64,Oct 19 2018 01: +0,1.633,9
65,Oct 20 2018 01: +0,2.128,7
66,Oct 21 2018 01: +0,2.022,4
67,Oct 22 2018 01: +0,1.932,10
68,Oct 23 2018 01: +0,2.128,9
69,Oct 24 2018 01: +0,2.155,4
70,Oct 25 2018 01: +0,2.0,6
71,Oct 26 2018 01: +0,1.909,6
72,Oct 27 2018 01: +0,2.075,8
73,Oct 28 2018 01: +0,1.801,8
74,Oct 29 2018 01: +0,2.106,4
75,Oct 30 2018 01: +0,1.95,6
76,Oct 31 2018 01: +0,2.083,8
77,Nov 01 2018 01: +0,1.928,4
78,Nov 02 2018 01: +0,2.121,6
79,Nov 03 2018 01: +0,2.172,6
80,Nov 04 2018 01: +0,2.048,6
81,Nov 05 2018 01: +0,2.21,8
82,Nov 06 2018 01: +0,2.18,2
83,Nov 07 2018 01: +0,2.164,4
84,Nov 08 2018 01: +0,1.958,3
85,Nov 09 2018 01: +0,2.026,7
86,Nov 10 2018 01: +0,2.265,2
87,Nov 11 2018 01: +0,2.199,6
88,Nov 12 2018 01: +0,2.023,4
89,Nov 13 2018 01: +0,2.253,11
90,Nov 14 2018 01: +0,2.471,4
91,Nov 15 2018 01: +0,2.486,7
92,Nov 16 2018 01: +0,2.493,11
93,Nov 17 2018 01: +0,2.675,5
94,Nov 18 2018 01: +0,2.984,8
95,Nov 19 2018 01: +0,2.938,4
96,Nov 20 2018 01: +0,2.535,4
97,Nov 21 2018 01: +0,2.937,2
98,Nov 22 2018 01: +0,2.531,5
99,Nov 23 2018 01: +0,2.375,5
100,Nov 24 2018 01: +0,2.314,5
101,Nov 25 2018 01: +0,2.346,11
102,Nov 26 2018 01: +0,3.157,4
103,Nov 27 2018 01: +0,2.716,2
104,Nov 28 2018 01: +0,3.008,3
105,Nov 29 2018 01: +0,2.875,2
106,Nov 30 2018 01: +0,2.758,3
107,Dec 01 2018 01: +0,2.842,7
108,Dec 02 2018 01: +0,2.694,3
109,Dec 03 2018 01: +0,2.533,4
110,Dec 04 2018 01: +0,2.816,3
111,Dec 05 2018 01: +0,2.89,5
112,Dec 06 2018 01: +0,2.899,10
113,Dec 07 2018 01: +0,2.688,7
114,Dec 08 2018 01: +0,3.114,6
115,Dec 09 2018 01: +0,3.321,4
116,Dec 10 2018 01: +0,3.163,5
117,Dec 11 2018 01: +0,3.18,3
118,Dec 12 2018 01: +0,3.017,2
119,Dec 13 2018 01: +0,3.117,11
120,Dec 14 2018 01: +0,3.19,3
121,Dec 15 2018 01: +0,2.997,5
