,time,price,volume
0,Jun 14 2019 01: +0,1.847,30
1,Jun 15 2019 01: +0,1.652,52
2,Jun 16 2019 01: +0,1.627,52
3,Jun 17 2019 01: +0,1.685,51
4,Jun 18 2019 01: +0,1.775,32
5,Jun 19 2019 01: +0,1.776,41
6,Jun 20 2019 01: +0,1.789,35
7,Jun 21 2019 01: +0,1.777,46
8,Jun 22 2019 01: +0,1.667,45
9,Jun 23 2019 01: +0,1.653,40
10,Jun 24 2019 01: +0,1.702,38
11,Jun 25 2019 01: +0,1.624,39
12,Jun 26 2019 01: +0,1.68,31
13,Jun 27 2019 01: +0,1.726,45
14,Jun 28 2019 01: +0,1.718,35
15,Jun 29 2019 01: +0,1.554,47
16,Jun 30 2019 01: +0,1.596,46
17,Jul 01 2019 01: +0,1.551,42
18,Jul 02 2019 01: +0,1.621,47
19,Jul 03 2019 01: +0,1.602,37
20,Jul 04 2019 01: +0,1.634,78
21,Jul 05 2019 01: +0,1.629,60
22,Jul 06 2019 01: +0,1.711,40
23,Jul 07 2019 01: +0,1.771,65
24,Jul 08 2019 01: +0,1.813,48
25,Jul 09 2019 01: +0,1.722,36
26,Jul 10 2019 01: +0,1.805,30
27,Jul 11 2019 01: +0,1.904,41
28,Jul 12 2019 01: +0,1.972,46
29,Jul 13 2019 01: +0,1.823,50
30,Jul 14 2019 01: +0,1.916,34
31,Jul 15 2019 01: +0,2.017,34
32,Jul 16 2019 01: +0,1.9,14
33,Jul 17 2019 01: +0,1.941,28
34,Jul 18 2019 01: +0,1.961,37
35,Jul 19 2019 01: +0,2.016,41
36,Jul 20 2019 01: +0,1.983,45
37,Jul 21 2019 01: +0,2.037,44
38,Jul 22 2019 01: +0,2.046,31
39,Jul 23 2019 01: +0,1.984,30
40,Jul 24 2019 01: +0,1.995,23
41,Jul 25 2019 01: +0,2.007,30
42,Jul 26 2019 01: +0,1.89,36
43,Jul 27 2019 01: +0,1.975,29
44,Jul 28 2019 01: +0,1.935,32
45,Jul 29 2019 01: +0,2.016,22
46,Jul 30 2019 01: +0,1.796,21
47,Jul 31 2019 01: +0,2.085,18
48,Aug 01 2019 01: +0,2.064,32
49,Aug 02 2019 01: +0,2.022,17
50,Aug 03 2019 01: +0,2.032,25
51,Aug 04 2019 01: +0,1.985,17
52,Aug 05 2019 01: +0,1.99,30
53,Aug 06 2019 01: +0,2.025,17
54,Aug 07 2019 01: +0,2.069,15
55,Aug 08 2019 01: +0,1.977,19
56,Aug 09 2019 01: +0,2.057,32
57,Aug 10 2019 01: +0,2.057,25
58,Aug 11 2019 01: +0,2.074,19
59,Aug 12 2019 01: +0,2.181,19
60,Aug 13 2019 01: +0,1.984,23
61,Aug 14 2019 01: +0,2.104,20
62,Aug 15 2019 01: +0,2.104,20
63,Aug 16 2019 01: +0,2.062,26
64,Aug 17 2019 01: +0,2.143,17
65,Aug 18 2019 01: +0,2.118,17
66,Aug 19 2019 01: +0,2.099,17
67,Aug 20 2019 01: +0,2.084,15
68,Aug 21 2019 01: +0,2.11,14
69,Aug 22 2019 01: +0,1.998,13
70,Aug 23 2019 01: +0,1.935,19
71,Aug 24 2019 01: +0,2.03,14
72,Aug 25 2019 01: +0,2.075,18
73,Aug 26 2019 01: +0,1.97,13
74,Aug 27 2019 01: +0,1.922,10
75,Aug 28 2019 01: +0,2.073,15
76,Aug 29 2019 01: +0,1.684,11
77,Aug 30 2019 01: +0,1.884,7
78,Aug 31 2019 01: +0,1.82,10
79,Sep 01 2019 01: +0,1.822,16
80,Sep 02 2019 01: +0,2.019,16
81,Sep 03 2019 01: +0,1.919,9
82,Sep 04 2019 01: +0,2.07,11
83,Sep 05 2019 01: +0,2.016,18
84,Sep 06 2019 01: +0,1.929,15
85,Sep 07 2019 01: +0,1.831,17
86,Sep 08 2019 01: +0,1.994,24
87,Sep 09 2019 01: +0,1.934,11
88,Sep 10 2019 01: +0,1.817,15
89,Sep 11 2019 01: +0,1.735,9
90,Sep 12 2019 01: +0,1.947,10
91,Sep 13 2019 01: +0,1.873,15
92,Sep 14 2019 01: +0,1.952,12
93,Sep 15 2019 01: +0,1.693,2
94,Sep 16 2019 01: +0,1.86,11
95,Sep 17 2019 01: +0,1.933,12
96,Sep 18 2019 01: +0,1.945,9
97,Sep 19 2019 01: +0,1.79,12
98,Sep 20 2019 01: +0,1.696,9
99,Sep 21 2019 01: +0,1.804,15
100,Sep 22 2019 01: +0,1.734,14
101,Sep 23 2019 01: +0,1.88,3
102,Sep 24 2019 01: +0,1.806,15
103,Sep 25 2019 01: +0,1.652,6
104,Sep 26 2019 01: +0,1.756,16
105,Sep 27 2019 01: +0,1.685,12
106,Sep 28 2019 01: +0,1.815,20
107,Sep 29 2019 01: +0,1.825,15
108,Sep 30 2019 01: +0,1.728,11
109,Oct 01 2019 01: +0,1.635,13
110,Oct 02 2019 01: +0,1.563,10
111,Oct 03 2019 01: +0,1.633,28
112,Oct 04 2019 01: +0,1.752,14
113,Oct 05 2019 01: +0,1.678,15
114,Oct 06 2019 01: +0,1.746,18
115,Oct 07 2019 01: +0,1.766,9
116,Oct 08 2019 01: +0,1.654,10
117,Oct 09 2019 01: +0,1.651,11
118,Oct 10 2019 01: +0,1.726,15
119,Oct 11 2019 01: +0,1.777,12
120,Oct 12 2019 01: +0,1.711,19
121,Oct 13 2019 01: +0,1.659,7
122,Oct 14 2019 01: +0,1.695,12
123,Oct 15 2019 01: +0,1.723,7
124,Oct 16 2019 01: +0,1.734,10
125,Oct 17 2019 01: +0,1.545,10
126,Oct 18 2019 01: +0,1.584,16
127,Oct 19 2019 01: +0,1.573,26
128,Oct 20 2019 01: +0,1.67,17
129,Oct 21 2019 01: +0,1.534,13
130,Oct 22 2019 01: +0,1.734,16
131,Oct 23 2019 01: +0,1.626,6
132,Oct 24 2019 01: +0,1.591,7
133,Oct 25 2019 01: +0,1.477,8
134,Oct 26 2019 01: +0,1.494,11
135,Oct 27 2019 01: +0,1.522,14
136,Oct 28 2019 01: +0,1.495,8
137,Oct 29 2019 01: +0,1.563,8
138,Oct 30 2019 01: +0,1.466,14
139,Oct 31 2019 01: +0,1.462,11
140,Nov 01 2019 01: +0,1.403,14
141,Nov 02 2019 01: +0,1.534,14
142,Nov 03 2019 01: +0,1.465,13
143,Nov 04 2019 01: +0,1.576,8
144,Nov 05 2019 01: +0,1.557,9
145,Nov 06 2019 01: +0,1.52,13
146,Nov 07 2019 01: +0,1.589,12
147,Nov 08 2019 01: +0,1.588,25
148,Nov 09 2019 01: +0,1.695,14
149,Nov 10 2019 01: +0,1.577,17
150,Nov 11 2019 01: +0,1.574,11
151,Nov 12 2019 01: +0,1.647,12
152,Nov 13 2019 01: +0,1.588,13
153,Nov 14 2019 01: +0,1.682,15
154,Nov 15 2019 01: +0,1.881,12
155,Nov 16 2019 01: +0,1.773,9
156,Nov 17 2019 01: +0,1.614,17
157,Nov 18 2019 01: +0,1.702,10
158,Nov 19 2019 01: +0,1.482,13
159,Nov 20 2019 01: +0,1.669,9
160,Nov 21 2019 01: +0,1.543,8
161,Nov 22 2019 01: +0,1.47,9
162,Nov 23 2019 01: +0,1.561,11
163,Nov 24 2019 01: +0,1.618,10
164,Nov 25 2019 01: +0,1.703,9
