,time,price,volume
0,Sep 13 2019 01: +0,1.779,3
1,Sep 14 2019 01: +0,1.337,7
2,Sep 15 2019 01: +0,1.275,3
3,Sep 16 2019 01: +0,1.44,1
4,Sep 18 2019 01: +0,1.201,6
5,Sep 19 2019 01: +0,1.272,3
6,Sep 20 2019 01: +0,1.148,11
7,Sep 21 2019 01: +0,1.401,10
8,Sep 22 2019 01: +0,1.7,1
9,Sep 23 2019 01: +0,1.206,7
10,Sep 24 2019 01: +0,1.256,3
11,Sep 25 2019 01: +0,1.131,5
12,Sep 26 2019 01: +0,1.275,5
13,Sep 27 2019 01: +0,1.567,2
14,Sep 28 2019 01: +0,1.452,2
15,Sep 29 2019 01: +0,1.447,3
16,Sep 30 2019 01: +0,1.277,3
17,Oct 01 2019 01: +0,1.327,5
18,Oct 02 2019 01: +0,1.283,5
19,Oct 03 2019 01: +0,1.296,8
20,Oct 04 2019 01: +0,1.345,6
21,Oct 05 2019 01: +0,1.225,8
22,Oct 06 2019 01: +0,1.361,3
23,Oct 07 2019 01: +0,1.487,2
24,Oct 08 2019 01: +0,1.441,3
25,Oct 09 2019 01: +0,1.252,6
26,Oct 10 2019 01: +0,1.426,4
27,Oct 11 2019 01: +0,1.542,3
28,Oct 12 2019 01: +0,1.302,4
29,Oct 13 2019 01: +0,1.231,10
30,Oct 14 2019 01: +0,1.415,1
31,Oct 15 2019 01: +0,1.428,3
32,Oct 16 2019 01: +0,1.425,2
33,Oct 17 2019 01: +0,1.371,5
34,Oct 18 2019 01: +0,1.27,8
35,Oct 19 2019 01: +0,1.23,5
36,Oct 20 2019 01: +0,1.339,6
37,Oct 21 2019 01: +0,1.21,3
38,Oct 22 2019 01: +0,0.994,2
39,Oct 23 2019 01: +0,1.143,2
40,Oct 24 2019 01: +0,1.384,5
41,Oct 25 2019 01: +0,1.238,6
42,Oct 26 2019 01: +0,1.349,3
43,Oct 27 2019 01: +0,1.355,3
44,Oct 28 2019 01: +0,1.338,3
45,Oct 29 2019 01: +0,1.292,2
46,Oct 30 2019 01: +0,1.162,10
47,Oct 31 2019 01: +0,1.26,1
48,Nov 01 2019 01: +0,1.147,4
49,Nov 02 2019 01: +0,1.205,5
50,Nov 03 2019 01: +0,1.258,7
51,Nov 04 2019 01: +0,1.253,2
52,Nov 05 2019 01: +0,1.135,6
53,Nov 06 2019 01: +0,1.167,6
