,time,price,volume
0,Feb 02 2017 01: +0,3.49,1
1,Feb 04 2017 01: +0,4.05,5
2,Feb 05 2017 01: +0,3.335,8
3,Feb 06 2017 01: +0,4.584,5
4,Feb 07 2017 01: +0,4.083,3
5,Feb 08 2017 01: +0,3.754,5
6,Feb 09 2017 01: +0,1.85,42
7,Feb 10 2017 01: +0,1.794,41
8,Feb 11 2017 01: +0,1.737,36
9,Feb 12 2017 01: +0,1.85,42
10,Feb 13 2017 01: +0,1.891,19
11,Feb 14 2017 01: +0,1.813,24
12,Feb 15 2017 01: +0,1.838,23
13,Feb 16 2017 01: +0,1.586,28
14,Feb 17 2017 01: +0,1.646,27
15,Feb 18 2017 01: +0,1.705,31
16,Feb 19 2017 01: +0,1.818,24
17,Feb 20 2017 01: +0,1.911,15
18,Feb 21 2017 01: +0,1.756,29
19,Feb 22 2017 01: +0,1.687,14
20,Feb 23 2017 01: +0,1.568,26
21,Feb 24 2017 01: +0,1.615,31
22,Feb 25 2017 01: +0,1.704,21
23,Feb 26 2017 01: +0,1.544,25
24,Feb 27 2017 01: +0,1.536,20
25,Feb 28 2017 01: +0,1.492,20
26,Mar 01 2017 01: +0,1.625,26
27,Mar 02 2017 01: +0,1.619,34
28,Mar 03 2017 01: +0,1.761,29
29,Mar 04 2017 01: +0,1.793,26
30,Mar 05 2017 01: +0,1.933,27
31,Mar 06 2017 01: +0,1.925,17
32,Mar 07 2017 01: +0,2.009,22
33,Mar 08 2017 01: +0,1.787,16
34,Mar 09 2017 01: +0,1.92,34
35,Mar 10 2017 01: +0,2.043,27
36,Mar 11 2017 01: +0,1.944,24
37,Mar 12 2017 01: +0,1.894,18
38,Mar 13 2017 01: +0,1.961,25
39,Mar 14 2017 01: +0,1.917,16
40,Mar 15 2017 01: +0,1.859,15
41,Mar 16 2017 01: +0,1.876,33
42,Mar 17 2017 01: +0,1.88,25
43,Mar 18 2017 01: +0,1.913,24
44,Mar 19 2017 01: +0,2.035,24
45,Mar 20 2017 01: +0,2.158,14
46,Mar 21 2017 01: +0,1.942,20
47,Mar 22 2017 01: +0,1.872,24
48,Mar 23 2017 01: +0,2.311,14
49,Mar 24 2017 01: +0,2.463,4
50,Mar 25 2017 01: +0,3.655,6
51,Mar 26 2017 01: +0,4.17,3
52,Mar 27 2017 01: +0,5.876,2
53,Mar 28 2017 01: +0,3.977,2
54,Mar 30 2017 01: +0,2.818,17
55,Mar 31 2017 01: +0,1.861,21
56,Apr 01 2017 01: +0,1.581,19
57,Apr 02 2017 01: +0,1.733,29
58,Apr 03 2017 01: +0,1.827,21
59,Apr 04 2017 01: +0,1.824,14
60,Apr 05 2017 01: +0,1.815,12
61,Apr 06 2017 01: +0,1.839,21
62,Apr 07 2017 01: +0,1.628,21
63,Apr 08 2017 01: +0,1.713,23
64,Apr 09 2017 01: +0,1.696,16
65,Apr 10 2017 01: +0,1.67,17
66,Apr 11 2017 01: +0,1.671,15
67,Apr 12 2017 01: +0,1.677,19
68,Apr 13 2017 01: +0,1.777,24
69,Apr 14 2017 01: +0,1.964,12
70,Apr 15 2017 01: +0,2.031,12
71,Apr 16 2017 01: +0,2.092,18
