,time,price,volume
0,Sep 07 2017 01: +0,1.8,1
1,Sep 08 2017 01: +0,2.992,3
2,Sep 09 2017 01: +0,1.845,2
3,Sep 10 2017 01: +0,2.004,6
4,Sep 11 2017 01: +0,1.57,3
5,Sep 12 2017 01: +0,1.713,4
6,Sep 13 2017 01: +0,1.567,6
7,Sep 14 2017 01: +0,1.585,2
8,Sep 15 2017 01: +0,1.48,4
9,Sep 16 2017 01: +0,1.686,4
10,Sep 17 2017 01: +0,2.298,6
11,Sep 18 2017 01: +0,1.979,5
12,Sep 20 2017 01: +0,1.604,2
13,Sep 21 2017 01: +0,1.452,4
14,Sep 22 2017 01: +0,1.879,9
15,Sep 23 2017 01: +0,2.808,1
16,Sep 24 2017 01: +0,2.008,2
17,Sep 25 2017 01: +0,2.309,2
18,Sep 26 2017 01: +0,2.473,4
19,Sep 28 2017 01: +0,1.626,4
20,Sep 29 2017 01: +0,1.663,5
21,Sep 30 2017 01: +0,2.303,4
22,Oct 01 2017 01: +0,2.332,4
23,Oct 02 2017 01: +0,2.113,2
24,Oct 03 2017 01: +0,2.305,5
25,Oct 04 2017 01: +0,2.228,3
26,Oct 05 2017 01: +0,2.676,6
27,Oct 06 2017 01: +0,4.484,2
28,Oct 08 2017 01: +0,4.88,2
29,Oct 09 2017 01: +0,4.975,3
30,Oct 10 2017 01: +0,4.63,1
31,Oct 11 2017 01: +0,4.359,1
32,Oct 12 2017 01: +0,3.744,3
33,Oct 13 2017 01: +0,2.972,3
34,Oct 14 2017 01: +0,3.011,4
35,Oct 15 2017 01: +0,2.941,6
36,Oct 16 2017 01: +0,2.843,2
37,Oct 17 2017 01: +0,3.109,2
38,Oct 18 2017 01: +0,3.13,1
39,Oct 19 2017 01: +0,3.065,1
40,Oct 20 2017 01: +0,2.48,1
41,Oct 21 2017 01: +0,2.961,3
42,Oct 22 2017 01: +0,2.598,1
43,Oct 23 2017 01: +0,2.299,2
44,Oct 24 2017 01: +0,2.899,4
45,Oct 25 2017 01: +0,3.12,1
46,Oct 26 2017 01: +0,3.207,3
47,Oct 27 2017 01: +0,3.56,2
48,Oct 28 2017 01: +0,3.265,2
49,Oct 29 2017 01: +0,2.662,2
50,Oct 30 2017 01: +0,2.67,2
51,Oct 31 2017 01: +0,2.937,3
52,Nov 01 2017 01: +0,3.06,1
53,Nov 02 2017 01: +0,3.229,5
54,Nov 03 2017 01: +0,2.3,1
55,Nov 04 2017 01: +0,2.755,2
56,Nov 07 2017 01: +0,2.56,2
57,Nov 08 2017 01: +0,3.068,4
58,Nov 09 2017 01: +0,3.445,2
59,Nov 10 2017 01: +0,3.51,1
60,Nov 11 2017 01: +0,3.565,2
61,Nov 12 2017 01: +0,3.593,2
62,Nov 13 2017 01: +0,3.59,1
63,Nov 14 2017 01: +0,3.107,2
64,Nov 16 2017 01: +0,3.567,2
65,Nov 17 2017 01: +0,3.562,3
66,Nov 18 2017 01: +0,3.1,1
67,Nov 19 2017 01: +0,2.616,1
68,Nov 21 2017 01: +0,2.922,2
69,Nov 22 2017 01: +0,2.9,1
70,Nov 23 2017 01: +0,3.0,2
71,Nov 24 2017 01: +0,2.767,2
72,Nov 25 2017 01: +0,2.96,2
73,Nov 26 2017 01: +0,2.383,2
74,Nov 27 2017 01: +0,2.258,1
75,Nov 28 2017 01: +0,3.045,1
76,Nov 29 2017 01: +0,2.933,2
77,Nov 30 2017 01: +0,2.943,3
78,Dec 02 2017 01: +0,2.972,1
79,Dec 03 2017 01: +0,2.485,3
80,Dec 06 2017 01: +0,2.941,1
81,Dec 07 2017 01: +0,2.452,2
