,time,price,volume
0,Apr 19 2018 01: +0,2.024,18
1,Apr 20 2018 01: +0,1.812,65
2,Apr 21 2018 01: +0,1.853,43
3,Apr 22 2018 01: +0,1.818,63
4,Apr 23 2018 01: +0,1.832,27
5,Apr 24 2018 01: +0,1.859,49
6,Apr 25 2018 01: +0,1.717,35
7,Apr 26 2018 01: +0,1.871,51
8,Apr 27 2018 01: +0,1.631,43
9,Apr 28 2018 01: +0,1.643,53
10,Apr 29 2018 01: +0,1.792,30
11,Apr 30 2018 01: +0,1.747,31
12,May 01 2018 01: +0,1.753,38
13,May 02 2018 01: +0,1.868,22
14,May 03 2018 01: +0,1.849,43
15,May 04 2018 01: +0,1.746,46
16,May 05 2018 01: +0,1.942,37
17,May 06 2018 01: +0,1.869,24
18,May 07 2018 01: +0,2.001,20
19,May 08 2018 01: +0,1.974,20
20,May 09 2018 01: +0,1.793,28
21,May 10 2018 01: +0,1.959,35
22,May 11 2018 01: +0,1.944,22
23,May 12 2018 01: +0,1.982,21
24,May 13 2018 01: +0,2.041,20
25,May 14 2018 01: +0,2.106,25
26,May 15 2018 01: +0,2.135,16
27,May 16 2018 01: +0,1.989,11
28,May 17 2018 01: +0,2.049,29
29,May 18 2018 01: +0,2.233,28
30,May 19 2018 01: +0,2.054,13
31,May 20 2018 01: +0,2.104,18
32,May 21 2018 01: +0,2.119,14
33,May 22 2018 01: +0,2.255,12
34,May 23 2018 01: +0,2.043,13
35,May 24 2018 01: +0,2.017,17
36,May 25 2018 01: +0,1.747,40
37,May 26 2018 01: +0,1.734,22
38,May 27 2018 01: +0,1.772,23
39,May 28 2018 01: +0,1.654,15
40,May 29 2018 01: +0,1.858,15
41,May 30 2018 01: +0,1.87,15
42,May 31 2018 01: +0,2.035,19
43,Jun 01 2018 01: +0,1.94,19
44,Jun 02 2018 01: +0,1.963,15
45,Jun 03 2018 01: +0,1.887,13
46,Jun 04 2018 01: +0,1.884,21
47,Jun 05 2018 01: +0,1.953,16
48,Jun 06 2018 01: +0,1.838,17
49,Jun 07 2018 01: +0,1.892,15
50,Jun 08 2018 01: +0,1.928,32
51,Jun 09 2018 01: +0,2.045,15
52,Jun 10 2018 01: +0,1.971,19
53,Jun 11 2018 01: +0,1.964,14
54,Jun 12 2018 01: +0,1.978,13
55,Jun 13 2018 01: +0,1.989,18
56,Jun 14 2018 01: +0,2.044,19
57,Jun 15 2018 01: +0,2.138,20
58,Jun 16 2018 01: +0,2.085,14
59,Jun 17 2018 01: +0,1.903,15
60,Jun 18 2018 01: +0,2.123,19
61,Jun 19 2018 01: +0,2.033,12
62,Jun 20 2018 01: +0,2.173,12
63,Jun 21 2018 01: +0,2.181,16
64,Jun 22 2018 01: +0,2.079,19
65,Jun 23 2018 01: +0,1.77,15
66,Jun 24 2018 01: +0,1.653,25
67,Jun 25 2018 01: +0,1.683,18
68,Jun 26 2018 01: +0,1.773,19
69,Jun 27 2018 01: +0,1.881,19
70,Jun 28 2018 01: +0,2.01,20
71,Jun 29 2018 01: +0,1.993,13
72,Jun 30 2018 01: +0,1.952,18
73,Jul 01 2018 01: +0,1.841,25
74,Jul 02 2018 01: +0,1.847,20
75,Jul 03 2018 01: +0,1.893,30
76,Jul 04 2018 01: +0,2.129,21
77,Jul 05 2018 01: +0,2.207,17
78,Jul 06 2018 01: +0,2.359,28
79,Jul 07 2018 01: +0,2.286,12
80,Jul 08 2018 01: +0,2.385,18
81,Jul 09 2018 01: +0,2.458,19
82,Jul 10 2018 01: +0,2.471,16
83,Jul 11 2018 01: +0,2.454,13
84,Jul 12 2018 01: +0,2.517,17
85,Jul 13 2018 01: +0,2.393,16
86,Jul 14 2018 01: +0,2.401,13
87,Jul 15 2018 01: +0,2.464,28
88,Jul 16 2018 01: +0,2.48,15
89,Jul 17 2018 01: +0,2.183,14
90,Jul 18 2018 01: +0,2.495,16
91,Jul 19 2018 01: +0,2.423,12
92,Jul 20 2018 01: +0,2.401,13
93,Jul 21 2018 01: +0,2.344,12
94,Jul 22 2018 01: +0,2.35,18
95,Jul 23 2018 01: +0,2.415,7
96,Jul 24 2018 01: +0,2.226,11
97,Jul 25 2018 01: +0,2.382,10
98,Jul 26 2018 01: +0,2.356,7
99,Jul 27 2018 01: +0,1.851,12
100,Jul 28 2018 01: +0,1.693,11
101,Jul 29 2018 01: +0,1.832,14
102,Jul 30 2018 01: +0,2.116,9
103,Jul 31 2018 01: +0,2.211,12
104,Aug 01 2018 01: +0,2.155,11
105,Aug 02 2018 01: +0,2.143,9
106,Aug 03 2018 01: +0,2.014,11
107,Aug 04 2018 01: +0,2.199,17
108,Aug 05 2018 01: +0,2.077,13
109,Aug 06 2018 01: +0,1.985,11
110,Aug 07 2018 01: +0,2.274,18
111,Aug 08 2018 01: +0,2.168,8
112,Aug 09 2018 01: +0,2.155,16
113,Aug 10 2018 01: +0,2.216,13
114,Aug 11 2018 01: +0,2.246,12
115,Aug 12 2018 01: +0,2.418,19
116,Aug 13 2018 01: +0,2.425,9
117,Aug 14 2018 01: +0,2.336,5
118,Aug 15 2018 01: +0,2.341,8
119,Aug 16 2018 01: +0,2.26,10
120,Aug 17 2018 01: +0,2.227,10
121,Aug 18 2018 01: +0,2.241,20
122,Aug 19 2018 01: +0,2.073,9
123,Aug 20 2018 01: +0,2.014,7
124,Aug 21 2018 01: +0,2.009,12
125,Aug 22 2018 01: +0,2.05,12
