,time,price,volume
0,Nov 12 2020 01: +0,1.593,7
1,Nov 13 2020 01: +0,1.293,34
2,Nov 14 2020 01: +0,1.157,41
3,Nov 15 2020 01: +0,1.171,34
4,Nov 16 2020 01: +0,1.15,22
5,Nov 17 2020 01: +0,1.196,22
6,Nov 18 2020 01: +0,1.283,29
7,Nov 19 2020 01: +0,1.118,41
8,Nov 20 2020 01: +0,0.969,62
9,Nov 21 2020 01: +0,1.114,27
10,Nov 22 2020 01: +0,1.07,23
11,Nov 23 2020 01: +0,1.355,31
12,Nov 24 2020 01: +0,1.14,37
13,Nov 25 2020 01: +0,1.133,12
14,Nov 26 2020 01: +0,1.069,31
15,Nov 27 2020 01: +0,0.997,37
16,Nov 28 2020 01: +0,1.013,32
17,Nov 29 2020 01: +0,1.052,35
18,Nov 30 2020 01: +0,1.222,29
19,Dec 01 2020 01: +0,1.013,24
20,Dec 02 2020 01: +0,1.148,16
21,Dec 03 2020 01: +0,1.097,28
22,Dec 04 2020 01: +0,1.025,40
23,Dec 05 2020 01: +0,1.08,29
24,Dec 06 2020 01: +0,1.149,33
25,Dec 07 2020 01: +0,1.097,21
26,Dec 08 2020 01: +0,1.113,22
27,Dec 09 2020 01: +0,1.069,21
28,Dec 10 2020 01: +0,1.017,32
29,Dec 11 2020 01: +0,1.071,29
30,Dec 12 2020 01: +0,1.088,23
31,Dec 13 2020 01: +0,1.119,27
32,Dec 14 2020 01: +0,1.17,21
33,Dec 15 2020 01: +0,1.07,31
34,Dec 16 2020 01: +0,1.123,31
35,Dec 17 2020 01: +0,1.116,34
36,Dec 18 2020 01: +0,1.143,41
37,Dec 19 2020 01: +0,1.079,34
38,Dec 20 2020 01: +0,0.952,67
39,Dec 21 2020 01: +0,0.775,48
40,Dec 22 2020 01: +0,0.829,23
41,Dec 23 2020 01: +0,0.815,19
42,Dec 24 2020 01: +0,0.935,35
43,Dec 25 2020 01: +0,0.913,42
44,Dec 26 2020 01: +0,1.034,46
45,Dec 27 2020 01: +0,1.021,30
46,Dec 28 2020 01: +0,0.961,35
47,Dec 29 2020 01: +0,0.991,24
48,Dec 30 2020 01: +0,1.042,32
49,Dec 31 2020 01: +0,1.027,38
50,Jan 01 2021 01: +0,1.005,31
51,Jan 02 2021 01: +0,1.04,42
52,Jan 03 2021 01: +0,1.022,37
53,Jan 04 2021 01: +0,1.006,55
54,Jan 05 2021 01: +0,0.957,29
55,Jan 06 2021 01: +0,0.998,39
56,Jan 07 2021 01: +0,1.062,59
57,Jan 08 2021 01: +0,1.172,33
58,Jan 09 2021 01: +0,1.29,43
59,Jan 10 2021 01: +0,1.375,27
60,Jan 11 2021 01: +0,1.317,43
61,Jan 12 2021 01: +0,1.287,31
62,Jan 13 2021 01: +0,1.393,44
63,Jan 14 2021 01: +0,1.433,53
64,Jan 15 2021 01: +0,1.552,48
65,Jan 16 2021 01: +0,1.542,40
66,Jan 17 2021 01: +0,1.57,44
67,Jan 18 2021 01: +0,1.59,44
68,Jan 19 2021 01: +0,1.615,40
69,Jan 20 2021 01: +0,1.636,42
70,Jan 21 2021 01: +0,1.641,48
71,Jan 22 2021 01: +0,1.581,48
72,Jan 23 2021 01: +0,1.731,43
73,Jan 24 2021 01: +0,1.779,41
74,Jan 25 2021 01: +0,1.673,35
75,Jan 26 2021 01: +0,1.741,32
76,Jan 27 2021 01: +0,1.632,36
77,Jan 28 2021 01: +0,1.684,41
78,Jan 29 2021 01: +0,1.561,38
79,Jan 30 2021 01: +0,1.677,34
80,Jan 31 2021 01: +0,1.757,31
81,Feb 01 2021 01: +0,1.765,33
82,Feb 02 2021 01: +0,1.742,26
83,Feb 03 2021 01: +0,1.861,28
84,Feb 04 2021 01: +0,1.905,34
85,Feb 05 2021 01: +0,1.909,25
86,Feb 06 2021 01: +0,1.81,29
87,Feb 07 2021 01: +0,1.772,29
88,Feb 08 2021 01: +0,1.725,28
89,Feb 09 2021 01: +0,1.901,27
90,Feb 10 2021 01: +0,1.878,20
91,Feb 11 2021 01: +0,1.96,21
92,Feb 12 2021 01: +0,1.715,22
93,Feb 13 2021 01: +0,1.576,26
94,Feb 14 2021 01: +0,1.613,32
95,Feb 15 2021 01: +0,1.769,19
96,Feb 16 2021 01: +0,1.648,23
97,Feb 17 2021 01: +0,1.488,21
98,Feb 18 2021 01: +0,1.615,35
99,Feb 19 2021 01: +0,1.519,24
100,Feb 20 2021 01: +0,1.648,29
101,Feb 21 2021 01: +0,1.751,27
102,Feb 22 2021 01: +0,1.73,42
103,Feb 23 2021 01: +0,1.857,19
104,Feb 24 2021 01: +0,1.834,28
105,Feb 25 2021 01: +0,1.904,29
106,Feb 26 2021 01: +0,1.422,27
107,Feb 27 2021 01: +0,1.282,30
108,Feb 28 2021 01: +0,1.536,19
109,Mar 01 2021 01: +0,1.471,15
110,Mar 02 2021 01: +0,1.499,12
111,Mar 03 2021 01: +0,1.547,13
112,Mar 04 2021 01: +0,1.457,23
113,Mar 05 2021 01: +0,1.52,15
114,Mar 06 2021 01: +0,1.446,25
115,Mar 07 2021 01: +0,1.507,19
116,Mar 08 2021 01: +0,1.596,16
117,Mar 09 2021 01: +0,1.573,14
118,Mar 10 2021 01: +0,1.596,12
119,Mar 11 2021 01: +0,1.463,10
120,Mar 12 2021 01: +0,1.391,19
121,Mar 13 2021 01: +0,1.566,9
122,Mar 14 2021 01: +0,1.475,9
123,Mar 15 2021 01: +0,1.501,22
124,Mar 16 2021 01: +0,1.468,14
125,Mar 17 2021 01: +0,1.512,10
126,Mar 18 2021 01: +0,1.357,23
127,Mar 19 2021 01: +0,1.335,20
128,Mar 20 2021 01: +0,1.356,20
129,Mar 21 2021 01: +0,1.362,19
130,Mar 22 2021 01: +0,1.341,12
131,Mar 23 2021 01: +0,1.335,17
132,Mar 24 2021 01: +0,1.331,15
133,Mar 25 2021 01: +0,1.396,21
134,Mar 26 2021 01: +0,1.226,19
135,Mar 27 2021 01: +0,1.384,16
136,Mar 28 2021 01: +0,1.423,18
137,Mar 29 2021 01: +0,1.387,20
138,Mar 30 2021 01: +0,1.423,8
139,Mar 31 2021 01: +0,1.319,15
140,Apr 01 2021 01: +0,1.501,18
141,Apr 02 2021 01: +0,1.46,13
142,Apr 03 2021 01: +0,1.471,11
143,Apr 04 2021 01: +0,1.476,11
144,Apr 05 2021 01: +0,1.557,13
145,Apr 06 2021 01: +0,1.513,6
146,Apr 07 2021 01: +0,1.398,8
147,Apr 08 2021 01: +0,1.294,12
148,Apr 09 2021 01: +0,1.319,12
149,Apr 10 2021 01: +0,1.181,17
150,Apr 11 2021 01: +0,1.277,12
151,Apr 12 2021 01: +0,1.266,11
152,Apr 13 2021 01: +0,1.221,5
153,Apr 14 2021 01: +0,1.0,1
154,Apr 14 2021 03: +0,1.3,1
155,Apr 14 2021 08: +0,1.3,1
156,Apr 14 2021 14: +0,1.3,1
157,Apr 14 2021 18: +0,1.09,4
158,Apr 14 2021 19: +0,1.31,1
159,Apr 14 2021 21: +0,1.338,1
160,Apr 15 2021 02: +0,1.2,1
161,Apr 15 2021 03: +0,1.274,2
162,Apr 15 2021 15: +0,1.115,2
163,Apr 15 2021 17: +0,1.238,2
164,Apr 15 2021 20: +0,1.24,1
165,Apr 15 2021 22: +0,1.268,1
166,Apr 15 2021 23: +0,1.26,1
167,Apr 16 2021 05: +0,1.149,1
168,Apr 16 2021 08: +0,1.28,1
169,Apr 16 2021 09: +0,1.281,1
170,Apr 16 2021 11: +0,1.281,2
171,Apr 16 2021 14: +0,1.172,1
172,Apr 16 2021 17: +0,1.17,1
173,Apr 16 2021 18: +0,1.21,1
174,Apr 16 2021 19: +0,1.277,3
175,Apr 16 2021 20: +0,1.29,2
176,Apr 16 2021 23: +0,1.29,1
177,Apr 17 2021 05: +0,1.307,1
178,Apr 17 2021 06: +0,1.092,1
179,Apr 17 2021 07: +0,1.287,2
180,Apr 17 2021 08: +0,1.24,1
181,Apr 17 2021 13: +0,1.215,1
182,Apr 17 2021 16: +0,1.09,1
183,Apr 17 2021 17: +0,1.102,1
184,Apr 17 2021 18: +0,1.102,1
185,Apr 17 2021 19: +0,1.104,1
186,Apr 17 2021 21: +0,1.012,1
187,Apr 17 2021 23: +0,1.294,1
