,time,price,volume
0,Sep 24 2020 01: +0,3.783,104
1,Sep 25 2020 01: +0,4.321,208
2,Sep 26 2020 01: +0,5.16,164
3,Sep 27 2020 01: +0,5.044,104
4,Sep 28 2020 01: +0,4.608,102
5,Sep 29 2020 01: +0,4.554,95
6,Sep 30 2020 01: +0,4.518,81
7,Oct 01 2020 01: +0,4.216,151
8,Oct 02 2020 01: +0,4.271,135
9,Oct 03 2020 01: +0,4.347,86
10,Oct 04 2020 01: +0,4.549,77
11,Oct 05 2020 01: +0,4.451,99
12,Oct 06 2020 01: +0,4.445,78
13,Oct 07 2020 01: +0,4.447,73
14,Oct 08 2020 01: +0,4.378,67
15,Oct 09 2020 01: +0,4.249,85
16,Oct 10 2020 01: +0,4.003,70
17,Oct 11 2020 01: +0,4.036,62
18,Oct 12 2020 01: +0,4.218,64
19,Oct 13 2020 01: +0,4.053,37
20,Oct 14 2020 01: +0,3.969,48
21,Oct 15 2020 01: +0,3.907,54
22,Oct 16 2020 01: +0,4.018,81
23,Oct 17 2020 01: +0,4.234,100
24,Oct 18 2020 01: +0,4.172,54
25,Oct 19 2020 01: +0,4.35,86
26,Oct 20 2020 01: +0,4.233,69
27,Oct 21 2020 01: +0,4.208,59
28,Oct 22 2020 01: +0,4.155,88
29,Oct 23 2020 01: +0,4.256,106
30,Oct 24 2020 01: +0,4.216,88
31,Oct 25 2020 01: +0,4.423,77
32,Oct 26 2020 01: +0,4.447,86
33,Oct 27 2020 01: +0,4.442,92
34,Oct 28 2020 01: +0,4.351,88
35,Oct 29 2020 01: +0,4.231,78
36,Oct 30 2020 01: +0,3.7,91
37,Oct 31 2020 01: +0,3.861,70
38,Nov 01 2020 01: +0,3.94,56
39,Nov 02 2020 01: +0,4.031,50
40,Nov 03 2020 01: +0,4.131,56
41,Nov 04 2020 01: +0,3.972,54
42,Nov 05 2020 01: +0,3.982,73
43,Nov 06 2020 01: +0,4.068,48
44,Nov 07 2020 01: +0,4.187,64
45,Nov 08 2020 01: +0,4.105,70
46,Nov 09 2020 01: +0,4.055,36
47,Nov 10 2020 01: +0,3.969,45
48,Nov 11 2020 01: +0,3.9,45
49,Nov 12 2020 01: +0,3.911,58
50,Nov 13 2020 01: +0,3.982,79
51,Nov 14 2020 01: +0,4.037,52
52,Nov 15 2020 01: +0,3.947,47
53,Nov 16 2020 01: +0,3.949,47
54,Nov 17 2020 01: +0,4.07,38
55,Nov 18 2020 01: +0,3.825,52
56,Nov 19 2020 01: +0,3.916,70
57,Nov 20 2020 01: +0,3.903,69
58,Nov 21 2020 01: +0,4.037,56
59,Nov 22 2020 01: +0,3.966,46
60,Nov 23 2020 01: +0,3.956,49
61,Nov 24 2020 01: +0,3.848,38
62,Nov 25 2020 01: +0,3.786,52
63,Nov 26 2020 01: +0,3.782,52
64,Nov 27 2020 01: +0,3.732,52
65,Nov 28 2020 01: +0,3.798,90
66,Nov 29 2020 01: +0,3.732,70
67,Nov 30 2020 01: +0,3.719,53
68,Dec 01 2020 01: +0,3.685,46
69,Dec 02 2020 01: +0,3.887,52
70,Dec 03 2020 01: +0,3.86,54
71,Dec 04 2020 01: +0,3.679,91
72,Dec 05 2020 01: +0,3.667,70
73,Dec 06 2020 01: +0,3.737,76
74,Dec 07 2020 01: +0,3.826,62
75,Dec 08 2020 01: +0,3.742,56
76,Dec 09 2020 01: +0,3.446,60
77,Dec 10 2020 01: +0,3.566,55
78,Dec 11 2020 01: +0,3.425,61
79,Dec 12 2020 01: +0,3.64,56
80,Dec 13 2020 01: +0,3.837,55
81,Dec 14 2020 01: +0,3.903,62
82,Dec 15 2020 01: +0,3.794,63
83,Dec 16 2020 01: +0,3.7,60
84,Dec 17 2020 01: +0,3.674,98
85,Dec 18 2020 01: +0,3.739,82
86,Dec 19 2020 01: +0,3.676,86
87,Dec 20 2020 01: +0,4.004,103
88,Dec 21 2020 01: +0,4.166,107
89,Dec 22 2020 01: +0,4.198,68
90,Dec 23 2020 01: +0,4.058,57
91,Dec 24 2020 01: +0,4.399,78
92,Dec 25 2020 01: +0,4.862,171
93,Dec 26 2020 01: +0,5.285,104
94,Dec 27 2020 01: +0,5.064,84
95,Dec 28 2020 01: +0,5.31,111
96,Dec 29 2020 01: +0,5.859,76
97,Dec 30 2020 01: +0,5.83,71
98,Dec 31 2020 01: +0,6.328,73
99,Jan 01 2021 01: +0,6.085,90
100,Jan 02 2021 01: +0,6.373,104
101,Jan 03 2021 01: +0,6.3,84
102,Jan 04 2021 01: +0,6.616,119
103,Jan 05 2021 01: +0,6.99,91
104,Jan 06 2021 01: +0,7.151,99
105,Jan 07 2021 01: +0,7.921,114
106,Jan 08 2021 01: +0,8.218,123
107,Jan 09 2021 01: +0,9.632,143
108,Jan 10 2021 01: +0,9.82,94
109,Jan 11 2021 01: +0,9.427,91
110,Jan 12 2021 01: +0,8.766,98
111,Jan 13 2021 01: +0,8.642,95
112,Jan 14 2021 01: +0,9.299,118
113,Jan 15 2021 01: +0,9.733,110
114,Jan 16 2021 01: +0,9.353,82
115,Jan 17 2021 01: +0,9.234,114
116,Jan 18 2021 01: +0,9.147,97
117,Jan 19 2021 01: +0,9.057,70
118,Jan 20 2021 01: +0,8.86,87
119,Jan 21 2021 01: +0,8.998,79
120,Jan 22 2021 01: +0,8.984,83
121,Jan 23 2021 01: +0,9.22,78
122,Jan 24 2021 01: +0,9.212,84
123,Jan 25 2021 01: +0,9.598,76
124,Jan 26 2021 01: +0,9.347,66
125,Jan 27 2021 01: +0,9.279,53
126,Jan 28 2021 01: +0,9.378,81
127,Jan 29 2021 01: +0,9.34,90
128,Jan 30 2021 01: +0,9.596,77
129,Jan 31 2021 01: +0,9.188,75
130,Feb 01 2021 01: +0,9.176,79
131,Feb 02 2021 01: +0,9.511,60
132,Feb 03 2021 01: +0,9.367,60
133,Feb 04 2021 01: +0,9.246,104
134,Feb 05 2021 01: +0,9.334,82
135,Feb 06 2021 01: +0,9.555,82
136,Feb 07 2021 01: +0,9.663,68
137,Feb 08 2021 01: +0,9.896,60
138,Feb 09 2021 01: +0,9.324,58
139,Feb 10 2021 01: +0,9.728,56
140,Feb 11 2021 01: +0,9.446,79
141,Feb 12 2021 01: +0,9.162,72
142,Feb 13 2021 01: +0,8.958,74
143,Feb 14 2021 01: +0,9.092,68
144,Feb 15 2021 01: +0,8.587,57
145,Feb 16 2021 01: +0,8.593,50
146,Feb 17 2021 01: +0,8.537,43
147,Feb 18 2021 01: +0,8.549,54
148,Feb 19 2021 01: +0,8.692,55
149,Feb 20 2021 01: +0,8.53,49
150,Feb 21 2021 01: +0,8.689,44
151,Feb 22 2021 01: +0,8.547,37
152,Feb 23 2021 01: +0,8.403,37
153,Feb 24 2021 01: +0,8.55,54
154,Feb 25 2021 01: +0,8.542,52
155,Feb 26 2021 01: +0,7.314,84
156,Feb 27 2021 01: +0,6.602,54
157,Feb 28 2021 01: +0,6.22,58
158,Mar 01 2021 01: +0,6.499,39
159,Mar 02 2021 01: +0,6.408,28
160,Mar 03 2021 01: +0,6.503,36
161,Mar 04 2021 01: +0,6.844,64
162,Mar 05 2021 01: +0,7.155,63
163,Mar 06 2021 01: +0,6.916,63
164,Mar 07 2021 01: +0,7.027,43
165,Mar 08 2021 01: +0,7.068,45
166,Mar 09 2021 01: +0,6.941,46
167,Mar 10 2021 01: +0,7.217,37
168,Mar 11 2021 01: +0,6.826,32
169,Mar 12 2021 01: +0,7.097,34
170,Mar 13 2021 01: +0,6.704,41
171,Mar 14 2021 01: +0,6.709,38
172,Mar 15 2021 01: +0,6.827,36
173,Mar 16 2021 01: +0,6.703,38
174,Mar 17 2021 01: +0,6.103,46
175,Mar 18 2021 01: +0,6.369,32
176,Mar 19 2021 01: +0,5.891,51
177,Mar 20 2021 01: +0,6.071,48
178,Mar 21 2021 01: +0,6.051,44
179,Mar 22 2021 01: +0,5.911,44
180,Mar 23 2021 01: +0,5.694,45
181,Mar 24 2021 01: +0,5.781,38
182,Mar 25 2021 01: +0,5.722,35
183,Mar 26 2021 01: +0,5.748,54
184,Mar 27 2021 01: +0,5.64,49
185,Mar 28 2021 01: +0,5.735,50
186,Mar 29 2021 01: +0,5.631,49
187,Mar 30 2021 01: +0,5.585,32
188,Mar 31 2021 01: +0,5.652,48
189,Apr 01 2021 01: +0,5.772,73
190,Apr 02 2021 01: +0,5.482,55
191,Apr 03 2021 01: +0,5.206,62
192,Apr 04 2021 01: +0,5.918,61
193,Apr 05 2021 01: +0,6.17,34
194,Apr 06 2021 01: +0,6.467,39
195,Apr 07 2021 01: +0,6.191,37
196,Apr 08 2021 01: +0,6.028,40
197,Apr 09 2021 01: +0,5.564,58
198,Apr 10 2021 01: +0,4.553,64
199,Apr 11 2021 01: +0,4.51,38
200,Apr 12 2021 01: +0,4.618,33
201,Apr 13 2021 01: +0,4.519,26
202,Apr 14 2021 01: +0,5.045,3
203,Apr 14 2021 03: +0,5.046,1
204,Apr 14 2021 04: +0,4.06,1
205,Apr 14 2021 08: +0,4.71,2
