,time,price,volume
0,Feb 28 2020 01: +0,2.288,33
1,Feb 29 2020 01: +0,1.548,55
2,Mar 01 2020 01: +0,1.59,66
3,Mar 02 2020 01: +0,1.599,36
4,Mar 03 2020 01: +0,1.565,26
5,Mar 04 2020 01: +0,1.549,49
6,Mar 05 2020 01: +0,1.551,58
7,Mar 06 2020 01: +0,1.512,49
8,Mar 07 2020 01: +0,1.549,64
9,Mar 08 2020 01: +0,1.553,48
10,Mar 09 2020 01: +0,1.456,35
11,Mar 10 2020 01: +0,1.348,27
12,Mar 11 2020 01: +0,1.353,24
13,Mar 12 2020 01: +0,1.412,42
14,Mar 13 2020 01: +0,1.441,39
15,Mar 14 2020 01: +0,1.438,58
16,Mar 15 2020 01: +0,1.45,31
17,Mar 16 2020 01: +0,1.468,31
18,Mar 17 2020 01: +0,1.473,42
19,Mar 18 2020 01: +0,1.426,22
20,Mar 19 2020 01: +0,1.396,33
21,Mar 20 2020 01: +0,1.352,36
22,Mar 21 2020 01: +0,1.371,39
23,Mar 22 2020 01: +0,1.466,35
24,Mar 23 2020 01: +0,1.454,67
25,Mar 24 2020 01: +0,1.291,30
26,Mar 25 2020 01: +0,1.291,43
27,Mar 26 2020 01: +0,1.326,31
28,Mar 27 2020 01: +0,1.282,47
29,Mar 28 2020 01: +0,1.383,48
30,Mar 29 2020 01: +0,1.35,39
31,Mar 30 2020 01: +0,1.406,41
32,Mar 31 2020 01: +0,1.411,36
33,Apr 01 2020 01: +0,1.413,42
34,Apr 02 2020 01: +0,1.411,49
35,Apr 03 2020 01: +0,1.49,35
36,Apr 04 2020 01: +0,1.521,45
37,Apr 05 2020 01: +0,1.49,32
38,Apr 06 2020 01: +0,1.472,28
39,Apr 07 2020 01: +0,1.481,33
40,Apr 08 2020 01: +0,1.535,53
41,Apr 09 2020 01: +0,1.614,51
42,Apr 10 2020 01: +0,1.735,31
43,Apr 11 2020 01: +0,1.718,35
44,Apr 12 2020 01: +0,1.757,29
45,Apr 13 2020 01: +0,1.806,34
46,Apr 14 2020 01: +0,1.765,37
47,Apr 15 2020 01: +0,1.57,26
48,Apr 16 2020 01: +0,1.692,28
49,Apr 17 2020 01: +0,1.706,38
50,Apr 18 2020 01: +0,1.679,24
51,Apr 19 2020 01: +0,1.666,32
52,Apr 20 2020 01: +0,1.763,33
53,Apr 21 2020 01: +0,1.576,27
54,Apr 22 2020 01: +0,1.818,36
55,Apr 23 2020 01: +0,1.772,21
56,Apr 24 2020 01: +0,1.777,23
57,Apr 25 2020 01: +0,1.738,26
58,Apr 26 2020 01: +0,1.731,25
59,Apr 27 2020 01: +0,1.652,23
60,Apr 28 2020 01: +0,1.702,27
61,Apr 29 2020 01: +0,1.746,23
62,Apr 30 2020 01: +0,1.809,32
63,May 01 2020 01: +0,1.734,22
64,May 02 2020 01: +0,1.768,35
65,May 03 2020 01: +0,1.807,29
66,May 04 2020 01: +0,1.755,37
67,May 05 2020 01: +0,1.847,24
68,May 06 2020 01: +0,1.724,29
69,May 07 2020 01: +0,1.849,41
70,May 08 2020 01: +0,1.95,21
71,May 09 2020 01: +0,1.916,26
72,May 10 2020 01: +0,1.889,13
73,May 11 2020 01: +0,1.912,27
74,May 12 2020 01: +0,1.768,20
75,May 13 2020 01: +0,1.753,31
76,May 14 2020 01: +0,1.752,31
77,May 15 2020 01: +0,1.87,32
78,May 16 2020 01: +0,1.942,18
79,May 17 2020 01: +0,1.837,19
80,May 18 2020 01: +0,1.961,21
81,May 19 2020 01: +0,1.962,22
82,May 20 2020 01: +0,1.849,22
83,May 21 2020 01: +0,1.838,18
84,May 22 2020 01: +0,1.904,27
85,May 23 2020 01: +0,2.03,31
86,May 24 2020 01: +0,2.069,18
87,May 25 2020 01: +0,1.782,23
88,May 26 2020 01: +0,1.82,16
89,May 27 2020 01: +0,1.931,16
90,May 28 2020 01: +0,1.906,29
91,May 29 2020 01: +0,1.773,25
92,May 30 2020 01: +0,1.917,33
93,May 31 2020 01: +0,2.034,20
94,Jun 01 2020 01: +0,2.015,17
95,Jun 02 2020 01: +0,2.037,28
96,Jun 03 2020 01: +0,2.16,23
97,Jun 04 2020 01: +0,2.055,23
98,Jun 05 2020 01: +0,2.005,21
99,Jun 06 2020 01: +0,2.022,16
100,Jun 07 2020 01: +0,2.145,16
101,Jun 08 2020 01: +0,1.961,21
102,Jun 09 2020 01: +0,2.155,20
103,Jun 10 2020 01: +0,2.086,11
104,Jun 11 2020 01: +0,2.017,17
105,Jun 12 2020 01: +0,1.847,23
106,Jun 13 2020 01: +0,1.918,21
107,Jun 14 2020 01: +0,1.919,21
108,Jun 15 2020 01: +0,2.01,17
109,Jun 16 2020 01: +0,2.044,7
110,Jun 17 2020 01: +0,1.873,11
111,Jun 18 2020 01: +0,1.711,17
112,Jun 19 2020 01: +0,1.712,28
113,Jun 20 2020 01: +0,1.797,26
114,Jun 21 2020 01: +0,1.78,16
115,Jun 22 2020 01: +0,1.895,20
116,Jun 23 2020 01: +0,1.795,11
117,Jun 24 2020 01: +0,1.666,21
118,Jun 25 2020 01: +0,1.835,23
119,Jun 26 2020 01: +0,1.923,13
120,Jun 27 2020 01: +0,1.701,14
121,Jun 28 2020 01: +0,1.702,20
122,Jun 29 2020 01: +0,1.85,11
123,Jun 30 2020 01: +0,1.622,21
124,Jul 01 2020 01: +0,1.767,15
125,Jul 02 2020 01: +0,1.836,26
126,Jul 03 2020 01: +0,1.876,18
127,Jul 04 2020 01: +0,1.87,15
128,Jul 05 2020 01: +0,1.76,13
129,Jul 06 2020 01: +0,1.793,18
130,Jul 07 2020 01: +0,1.858,27
131,Jul 08 2020 01: +0,1.748,21
132,Jul 09 2020 01: +0,1.768,29
133,Jul 10 2020 01: +0,1.883,42
134,Jul 11 2020 01: +0,1.506,1
135,Jul 11 2020 02: +0,1.786,2
136,Jul 11 2020 03: +0,1.826,2
137,Jul 11 2020 07: +0,1.67,1
138,Jul 11 2020 09: +0,1.865,1
139,Jul 11 2020 10: +0,1.845,2
140,Jul 11 2020 12: +0,1.81,3
141,Jul 11 2020 14: +0,1.84,1
142,Jul 11 2020 15: +0,1.806,1
143,Jul 11 2020 16: +0,1.546,1
144,Jul 11 2020 17: +0,2.07,1
145,Jul 11 2020 18: +0,2.08,1
146,Jul 11 2020 19: +0,2.08,1
147,Jul 11 2020 21: +0,2.045,1
148,Jul 11 2020 22: +0,1.78,1
149,Jul 11 2020 23: +0,1.83,1
150,Jul 12 2020 00: +0,2.04,1
151,Jul 12 2020 01: +0,2.07,1
152,Jul 12 2020 04: +0,1.61,2
153,Jul 12 2020 06: +0,2.059,1
154,Jul 12 2020 11: +0,2.037,1
155,Jul 12 2020 12: +0,1.819,1
156,Jul 12 2020 15: +0,1.787,2
157,Jul 12 2020 17: +0,1.64,4
158,Jul 12 2020 18: +0,1.817,2
159,Jul 12 2020 19: +0,1.827,3
160,Jul 12 2020 23: +0,2.02,1
161,Jul 13 2020 01: +0,2.02,3
162,Jul 13 2020 02: +0,1.554,1
163,Jul 13 2020 03: +0,1.843,1
164,Jul 13 2020 04: +0,1.55,1
165,Jul 13 2020 08: +0,1.843,1
166,Jul 13 2020 10: +0,1.84,1
167,Jul 13 2020 11: +0,2.022,3
168,Jul 13 2020 12: +0,2.02,1
