,time,price,volume
0,May 31 2018 01: +0,3.996,1
1,Jun 01 2018 01: +0,2.448,18
2,Jun 02 2018 01: +0,2.006,30
3,Jun 03 2018 01: +0,2.207,27
4,Jun 04 2018 01: +0,2.218,14
5,Jun 05 2018 01: +0,1.912,18
6,Jun 06 2018 01: +0,1.817,21
7,Jun 07 2018 01: +0,1.865,18
8,Jun 08 2018 01: +0,1.828,27
9,Jun 09 2018 01: +0,2.048,36
10,Jun 10 2018 01: +0,2.23,20
11,Jun 11 2018 01: +0,2.177,21
12,Jun 12 2018 01: +0,2.133,15
13,Jun 13 2018 01: +0,2.036,8
14,Jun 14 2018 01: +0,2.071,9
15,Jun 15 2018 01: +0,2.243,27
16,Jun 16 2018 01: +0,2.548,18
17,Jun 17 2018 01: +0,2.447,11
18,Jun 18 2018 01: +0,2.464,13
19,Jun 19 2018 01: +0,2.37,9
20,Jun 20 2018 01: +0,2.62,10
21,Jun 21 2018 01: +0,2.302,13
22,Jun 22 2018 01: +0,2.384,19
23,Jun 23 2018 01: +0,2.536,11
24,Jun 24 2018 01: +0,1.876,20
25,Jun 25 2018 01: +0,2.108,19
26,Jun 26 2018 01: +0,2.078,17
27,Jun 27 2018 01: +0,1.916,15
28,Jun 28 2018 01: +0,2.116,13
29,Jun 29 2018 01: +0,2.216,22
30,Jun 30 2018 01: +0,2.344,15
31,Jul 01 2018 01: +0,2.325,13
32,Jul 02 2018 01: +0,2.37,11
33,Jul 03 2018 01: +0,2.325,11
34,Jul 04 2018 01: +0,2.328,8
35,Jul 05 2018 01: +0,2.461,20
36,Jul 06 2018 01: +0,2.492,20
37,Jul 07 2018 01: +0,2.509,15
38,Jul 08 2018 01: +0,2.581,18
39,Jul 09 2018 01: +0,2.487,13
40,Jul 10 2018 01: +0,2.376,13
41,Jul 11 2018 01: +0,2.544,9
42,Jul 12 2018 01: +0,2.616,12
43,Jul 13 2018 01: +0,2.463,18
44,Jul 14 2018 01: +0,2.409,20
45,Jul 15 2018 01: +0,2.462,11
46,Jul 16 2018 01: +0,2.503,8
47,Jul 17 2018 01: +0,2.609,17
48,Jul 18 2018 01: +0,2.833,9
49,Jul 19 2018 01: +0,2.794,5
50,Jul 20 2018 01: +0,2.587,12
51,Jul 21 2018 01: +0,2.589,11
52,Jul 22 2018 01: +0,2.608,7
53,Jul 23 2018 01: +0,2.668,12
54,Jul 24 2018 01: +0,2.619,8
55,Jul 25 2018 01: +0,2.463,13
56,Jul 26 2018 01: +0,2.404,12
57,Jul 27 2018 01: +0,2.424,16
58,Jul 28 2018 01: +0,2.47,13
59,Jul 29 2018 01: +0,2.681,10
60,Jul 30 2018 01: +0,2.527,7
61,Jul 31 2018 01: +0,2.674,7
62,Aug 01 2018 01: +0,2.525,10
63,Aug 02 2018 01: +0,2.539,19
64,Aug 03 2018 01: +0,2.591,17
65,Aug 04 2018 01: +0,2.406,8
66,Aug 05 2018 01: +0,2.776,9
67,Aug 06 2018 01: +0,2.52,10
68,Aug 07 2018 01: +0,2.577,12
69,Aug 08 2018 01: +0,2.366,10
70,Aug 09 2018 01: +0,2.329,12
71,Aug 10 2018 01: +0,2.008,15
72,Aug 11 2018 01: +0,2.006,12
73,Aug 12 2018 01: +0,1.976,14
74,Aug 13 2018 01: +0,2.139,11
75,Aug 14 2018 01: +0,2.417,7
76,Aug 15 2018 01: +0,2.459,7
77,Aug 16 2018 01: +0,2.32,5
78,Aug 17 2018 01: +0,1.961,8
79,Aug 18 2018 01: +0,2.198,10
80,Aug 19 2018 01: +0,2.105,8
81,Aug 20 2018 01: +0,1.654,10
82,Aug 21 2018 01: +0,2.192,5
83,Aug 22 2018 01: +0,2.195,8
84,Aug 23 2018 01: +0,2.043,6
85,Aug 24 2018 01: +0,2.157,11
86,Aug 25 2018 01: +0,2.168,12
87,Aug 26 2018 01: +0,2.206,8
88,Aug 27 2018 01: +0,2.32,4
89,Aug 28 2018 01: +0,1.797,6
90,Aug 29 2018 01: +0,2.054,5
91,Aug 30 2018 01: +0,2.272,5
92,Aug 31 2018 01: +0,2.071,3
93,Sep 01 2018 01: +0,1.977,10
94,Sep 02 2018 01: +0,1.724,9
95,Sep 03 2018 01: +0,2.027,6
96,Sep 04 2018 01: +0,1.857,4
97,Sep 05 2018 01: +0,2.085,7
98,Sep 06 2018 01: +0,1.842,2
99,Sep 07 2018 01: +0,1.923,7
100,Sep 08 2018 01: +0,1.958,8
101,Sep 09 2018 01: +0,1.86,4
102,Sep 10 2018 01: +0,1.948,7
103,Sep 11 2018 01: +0,2.045,9
104,Sep 12 2018 01: +0,1.922,10
105,Sep 13 2018 01: +0,2.004,7
106,Sep 14 2018 01: +0,1.99,8
