,time,price,volume
0,Dec 27 2018 01: +0,4.18,6
1,Dec 28 2018 01: +0,3.245,15
2,Dec 29 2018 01: +0,3.137,12
3,Dec 30 2018 01: +0,3.253,15
4,Dec 31 2018 01: +0,3.316,21
5,Jan 01 2019 01: +0,2.873,31
6,Jan 02 2019 01: +0,2.954,25
7,Jan 03 2019 01: +0,2.9,61
8,Jan 04 2019 01: +0,2.803,32
9,Jan 05 2019 01: +0,2.581,34
10,Jan 06 2019 01: +0,2.806,28
11,Jan 07 2019 01: +0,2.729,26
12,Jan 08 2019 01: +0,2.69,33
13,Jan 09 2019 01: +0,2.576,30
14,Jan 10 2019 01: +0,2.441,47
15,Jan 11 2019 01: +0,2.409,48
16,Jan 12 2019 01: +0,2.442,39
17,Jan 13 2019 01: +0,2.54,33
18,Jan 14 2019 01: +0,2.408,33
19,Jan 15 2019 01: +0,2.624,55
20,Jan 16 2019 01: +0,2.643,21
21,Jan 17 2019 01: +0,2.866,24
22,Jan 18 2019 01: +0,2.44,29
23,Jan 19 2019 01: +0,2.325,29
24,Jan 20 2019 01: +0,2.417,24
25,Jan 21 2019 01: +0,2.157,23
26,Jan 22 2019 01: +0,2.318,27
27,Jan 23 2019 01: +0,2.217,21
28,Jan 24 2019 01: +0,2.178,22
29,Jan 25 2019 01: +0,2.045,43
30,Jan 26 2019 01: +0,2.066,41
31,Jan 27 2019 01: +0,2.051,37
32,Jan 28 2019 01: +0,1.995,21
33,Jan 29 2019 01: +0,1.832,27
34,Jan 30 2019 01: +0,1.709,27
35,Jan 31 2019 01: +0,1.756,42
36,Feb 01 2019 01: +0,1.715,31
37,Feb 02 2019 01: +0,1.974,44
38,Feb 03 2019 01: +0,1.99,26
39,Feb 04 2019 01: +0,2.067,27
40,Feb 05 2019 01: +0,1.738,28
41,Feb 06 2019 01: +0,1.869,25
42,Feb 07 2019 01: +0,1.888,38
43,Feb 08 2019 01: +0,1.894,38
44,Feb 09 2019 01: +0,1.816,45
45,Feb 10 2019 01: +0,1.863,35
46,Feb 11 2019 01: +0,1.82,27
47,Feb 12 2019 01: +0,1.901,18
48,Feb 13 2019 01: +0,1.718,15
49,Feb 14 2019 01: +0,1.864,23
50,Feb 15 2019 01: +0,1.799,28
51,Feb 16 2019 01: +0,1.79,23
52,Feb 17 2019 01: +0,1.741,24
53,Feb 18 2019 01: +0,1.853,16
54,Feb 19 2019 01: +0,1.731,25
55,Feb 20 2019 01: +0,1.735,20
56,Feb 21 2019 01: +0,1.604,14
57,Feb 22 2019 01: +0,1.754,28
58,Feb 23 2019 01: +0,1.657,22
59,Feb 24 2019 01: +0,1.668,31
60,Feb 25 2019 01: +0,1.615,22
61,Feb 26 2019 01: +0,1.612,22
62,Feb 27 2019 01: +0,1.606,19
63,Feb 28 2019 01: +0,1.656,17
64,Mar 01 2019 01: +0,1.48,20
65,Mar 02 2019 01: +0,1.556,24
66,Mar 03 2019 01: +0,1.592,21
67,Mar 04 2019 01: +0,1.568,19
68,Mar 05 2019 01: +0,1.727,15
69,Mar 06 2019 01: +0,1.737,11
70,Mar 07 2019 01: +0,1.735,31
71,Mar 08 2019 01: +0,1.71,25
72,Mar 09 2019 01: +0,1.694,28
73,Mar 10 2019 01: +0,1.81,22
74,Mar 11 2019 01: +0,1.794,14
75,Mar 12 2019 01: +0,1.85,22
76,Mar 13 2019 01: +0,1.871,17
77,Mar 14 2019 01: +0,1.846,23
78,Mar 15 2019 01: +0,1.848,20
79,Mar 16 2019 01: +0,1.76,29
80,Mar 17 2019 01: +0,1.983,16
81,Mar 18 2019 01: +0,1.957,11
82,Mar 19 2019 01: +0,1.876,19
83,Mar 20 2019 01: +0,1.929,17
84,Mar 21 2019 01: +0,1.814,14
85,Mar 22 2019 01: +0,1.889,14
86,Mar 23 2019 01: +0,1.833,18
87,Mar 24 2019 01: +0,1.852,15
88,Mar 25 2019 01: +0,1.83,15
89,Mar 26 2019 01: +0,1.778,19
90,Mar 27 2019 01: +0,1.831,11
91,Mar 28 2019 01: +0,1.783,24
92,Mar 29 2019 01: +0,1.784,21
93,Mar 30 2019 01: +0,1.685,18
94,Mar 31 2019 01: +0,1.746,8
95,Apr 01 2019 01: +0,1.617,24
96,Apr 02 2019 01: +0,1.616,12
97,Apr 03 2019 01: +0,1.644,15
98,Apr 04 2019 01: +0,1.582,28
99,Apr 05 2019 01: +0,1.643,28
100,Apr 06 2019 01: +0,1.607,21
101,Apr 07 2019 01: +0,1.619,18
102,Apr 08 2019 01: +0,1.656,14
103,Apr 09 2019 01: +0,1.646,15
104,Apr 10 2019 01: +0,1.523,14
105,Apr 11 2019 01: +0,1.616,23
106,Apr 12 2019 01: +0,1.611,19
107,Apr 13 2019 01: +0,1.643,14
108,Apr 14 2019 01: +0,1.596,22
109,Apr 15 2019 01: +0,1.596,22
110,Apr 16 2019 01: +0,1.638,17
111,Apr 17 2019 01: +0,1.638,16
112,Apr 18 2019 01: +0,1.693,23
113,Apr 19 2019 01: +0,1.663,20
114,Apr 20 2019 01: +0,1.697,20
115,Apr 21 2019 01: +0,1.612,25
116,Apr 22 2019 01: +0,1.702,23
117,Apr 23 2019 01: +0,1.698,26
118,Apr 24 2019 01: +0,1.562,19
119,Apr 25 2019 01: +0,1.503,23
120,Apr 26 2019 01: +0,1.576,12
121,Apr 27 2019 01: +0,1.494,17
122,Apr 28 2019 01: +0,1.551,23
123,Apr 29 2019 01: +0,1.586,17
124,Apr 30 2019 01: +0,1.605,15
125,May 01 2019 01: +0,1.601,17
126,May 02 2019 01: +0,1.582,17
127,May 03 2019 01: +0,1.575,20
128,May 04 2019 01: +0,1.508,9
129,May 05 2019 01: +0,1.564,17
130,May 06 2019 01: +0,1.515,9
131,May 07 2019 01: +0,1.489,16
132,May 08 2019 01: +0,1.524,13
133,May 09 2019 01: +0,1.51,17
134,May 10 2019 01: +0,1.405,19
135,May 11 2019 01: +0,1.518,21
136,May 12 2019 01: +0,1.429,11
137,May 13 2019 01: +0,1.503,10
138,May 14 2019 01: +0,1.48,14
139,May 15 2019 01: +0,1.51,13
140,May 16 2019 01: +0,1.533,13
141,May 17 2019 01: +0,1.385,13
142,May 18 2019 01: +0,1.469,18
143,May 19 2019 01: +0,1.562,12
144,May 20 2019 01: +0,1.519,7
145,May 21 2019 01: +0,1.572,13
146,May 22 2019 01: +0,1.503,7
147,May 23 2019 01: +0,1.441,13
148,May 24 2019 01: +0,1.494,11
149,May 25 2019 01: +0,1.553,18
150,May 26 2019 01: +0,1.483,20
151,May 27 2019 01: +0,1.502,11
152,May 28 2019 01: +0,1.473,15
153,May 29 2019 01: +0,1.545,12
154,May 30 2019 01: +0,1.529,13
155,May 31 2019 01: +0,1.431,14
156,Jun 01 2019 01: +0,1.418,20
157,Jun 02 2019 01: +0,1.458,13
158,Jun 03 2019 01: +0,1.523,12
159,Jun 04 2019 01: +0,1.469,9
160,Jun 05 2019 01: +0,1.36,11
161,Jun 06 2019 01: +0,1.553,21
162,Jun 07 2019 01: +0,1.622,18
163,Jun 08 2019 01: +0,1.535,21
164,Jun 09 2019 01: +0,1.55,13
165,Jun 10 2019 01: +0,1.579,23
166,Jun 11 2019 01: +0,1.589,12
167,Jun 12 2019 01: +0,1.616,14
168,Jun 13 2019 01: +0,1.58,15
169,Jun 14 2019 01: +0,1.586,22
170,Jun 15 2019 01: +0,1.638,16
171,Jun 16 2019 01: +0,1.713,13
172,Jun 17 2019 01: +0,1.685,20
173,Jun 18 2019 01: +0,1.81,15
174,Jun 19 2019 01: +0,1.845,8
175,Jun 20 2019 01: +0,1.721,17
176,Jun 21 2019 01: +0,1.666,16
177,Jun 22 2019 01: +0,1.717,15
178,Jun 23 2019 01: +0,1.605,23
179,Jun 24 2019 01: +0,1.692,11
180,Jun 25 2019 01: +0,1.671,12
181,Jun 26 2019 01: +0,1.643,14
182,Jun 27 2019 01: +0,1.704,18
183,Jun 28 2019 01: +0,1.583,12
184,Jun 29 2019 01: +0,1.473,18
185,Jun 30 2019 01: +0,1.478,13
186,Jul 01 2019 01: +0,1.453,19
187,Jul 02 2019 01: +0,1.53,19
188,Jul 03 2019 01: +0,1.507,16
189,Jul 04 2019 01: +0,1.553,15
190,Jul 05 2019 01: +0,1.617,10
191,Jul 06 2019 01: +0,1.698,15
192,Jul 07 2019 01: +0,1.592,14
193,Jul 08 2019 01: +0,1.546,15
194,Jul 09 2019 01: +0,1.655,18
195,Jul 10 2019 01: +0,1.728,12
196,Jul 11 2019 01: +0,1.828,20
197,Jul 12 2019 01: +0,1.859,17
198,Jul 13 2019 01: +0,1.901,10
199,Jul 14 2019 01: +0,1.855,15
200,Jul 15 2019 01: +0,1.868,14
201,Jul 16 2019 01: +0,1.681,12
202,Jul 17 2019 01: +0,2.072,10
203,Jul 18 2019 01: +0,1.894,11
204,Jul 19 2019 01: +0,2.005,16
205,Jul 20 2019 01: +0,1.868,15
206,Jul 21 2019 01: +0,1.99,21
207,Jul 22 2019 01: +0,2.082,13
208,Jul 23 2019 01: +0,2.043,16
209,Jul 24 2019 01: +0,1.977,18
210,Jul 25 2019 01: +0,1.891,17
211,Jul 26 2019 01: +0,1.932,18
212,Jul 27 2019 01: +0,1.991,8
213,Jul 28 2019 01: +0,2.005,13
214,Jul 29 2019 01: +0,1.97,19
215,Jul 30 2019 01: +0,2.056,16
216,Jul 31 2019 01: +0,2.002,16
217,Aug 01 2019 01: +0,2.048,15
218,Aug 02 2019 01: +0,2.175,13
219,Aug 03 2019 01: +0,2.227,16
220,Aug 04 2019 01: +0,2.064,15
221,Aug 05 2019 01: +0,2.3,10
222,Aug 06 2019 01: +0,2.463,24
223,Aug 07 2019 01: +0,2.581,14
224,Aug 08 2019 01: +0,2.6,15
225,Aug 09 2019 01: +0,2.666,11
226,Aug 10 2019 01: +0,2.689,12
227,Aug 11 2019 01: +0,2.647,15
228,Aug 12 2019 01: +0,2.542,12
229,Aug 13 2019 01: +0,2.321,9
230,Aug 14 2019 01: +0,2.453,10
231,Aug 15 2019 01: +0,2.481,11
232,Aug 16 2019 01: +0,2.396,9
233,Aug 17 2019 01: +0,2.242,13
234,Aug 18 2019 01: +0,2.24,16
235,Aug 19 2019 01: +0,2.427,7
236,Aug 20 2019 01: +0,1.942,6
237,Aug 21 2019 01: +0,1.921,8
238,Aug 22 2019 01: +0,2.256,5
239,Aug 23 2019 01: +0,2.033,11
240,Aug 24 2019 01: +0,2.187,15
241,Aug 25 2019 01: +0,2.319,12
242,Aug 26 2019 01: +0,2.188,5
243,Aug 27 2019 01: +0,2.163,11
244,Aug 28 2019 01: +0,2.156,7
245,Aug 29 2019 01: +0,2.111,17
246,Aug 30 2019 01: +0,2.18,13
247,Aug 31 2019 01: +0,2.188,6
248,Sep 01 2019 01: +0,2.108,9
249,Sep 02 2019 01: +0,2.059,8
250,Sep 03 2019 01: +0,2.216,10
251,Sep 04 2019 01: +0,2.059,7
252,Sep 05 2019 01: +0,2.041,10
253,Sep 06 2019 01: +0,1.983,13
254,Sep 07 2019 01: +0,2.051,8
255,Sep 08 2019 01: +0,2.041,12
256,Sep 09 2019 01: +0,2.026,11
257,Sep 10 2019 01: +0,2.084,12
258,Sep 11 2019 01: +0,2.022,4
259,Sep 12 2019 01: +0,2.055,10
260,Sep 13 2019 01: +0,2.061,16
261,Sep 14 2019 01: +0,2.032,13
262,Sep 15 2019 01: +0,1.996,15
263,Sep 16 2019 01: +0,2.089,8
264,Sep 17 2019 01: +0,1.962,12
265,Sep 18 2019 01: +0,2.042,12
266,Sep 19 2019 01: +0,1.896,13
267,Sep 20 2019 01: +0,2.198,30
268,Sep 21 2019 01: +0,2.404,9
269,Sep 22 2019 01: +0,2.276,8
270,Sep 23 2019 01: +0,2.013,8
271,Sep 24 2019 01: +0,2.055,10
272,Sep 25 2019 01: +0,1.984,10
273,Sep 26 2019 01: +0,1.994,21
274,Sep 27 2019 01: +0,2.283,14
275,Sep 28 2019 01: +0,2.022,15
276,Sep 29 2019 01: +0,2.164,7
277,Sep 30 2019 01: +0,2.261,9
278,Oct 01 2019 01: +0,2.251,12
279,Oct 02 2019 01: +0,2.306,5
280,Oct 03 2019 01: +0,2.097,12
281,Oct 04 2019 01: +0,2.361,15
282,Oct 05 2019 01: +0,2.404,15
283,Oct 06 2019 01: +0,2.205,14
284,Oct 07 2019 01: +0,2.318,9
285,Oct 08 2019 01: +0,2.111,9
286,Oct 09 2019 01: +0,2.315,14
287,Oct 10 2019 01: +0,2.387,7
288,Oct 11 2019 01: +0,2.352,11
289,Oct 12 2019 01: +0,2.295,13
290,Oct 13 2019 01: +0,2.218,9
291,Oct 14 2019 01: +0,2.383,11
292,Oct 15 2019 01: +0,2.365,12
293,Oct 16 2019 01: +0,2.365,11
294,Oct 17 2019 01: +0,2.414,10
295,Oct 18 2019 01: +0,2.461,13
296,Oct 19 2019 01: +0,2.307,20
297,Oct 20 2019 01: +0,2.357,3
298,Oct 21 2019 01: +0,2.156,13
299,Oct 22 2019 01: +0,2.386,19
300,Oct 23 2019 01: +0,2.516,8
301,Oct 24 2019 01: +0,2.328,11
302,Oct 25 2019 01: +0,2.481,7
303,Oct 26 2019 01: +0,2.579,7
304,Oct 27 2019 01: +0,2.465,11
305,Oct 28 2019 01: +0,2.426,11
306,Oct 29 2019 01: +0,2.449,9
307,Oct 30 2019 01: +0,2.428,12
308,Oct 31 2019 01: +0,2.514,38
309,Nov 01 2019 01: +0,2.328,10
310,Nov 02 2019 01: +0,2.547,10
311,Nov 03 2019 01: +0,2.516,11
312,Nov 04 2019 01: +0,2.374,6
313,Nov 05 2019 01: +0,2.41,6
314,Nov 06 2019 01: +0,2.812,11
315,Nov 07 2019 01: +0,2.876,12
316,Nov 08 2019 01: +0,2.901,18
317,Nov 09 2019 01: +0,2.878,16
318,Nov 10 2019 01: +0,2.707,9
319,Nov 11 2019 01: +0,2.684,12
320,Nov 12 2019 01: +0,2.978,15
321,Nov 13 2019 01: +0,3.002,8
322,Nov 14 2019 01: +0,2.974,9
323,Nov 15 2019 01: +0,2.913,8
324,Nov 16 2019 01: +0,2.996,10
325,Nov 17 2019 01: +0,2.986,18
326,Nov 18 2019 01: +0,2.97,8
327,Nov 19 2019 01: +0,2.667,12
328,Nov 20 2019 01: +0,2.672,16
329,Nov 21 2019 01: +0,2.697,14
330,Nov 22 2019 01: +0,2.827,10
331,Nov 23 2019 01: +0,3.035,21
332,Nov 24 2019 01: +0,3.061,14
333,Nov 25 2019 01: +0,3.02,11
334,Nov 26 2019 01: +0,3.132,16
335,Nov 27 2019 01: +0,3.2,11
336,Nov 28 2019 01: +0,3.136,12
337,Nov 29 2019 01: +0,3.145,16
338,Nov 30 2019 01: +0,3.246,7
339,Dec 01 2019 01: +0,3.374,23
340,Dec 02 2019 01: +0,3.351,8
341,Dec 03 2019 01: +0,3.486,18
342,Dec 04 2019 01: +0,3.337,21
343,Dec 05 2019 01: +0,3.308,26
344,Dec 06 2019 01: +0,3.424,26
345,Dec 07 2019 01: +0,3.463,29
346,Dec 08 2019 01: +0,3.584,18
347,Dec 09 2019 01: +0,3.613,15
348,Dec 10 2019 01: +0,3.58,17
349,Dec 11 2019 01: +0,3.595,17
350,Dec 12 2019 01: +0,3.276,14
351,Dec 13 2019 01: +0,3.255,25
352,Dec 14 2019 01: +0,3.192,16
353,Dec 15 2019 01: +0,3.118,25
354,Dec 16 2019 01: +0,3.194,26
355,Dec 17 2019 01: +0,3.124,17
356,Dec 18 2019 01: +0,3.214,27
357,Dec 19 2019 01: +0,3.213,47
358,Dec 20 2019 01: +0,3.119,33
359,Dec 21 2019 01: +0,2.798,16
360,Dec 22 2019 01: +0,2.668,23
361,Dec 23 2019 01: +0,3.011,11
362,Dec 24 2019 01: +0,2.835,18
363,Dec 25 2019 01: +0,2.832,30
364,Dec 26 2019 01: +0,2.833,18
365,Dec 27 2019 01: +0,2.795,12
366,Dec 28 2019 01: +0,2.705,15
367,Dec 29 2019 01: +0,2.741,17
368,Dec 30 2019 01: +0,2.606,11
369,Dec 31 2019 01: +0,2.73,12
370,Jan 01 2020 01: +0,2.797,15
371,Jan 02 2020 01: +0,2.933,8
372,Jan 03 2020 01: +0,2.799,12
373,Jan 04 2020 01: +0,2.906,16
374,Jan 05 2020 01: +0,2.81,14
375,Jan 06 2020 01: +0,2.892,8
376,Jan 07 2020 01: +0,2.47,9
377,Jan 08 2020 01: +0,2.628,8
378,Jan 09 2020 01: +0,2.697,10
379,Jan 10 2020 01: +0,2.857,9
380,Jan 11 2020 01: +0,2.864,17
381,Jan 12 2020 01: +0,2.713,14
382,Jan 13 2020 01: +0,2.645,5
383,Jan 14 2020 01: +0,2.601,9
384,Jan 15 2020 01: +0,2.629,13
385,Jan 16 2020 01: +0,2.609,10
386,Jan 17 2020 01: +0,2.541,8
387,Jan 18 2020 01: +0,2.597,12
388,Jan 19 2020 01: +0,2.236,3
389,Jan 20 2020 01: +0,2.458,10
390,Jan 21 2020 01: +0,2.396,6
391,Jan 22 2020 01: +0,2.656,12
392,Jan 23 2020 01: +0,2.695,5
393,Jan 24 2020 01: +0,2.15,15
394,Jan 25 2020 01: +0,2.492,9
395,Jan 26 2020 01: +0,2.053,11
396,Jan 27 2020 01: +0,2.324,9
397,Jan 28 2020 01: +0,2.222,7
398,Jan 29 2020 01: +0,2.212,9
399,Jan 30 2020 01: +0,2.323,10
400,Jan 31 2020 01: +0,2.371,8
401,Feb 01 2020 01: +0,2.546,9
402,Feb 02 2020 01: +0,2.362,7
403,Feb 03 2020 01: +0,2.316,8
404,Feb 04 2020 01: +0,2.045,8
405,Feb 05 2020 01: +0,2.149,5
406,Feb 06 2020 01: +0,2.25,11
407,Feb 07 2020 01: +0,2.048,11
408,Feb 08 2020 01: +0,2.231,11
409,Feb 09 2020 01: +0,2.194,5
410,Feb 10 2020 01: +0,2.009,8
411,Feb 11 2020 01: +0,2.131,11
412,Feb 12 2020 01: +0,2.221,4
413,Feb 13 2020 01: +0,2.077,13
414,Feb 14 2020 01: +0,2.144,13
415,Feb 15 2020 01: +0,2.107,8
416,Feb 16 2020 01: +0,2.086,4
417,Feb 17 2020 01: +0,2.023,17
