,time,price,volume
0,Apr 01 2021 01: +0,3.727,18
1,Apr 02 2021 01: +0,2.761,30
2,Apr 03 2021 01: +0,2.277,22
3,Apr 04 2021 01: +0,2.419,21
4,Apr 05 2021 01: +0,2.182,18
5,Apr 06 2021 01: +0,1.818,21
6,Apr 07 2021 01: +0,1.768,23
7,Apr 08 2021 01: +0,1.626,16
8,Apr 09 2021 01: +0,1.554,25
9,Apr 10 2021 01: +0,1.232,29
10,Apr 11 2021 01: +0,1.462,35
11,Apr 12 2021 01: +0,1.442,17
12,Apr 13 2021 01: +0,1.091,26
13,Apr 14 2021 01: +0,1.192,3
14,Apr 14 2021 03: +0,1.07,1
15,Apr 14 2021 08: +0,1.251,1
16,Apr 14 2021 10: +0,1.262,1
17,Apr 14 2021 14: +0,1.253,1
18,Apr 14 2021 15: +0,1.07,3
19,Apr 14 2021 16: +0,1.17,1
20,Apr 14 2021 17: +0,1.188,4
21,Apr 14 2021 20: +0,1.262,1
22,Apr 14 2021 21: +0,1.269,1
23,Apr 15 2021 02: +0,1.072,2
24,Apr 15 2021 03: +0,1.152,2
25,Apr 15 2021 04: +0,1.27,1
26,Apr 15 2021 05: +0,1.27,1
27,Apr 15 2021 06: +0,1.375,1
28,Apr 15 2021 09: +0,0.87,1
29,Apr 15 2021 10: +0,1.1,1
30,Apr 15 2021 11: +0,1.198,1
31,Apr 15 2021 12: +0,1.198,1
32,Apr 15 2021 14: +0,1.064,3
33,Apr 15 2021 16: +0,1.23,1
34,Apr 15 2021 19: +0,1.267,1
35,Apr 15 2021 20: +0,1.233,1
36,Apr 15 2021 21: +0,1.117,1
37,Apr 15 2021 22: +0,1.019,2
38,Apr 16 2021 00: +0,1.072,4
39,Apr 16 2021 02: +0,1.08,1
40,Apr 16 2021 03: +0,1.065,3
41,Apr 16 2021 04: +0,1.195,2
42,Apr 16 2021 05: +0,1.21,1
43,Apr 16 2021 07: +0,0.6,1
44,Apr 16 2021 08: +0,1.007,2
45,Apr 16 2021 11: +0,1.199,2
46,Apr 16 2021 13: +0,1.085,2
47,Apr 16 2021 14: +0,1.136,1
48,Apr 16 2021 15: +0,0.999,1
49,Apr 16 2021 17: +0,1.102,2
50,Apr 16 2021 18: +0,1.155,2
51,Apr 16 2021 19: +0,1.11,1
52,Apr 16 2021 20: +0,1.202,1
53,Apr 16 2021 21: +0,1.2,1
54,Apr 16 2021 22: +0,1.19,1
55,Apr 17 2021 00: +0,1.025,2
56,Apr 17 2021 01: +0,1.05,2
57,Apr 17 2021 02: +0,1.15,1
58,Apr 17 2021 03: +0,0.89,1
59,Apr 17 2021 05: +0,1.18,1
60,Apr 17 2021 10: +0,1.186,1
61,Apr 17 2021 14: +0,1.006,3
62,Apr 17 2021 15: +0,0.88,1
63,Apr 17 2021 16: +0,0.94,2
64,Apr 17 2021 17: +0,0.994,3
65,Apr 17 2021 18: +0,1.054,1
66,Apr 18 2021 01: +0,1.16,1
67,Apr 18 2021 02: +0,0.958,1
68,Apr 18 2021 03: +0,1.17,1
69,Apr 18 2021 04: +0,1.18,1
70,Apr 18 2021 08: +0,1.088,1
71,Apr 18 2021 10: +0,1.09,1
72,Apr 18 2021 12: +0,1.021,1
73,Apr 18 2021 13: +0,1.102,2
74,Apr 18 2021 16: +0,1.171,2
75,Apr 18 2021 17: +0,1.143,2
76,Apr 18 2021 20: +0,1.0,1
77,Apr 18 2021 23: +0,1.147,2
78,Apr 19 2021 00: +0,1.171,2
79,Apr 19 2021 01: +0,1.17,1
80,Apr 19 2021 04: +0,1.16,1
81,Apr 19 2021 05: +0,1.16,1
82,Apr 19 2021 06: +0,1.165,2
83,Apr 19 2021 07: +0,1.18,1
84,Apr 19 2021 09: +0,1.119,1
85,Apr 19 2021 11: +0,1.096,2
86,Apr 19 2021 13: +0,1.205,1
87,Apr 19 2021 16: +0,1.19,1
88,Apr 19 2021 18: +0,1.179,2
89,Apr 19 2021 19: +0,1.185,1
90,Apr 19 2021 20: +0,1.185,1
91,Apr 19 2021 21: +0,1.13,2
92,Apr 19 2021 23: +0,0.962,1
93,Apr 20 2021 02: +0,0.941,1
94,Apr 20 2021 04: +0,1.15,1
95,Apr 20 2021 06: +0,1.07,1
96,Apr 20 2021 08: +0,1.081,1
97,Apr 20 2021 11: +0,1.058,3
98,Apr 20 2021 12: +0,1.081,1
99,Apr 20 2021 13: +0,1.115,4
100,Apr 20 2021 15: +0,1.159,1
101,Apr 20 2021 16: +0,1.165,1
102,Apr 20 2021 17: +0,1.176,1
103,Apr 20 2021 19: +0,1.14,2
104,Apr 20 2021 20: +0,1.16,1
105,Apr 20 2021 21: +0,1.061,2
106,Apr 20 2021 22: +0,1.155,1
107,Apr 20 2021 23: +0,1.035,1
108,Apr 21 2021 00: +0,1.15,1
109,Apr 21 2021 03: +0,1.0,1
110,Apr 21 2021 04: +0,1.156,1
111,Apr 21 2021 05: +0,1.149,2
112,Apr 21 2021 06: +0,1.012,2
113,Apr 21 2021 07: +0,1.146,1
114,Apr 21 2021 09: +0,1.15,1
115,Apr 21 2021 10: +0,1.144,1
116,Apr 21 2021 11: +0,1.144,2
117,Apr 21 2021 14: +0,1.156,1
118,Apr 21 2021 15: +0,1.18,1
119,Apr 21 2021 16: +0,1.044,2
120,Apr 21 2021 18: +0,0.957,2
121,Apr 21 2021 19: +0,1.17,1
122,Apr 21 2021 20: +0,1.176,1
123,Apr 21 2021 21: +0,0.9,1
124,Apr 21 2021 22: +0,1.164,1
125,Apr 22 2021 02: +0,1.092,2
126,Apr 22 2021 03: +0,1.06,1
127,Apr 22 2021 06: +0,1.12,1
128,Apr 22 2021 10: +0,1.04,3
129,Apr 22 2021 13: +0,1.12,1
130,Apr 22 2021 15: +0,1.033,1
131,Apr 22 2021 16: +0,1.024,2
132,Apr 22 2021 19: +0,1.15,1
133,Apr 22 2021 20: +0,0.912,1
134,Apr 22 2021 21: +0,1.078,2
