,time,price,volume
0,Apr 26 2018 01: +0,6.093,6
1,Apr 27 2018 01: +0,4.211,7
2,Apr 28 2018 01: +0,4.029,11
3,Apr 29 2018 01: +0,4.449,11
4,Apr 30 2018 01: +0,4.493,6
5,May 01 2018 01: +0,4.388,7
6,May 02 2018 01: +0,4.384,4
7,May 03 2018 01: +0,4.175,12
8,May 04 2018 01: +0,3.685,10
9,May 05 2018 01: +0,3.92,10
10,May 06 2018 01: +0,4.334,11
11,May 07 2018 01: +0,5.06,8
12,May 08 2018 01: +0,5.843,5
13,May 09 2018 01: +0,5.327,4
14,May 10 2018 01: +0,4.944,6
15,May 11 2018 01: +0,5.159,9
16,May 12 2018 01: +0,6.438,8
17,May 13 2018 01: +0,6.555,4
18,May 14 2018 01: +0,6.139,2
19,May 15 2018 01: +0,6.23,2
20,May 16 2018 01: +0,6.232,6
21,May 17 2018 01: +0,6.278,9
22,May 18 2018 01: +0,5.69,3
23,May 19 2018 01: +0,6.513,6
24,May 20 2018 01: +0,6.548,4
25,May 21 2018 01: +0,4.63,1
26,May 22 2018 01: +0,6.272,4
27,May 23 2018 01: +0,6.192,2
28,May 24 2018 01: +0,5.028,10
29,May 25 2018 01: +0,5.478,2
30,May 26 2018 01: +0,5.331,6
31,May 27 2018 01: +0,5.173,3
32,May 28 2018 01: +0,5.338,4
33,May 29 2018 01: +0,5.278,4
34,May 30 2018 01: +0,5.359,3
35,May 31 2018 01: +0,5.028,5
36,Jun 01 2018 01: +0,4.644,4
37,Jun 02 2018 01: +0,4.641,6
38,Jun 03 2018 01: +0,4.526,2
39,Jun 04 2018 01: +0,4.51,2
40,Jun 05 2018 01: +0,4.535,3
41,Jun 06 2018 01: +0,4.402,2
42,Jun 07 2018 01: +0,4.718,8
43,Jun 08 2018 01: +0,5.3,6
44,Jun 09 2018 01: +0,5.26,6
45,Jun 10 2018 01: +0,5.375,2
46,Jun 11 2018 01: +0,5.422,8
47,Jun 12 2018 01: +0,5.437,5
48,Jun 13 2018 01: +0,5.335,6
49,Jun 14 2018 01: +0,5.3,3
50,Jun 15 2018 01: +0,4.983,3
51,Jun 16 2018 01: +0,5.16,6
52,Jun 17 2018 01: +0,4.558,3
53,Jun 18 2018 01: +0,4.844,4
54,Jun 19 2018 01: +0,4.942,5
55,Jun 20 2018 01: +0,5.216,1
56,Jun 21 2018 01: +0,4.381,6
57,Jun 22 2018 01: +0,4.631,3
58,Jun 23 2018 01: +0,4.747,3
59,Jun 24 2018 01: +0,4.255,3
60,Jun 25 2018 01: +0,4.288,5
61,Jun 26 2018 01: +0,4.814,2
62,Jun 27 2018 01: +0,4.369,4
63,Jun 28 2018 01: +0,4.696,4
