,time,price,volume
0,Jul 05 2019 01: +0,3.153,30
1,Jul 06 2019 01: +0,2.486,72
2,Jul 07 2019 01: +0,2.115,78
3,Jul 08 2019 01: +0,2.136,94
4,Jul 09 2019 01: +0,2.173,85
5,Jul 10 2019 01: +0,2.316,63
6,Jul 11 2019 01: +0,2.408,83
7,Jul 12 2019 01: +0,2.422,55
8,Jul 13 2019 01: +0,2.256,114
9,Jul 14 2019 01: +0,2.337,66
10,Jul 15 2019 01: +0,2.181,62
11,Jul 16 2019 01: +0,2.166,65
12,Jul 17 2019 01: +0,2.124,54
13,Jul 18 2019 01: +0,2.213,96
14,Jul 19 2019 01: +0,2.25,100
15,Jul 20 2019 01: +0,2.552,53
16,Jul 21 2019 01: +0,2.517,48
17,Jul 22 2019 01: +0,2.518,60
18,Jul 23 2019 01: +0,2.523,39
19,Jul 24 2019 01: +0,2.26,44
20,Jul 25 2019 01: +0,2.549,106
21,Jul 26 2019 01: +0,2.279,72
22,Jul 27 2019 01: +0,2.357,54
23,Jul 28 2019 01: +0,2.348,44
24,Jul 29 2019 01: +0,2.274,68
25,Jul 30 2019 01: +0,2.325,65
26,Jul 31 2019 01: +0,2.191,52
27,Aug 01 2019 01: +0,2.181,65
28,Aug 02 2019 01: +0,2.362,62
29,Aug 03 2019 01: +0,2.404,44
30,Aug 04 2019 01: +0,2.362,56
31,Aug 05 2019 01: +0,2.228,47
32,Aug 06 2019 01: +0,2.368,57
33,Aug 07 2019 01: +0,2.337,46
34,Aug 08 2019 01: +0,2.407,44
35,Aug 09 2019 01: +0,2.487,56
36,Aug 10 2019 01: +0,2.347,41
37,Aug 11 2019 01: +0,2.474,50
38,Aug 12 2019 01: +0,2.392,51
39,Aug 13 2019 01: +0,2.423,26
40,Aug 14 2019 01: +0,2.333,35
41,Aug 15 2019 01: +0,2.319,46
42,Aug 16 2019 01: +0,2.249,48
43,Aug 17 2019 01: +0,2.266,33
44,Aug 18 2019 01: +0,2.312,45
45,Aug 19 2019 01: +0,2.305,53
46,Aug 20 2019 01: +0,2.251,44
47,Aug 21 2019 01: +0,2.22,38
48,Aug 22 2019 01: +0,2.179,51
49,Aug 23 2019 01: +0,2.47,72
50,Aug 24 2019 01: +0,2.457,55
51,Aug 25 2019 01: +0,2.361,74
52,Aug 26 2019 01: +0,2.201,46
53,Aug 27 2019 01: +0,2.282,40
54,Aug 28 2019 01: +0,2.39,32
55,Aug 29 2019 01: +0,2.149,35
56,Aug 30 2019 01: +0,2.267,29
57,Aug 31 2019 01: +0,2.173,43
58,Sep 01 2019 01: +0,2.215,36
59,Sep 02 2019 01: +0,2.21,26
60,Sep 03 2019 01: +0,1.936,23
