,time,price,volume
0,Feb 07 2020 01: +0,5.675,13
1,Feb 08 2020 01: +0,2.244,77
2,Feb 09 2020 01: +0,2.218,58
3,Feb 10 2020 01: +0,2.461,34
4,Feb 11 2020 01: +0,2.482,24
5,Feb 12 2020 01: +0,2.141,37
6,Feb 13 2020 01: +0,2.181,64
7,Feb 14 2020 01: +0,1.701,69
8,Feb 15 2020 01: +0,1.983,27
9,Feb 16 2020 01: +0,1.941,43
10,Feb 17 2020 01: +0,1.985,25
11,Feb 18 2020 01: +0,1.797,22
12,Feb 19 2020 01: +0,1.706,13
13,Feb 20 2020 01: +0,1.836,20
14,Feb 21 2020 01: +0,1.656,31
15,Feb 22 2020 01: +0,1.488,36
16,Feb 23 2020 01: +0,1.462,27
17,Feb 24 2020 01: +0,1.663,32
18,Feb 25 2020 01: +0,1.58,16
19,Feb 26 2020 01: +0,1.732,20
20,Feb 27 2020 01: +0,1.57,19
21,Feb 28 2020 01: +0,1.504,26
22,Feb 29 2020 01: +0,1.577,31
23,Mar 01 2020 01: +0,1.486,27
24,Mar 02 2020 01: +0,1.563,16
25,Mar 03 2020 01: +0,1.457,17
26,Mar 04 2020 01: +0,1.62,23
27,Mar 05 2020 01: +0,1.488,29
28,Mar 06 2020 01: +0,1.433,37
29,Mar 07 2020 01: +0,1.399,29
30,Mar 08 2020 01: +0,1.45,37
31,Mar 09 2020 01: +0,1.483,26
32,Mar 10 2020 01: +0,1.433,16
33,Mar 11 2020 01: +0,1.465,22
34,Mar 12 2020 01: +0,1.434,24
35,Mar 13 2020 01: +0,1.395,20
36,Mar 14 2020 01: +0,1.475,33
37,Mar 15 2020 01: +0,1.413,30
38,Mar 16 2020 01: +0,1.388,24
39,Mar 17 2020 01: +0,1.463,29
40,Mar 18 2020 01: +0,1.347,25
41,Mar 19 2020 01: +0,1.388,27
42,Mar 20 2020 01: +0,1.36,19
43,Mar 21 2020 01: +0,1.253,27
44,Mar 22 2020 01: +0,1.223,19
45,Mar 23 2020 01: +0,1.211,16
46,Mar 24 2020 01: +0,1.313,23
47,Mar 25 2020 01: +0,1.198,18
48,Mar 26 2020 01: +0,1.201,23
49,Mar 27 2020 01: +0,1.324,34
50,Mar 28 2020 01: +0,1.312,23
51,Mar 29 2020 01: +0,1.289,27
52,Mar 30 2020 01: +0,1.235,22
53,Mar 31 2020 01: +0,1.194,29
54,Apr 01 2020 01: +0,1.221,30
55,Apr 02 2020 01: +0,1.25,55
56,Apr 03 2020 01: +0,1.25,40
57,Apr 04 2020 01: +0,1.362,32
58,Apr 05 2020 01: +0,1.343,23
59,Apr 06 2020 01: +0,1.362,30
60,Apr 07 2020 01: +0,1.375,29
61,Apr 08 2020 01: +0,1.582,26
62,Apr 09 2020 01: +0,1.394,33
63,Apr 10 2020 01: +0,1.463,32
64,Apr 11 2020 01: +0,1.479,22
65,Apr 12 2020 01: +0,1.444,27
66,Apr 13 2020 01: +0,1.499,22
67,Apr 14 2020 01: +0,1.48,31
68,Apr 15 2020 01: +0,1.472,25
69,Apr 16 2020 01: +0,1.543,33
70,Apr 17 2020 01: +0,1.53,24
71,Apr 18 2020 01: +0,1.627,29
72,Apr 19 2020 01: +0,1.549,19
73,Apr 20 2020 01: +0,1.579,23
74,Apr 21 2020 01: +0,1.554,13
75,Apr 22 2020 01: +0,1.338,17
76,Apr 23 2020 01: +0,1.412,17
77,Apr 24 2020 01: +0,1.454,21
78,Apr 25 2020 01: +0,1.431,25
79,Apr 26 2020 01: +0,1.435,21
80,Apr 27 2020 01: +0,1.438,19
81,Apr 28 2020 01: +0,1.399,22
82,Apr 29 2020 01: +0,1.443,20
83,Apr 30 2020 01: +0,1.456,17
84,May 01 2020 01: +0,1.456,20
85,May 02 2020 01: +0,1.589,13
86,May 03 2020 01: +0,1.507,23
87,May 04 2020 01: +0,1.56,22
88,May 05 2020 01: +0,1.587,24
89,May 06 2020 01: +0,1.643,16
90,May 07 2020 01: +0,1.686,14
91,May 08 2020 01: +0,1.686,31
92,May 09 2020 01: +0,1.682,19
93,May 10 2020 01: +0,1.704,16
94,May 11 2020 01: +0,1.805,17
95,May 12 2020 01: +0,1.784,15
96,May 13 2020 01: +0,1.822,20
97,May 14 2020 01: +0,1.878,17
98,May 15 2020 01: +0,1.658,16
99,May 16 2020 01: +0,1.621,20
100,May 17 2020 01: +0,1.609,13
101,May 18 2020 01: +0,1.746,18
102,May 19 2020 01: +0,1.815,20
103,May 20 2020 01: +0,1.875,22
104,May 21 2020 01: +0,1.823,17
105,May 22 2020 01: +0,1.798,22
106,May 23 2020 01: +0,1.883,23
107,May 24 2020 01: +0,1.882,27
108,May 25 2020 01: +0,1.735,12
109,May 26 2020 01: +0,1.798,18
110,May 27 2020 01: +0,1.866,13
111,May 28 2020 01: +0,1.729,15
112,May 29 2020 01: +0,1.868,37
113,May 30 2020 01: +0,1.896,30
114,May 31 2020 01: +0,1.967,18
115,Jun 01 2020 01: +0,1.838,18
116,Jun 02 2020 01: +0,1.795,18
117,Jun 03 2020 01: +0,1.793,15
118,Jun 04 2020 01: +0,1.909,31
119,Jun 05 2020 01: +0,1.915,23
120,Jun 06 2020 01: +0,1.963,10
121,Jun 07 2020 01: +0,1.977,13
122,Jun 08 2020 01: +0,1.843,15
123,Jun 09 2020 01: +0,1.987,21
124,Jun 10 2020 01: +0,1.954,21
125,Jun 11 2020 01: +0,1.92,23
126,Jun 12 2020 01: +0,1.749,22
127,Jun 13 2020 01: +0,1.916,16
128,Jun 14 2020 01: +0,1.785,11
129,Jun 15 2020 01: +0,1.829,18
130,Jun 16 2020 01: +0,1.886,19
131,Jun 17 2020 01: +0,1.725,18
132,Jun 18 2020 01: +0,1.554,11
133,Jun 19 2020 01: +0,1.64,30
134,Jun 20 2020 01: +0,1.765,26
135,Jun 21 2020 01: +0,1.683,19
136,Jun 22 2020 01: +0,1.801,17
137,Jun 23 2020 01: +0,1.768,11
138,Jun 24 2020 01: +0,1.512,17
139,Jun 25 2020 01: +0,1.467,17
140,Jun 26 2020 01: +0,1.383,24
141,Jun 27 2020 01: +0,1.328,23
142,Jun 28 2020 01: +0,1.368,19
143,Jun 29 2020 01: +0,1.31,18
144,Jun 30 2020 01: +0,1.53,25
145,Jul 01 2020 01: +0,1.736,16
146,Jul 02 2020 01: +0,1.712,21
147,Jul 03 2020 01: +0,1.721,24
148,Jul 04 2020 01: +0,1.808,15
149,Jul 05 2020 01: +0,1.594,24
150,Jul 06 2020 01: +0,1.622,22
151,Jul 07 2020 01: +0,1.619,16
152,Jul 08 2020 01: +0,1.586,20
153,Jul 09 2020 01: +0,1.537,28
154,Jul 10 2020 01: +0,1.654,25
155,Jul 11 2020 02: +0,1.305,2
156,Jul 11 2020 03: +0,1.64,1
157,Jul 11 2020 04: +0,1.64,1
158,Jul 11 2020 07: +0,1.535,2
159,Jul 11 2020 09: +0,1.63,1
160,Jul 11 2020 14: +0,1.572,3
161,Jul 11 2020 16: +0,1.617,1
162,Jul 11 2020 20: +0,1.616,2
163,Jul 11 2020 21: +0,1.617,1
164,Jul 11 2020 22: +0,1.627,2
165,Jul 11 2020 23: +0,1.365,1
166,Jul 12 2020 00: +0,1.627,1
167,Jul 12 2020 02: +0,1.628,2
168,Jul 12 2020 05: +0,1.482,1
169,Jul 12 2020 13: +0,1.407,3
170,Jul 12 2020 15: +0,1.63,1
171,Jul 12 2020 18: +0,1.64,1
172,Jul 12 2020 19: +0,1.65,1
173,Jul 12 2020 23: +0,1.65,3
174,Jul 13 2020 01: +0,1.66,3
175,Jul 13 2020 03: +0,1.69,1
176,Jul 13 2020 04: +0,1.697,1
177,Jul 13 2020 07: +0,1.363,1
178,Jul 13 2020 11: +0,1.69,1
179,Jul 13 2020 16: +0,1.7,1
180,Jul 13 2020 19: +0,1.615,2
181,Jul 13 2020 22: +0,1.69,2
182,Jul 13 2020 23: +0,1.688,2
183,Jul 14 2020 01: +0,1.535,2
184,Jul 14 2020 03: +0,1.68,2
185,Jul 14 2020 04: +0,1.68,3
186,Jul 14 2020 07: +0,1.29,3
187,Jul 14 2020 08: +0,1.697,1
188,Jul 14 2020 13: +0,1.411,1
189,Jul 14 2020 19: +0,1.64,2
190,Jul 14 2020 20: +0,1.67,2
191,Jul 14 2020 21: +0,1.67,1
192,Jul 15 2020 03: +0,1.62,1
193,Jul 15 2020 04: +0,1.67,1
194,Jul 15 2020 06: +0,1.67,1
195,Jul 15 2020 07: +0,1.497,2
196,Jul 15 2020 09: +0,1.65,3
197,Jul 15 2020 13: +0,1.44,1
198,Jul 15 2020 17: +0,1.446,4
199,Jul 15 2020 18: +0,1.553,4
200,Jul 15 2020 19: +0,1.69,1
201,Jul 15 2020 20: +0,1.649,1
202,Jul 15 2020 21: +0,1.558,2
203,Jul 16 2020 01: +0,1.333,1
204,Jul 16 2020 02: +0,1.412,2
205,Jul 16 2020 03: +0,1.428,2
206,Jul 16 2020 04: +0,1.42,3
207,Jul 16 2020 05: +0,1.43,1
208,Jul 16 2020 09: +0,1.31,1
209,Jul 16 2020 10: +0,1.324,2
210,Jul 16 2020 11: +0,1.34,2
211,Jul 16 2020 12: +0,1.302,2
212,Jul 16 2020 13: +0,1.337,3
213,Jul 16 2020 14: +0,1.326,5
214,Jul 16 2020 15: +0,1.33,1
215,Jul 16 2020 16: +0,1.246,4
216,Jul 16 2020 17: +0,1.334,4
217,Jul 16 2020 18: +0,1.339,4
218,Jul 16 2020 19: +0,1.44,1
219,Jul 16 2020 20: +0,1.15,1
220,Jul 16 2020 22: +0,1.53,5
221,Jul 16 2020 23: +0,1.54,1
