,time,price,volume
0,Oct 11 2019 01: +0,1.567,17
1,Oct 12 2019 01: +0,1.477,82
2,Oct 13 2019 01: +0,1.54,60
3,Oct 14 2019 01: +0,1.426,42
4,Oct 15 2019 01: +0,1.448,37
5,Oct 16 2019 01: +0,1.542,38
6,Oct 17 2019 01: +0,1.584,50
7,Oct 18 2019 01: +0,1.352,82
8,Oct 19 2019 01: +0,1.156,84
9,Oct 20 2019 01: +0,1.313,44
10,Oct 21 2019 01: +0,1.326,34
11,Oct 22 2019 01: +0,1.344,37
12,Oct 23 2019 01: +0,1.407,31
13,Oct 24 2019 01: +0,1.222,36
14,Oct 25 2019 01: +0,1.033,46
15,Oct 26 2019 01: +0,1.096,55
16,Oct 27 2019 01: +0,1.139,27
17,Oct 28 2019 01: +0,1.146,17
18,Oct 29 2019 01: +0,1.132,27
19,Oct 30 2019 01: +0,1.194,36
20,Oct 31 2019 01: +0,1.145,25
21,Nov 01 2019 01: +0,1.068,32
22,Nov 02 2019 01: +0,1.078,39
23,Nov 03 2019 01: +0,1.175,39
24,Nov 04 2019 01: +0,1.22,22
25,Nov 05 2019 01: +0,1.234,22
26,Nov 06 2019 01: +0,1.289,16
27,Nov 07 2019 01: +0,1.236,32
28,Nov 08 2019 01: +0,1.214,35
29,Nov 09 2019 01: +0,1.195,35
30,Nov 10 2019 01: +0,1.168,33
31,Nov 11 2019 01: +0,1.175,37
32,Nov 12 2019 01: +0,1.104,29
33,Nov 13 2019 01: +0,1.169,26
34,Nov 14 2019 01: +0,1.152,31
35,Nov 15 2019 01: +0,1.144,42
36,Nov 16 2019 01: +0,1.076,37
37,Nov 17 2019 01: +0,1.063,55
38,Nov 18 2019 01: +0,1.122,37
39,Nov 19 2019 01: +0,1.021,35
40,Nov 20 2019 01: +0,1.012,35
41,Nov 21 2019 01: +0,1.073,25
42,Nov 22 2019 01: +0,1.024,28
43,Nov 23 2019 01: +0,1.111,50
44,Nov 24 2019 01: +0,1.122,31
45,Nov 25 2019 01: +0,1.198,27
46,Nov 26 2019 01: +0,1.07,21
47,Nov 27 2019 01: +0,1.077,20
48,Nov 28 2019 01: +0,1.053,20
49,Nov 29 2019 01: +0,0.939,42
50,Nov 30 2019 01: +0,0.965,48
51,Dec 01 2019 01: +0,0.967,33
52,Dec 02 2019 01: +0,1.054,19
53,Dec 03 2019 01: +0,1.009,20
54,Dec 04 2019 01: +0,1.062,19
55,Dec 05 2019 01: +0,0.944,49
56,Dec 06 2019 01: +0,1.073,49
57,Dec 07 2019 01: +0,1.216,30
58,Dec 08 2019 01: +0,1.253,22
