,time,price,volume
0,Oct 25 2019 01: +0,4.184,41
1,Oct 26 2019 01: +0,4.386,35
2,Oct 27 2019 01: +0,3.774,28
3,Oct 28 2019 01: +0,3.951,20
4,Oct 29 2019 01: +0,4.091,18
5,Oct 30 2019 01: +0,3.624,14
6,Oct 31 2019 01: +0,3.845,21
7,Nov 01 2019 01: +0,3.741,37
8,Nov 02 2019 01: +0,3.667,21
9,Nov 03 2019 01: +0,3.924,20
10,Nov 04 2019 01: +0,4.161,14
11,Nov 05 2019 01: +0,4.398,19
12,Nov 06 2019 01: +0,3.779,14
13,Nov 07 2019 01: +0,4.186,23
14,Nov 08 2019 01: +0,4.385,8
15,Nov 09 2019 01: +0,4.244,19
16,Nov 10 2019 01: +0,4.042,15
17,Nov 11 2019 01: +0,3.972,23
18,Nov 12 2019 01: +0,3.9,14
19,Nov 13 2019 01: +0,4.028,15
20,Nov 14 2019 01: +0,3.739,22
21,Nov 15 2019 01: +0,3.93,21
22,Nov 16 2019 01: +0,3.995,20
23,Nov 17 2019 01: +0,3.871,27
24,Nov 18 2019 01: +0,4.016,15
25,Nov 19 2019 01: +0,3.484,21
26,Nov 20 2019 01: +0,3.191,20
27,Nov 21 2019 01: +0,3.505,11
28,Nov 22 2019 01: +0,3.146,28
29,Nov 23 2019 01: +0,3.074,18
30,Nov 24 2019 01: +0,2.997,20
31,Nov 25 2019 01: +0,3.014,26
32,Nov 26 2019 01: +0,3.33,18
33,Nov 27 2019 01: +0,3.06,22
34,Nov 28 2019 01: +0,3.463,18
35,Nov 29 2019 01: +0,3.014,22
36,Nov 30 2019 01: +0,2.697,24
37,Dec 01 2019 01: +0,2.974,14
38,Dec 02 2019 01: +0,2.885,18
39,Dec 03 2019 01: +0,2.92,11
40,Dec 04 2019 01: +0,3.074,6
41,Dec 05 2019 01: +0,2.938,16
42,Dec 06 2019 01: +0,2.956,25
43,Dec 07 2019 01: +0,2.949,20
44,Dec 08 2019 01: +0,2.767,21
45,Dec 09 2019 01: +0,2.886,19
46,Dec 10 2019 01: +0,2.997,22
47,Dec 11 2019 01: +0,3.008,18
48,Dec 12 2019 01: +0,2.824,13
49,Dec 13 2019 01: +0,2.887,20
50,Dec 14 2019 01: +0,2.993,18
51,Dec 15 2019 01: +0,2.913,22
52,Dec 16 2019 01: +0,2.639,11
53,Dec 17 2019 01: +0,2.965,17
54,Dec 18 2019 01: +0,3.25,17
55,Dec 19 2019 01: +0,3.323,20
56,Dec 20 2019 01: +0,2.501,29
57,Dec 21 2019 01: +0,2.641,19
58,Dec 22 2019 01: +0,2.431,13
59,Dec 23 2019 01: +0,2.86,23
60,Dec 24 2019 01: +0,3.83,28
61,Dec 25 2019 01: +0,2.82,38
62,Dec 26 2019 01: +0,3.272,18
63,Dec 27 2019 01: +0,3.169,19
64,Dec 28 2019 01: +0,3.159,18
65,Dec 29 2019 01: +0,3.092,21
66,Dec 30 2019 01: +0,3.058,18
67,Dec 31 2019 01: +0,3.214,23
68,Jan 01 2020 01: +0,2.99,14
69,Jan 02 2020 01: +0,3.377,29
70,Jan 03 2020 01: +0,3.372,31
71,Jan 04 2020 01: +0,3.398,11
72,Jan 05 2020 01: +0,3.388,17
73,Jan 06 2020 01: +0,3.358,18
74,Jan 07 2020 01: +0,3.726,20
75,Jan 08 2020 01: +0,3.635,13
76,Jan 09 2020 01: +0,3.712,17
77,Jan 10 2020 01: +0,3.925,18
78,Jan 11 2020 01: +0,3.816,23
79,Jan 12 2020 01: +0,3.741,18
